"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko00240","Pyrimidine metabolism","2/194","16/698",0.125,0.449742268041237,-1.38049851421246,0.962494685692298,1,1,"LOC126356050/LOC126297821",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00562","Inositol phosphate metabolism","1/194","11/698",0.0909090909090909,0.327085285848172,-1.39469737870316,0.973022964240792,1,1,"LOC126299253",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko01524","Platinum drug resistance","1/194","11/698",0.0909090909090909,0.327085285848172,-1.39469737870316,0.973022964240792,1,1,"LOC126281404",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04914","Progesterone-mediated oocyte maturation","1/194","11/698",0.0909090909090909,0.327085285848172,-1.39469737870316,0.973022964240792,1,1,"LOC126335781",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05205","Proteoglycans in cancer","1/194","11/698",0.0909090909090909,0.327085285848172,-1.39469737870316,0.973022964240792,1,1,"LOC126271434",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
"ko04111","Cell cycle - yeast","2/194","18/698",0.111111111111111,0.399770904925544,-1.59956106817754,0.978659395075352,1,1,"LOC126297745/LOC126297744",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko00790","Folate biosynthesis","1/194","12/698",0.0833333333333333,0.299828178694158,-1.51682395704131,0.98064093358182,1,1,"LOC126269845",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04113","Meiosis - yeast","1/194","12/698",0.0833333333333333,0.299828178694158,-1.51682395704131,0.98064093358182,1,1,"LOC126335781",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko05166","Human T-cell leukemia virus 1 infection","3/194","24/698",0.125,0.449742268041237,-1.70076305057906,0.980935090805468,1,1,"LOC126299077/LOC126268161/LOC126335781",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko02010","ABC transporters","1/194","13/698",0.0769230769230769,0.276764472640761,-1.63195480735256,0.986115654988711,1,1,"LOC126278946",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Transport and environmental response","Core metabolism or cross-domain"
"ko04210","Apoptosis","1/194","14/698",0.0714285714285714,0.25699558173785,-1.74112258520321,0.990047863648842,1,1,"LOC126281729",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04714","Thermogenesis","1/194","14/698",0.0714285714285714,0.25699558173785,-1.74112258520321,0.990047863648842,1,1,"LOC126335781",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05225","Hepatocellular carcinoma","1/194","15/698",0.0666666666666667,0.239862542955326,-1.84514031136028,0.992870545596393,1,1,"LOC126281404",1,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
"ko01100","Metabolic pathways","48/194","222/698",0.216216216216216,0.777932571747005,-2.484047291508,0.995475703853345,1,1,"LOC126349907/LOC126295405/LOC126334613/LOC126284341/LOC126356044/LOC126284971/LOC126324953/LOC126298774/LOC126298400/LOC126272928/LOC126336627/LOC126341660/LOC126283989/LOC126334596/LOC126284570/LOC126292188/LOC126299253/LOC126336697/LOC126276148/LOC126269845/LOC126298490/LOC126281438/LOC126267535/LOC126281975/LOC126282460/LOC126298632/LOC126274964/LOC126266840/LOC126272511/LOC126352958/LOC126356050/LOC126281265/LOC126282346/LOC126312349/LOC126268198/LOC126298123/LOC126335242/LOC126281974/LOC126278052/LOC126336838/LOC126282422/LOC126335010/LOC126278953/LOC126355053/LOC126285116/LOC126354610/LOC126297821/LOC126284404",48,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Broad metabolic map","Broad KEGG reference map"
