"database","background","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","Description","gene_biotype"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126266752","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.09661638893921,0.03133743194825,2.20752705724326,"1054","Lower than gene mean","laminin subunit gamma-1","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126266830","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.07139019161034,0.0303487839577882,2.01749668467854,"1040","Higher than gene mean","protein slit","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126266832","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.63545855005181,6.36938912785152e-05,2.22843593174783,"1058","Lower than gene mean","protein jagged-1b","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267006","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet83_vs50; infection_diet83","Infected diet 83",2.42408920327033,0.0239161286546839,3.1317625359519,"1050","Higher than gene mean","zinc finger protein 629-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267060","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.73358214869779,6.98395521846377e-05,1.86570182364545,"1040","Higher than gene mean","cadherin-23-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267081","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.21327321460465,2.62076461135251e-11,1.97731713333492,"1002","Lower than gene mean","DNA polymerase epsilon catalytic subunit 1","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267118","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.00066484570997,0.0322643286079039,3.17582653026937,"1027","Lower than gene mean","ADP,ATP carrier protein 2-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267315","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.11306993288239,3.30913269939544e-10,2.71913103736019,"1002","Higher than gene mean","protein patched","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267456","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.55655475768081,1.59361536208853e-06,2.60089190667325,"1020","Lower than gene mean","LIM/homeobox protein Lhx9-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267743","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.31429914600465,3.56962910902768e-06,2.72452666083378,"1020","Lower than gene mean","paired box protein Pax-1","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267794","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.1052068590659,0.00775147425069407,2.68965291738681,"1023","Lower than gene mean","dopamine receptor 2-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267795","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01424282167722,0.0182462175666539,2.84448156583877,"1057","Lower than gene mean","dopamine receptor 2-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267829","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.1799273519692,0.0294926767335975,2.11348270993249,"1058","Lower than gene mean","F-box/LRR-repeat protein 7-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126267997","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533,2.15564505351539,"1004","Higher than gene mean","myosin heavy chain 95F","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126268712","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.01587474888157,2.57348542555426e-07,2.52514151203842,"1029","Lower than gene mean","protein scabrous","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126271871","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.24099749363852,0.0347966184719163,1.80199068743315,"1020","Lower than gene mean","ras-related protein Rab-23","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126271928","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.25666477430015,3.00311095070665e-08,2.00572956922101,"1024","Lower than gene mean","protein shifted-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126271949","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.64900472755976,3.23578719368072e-06,1.89225809457923,"1025","Lower than gene mean","chitin synthase chs-2","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126272046","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37074730941769,8.51996893450314e-09,2.17797311135615,"1002","Higher than gene mean","thrombospondin type-1 domain-containing protein 4","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126272312","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.01914154969847,0.0419354677180231,1.85750745243427,"1058","Lower than gene mean","myosin-11","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126272743","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284,2.30318959672572,"1049","Lower than gene mean","G2/mitotic-specific cyclin-B-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126273129","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.3420271741391,0.00572449619384393,2.03667919914879,"1016","Lower than gene mean","ejaculatory bulb-specific protein 3-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126273138","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.8924875605271,0.0354021535131223,2.47946541254796,"1038","Higher than gene mean","ejaculatory bulb-specific protein 3-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126273293","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.47821735702872,2.1985872816512e-05,3.31009279721741,"1023","Lower than gene mean","protein dead ringer-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126273369","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.97225952784347,0.00875855125480253,1.89542897605849,"1058","Lower than gene mean","BRD4-interacting chromatin-remodeling complex-associated protein-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126275560","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.00332544642379,0.0116198127313867,3.42582782653537,"1023","Lower than gene mean","LIM/homeobox protein Awh","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278037","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.57661884203576,0.000993488597471349,1.97701699755328,"1029","Lower than gene mean","cadherin-related tumor suppressor","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278501","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.99306684304984,7.81983831678399e-07,2.57246209280036,"1023","Lower than gene mean","fork head domain transcription factor slp2-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278524","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.3714089281249,4.47126409557008e-05,2.30229345162685,"1002","Lower than gene mean","anillin-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278678","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.20167121346506,2.19676988283311e-07,2.59984166627876,"1057","Lower than gene mean","headcase protein-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278940","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.32295727875936,0.0178491844362944,1.8031134706937,"1040","Higher than gene mean","protein dachsous","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126278997","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.25441605026822,0.000307049756912439,2.09569071866532,"1037","Higher than gene mean","early growth response protein 3","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126279052","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.6492519268143,8.30046813653941e-08,3.15096396780042,"1002","Lower than gene mean","thymidine kinase, cytosolic-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126279120","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24963032361404,6.81240427576595e-06,2.10366035969629,"1016","Lower than gene mean","cyclin-dependent kinase 1-like","protein_coding"
"GO","Expressed rRNA-filtered genes","GO:0032502","developmental process","145/334","2018/5969",0.000108402347545083,0.0175956080851671,0.0175956080851671,145,"LOC126280740","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",2.02669211543941,0.037420144976846,1.83330373213619,"1050","Higher than gene mean","mucin-5AC","protein_coding"
