"expression_cluster","sample_id","cluster_mean_z","Treatment","Diet","sample_group","outlier_status","sample_label"
"DEG cluster 1","1039",0.540364975916884,"Control","33","Control 33","Discussed outlier","1039 *"
"DEG cluster 1","1040",0.522979237310082,"Control","50","Control 50","Other sample","1040"
"DEG cluster 1","1041",0.708147586762115,"Control","83","Control 83","Other sample","1041"
"DEG cluster 1","1042",-0.0440259624154226,"Infected","33","Infected 33","Other sample","1042"
"DEG cluster 1","1043",0.115113179035054,"Infected","50","Infected 50","Other sample","1043"
"DEG cluster 1","1045",-0.111781866566748,"Infected","33","Infected 33","Other sample","1045"
"DEG cluster 1","1046",-0.613499599352174,"Infected","50","Infected 50","Other sample","1046"
"DEG cluster 1","1049",-0.947793788890162,"Infected","50","Infected 50","Other sample","1049"
"DEG cluster 1","1050",-0.15445442030706,"Infected","83","Infected 83","Other sample","1050"
"DEG cluster 1","1051",0.0874916487173502,"Infected","33","Infected 33","Other sample","1051"
"DEG cluster 1","1052",-0.374805379916436,"Infected","50","Infected 50","Other sample","1052"
"DEG cluster 1","1054",-0.846007052175817,"Infected","33","Infected 33","Other sample","1054"
"DEG cluster 1","1055",-0.243507845151988,"Infected","50","Infected 50","Other sample","1055"
"DEG cluster 1","1057",-1.00020360089473,"Infected","33","Infected 33","Other sample","1057"
"DEG cluster 1","1058",-1.01158234006537,"Infected","50","Infected 50","Other sample","1058"
"DEG cluster 2","1002",-0.58665291895728,"Control","83","Control 83","Other sample","1002"
"DEG cluster 2","1003",-0.529152879565872,"Control","33","Control 33","Other sample","1003"
"DEG cluster 2","1004",-0.611235718170258,"Control","50","Control 50","Other sample","1004"
"DEG cluster 2","1005",-0.398955359537356,"Control","83","Control 83","Other sample","1005"
"DEG cluster 2","1006",-0.364372680785197,"Control","33","Control 33","Other sample","1006"
"DEG cluster 2","1007",-0.756813120711468,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 2","1009",-0.554109437427993,"Control","33","Control 33","Other sample","1009"
"DEG cluster 2","1011",-0.390778184636098,"Control","83","Control 83","Other sample","1011"
"DEG cluster 2","1014",0.347118875468396,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 2","1015",0.836345388739423,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 2","1016",0.95927470393674,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 2","1018",0.104631788638018,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 2","1020",0.0543783184048792,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 2","1021",0.0193107669703712,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 2","1023",1.07078735997701,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 2","1024",0.28474255886907,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 2","1025",0.676748769186966,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 2","1027",0.955080927566543,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 2","1028",0.480384631253417,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 2","1029",1.00105719884421,"Infected","83","Infected 83","Other sample","1029"
"DEG cluster 2","1030",-0.702600650251803,"Control","33","Control 33","Other sample","1030"
"DEG cluster 2","1031",-0.680412431203337,"Control","50","Control 50","Other sample","1031"
"DEG cluster 2","1032",-0.579858996419609,"Control","83","Control 83","Other sample","1032"
"DEG cluster 2","1033",-0.528369576132369,"Control","33","Control 33","Other sample","1033"
"DEG cluster 2","1034",-0.72509542097495,"Control","50","Control 50","Other sample","1034"
"DEG cluster 2","1035",-0.249560373080311,"Control","83","Control 83","Other sample","1035"
"DEG cluster 2","1036",-0.723091223676217,"Control","33","Control 33","Discussed outlier","1036 *"
"DEG cluster 2","1037",-0.548770341225774,"Control","50","Control 50","Discussed outlier","1037 *"
"DEG cluster 2","1038",-0.61490649435957,"Control","83","Control 83","Other sample","1038"
"DEG cluster 2","1039",-0.66407639739968,"Control","33","Control 33","Discussed outlier","1039 *"
"DEG cluster 2","1040",-0.78515878234415,"Control","50","Control 50","Other sample","1040"
"DEG cluster 2","1041",-0.74335077915307,"Control","83","Control 83","Other sample","1041"
"DEG cluster 2","1042",-0.200404521637177,"Infected","33","Infected 33","Other sample","1042"
"DEG cluster 2","1043",-0.122596757784559,"Infected","50","Infected 50","Other sample","1043"
"DEG cluster 2","1045",0.00518499732479994,"Infected","33","Infected 33","Other sample","1045"
"DEG cluster 2","1046",0.926297000434933,"Infected","50","Infected 50","Other sample","1046"
"DEG cluster 2","1049",0.903512890567484,"Infected","50","Infected 50","Other sample","1049"
"DEG cluster 2","1050",-0.0478375437863042,"Infected","83","Infected 83","Other sample","1050"
"DEG cluster 2","1051",-0.392861529259174,"Infected","33","Infected 33","Other sample","1051"
"DEG cluster 2","1052",0.773187184398685,"Infected","50","Infected 50","Other sample","1052"
"DEG cluster 2","1054",0.765785169298058,"Infected","33","Infected 33","Other sample","1054"
"DEG cluster 2","1055",0.641324459194328,"Infected","50","Infected 50","Other sample","1055"
"DEG cluster 2","1057",0.686824955711877,"Infected","33","Infected 33","Other sample","1057"
"DEG cluster 2","1058",0.941698009228549,"Infected","50","Infected 50","Other sample","1058"
"DEG cluster 3+4","1002",-0.387334642167291,"Control","83","Control 83","Other sample","1002"
"DEG cluster 3+4","1003",-0.26176995659112,"Control","33","Control 33","Other sample","1003"
"DEG cluster 3+4","1004",-0.228241261921397,"Control","50","Control 50","Other sample","1004"
"DEG cluster 3+4","1005",-0.260782142303932,"Control","83","Control 83","Other sample","1005"
"DEG cluster 3+4","1006",0.380603929300602,"Control","33","Control 33","Other sample","1006"
"DEG cluster 3+4","1007",-0.113630430742351,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 3+4","1009",-0.325544078268105,"Control","33","Control 33","Other sample","1009"
"DEG cluster 3+4","1011",0.680558865025008,"Control","83","Control 83","Other sample","1011"
"DEG cluster 3+4","1014",0.487183732807147,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 3+4","1015",0.00504145473333521,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 3+4","1016",1.29992645170961,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 3+4","1018",-0.249464407146061,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 3+4","1020",-0.249431408770804,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 3+4","1021",-0.196643405809829,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 3+4","1023",0.300614785379458,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 3+4","1024",0.192534952549503,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 3+4","1025",-0.0140311943933796,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 3+4","1027",0.101498152712509,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 3+4","1028",0.252742781982848,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 3+4","1029",-0.104204654478034,"Infected","83","Infected 83","Other sample","1029"
"DEG cluster 3+4","1030",-0.439298485989956,"Control","33","Control 33","Other sample","1030"
"DEG cluster 3+4","1031",-0.402867193000072,"Control","50","Control 50","Other sample","1031"
"DEG cluster 3+4","1032",0.479477875503924,"Control","83","Control 83","Other sample","1032"
"DEG cluster 3+4","1033",-0.396539343670281,"Control","33","Control 33","Other sample","1033"
"DEG cluster 3+4","1034",-0.451468945732182,"Control","50","Control 50","Other sample","1034"
"DEG cluster 3+4","1035",-0.193984151790533,"Control","83","Control 83","Other sample","1035"
"DEG cluster 3+4","1036",-0.273164756459603,"Control","33","Control 33","Discussed outlier","1036 *"
"DEG cluster 3+4","1037",0.0680202609326098,"Control","50","Control 50","Discussed outlier","1037 *"
"DEG cluster 3+4","1038",-0.177197306105324,"Control","83","Control 83","Other sample","1038"
"DEG cluster 3+4","1039",-0.0763598322475183,"Control","33","Control 33","Discussed outlier","1039 *"
"DEG cluster 3+4","1040",-0.258134150919498,"Control","50","Control 50","Other sample","1040"
"DEG cluster 3+4","1041",-0.337310703308485,"Control","83","Control 83","Other sample","1041"
"DEG cluster 3+4","1042",-0.0118862545671927,"Infected","33","Infected 33","Other sample","1042"
"DEG cluster 3+4","1043",0.0471109978713382,"Infected","50","Infected 50","Other sample","1043"
"DEG cluster 3+4","1045",-0.110926052973991,"Infected","33","Infected 33","Other sample","1045"
"DEG cluster 3+4","1046",0.351579496766777,"Infected","50","Infected 50","Other sample","1046"
"DEG cluster 3+4","1049",0.0158884470008258,"Infected","50","Infected 50","Other sample","1049"
"DEG cluster 3+4","1050",0.555378352517185,"Infected","83","Infected 83","Other sample","1050"
"DEG cluster 3+4","1051",-0.0637916123557911,"Infected","33","Infected 33","Other sample","1051"
"DEG cluster 3+4","1052",0.0314902166136465,"Infected","50","Infected 50","Other sample","1052"
"DEG cluster 3+4","1054",-0.173885612882287,"Infected","33","Infected 33","Other sample","1054"
"DEG cluster 3+4","1055",0.22669077195608,"Infected","50","Infected 50","Other sample","1055"
"DEG cluster 3+4","1057",-0.348368317438406,"Infected","33","Infected 33","Other sample","1057"
"DEG cluster 3+4","1058",-0.0571690159134875,"Infected","50","Infected 50","Other sample","1058"
