"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 83 vs 33","LOC126313313","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00405082139102237,8.54798771151544
"Diet contrasts among control","Control 83 vs 33","LOC126278132","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00432636850938656,5.85879559295792
"Diet contrasts among control","Control 83 vs 33","LOC126284663","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00432636850938656,6.78875150163264
"Diet contrasts among control","Control 83 vs 33","LOC126291424","Current outliers removed; Expanded outlier set",2,"Downregulated",0.00554414639899791,2.06735272322364
"Diet contrasts among control","Control 83 vs 33","LOC126354934","Current outliers removed; Expanded outlier set",2,"Downregulated",0.00679622801761384,3.88870969053307
"Diet contrasts among control","Control 83 vs 33","LOC126354969","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00893338428979445,5.83567910222708
"Diet contrasts among control","Control 83 vs 33","LOC126323918","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0105731354303003,9.11087918713978
"Diet contrasts among control","Control 83 vs 33","LOC126325516","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0107028197635988,8.20686004373838
"Diet contrasts among control","Control 83 vs 33","LOC126311192","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0109575345269557,7.95656638729769
"Diet contrasts among control","Control 83 vs 33","LOC126268173","Current outliers removed; Expanded outlier set",2,"Upregulated",0.011472858159464,4.73270868028811
"Diet contrasts among control","Control 83 vs 33","LOC126267545","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0121771979535467,5.35892388978028
"Diet contrasts among control","Control 83 vs 33","LOC126334774","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0123773370244106,1.5572106575934
"Diet contrasts among control","Control 83 vs 33","LOC126315238","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0124913899204902,6.85407406038618
"Diet contrasts among control","Control 83 vs 33","LOC126293272","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0155236897273655,6.79923614557488
"Diet contrasts among control","Control 83 vs 33","LOC126355724","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0174370496999809,1.57842200850994
"Diet contrasts among control","Control 83 vs 33","LOC126323732","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0185254059766088,7.28910220934402
"Diet contrasts among control","Control 83 vs 33","LOC126336541","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0194014471383749,3.18989931464455
"Diet contrasts among control","Control 83 vs 33","LOC126268172","Current outliers removed; Expanded outlier set",2,"Upregulated",0.022425763457282,3.99020130130787
"Diet contrasts among control","Control 83 vs 33","LOC126336744","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0234394701329615,5.38069007495958
