"gene_id","log2FoldChange","padj","source","direction","source_direction","gene_biotype","gene_description","Gene_class","Direction","signed_direction","source_label","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway"
"LOC126278436",8.79379560905476,3.10839964355232e-08,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126278436","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126282072",4.24852042723659,6.07430514889756e-06,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126282072","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126284305",4.92277680395568,0.000454407586041622,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126284305","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126293629",1.40136929507695,0.00573613612477873,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126293629","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126299228",2.87391388023124,0.00472674583420911,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126299228","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126301324",1.28065122169403,0.0298065201929637,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126301324","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126301637",1.37590264039729,0.00534495295932683,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126301637","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126302199",2.22556867714394,0.0192251368700326,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126302199","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126302226",1.62967234532936,0.0473182277924834,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126302226","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126302232",1.2724300185868,0.0104885536820899,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126302232","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
