Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
mehreen_1016_MERGE_1_val_1	(12.0, 1.0)	(13.0, 19.0)	(14.0, 206.0)	(15.0, 845.0)	(16.0, 2468.0)	(17.0, 5560.0)	(18.0, 9849.0)	(19.0, 15291.0)	(20.0, 21349.0)	(21.0, 29144.0)	(22.0, 39779.0)	(23.0, 54908.0)	(24.0, 73192.0)	(25.0, 96073.0)	(26.0, 119661.0)	(27.0, 144892.0)	(28.0, 170203.0)	(29.0, 200302.0)	(30.0, 234390.0)	(31.0, 278849.0)	(32.0, 336160.0)	(33.0, 422294.0)	(34.0, 566636.0)	(35.0, 818462.0)	(36.0, 1384311.0)	(37.0, 2544218.0)	(38.0, 6556768.0)	(39.0, 58923434.0)	(40.0, 27243249.0)				
mehreen_1016_MERGE_2_val_2	(9.0, 3.0)	(10.0, 10.0)	(11.0, 147.0)	(12.0, 1005.0)	(13.0, 4967.0)	(14.0, 17587.0)	(15.0, 36452.0)	(16.0, 51166.0)	(17.0, 54831.0)	(18.0, 55666.0)	(19.0, 59251.0)	(20.0, 65339.0)	(21.0, 75595.0)	(22.0, 87026.0)	(23.0, 102342.0)	(24.0, 115446.0)	(25.0, 134063.0)	(26.0, 149042.0)	(27.0, 166885.0)	(28.0, 186066.0)	(29.0, 211857.0)	(30.0, 243173.0)	(31.0, 281985.0)	(32.0, 338143.0)	(33.0, 418315.0)	(34.0, 540899.0)	(35.0, 732897.0)	(36.0, 1167439.0)	(37.0, 2090247.0)	(38.0, 5320273.0)	(39.0, 56533394.0)	(40.0, 31051002.0)	
mehreen_1018_MERGE_1_val_1	(12.0, 2.0)	(13.0, 24.0)	(14.0, 235.0)	(15.0, 1065.0)	(16.0, 3062.0)	(17.0, 6759.0)	(18.0, 12381.0)	(19.0, 18829.0)	(20.0, 26100.0)	(21.0, 34826.0)	(22.0, 45581.0)	(23.0, 61684.0)	(24.0, 81356.0)	(25.0, 104106.0)	(26.0, 128577.0)	(27.0, 154176.0)	(28.0, 179116.0)	(29.0, 208782.0)	(30.0, 241873.0)	(31.0, 285514.0)	(32.0, 340386.0)	(33.0, 422681.0)	(34.0, 564085.0)	(35.0, 795878.0)	(36.0, 1302054.0)	(37.0, 2327323.0)	(38.0, 5785912.0)	(39.0, 55563036.0)	(40.0, 26959373.0)				
mehreen_1018_MERGE_2_val_2	(9.0, 3.0)	(10.0, 36.0)	(11.0, 228.0)	(12.0, 1438.0)	(13.0, 5416.0)	(14.0, 16606.0)	(15.0, 35857.0)	(16.0, 52025.0)	(17.0, 58217.0)	(18.0, 59990.0)	(19.0, 62780.0)	(20.0, 68268.0)	(21.0, 78176.0)	(22.0, 88163.0)	(23.0, 104356.0)	(24.0, 120518.0)	(25.0, 139272.0)	(26.0, 156755.0)	(27.0, 178307.0)	(28.0, 199733.0)	(29.0, 228956.0)	(30.0, 263348.0)	(31.0, 306875.0)	(32.0, 372591.0)	(33.0, 467748.0)	(34.0, 641444.0)	(35.0, 927170.0)	(36.0, 1507089.0)	(37.0, 2644818.0)	(38.0, 6076796.0)	(39.0, 51798118.0)	(40.0, 28993679.0)	
mehreen_1020_MERGE_1_val_1	(12.0, 3.0)	(13.0, 24.0)	(14.0, 181.0)	(15.0, 913.0)	(16.0, 2571.0)	(17.0, 5904.0)	(18.0, 10873.0)	(19.0, 16126.0)	(20.0, 22326.0)	(21.0, 29973.0)	(22.0, 39466.0)	(23.0, 54283.0)	(24.0, 71938.0)	(25.0, 92607.0)	(26.0, 115003.0)	(27.0, 139691.0)	(28.0, 163556.0)	(29.0, 189465.0)	(30.0, 222162.0)	(31.0, 264336.0)	(32.0, 316882.0)	(33.0, 395378.0)	(34.0, 528874.0)	(35.0, 754231.0)	(36.0, 1240492.0)	(37.0, 2228834.0)	(38.0, 5578440.0)	(39.0, 51964543.0)	(40.0, 25034356.0)				
mehreen_1020_MERGE_2_val_2	(9.0, 2.0)	(10.0, 24.0)	(11.0, 142.0)	(12.0, 813.0)	(13.0, 3805.0)	(14.0, 13641.0)	(15.0, 31468.0)	(16.0, 47815.0)	(17.0, 55127.0)	(18.0, 55915.0)	(19.0, 57687.0)	(20.0, 62712.0)	(21.0, 70409.0)	(22.0, 80992.0)	(23.0, 96285.0)	(24.0, 112270.0)	(25.0, 131308.0)	(26.0, 149270.0)	(27.0, 171886.0)	(28.0, 196257.0)	(29.0, 227373.0)	(30.0, 268128.0)	(31.0, 322301.0)	(32.0, 403110.0)	(33.0, 523333.0)	(34.0, 700283.0)	(35.0, 968008.0)	(36.0, 1452946.0)	(37.0, 2378172.0)	(38.0, 5191694.0)	(39.0, 46828480.0)	(40.0, 28881775.0)	
mehreen_1021_MERGE_1_val_1	(12.0, 2.0)	(13.0, 21.0)	(14.0, 190.0)	(15.0, 870.0)	(16.0, 2712.0)	(17.0, 5731.0)	(18.0, 10187.0)	(19.0, 15320.0)	(20.0, 21429.0)	(21.0, 29206.0)	(22.0, 39132.0)	(23.0, 53144.0)	(24.0, 70100.0)	(25.0, 92013.0)	(26.0, 112820.0)	(27.0, 135967.0)	(28.0, 157945.0)	(29.0, 183911.0)	(30.0, 212484.0)	(31.0, 251167.0)	(32.0, 298725.0)	(33.0, 370341.0)	(34.0, 493550.0)	(35.0, 698037.0)	(36.0, 1153398.0)	(37.0, 2075593.0)	(38.0, 5252408.0)	(39.0, 50857694.0)	(40.0, 24565801.0)				
mehreen_1021_MERGE_2_val_2	(9.0, 1.0)	(10.0, 12.0)	(11.0, 200.0)	(12.0, 1151.0)	(13.0, 4741.0)	(14.0, 14423.0)	(15.0, 30017.0)	(16.0, 42957.0)	(17.0, 48060.0)	(18.0, 49807.0)	(19.0, 53855.0)	(20.0, 60397.0)	(21.0, 70289.0)	(22.0, 82025.0)	(23.0, 98082.0)	(24.0, 113610.0)	(25.0, 133103.0)	(26.0, 148800.0)	(27.0, 168105.0)	(28.0, 187855.0)	(29.0, 214876.0)	(30.0, 248126.0)	(31.0, 291792.0)	(32.0, 354608.0)	(33.0, 446570.0)	(34.0, 612062.0)	(35.0, 893902.0)	(36.0, 1450234.0)	(37.0, 2502586.0)	(38.0, 5594973.0)	(39.0, 46897831.0)	(40.0, 26344848.0)	
mehreen_1023_MERGE_1_val_1	(12.0, 1.0)	(13.0, 22.0)	(14.0, 184.0)	(15.0, 865.0)	(16.0, 2369.0)	(17.0, 5182.0)	(18.0, 9012.0)	(19.0, 14203.0)	(20.0, 19130.0)	(21.0, 26385.0)	(22.0, 34838.0)	(23.0, 47596.0)	(24.0, 62476.0)	(25.0, 81492.0)	(26.0, 100700.0)	(27.0, 121893.0)	(28.0, 143156.0)	(29.0, 166202.0)	(30.0, 194185.0)	(31.0, 231495.0)	(32.0, 277005.0)	(33.0, 347038.0)	(34.0, 466890.0)	(35.0, 668603.0)	(36.0, 1125074.0)	(37.0, 2059378.0)	(38.0, 5333573.0)	(39.0, 48062144.0)	(40.0, 21893387.0)				
mehreen_1023_MERGE_2_val_2	(9.0, 1.0)	(10.0, 23.0)	(11.0, 158.0)	(12.0, 998.0)	(13.0, 5005.0)	(14.0, 17735.0)	(15.0, 39970.0)	(16.0, 56644.0)	(17.0, 61503.0)	(18.0, 61868.0)	(19.0, 64606.0)	(20.0, 69710.0)	(21.0, 78913.0)	(22.0, 89003.0)	(23.0, 104755.0)	(24.0, 117371.0)	(25.0, 135132.0)	(26.0, 149077.0)	(27.0, 167061.0)	(28.0, 183735.0)	(29.0, 207660.0)	(30.0, 236236.0)	(31.0, 274454.0)	(32.0, 328343.0)	(33.0, 405179.0)	(34.0, 526801.0)	(35.0, 707410.0)	(36.0, 1106203.0)	(37.0, 1925779.0)	(38.0, 4788327.0)	(39.0, 47188081.0)	(40.0, 22396737.0)	
