Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
mehreen_1043_MERGE_1_val_1	(13.0, 20.0)	(14.0, 188.0)	(15.0, 893.0)	(16.0, 2777.0)	(17.0, 6056.0)	(18.0, 10901.0)	(19.0, 16774.0)	(20.0, 23785.0)	(21.0, 33222.0)	(22.0, 43717.0)	(23.0, 61378.0)	(24.0, 80150.0)	(25.0, 105750.0)	(26.0, 128915.0)	(27.0, 157244.0)	(28.0, 180855.0)	(29.0, 210768.0)	(30.0, 242694.0)	(31.0, 285364.0)	(32.0, 341006.0)	(33.0, 420986.0)	(34.0, 557196.0)	(35.0, 788500.0)	(36.0, 1302625.0)	(37.0, 2342482.0)	(38.0, 5850551.0)	(39.0, 57215214.0)	(40.0, 29565173.0)					
mehreen_1043_MERGE_2_val_2	(9.0, 1.0)	(10.0, 26.0)	(11.0, 176.0)	(12.0, 1095.0)	(13.0, 4687.0)	(14.0, 14825.0)	(15.0, 30728.0)	(16.0, 44600.0)	(17.0, 48960.0)	(18.0, 51844.0)	(19.0, 56498.0)	(20.0, 65345.0)	(21.0, 77968.0)	(22.0, 90792.0)	(23.0, 109809.0)	(24.0, 128027.0)	(25.0, 150413.0)	(26.0, 168374.0)	(27.0, 190734.0)	(28.0, 213246.0)	(29.0, 242521.0)	(30.0, 278186.0)	(31.0, 324939.0)	(32.0, 396050.0)	(33.0, 497313.0)	(34.0, 671139.0)	(35.0, 944647.0)	(36.0, 1502767.0)	(37.0, 2573036.0)	(38.0, 5883250.0)	(39.0, 55671889.0)	(40.0, 29541299.0)	
mehreen_1045_MERGE_1_val_1	(12.0, 1.0)	(13.0, 10.0)	(14.0, 110.0)	(15.0, 637.0)	(16.0, 2060.0)	(17.0, 4555.0)	(18.0, 8664.0)	(19.0, 13856.0)	(20.0, 19145.0)	(21.0, 26217.0)	(22.0, 35492.0)	(23.0, 49066.0)	(24.0, 64227.0)	(25.0, 84986.0)	(26.0, 104510.0)	(27.0, 127112.0)	(28.0, 148440.0)	(29.0, 172916.0)	(30.0, 201126.0)	(31.0, 237089.0)	(32.0, 283645.0)	(33.0, 351666.0)	(34.0, 465846.0)	(35.0, 661050.0)	(36.0, 1089811.0)	(37.0, 1966509.0)	(38.0, 5002547.0)	(39.0, 48225511.0)	(40.0, 22944143.0)				
mehreen_1045_MERGE_2_val_2	(9.0, 3.0)	(10.0, 22.0)	(11.0, 132.0)	(12.0, 821.0)	(13.0, 3261.0)	(14.0, 10361.0)	(15.0, 21910.0)	(16.0, 32973.0)	(17.0, 36510.0)	(18.0, 38287.0)	(19.0, 42277.0)	(20.0, 48468.0)	(21.0, 57362.0)	(22.0, 68033.0)	(23.0, 82663.0)	(24.0, 96631.0)	(25.0, 114677.0)	(26.0, 130546.0)	(27.0, 148430.0)	(28.0, 167747.0)	(29.0, 193051.0)	(30.0, 225472.0)	(31.0, 269703.0)	(32.0, 331912.0)	(33.0, 423583.0)	(34.0, 585878.0)	(35.0, 860455.0)	(36.0, 1389442.0)	(37.0, 2337358.0)	(38.0, 5131626.0)	(39.0, 43678102.0)	(40.0, 25763251.0)	
mehreen_1046_MERGE_1_val_1	(12.0, 1.0)	(13.0, 5.0)	(14.0, 120.0)	(15.0, 615.0)	(16.0, 1913.0)	(17.0, 4486.0)	(18.0, 8630.0)	(19.0, 13139.0)	(20.0, 18786.0)	(21.0, 25779.0)	(22.0, 34669.0)	(23.0, 46878.0)	(24.0, 61923.0)	(25.0, 81691.0)	(26.0, 101429.0)	(27.0, 124086.0)	(28.0, 144306.0)	(29.0, 169360.0)	(30.0, 198395.0)	(31.0, 234074.0)	(32.0, 280923.0)	(33.0, 350790.0)	(34.0, 468422.0)	(35.0, 665908.0)	(36.0, 1095857.0)	(37.0, 1953373.0)	(38.0, 4792944.0)	(39.0, 46296429.0)	(40.0, 23867523.0)				
mehreen_1046_MERGE_2_val_2	(9.0, 1.0)	(10.0, 19.0)	(11.0, 152.0)	(12.0, 858.0)	(13.0, 3578.0)	(14.0, 12188.0)	(15.0, 27902.0)	(16.0, 42440.0)	(17.0, 47936.0)	(18.0, 49456.0)	(19.0, 53557.0)	(20.0, 59409.0)	(21.0, 69018.0)	(22.0, 79860.0)	(23.0, 95719.0)	(24.0, 110576.0)	(25.0, 130203.0)	(26.0, 146724.0)	(27.0, 166420.0)	(28.0, 187361.0)	(29.0, 214979.0)	(30.0, 248613.0)	(31.0, 293990.0)	(32.0, 362283.0)	(33.0, 461961.0)	(34.0, 625880.0)	(35.0, 885640.0)	(36.0, 1394486.0)	(37.0, 2358007.0)	(38.0, 5224658.0)	(39.0, 43662691.0)	(40.0, 24025889.0)	
mehreen_1049_MERGE_1_val_1	(12.0, 2.0)	(13.0, 17.0)	(14.0, 248.0)	(15.0, 1038.0)	(16.0, 2890.0)	(17.0, 6081.0)	(18.0, 10981.0)	(19.0, 16961.0)	(20.0, 23358.0)	(21.0, 31678.0)	(22.0, 42277.0)	(23.0, 57247.0)	(24.0, 75546.0)	(25.0, 99005.0)	(26.0, 123647.0)	(27.0, 148651.0)	(28.0, 174901.0)	(29.0, 204272.0)	(30.0, 237829.0)	(31.0, 283018.0)	(32.0, 340204.0)	(33.0, 423700.0)	(34.0, 563744.0)	(35.0, 806223.0)	(36.0, 1327273.0)	(37.0, 2399092.0)	(38.0, 5991130.0)	(39.0, 54843105.0)	(40.0, 29159941.0)				
mehreen_1049_MERGE_2_val_2	(9.0, 5.0)	(10.0, 18.0)	(11.0, 212.0)	(12.0, 1088.0)	(13.0, 4412.0)	(14.0, 14771.0)	(15.0, 34015.0)	(16.0, 49810.0)	(17.0, 56697.0)	(18.0, 59565.0)	(19.0, 64195.0)	(20.0, 71193.0)	(21.0, 82591.0)	(22.0, 96954.0)	(23.0, 116611.0)	(24.0, 136658.0)	(25.0, 159186.0)	(26.0, 180550.0)	(27.0, 204048.0)	(28.0, 231013.0)	(29.0, 264912.0)	(30.0, 309119.0)	(31.0, 369032.0)	(32.0, 461259.0)	(33.0, 593707.0)	(34.0, 790380.0)	(35.0, 1037703.0)	(36.0, 1501050.0)	(37.0, 2397591.0)	(38.0, 5244510.0)	(39.0, 50263698.0)	(40.0, 32597506.0)	
mehreen_1050_MERGE_1_val_1	(13.0, 15.0)	(14.0, 183.0)	(15.0, 818.0)	(16.0, 2486.0)	(17.0, 5463.0)	(18.0, 9841.0)	(19.0, 14739.0)	(20.0, 20470.0)	(21.0, 28151.0)	(22.0, 36989.0)	(23.0, 50335.0)	(24.0, 66292.0)	(25.0, 85771.0)	(26.0, 105989.0)	(27.0, 128356.0)	(28.0, 148655.0)	(29.0, 171598.0)	(30.0, 199419.0)	(31.0, 234627.0)	(32.0, 279156.0)	(33.0, 344110.0)	(34.0, 457465.0)	(35.0, 643864.0)	(36.0, 1057473.0)	(37.0, 1895159.0)	(38.0, 4764058.0)	(39.0, 46028004.0)	(40.0, 21215353.0)					
mehreen_1050_MERGE_2_val_2	(9.0, 2.0)	(10.0, 23.0)	(11.0, 217.0)	(12.0, 1099.0)	(13.0, 4592.0)	(14.0, 13935.0)	(15.0, 28027.0)	(16.0, 39640.0)	(17.0, 43143.0)	(18.0, 44454.0)	(19.0, 47715.0)	(20.0, 53220.0)	(21.0, 61301.0)	(22.0, 70193.0)	(23.0, 84488.0)	(24.0, 96926.0)	(25.0, 113406.0)	(26.0, 126839.0)	(27.0, 144231.0)	(28.0, 162569.0)	(29.0, 186178.0)	(30.0, 214441.0)	(31.0, 251989.0)	(32.0, 307071.0)	(33.0, 388819.0)	(34.0, 530829.0)	(35.0, 762856.0)	(36.0, 1247969.0)	(37.0, 2192335.0)	(38.0, 5090789.0)	(39.0, 42802357.0)	(40.0, 22883186.0)	
mehreen_1051_MERGE_1_val_1	(12.0, 1.0)	(13.0, 17.0)	(14.0, 101.0)	(15.0, 502.0)	(16.0, 1570.0)	(17.0, 3580.0)	(18.0, 6698.0)	(19.0, 10784.0)	(20.0, 14927.0)	(21.0, 20836.0)	(22.0, 27980.0)	(23.0, 39106.0)	(24.0, 51999.0)	(25.0, 67859.0)	(26.0, 84994.0)	(27.0, 103651.0)	(28.0, 122754.0)	(29.0, 143618.0)	(30.0, 168847.0)	(31.0, 201595.0)	(32.0, 241496.0)	(33.0, 302400.0)	(34.0, 403455.0)	(35.0, 575026.0)	(36.0, 959896.0)	(37.0, 1736558.0)	(38.0, 4324534.0)	(39.0, 41491073.0)	(40.0, 22159337.0)				
mehreen_1051_MERGE_2_val_2	(9.0, 2.0)	(10.0, 28.0)	(11.0, 231.0)	(12.0, 1260.0)	(13.0, 4576.0)	(14.0, 13499.0)	(15.0, 27973.0)	(16.0, 40659.0)	(17.0, 45835.0)	(18.0, 47330.0)	(19.0, 51002.0)	(20.0, 56954.0)	(21.0, 66190.0)	(22.0, 76945.0)	(23.0, 91396.0)	(24.0, 105407.0)	(25.0, 123357.0)	(26.0, 138657.0)	(27.0, 158401.0)	(28.0, 178083.0)	(29.0, 203887.0)	(30.0, 237779.0)	(31.0, 283936.0)	(32.0, 353365.0)	(33.0, 449220.0)	(34.0, 617753.0)	(35.0, 883855.0)	(36.0, 1383187.0)	(37.0, 2303157.0)	(38.0, 5169785.0)	(39.0, 40120813.0)	(40.0, 20030672.0)	
mehreen_1052_MERGE_1_val_1	(12.0, 3.0)	(13.0, 23.0)	(14.0, 178.0)	(15.0, 778.0)	(16.0, 2393.0)	(17.0, 4914.0)	(18.0, 8866.0)	(19.0, 13933.0)	(20.0, 19365.0)	(21.0, 26570.0)	(22.0, 34858.0)	(23.0, 48221.0)	(24.0, 62879.0)	(25.0, 82285.0)	(26.0, 101392.0)	(27.0, 122385.0)	(28.0, 143624.0)	(29.0, 166218.0)	(30.0, 193384.0)	(31.0, 227815.0)	(32.0, 272014.0)	(33.0, 336522.0)	(34.0, 448637.0)	(35.0, 632311.0)	(36.0, 1035139.0)	(37.0, 1829847.0)	(38.0, 4415802.0)	(39.0, 41315417.0)	(40.0, 24415877.0)				
mehreen_1052_MERGE_2_val_2	(10.0, 21.0)	(11.0, 138.0)	(12.0, 804.0)	(13.0, 3426.0)	(14.0, 10930.0)	(15.0, 24025.0)	(16.0, 35921.0)	(17.0, 41417.0)	(18.0, 43658.0)	(19.0, 47820.0)	(20.0, 53857.0)	(21.0, 63463.0)	(22.0, 74349.0)	(23.0, 90058.0)	(24.0, 106413.0)	(25.0, 124238.0)	(26.0, 141525.0)	(27.0, 161565.0)	(28.0, 182307.0)	(29.0, 208395.0)	(30.0, 241857.0)	(31.0, 285702.0)	(32.0, 349012.0)	(33.0, 437501.0)	(34.0, 595362.0)	(35.0, 874338.0)	(36.0, 1420292.0)	(37.0, 2368942.0)	(38.0, 4955255.0)	(39.0, 38837197.0)	(40.0, 24181862.0)		
mehreen_1054_MERGE_1_val_1	(13.0, 11.0)	(14.0, 128.0)	(15.0, 590.0)	(16.0, 1888.0)	(17.0, 4435.0)	(18.0, 8019.0)	(19.0, 12342.0)	(20.0, 17725.0)	(21.0, 24687.0)	(22.0, 32775.0)	(23.0, 45769.0)	(24.0, 60670.0)	(25.0, 80702.0)	(26.0, 99560.0)	(27.0, 121721.0)	(28.0, 141733.0)	(29.0, 167361.0)	(30.0, 193563.0)	(31.0, 229769.0)	(32.0, 277181.0)	(33.0, 346975.0)	(34.0, 461343.0)	(35.0, 660971.0)	(36.0, 1107698.0)	(37.0, 2022350.0)	(38.0, 5236526.0)	(39.0, 51140446.0)	(40.0, 23984317.0)					
mehreen_1054_MERGE_2_val_2	(9.0, 1.0)	(10.0, 21.0)	(11.0, 184.0)	(12.0, 994.0)	(13.0, 4052.0)	(14.0, 12883.0)	(15.0, 26444.0)	(16.0, 37501.0)	(17.0, 40630.0)	(18.0, 43449.0)	(19.0, 47912.0)	(20.0, 54277.0)	(21.0, 64904.0)	(22.0, 76294.0)	(23.0, 92167.0)	(24.0, 107295.0)	(25.0, 126247.0)	(26.0, 142538.0)	(27.0, 162583.0)	(28.0, 184053.0)	(29.0, 211973.0)	(30.0, 248017.0)	(31.0, 299362.0)	(32.0, 373106.0)	(33.0, 476679.0)	(34.0, 632603.0)	(35.0, 864082.0)	(36.0, 1325869.0)	(37.0, 2238018.0)	(38.0, 5121948.0)	(39.0, 48221831.0)	(40.0, 25243338.0)	
mehreen_1055_MERGE_1_val_1	(13.0, 16.0)	(14.0, 153.0)	(15.0, 784.0)	(16.0, 2225.0)	(17.0, 4860.0)	(18.0, 8481.0)	(19.0, 13566.0)	(20.0, 18882.0)	(21.0, 26222.0)	(22.0, 35224.0)	(23.0, 48584.0)	(24.0, 63758.0)	(25.0, 84920.0)	(26.0, 104113.0)	(27.0, 127425.0)	(28.0, 149582.0)	(29.0, 174175.0)	(30.0, 203938.0)	(31.0, 241993.0)	(32.0, 291562.0)	(33.0, 361912.0)	(34.0, 481881.0)	(35.0, 689413.0)	(36.0, 1147645.0)	(37.0, 2113027.0)	(38.0, 5513200.0)	(39.0, 52359373.0)	(40.0, 21776007.0)					
mehreen_1055_MERGE_2_val_2	(9.0, 2.0)	(10.0, 20.0)	(11.0, 154.0)	(12.0, 849.0)	(13.0, 3582.0)	(14.0, 11462.0)	(15.0, 23199.0)	(16.0, 33752.0)	(17.0, 37125.0)	(18.0, 39659.0)	(19.0, 43685.0)	(20.0, 50703.0)	(21.0, 59454.0)	(22.0, 70796.0)	(23.0, 85824.0)	(24.0, 100826.0)	(25.0, 118612.0)	(26.0, 135670.0)	(27.0, 155792.0)	(28.0, 176068.0)	(29.0, 204261.0)	(30.0, 240101.0)	(31.0, 287635.0)	(32.0, 361728.0)	(33.0, 466668.0)	(34.0, 641860.0)	(35.0, 916980.0)	(36.0, 1440224.0)	(37.0, 2388246.0)	(38.0, 5285080.0)	(39.0, 46727117.0)	(40.0, 25935787.0)	
mehreen_1057_MERGE_1_val_1	(12.0, 3.0)	(13.0, 16.0)	(14.0, 127.0)	(15.0, 628.0)	(16.0, 1924.0)	(17.0, 4164.0)	(18.0, 7728.0)	(19.0, 12070.0)	(20.0, 17213.0)	(21.0, 22947.0)	(22.0, 30351.0)	(23.0, 41428.0)	(24.0, 54672.0)	(25.0, 70783.0)	(26.0, 87351.0)	(27.0, 106375.0)	(28.0, 124092.0)	(29.0, 145149.0)	(30.0, 168092.0)	(31.0, 200344.0)	(32.0, 240746.0)	(33.0, 300492.0)	(34.0, 403283.0)	(35.0, 576561.0)	(36.0, 966093.0)	(37.0, 1786577.0)	(38.0, 4609207.0)	(39.0, 41718707.0)	(40.0, 19411534.0)				
mehreen_1057_MERGE_2_val_2	(9.0, 1.0)	(10.0, 20.0)	(11.0, 189.0)	(12.0, 1161.0)	(13.0, 4280.0)	(14.0, 12446.0)	(15.0, 24982.0)	(16.0, 36260.0)	(17.0, 40462.0)	(18.0, 41717.0)	(19.0, 44826.0)	(20.0, 49685.0)	(21.0, 56823.0)	(22.0, 64572.0)	(23.0, 76704.0)	(24.0, 87799.0)	(25.0, 102816.0)	(26.0, 115240.0)	(27.0, 130940.0)	(28.0, 147337.0)	(29.0, 168950.0)	(30.0, 195196.0)	(31.0, 230181.0)	(32.0, 281897.0)	(33.0, 355939.0)	(34.0, 485608.0)	(35.0, 697452.0)	(36.0, 1122312.0)	(37.0, 1944703.0)	(38.0, 4518104.0)	(39.0, 39029848.0)	(40.0, 21040207.0)	
mehreen_1058_MERGE_1_val_1	(13.0, 8.0)	(14.0, 118.0)	(15.0, 520.0)	(16.0, 1784.0)	(17.0, 3863.0)	(18.0, 7028.0)	(19.0, 11094.0)	(20.0, 15437.0)	(21.0, 21431.0)	(22.0, 28701.0)	(23.0, 39982.0)	(24.0, 53606.0)	(25.0, 69745.0)	(26.0, 88234.0)	(27.0, 106123.0)	(28.0, 124427.0)	(29.0, 145626.0)	(30.0, 169577.0)	(31.0, 200511.0)	(32.0, 240373.0)	(33.0, 297139.0)	(34.0, 395301.0)	(35.0, 562589.0)	(36.0, 918185.0)	(37.0, 1636539.0)	(38.0, 4072854.0)	(39.0, 38342194.0)	(40.0, 19033523.0)					
mehreen_1058_MERGE_2_val_2	(9.0, 2.0)	(10.0, 16.0)	(11.0, 96.0)	(12.0, 539.0)	(13.0, 2508.0)	(14.0, 9170.0)	(15.0, 21040.0)	(16.0, 31438.0)	(17.0, 35861.0)	(18.0, 38024.0)	(19.0, 41113.0)	(20.0, 46944.0)	(21.0, 55581.0)	(22.0, 65604.0)	(23.0, 79853.0)	(24.0, 94634.0)	(25.0, 112085.0)	(26.0, 127809.0)	(27.0, 146363.0)	(28.0, 166293.0)	(29.0, 191488.0)	(30.0, 223368.0)	(31.0, 266371.0)	(32.0, 329782.0)	(33.0, 421183.0)	(34.0, 578912.0)	(35.0, 831160.0)	(36.0, 1262024.0)	(37.0, 1977591.0)	(38.0, 4031750.0)	(39.0, 33960531.0)	(40.0, 21437379.0)	
