Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
mehreen_1030_MERGE_2_val_2 - polyg	(1, 0.22831650411185658)	(2, 0.232351539677576)	(3, 0.23862376660868823)	(4, 0.2407274546918786)	(5, 0.2431612599819696)	(6, 0.24568811301420174)	(7, 0.24735002659992214)	(8, 0.24929431985527079)	(9, 0.2506269253448918)	(10, 0.2528811080371104)	(12, 0.2558473082344088)	(14, 0.257467552613866)	(16, 0.2586423814972477)	(18, 0.25962626023153984)	(20, 0.26047299468502394)	(22, 0.2612100946249418)	(24, 0.2618104548394523)	(26, 0.262465025477645)	(28, 0.26310665034301806)	(30, 0.2637511070961954)	(32, 0.2643741224131403)	(34, 0.26500037417329003)	(36, 0.26563754892925634)	(38, 0.2662937377890515)	(40, 0.2669123029965896)	(42, 0.2675041675476872)	(44, 0.2680753997733535)	(46, 0.2686304497829953)	(48, 0.2692712655375671)	(50, 0.26988578519109907)	(52, 0.27052012805926107)	(54, 0.27116984403264643)	(56, 0.2717880046847839)	(58, 0.2724276067731539)	(60, 0.27302473054445947)	(62, 0.2736432957519976)	(64, 0.27426752473514426)	(66, 0.274893776495294)	(68, 0.2755475380226855)	(70, 0.27622516831871313)	(72, 0.2771196403094697)	(74, 0.2784231178102465)	(76, 0.2791638587487698)	(78, 0.27988922658206994)	(80, 0.2805781844293148)	(82, 0.28128251538178295)	(84, 0.2819516500143977)	(86, 0.282660026520872)	(88, 0.2833336112628936)	(90, 0.2840363239937593)	(92, 0.28470990873578084)	(94, 0.2854126214666465)	(96, 0.286210809272057)	(98, 0.2870187064070822)	(100, 0.28785856341875593)	(102, 0.28875789007431985)	(104, 0.28989671352704693)	(106, 0.2912827203295489)	(108, 0.29341877284478834)	(110, 0.29678265100088985)	(112, 0.30051588823775155)	(114, 0.3058790791836852)	(116, 0.31363723810125094)	(118, 0.32396027825870655)	(120, 0.34224860969884197)	(122, 0.3698619431231193)	(124, 0.40139663204554366)	(126, 0.4460902944837245)	(128, 0.5007878028682767)	(130, 0.5533039485327209)	(132, 0.599383213218003)	(134, 0.6337360350611012)	(136, 0.6512067600365967)
mehreen_1031_MERGE_2_val_2 - polyg	(1, 0.11008072440063205)	(2, 0.11196668246161771)	(3, 0.1153546310741668)	(4, 0.11660315287768026)	(5, 0.11811392699972068)	(6, 0.11944777491643907)	(7, 0.1203813429785637)	(8, 0.12146548653457942)	(9, 0.12229490654676273)	(10, 0.12357605304061925)	(12, 0.1252060327619901)	(14, 0.12629707769480913)	(16, 0.12728711156714292)	(18, 0.1281284521392593)	(20, 0.12877843635455577)	(22, 0.12944536031291495)	(24, 0.13005770065473865)	(26, 0.13069513691221085)	(28, 0.13129430189831903)	(30, 0.13191730800429335)	(32, 0.13255850864911284)	(34, 0.13319594490658504)	(36, 0.13385784968181452)	(38, 0.13451599006969675)	(40, 0.13518354142594718)	(42, 0.1358573667611097)	(44, 0.1365594250013768)	(46, 0.13731167507294095)	(48, 0.13804698540144236)	(50, 0.13877727654681404)	(52, 0.1395150964668803)	(54, 0.14026420954898838)	(56, 0.14103214456783283)	(58, 0.14177247407946392)	(60, 0.14256801460552176)	(62, 0.14337986747675113)	(64, 0.14415344907661648)	(66, 0.1449031895566158)	(68, 0.1456842999311757)	(70, 0.14654320764424603)	(72, 0.14755080865753378)	(74, 0.14893233881398432)	(76, 0.14984959453093744)	(78, 0.1507586940753048)	(80, 0.15160505383055084)	(82, 0.1524420026174287)	(84, 0.15323440615403047)	(86, 0.15403559326110922)	(88, 0.1548336433787319)	(90, 0.15569443328547583)	(92, 0.156555850590111)	(94, 0.1573539007077337)	(96, 0.15821531801236885)	(98, 0.15905916817605006)	(100, 0.15987917721986517)	(102, 0.16083721379974714)	(104, 0.1618912422569846)	(106, 0.16299671734130156)	(108, 0.16453007778742562)	(110, 0.16643862217249494)	(112, 0.1685259749565599)	(114, 0.17107885697590475)	(116, 0.17456279746580944)	(118, 0.17903614443015664)	(120, 0.18656303693103654)	(122, 0.19738125876921875)	(124, 0.20923719671946694)	(126, 0.22546860756303314)	(128, 0.24530379189372564)	(130, 0.26350962390093846)	(132, 0.28013253102862146)	(134, 0.29152795892671945)	(136, 0.29765010754917387)
mehreen_1032_MERGE_2_val_2 - polyg	(1, 0.1712932567731139)	(2, 0.17273367759920366)	(3, 0.17511093905706515)	(4, 0.17634153480218906)	(5, 0.1779724994855883)	(6, 0.17955242563577964)	(7, 0.180671870797473)	(8, 0.18189112464632848)	(9, 0.18284951488101023)	(10, 0.18432112592183814)	(12, 0.18635075825907246)	(14, 0.18755923730647295)	(16, 0.18851025530858023)	(18, 0.18927299783263168)	(20, 0.18998356763384838)	(22, 0.1906856310128638)	(24, 0.19138712729706575)	(26, 0.1920097974022022)	(28, 0.19264097392953994)	(30, 0.19330957871456347)	(32, 0.19401164209357885)	(34, 0.1946751430252816)	(36, 0.1953040511733657)	(38, 0.1960117855005153)	(40, 0.1967580822749775)	(42, 0.19750154357537264)	(44, 0.19823763264319333)	(46, 0.19901341834795344)	(48, 0.19987086570584622)	(50, 0.20067330486683715)	(52, 0.20151373938032735)	(54, 0.20228328704213983)	(56, 0.20310557452160052)	(58, 0.20388929955374857)	(60, 0.20476205847160373)	(62, 0.20556222925334094)	(64, 0.2063408504321682)	(66, 0.20720793840188917)	(68, 0.20807502637161013)	(70, 0.2090022263915537)	(72, 0.21029350128171365)	(74, 0.212344683221858)	(76, 0.21326167553516)	(78, 0.21426203078603492)	(80, 0.2151920662800456)	(82, 0.21611756501554896)	(84, 0.21698408589045648)	(86, 0.21788463245416928)	(88, 0.2187863132075089)	(90, 0.219652266987603)	(92, 0.22051141562993606)	(94, 0.22132803216126254)	(96, 0.22225126251751218)	(98, 0.22314330265902366)	(100, 0.2240183299561325)	(102, 0.22491547395096476)	(104, 0.22589030993523573)	(106, 0.2268866955224167)	(108, 0.22805434374325087)	(110, 0.22940459649400663)	(112, 0.23077129499435162)	(114, 0.2323523553341698)	(116, 0.23436213935293437)	(118, 0.23679894576620508)	(120, 0.24044763379575682)	(122, 0.2451760703500624)	(124, 0.25046593076965495)	(126, 0.25712645935328643)	(128, 0.26476692777450966)	(130, 0.2720620354543594)	(132, 0.2787872128467209)	(134, 0.28330525722524724)	(136, 0.286133926154592)
mehreen_1033_MERGE_2_val_2 - polyg	(1, 0.2030476394147386)	(2, 0.20555089037303276)	(3, 0.2090269016036318)	(4, 0.21092667082524405)	(5, 0.2129582474297778)	(6, 0.2147545315160385)	(7, 0.2160116035812567)	(8, 0.21745712752453622)	(9, 0.21857912425519024)	(10, 0.2202577620823144)	(12, 0.2224761565890881)	(14, 0.2237566489744122)	(16, 0.22480838474474857)	(18, 0.2256809278333446)	(20, 0.22635684916477256)	(22, 0.22706545001262735)	(24, 0.22766838709070214)	(26, 0.22823374272488606)	(28, 0.2287909284799633)	(30, 0.22936826660350368)	(32, 0.22997882890207805)	(34, 0.23056433690472516)	(36, 0.23116672932419283)	(38, 0.23185517780358444)	(40, 0.2324499450025525)	(42, 0.2330507034461988)	(44, 0.23364383666934552)	(46, 0.23426638145727635)	(48, 0.234964633791596)	(50, 0.23567160066362947)	(52, 0.23638401412173407)	(54, 0.2370321578641993)	(56, 0.23767431036198622)	(58, 0.2383420618143075)	(60, 0.23905338595519787)	(62, 0.23970044038044883)	(64, 0.24038562090819776)	(66, 0.24111546344172996)	(68, 0.24181861770351365)	(70, 0.2425446476267961)	(72, 0.24365411720948651)	(74, 0.245507045790887)	(76, 0.24634963265609175)	(78, 0.24716226329790525)	(80, 0.24788448061093787)	(82, 0.24861595712029147)	(84, 0.2493812024632861)	(86, 0.25011975953453214)	(88, 0.250852870019707)	(90, 0.2515936057253816)	(92, 0.2523163676970213)	(94, 0.25308978291912265)	(96, 0.2538316079420114)	(98, 0.2545865047714708)	(100, 0.25535501806610816)	(102, 0.25616002348742206)	(104, 0.25711698866012067)	(106, 0.25811970515581684)	(108, 0.2593871257345702)	(110, 0.26095955513330715)	(112, 0.2626632472563585)	(114, 0.26448458563854643)	(116, 0.2667438295408536)	(118, 0.2697808459341191)	(120, 0.2743200307658039)	(122, 0.280049294654032)	(124, 0.28640164798879797)	(126, 0.2947997390518827)	(128, 0.30466731903695987)	(130, 0.31421845237130414)	(132, 0.32286490775923266)	(134, 0.32840844306243494)	(136, 0.33171833341786433)
mehreen_1034_MERGE_2_val_2 - polyg	(1, 0.129903349077129)	(2, 0.13153126471362217)	(3, 0.13377939581368717)	(4, 0.135122996044249)	(5, 0.13646179770255878)	(6, 0.13784378651113663)	(7, 0.13875191630982883)	(8, 0.1398267964942783)	(9, 0.14060296555604032)	(10, 0.14182540183723896)	(12, 0.1434233263971571)	(14, 0.14443762460692494)	(16, 0.14520959491796648)	(18, 0.14593118022036194)	(20, 0.14654539746861878)	(22, 0.14713742132021007)	(24, 0.14772404677801787)	(26, 0.14832386830951866)	(28, 0.14891649198264145)	(30, 0.1495469044122488)	(32, 0.15017491755573015)	(34, 0.15081192802218402)	(36, 0.15144354009485433)	(38, 0.1520793509182452)	(40, 0.15274335335361658)	(42, 0.15343794668709448)	(44, 0.154165530204805)	(46, 0.15487511907657042)	(48, 0.1555871072344619)	(50, 0.1563326853981174)	(52, 0.15706926623880038)	(54, 0.1577584611784948)	(56, 0.15848784416079978)	(58, 0.1591770391004942)	(60, 0.15994720994694123)	(62, 0.1606639966770847)	(64, 0.16139337965938966)	(66, 0.1620819747775526)	(68, 0.16282275436895607)	(70, 0.1635833280708991)	(72, 0.16451785001697733)	(74, 0.16579367041447957)	(76, 0.16660762823272615)	(78, 0.16737899872223616)	(80, 0.1681539681409352)	(82, 0.16888215148017718)	(84, 0.16961873232086017)	(86, 0.1703811054873977)	(88, 0.17114587794006123)	(90, 0.17186926270705122)	(92, 0.17257285336350164)	(94, 0.17331663206256265)	(96, 0.1740424161156786)	(98, 0.1747897937439286)	(100, 0.1755281740492061)	(102, 0.17624016220709754)	(104, 0.1769575487587725)	(106, 0.17779489961674763)	(108, 0.17877440817768844)	(110, 0.17973712173574724)	(112, 0.18071663029668805)	(114, 0.18170393653753836)	(116, 0.18279021333108633)	(118, 0.18406123515633652)	(120, 0.18557458488031306)	(122, 0.18714731693590814)	(124, 0.18878243043077936)	(126, 0.19062688164014432)	(128, 0.19257450215292743)	(130, 0.19442435175607592)	(132, 0.19615363723139273)	(134, 0.19737967244178037)	(136, 0.19848214441667883)
mehreen_1035_MERGE_2_val_2 - polyg	(1, 0.17035298138803287)	(2, 0.17290171990534364)	(3, 0.17650820795199043)	(4, 0.1783310399295608)	(5, 0.18018728665261127)	(6, 0.1819156355567551)	(7, 0.18314276327869722)	(8, 0.18448280979571008)	(9, 0.18535044094559028)	(10, 0.18683163595644156)	(12, 0.18888145775675613)	(14, 0.19008669305924578)	(16, 0.19104650281734697)	(18, 0.19190779668791197)	(20, 0.1925657215040894)	(22, 0.19322595078547236)	(24, 0.19380206708685366)	(26, 0.194387401249057)	(28, 0.19499520394701425)	(30, 0.19559206043524527)	(32, 0.19621484215703844)	(34, 0.1968364716462288)	(36, 0.1974402415300764)	(38, 0.19806993664748612)	(40, 0.19869041390407377)	(42, 0.19935179541805947)	(44, 0.20002297090916868)	(46, 0.20068838523726407)	(48, 0.20137799645001744)	(50, 0.2021240670603062)	(52, 0.20283729904141623)	(54, 0.20352806248677235)	(56, 0.20415890983678486)	(58, 0.20481164960624987)	(60, 0.20553870837859303)	(62, 0.20623753745216852)	(64, 0.20694673661916888)	(66, 0.2076841654849369)	(68, 0.20842735551371877)	(70, 0.20918149175222683)	(72, 0.2102818738878651)	(74, 0.21199985269858407)	(76, 0.21288131063969742)	(78, 0.2137547029525914)	(80, 0.21450307802808571)	(82, 0.21526585601111453)	(84, 0.21602344894743092)	(86, 0.21680005372169286)	(88, 0.2175835718915714)	(90, 0.2183843735504914)	(92, 0.2191194979510539)	(94, 0.2198361866299722)	(96, 0.22067270749957782)	(98, 0.22145853013466188)	(100, 0.22225990790988326)	(102, 0.22304227384715902)	(104, 0.22394620032402623)	(106, 0.22498551413171808)	(108, 0.22638547674407458)	(110, 0.22791794610574878)	(112, 0.2295783132863296)	(114, 0.231289378701432)	(116, 0.23335360340928113)	(118, 0.23597147588275766)	(120, 0.2397496465872161)	(122, 0.24440524241867817)	(124, 0.2495649400138489)	(126, 0.2564138106046695)	(128, 0.2638992897085165)	(130, 0.27111572249961835)	(132, 0.27762353224002134)	(134, 0.2817802113544872)	(136, 0.2844983280644041)
mehreen_1036_MERGE_2_val_2 - polyg	(1, 0.1563020767489168)	(2, 0.15791106871544977)	(3, 0.1601265351858)	(4, 0.1615315704241809)	(5, 0.16290099417034476)	(6, 0.16444200056082706)	(7, 0.1656225754846279)	(8, 0.16695422946631916)	(9, 0.16796969656256833)	(10, 0.16948588282211147)	(12, 0.17137221277348613)	(14, 0.17253120497473123)	(16, 0.17338102467536481)	(18, 0.17420008899635647)	(20, 0.17487023253171324)	(22, 0.17554199477126173)	(24, 0.1761463110028234)	(26, 0.17675008766632117)	(28, 0.17736249741884128)	(30, 0.17798731723683095)	(32, 0.17859433130871208)	(34, 0.17927688490953844)	(36, 0.17991789176944495)	(38, 0.18059343098544067)	(40, 0.18124522920662506)	(42, 0.18191483317391793)	(44, 0.18263947308372808)	(46, 0.18333065977357674)	(48, 0.18407526370175092)	(50, 0.18483821294409758)	(52, 0.18558551471259124)	(54, 0.1863328164810849)	(56, 0.18706986645636464)	(58, 0.18781878692905)	(60, 0.18857903833107714)	(62, 0.18927508113350083)	(64, 0.1900261598784418)	(66, 0.19076860553436042)	(68, 0.1915245403918764)	(70, 0.19236195002704046)	(72, 0.19372220111611813)	(74, 0.19618317105554028)	(76, 0.19709450151545785)	(78, 0.1979955801821614)	(80, 0.19878496825963887)	(82, 0.19958244985807472)	(84, 0.20032651421818504)	(86, 0.20111698143179024)	(88, 0.20191392346216222)	(90, 0.20267525400031716)	(92, 0.20346733991811405)	(94, 0.20421733952692722)	(96, 0.20503694341598275)	(98, 0.205786403456732)	(100, 0.20658442462323176)	(102, 0.20738999974262604)	(104, 0.20824845253228197)	(106, 0.20915438731156055)	(108, 0.21023082559902984)	(110, 0.2115311846330152)	(112, 0.21282938539474502)	(114, 0.21419233432414217)	(116, 0.21572740546592162)	(118, 0.21767740444883582)	(120, 0.22045671954595564)	(122, 0.2238711062542791)	(124, 0.22772739920693208)	(126, 0.2325802743735979)	(128, 0.23804124274827265)	(130, 0.24329231914609253)	(132, 0.24790940306883652)	(134, 0.251063178402299)	(136, 0.25315886076246474)
mehreen_1037_MERGE_2_val_2 - polyg	(1, 0.13429427031512095)	(2, 0.1362016728729349)	(3, 0.13871986629283922)	(4, 0.14018177839461793)	(5, 0.14169527360183232)	(6, 0.14319352834607707)	(7, 0.14425098200750802)	(8, 0.14549132122457448)	(9, 0.14632485731468248)	(10, 0.14770060218351755)	(12, 0.14941222340933707)	(14, 0.1504726079290314)	(16, 0.15134248666160544)	(18, 0.15210392363843406)	(20, 0.15274167839654762)	(22, 0.15342046517034863)	(24, 0.15402304962930152)	(26, 0.15461273831189554)	(28, 0.15522763237555465)	(30, 0.15587417970845838)	(32, 0.15647207479418984)	(34, 0.15708345182793293)	(36, 0.15773879173562683)	(38, 0.158373615635477)	(40, 0.1590101980502852)	(42, 0.15969719122722376)	(44, 0.16041173447183812)	(46, 0.16106648820787933)	(48, 0.1617341377202795)	(50, 0.1624715416593483)	(52, 0.16320542856850107)	(54, 0.16389828346196636)	(56, 0.1646134128782334)	(58, 0.1653355763543326)	(60, 0.16604484405407288)	(62, 0.16676583518686672)	(64, 0.16747803374487036)	(66, 0.16820078339262223)	(68, 0.16893056710020626)	(70, 0.1696779359573706)	(72, 0.17285557248653757)	(74, 0.17970674676303705)	(76, 0.18058952127196998)	(78, 0.18146291703446005)	(80, 0.18228121266159844)	(82, 0.1830256506604994)	(84, 0.1837501588232093)	(86, 0.1844846319040147)	(88, 0.18521969115647283)	(90, 0.18596295681206843)	(92, 0.18669684372122117)	(94, 0.18746297007127122)	(96, 0.18826895609370334)	(98, 0.18905735696655512)	(100, 0.18981879394338375)	(102, 0.19058374795012842)	(104, 0.191499934243264)	(106, 0.19249408136620574)	(108, 0.19365939061172943)	(110, 0.19495717465075835)	(112, 0.19632647163141395)	(114, 0.19768638986562673)	(116, 0.19938980468830875)	(118, 0.20134058394842083)	(120, 0.2037433015527476)	(122, 0.20650417003686058)	(124, 0.20943737298686088)	(126, 0.21298957320208903)	(128, 0.21652711912600026)	(130, 0.21995387860755533)	(132, 0.2229058390504413)	(134, 0.224992023962322)	(136, 0.22653013837894886)
mehreen_1038_MERGE_2_val_2 - polyg	(1, 0.06729530593445464)	(2, 0.06864322086824624)	(3, 0.07051041450603955)	(4, 0.07151783527995384)	(5, 0.07249110619712529)	(6, 0.07347743441246311)	(7, 0.07411322439241103)	(8, 0.07472490859112868)	(9, 0.0752150594761438)	(10, 0.0759236690035581)	(12, 0.07696975946819593)	(14, 0.07764421913886738)	(16, 0.07822426449972031)	(18, 0.07874705863015141)	(20, 0.079184980322501)	(22, 0.07963746592434387)	(24, 0.08006735235628337)	(26, 0.08052536219965817)	(28, 0.08094420014853379)	(30, 0.08137709980312707)	(32, 0.08182305675588675)	(34, 0.08225394759537752)	(36, 0.08270040675191281)	(38, 0.08315690998396072)	(40, 0.08362295508774559)	(42, 0.08412465665960023)	(44, 0.08466553012595401)	(46, 0.08516371627137923)	(48, 0.08568399938293218)	(50, 0.0862469698154137)	(52, 0.086776292594928)	(54, 0.08730862859709607)	(56, 0.08785653291630868)	(58, 0.08838033145429103)	(60, 0.08892120492064483)	(62, 0.08941788445474315)	(64, 0.089930132305886)	(66, 0.09049360494214316)	(68, 0.09103799383492636)	(70, 0.0916376251430289)	(72, 0.09261441148662974)	(74, 0.09436760486735497)	(76, 0.09504809098333397)	(78, 0.09572054183890288)	(80, 0.09629456075444828)	(82, 0.09690423613806341)	(84, 0.09749030794422392)	(86, 0.09808039738058948)	(88, 0.09868454852267268)	(90, 0.09924701675137856)	(92, 0.09980094751589874)	(94, 0.10033278131429119)	(96, 0.10091433328647102)	(98, 0.10149739186997775)	(100, 0.10202571024194079)	(102, 0.10257964100646097)	(104, 0.1031395982162887)	(106, 0.10390596117790048)	(108, 0.10469843873584503)	(110, 0.10558231738095428)	(112, 0.10650787893944083)	(114, 0.10739527301097951)	(116, 0.10838411224519548)	(118, 0.10953867872536946)	(120, 0.1111376955469762)	(122, 0.11301443105650646)	(124, 0.11495293763043928)	(126, 0.11712496896004014)	(128, 0.1194431415883494)	(130, 0.12163275005009734)	(132, 0.12369479875283518)	(134, 0.1252139651741167)	(136, 0.1264770076698268)
mehreen_1039_MERGE_1_val_1 - polyg	(1, 0.010157952733762497)	(2, 0.015160273571173784)	(3, 0.016995625962483177)	(4, 0.018143268746547765)	(5, 0.02027940283444406)	(6, 0.022208201966440647)	(7, 0.023863961402991844)	(8, 0.025694933478331527)	(9, 0.027928894622884726)	(10, 0.030159935556791452)	(12, 0.03262386328975454)	(14, 0.03480307048468634)	(16, 0.03684283762124897)	(18, 0.03849640689981531)	(20, 0.04008354138617435)	(22, 0.04173930082272555)	(24, 0.043175314408129516)	(26, 0.0445806657817455)	(28, 0.045966305733497775)	(30, 0.04723951757536078)	(32, 0.04852222010182483)	(34, 0.0497435982047129)	(36, 0.05100877946729809)	(38, 0.05219876530573656)	(40, 0.05331428577268993)	(42, 0.054448787608845375)	(44, 0.055961456723719306)	(46, 0.057084277717288856)	(48, 0.058196147920934124)	(50, 0.059333569967736054)	(52, 0.06039725669571448)	(54, 0.06145437294973836)	(56, 0.06257354367999982)	(58, 0.06368176362033699)	(60, 0.06476954208614884)	(62, 0.06595222739797113)	(64, 0.0675641836748252)	(66, 0.06897610552239575)	(68, 0.07171453305612747)	(70, 0.07575683464351017)	(72, 0.07736368055173291)	(74, 0.07855731665347948)	(76, 0.07975095275522605)	(78, 0.08094969922560394)	(80, 0.08204842848134007)	(82, 0.08311430536730335)	(84, 0.08414221951486248)	(86, 0.0852365684546289)	(88, 0.08624112091701622)	(90, 0.08727706564385315)	(92, 0.08831082021270523)	(94, 0.08935990588745128)	(96, 0.09044768435326314)	(98, 0.09158218618941859)	(100, 0.09281159487158447)	(102, 0.09408407666078586)	(104, 0.09537553981918932)	(106, 0.09660348839603196)	(108, 0.09796284645196596)	(110, 0.09943901293375897)	(112, 0.10109696252829502)	(114, 0.10306591455668063)	(116, 0.1055210816577043)	(118, 0.10864132673346259)	(120, 0.11194481502728718)	(122, 0.11565056233766366)	(124, 0.1197060048729555)	(126, 0.12352637045120612)	(128, 0.12685760074617222)	(130, 0.12950623180252485)	(132, 0.13156059999231984)	(134, 0.1331951879016841)	(136, 0.13462025069716377)
mehreen_1039_MERGE_2_val_2 - polya	(1, 0.0038721993172255486)	(2, 0.004472302605076114)	(3, 0.0051249696845632265)	(4, 0.005596583703968902)	(5, 0.005942628665576163)	(6, 0.006347077840112919)	(7, 0.0073676914610558515)	(8, 0.00859856024854497)	(9, 0.009711160504851856)	(10, 0.010506187853354613)	(12, 0.011878686857197757)	(14, 0.013257026282333849)	(16, 0.014639746023439655)	(18, 0.016131243611126646)	(20, 0.017666544358510755)	(22, 0.01916315231482908)	(24, 0.02072473495803146)	(26, 0.022287777706557085)	(28, 0.02373182187123886)	(30, 0.02515688466671855)	(32, 0.026628670832541834)	(34, 0.028087316050455984)	(36, 0.02956786284821869)	(38, 0.031052059909289498)	(40, 0.03256545907682505)	(42, 0.03412777177268905)	(44, 0.03576747005068463)	(46, 0.037401327907387275)	(48, 0.03900014323633221)	(50, 0.04053617403637794)	(52, 0.04200138972824666)	(54, 0.043545451107570195)	(56, 0.04503621864259556)	(58, 0.046671536604621436)	(60, 0.04830101414535436)	(62, 0.04990639994825387)	(64, 0.05147017274944111)	(66, 0.05304562639321425)	(68, 0.054610129247063106)	(70, 0.056216975155285856)	(72, 0.057855213327958205)	(74, 0.05949345150063055)	(76, 0.06104627351189351)	(78, 0.0626239173136515)	(80, 0.0642059414313792)	(82, 0.06587484181583955)	(84, 0.0674824177767239)	(86, 0.06908415331631532)	(88, 0.07068223859259865)	(90, 0.07233215760785688)	(92, 0.07394557399003421)	(94, 0.07547868457943345)	(96, 0.07698113295704473)	(98, 0.0784405082276205)	(100, 0.0799714286590349)	(102, 0.08145051535147435)	(104, 0.08291719114866632)	(106, 0.0845014054243789)	(108, 0.08586952411225231)	(110, 0.08726538480126725)	(112, 0.08864007396309526)	(114, 0.09001841338823134)	(116, 0.09142084455120086)	(118, 0.09277655234382677)	(120, 0.09411546892523545)	(122, 0.09532881644884572)	(124, 0.0966210096599108)	(126, 0.09792196350291532)	(128, 0.09912947060523264)	(130, 0.10028149370526693)	(132, 0.10147220959636702)	(134, 0.10259576064259819)	(136, 0.10374559358464763)
mehreen_1039_MERGE_2_val_2 - polyg	(1, 0.20313277277943168)	(2, 0.20663118513390846)	(3, 0.21211534072798807)	(4, 0.2145887591455522)	(5, 0.21679351818364065)	(6, 0.21897491553655732)	(7, 0.22048466444078477)	(8, 0.22200317397695166)	(9, 0.22318293907812747)	(10, 0.2253716369576603)	(12, 0.22820643144272568)	(14, 0.22990234377566593)	(16, 0.23122446914585737)	(18, 0.23242832598486657)	(20, 0.23333359128527376)	(22, 0.23421403479518593)	(24, 0.23505505546137065)	(26, 0.23598003218364155)	(28, 0.236865586062185)	(30, 0.23774091920346582)	(32, 0.23869144776889337)	(34, 0.23961934470181073)	(36, 0.24061367642693537)	(38, 0.24150653083209506)	(40, 0.2424154463958103)	(42, 0.24339152680439452)	(44, 0.24438439842419593)	(46, 0.24540209183449238)	(48, 0.2464409567719758)	(50, 0.2475345756590806)	(52, 0.24862235412489245)	(54, 0.24971597301199724)	(56, 0.2507665187920666)	(58, 0.25180903399285803)	(60, 0.25293039488110436)	(62, 0.2540371547161183)	(64, 0.2551920980267991)	(66, 0.25633317033690906)	(68, 0.25748519343694337)	(70, 0.25863429632633117)	(72, 0.26125226517089584)	(74, 0.26716569173000726)	(76, 0.26850971868004725)	(78, 0.2698172429970063)	(80, 0.27101452936206105)	(82, 0.27224977846551984)	(84, 0.27347699698970085)	(86, 0.27473414767300824)	(88, 0.2759650164604973)	(90, 0.2771915049320168)	(92, 0.2784187234561978)	(94, 0.2796094393472979)	(96, 0.28092718440151965)	(98, 0.2822113470333069)	(100, 0.28352909208752863)	(102, 0.28489940093338695)	(104, 0.28638067778381127)	(106, 0.2881948586479337)	(108, 0.29045145142499706)	(110, 0.29301612642526353)	(112, 0.2957202414838992)	(114, 0.2987098071332277)	(116, 0.30255937481794315)	(118, 0.30778071145384)	(120, 0.31541779234703315)	(122, 0.32609846278651466)	(124, 0.3383516666591228)	(126, 0.35484355628508907)	(128, 0.37426441718946957)	(130, 0.3925967695753766)	(132, 0.4091295421503935)	(134, 0.4200737616007193)	(136, 0.42635075438531683)
mehreen_1040_MERGE_2_val_2 - polyg	(1, 0.09977722245142051)	(2, 0.10096522054520182)	(3, 0.10260502999455992)	(4, 0.10370133696029772)	(5, 0.10486674448630019)	(6, 0.10601221915838016)	(7, 0.10689989558639573)	(8, 0.10786863228702948)	(9, 0.10862076530837202)	(10, 0.10993168266800878)	(12, 0.11159806925593022)	(14, 0.11278208077892704)	(16, 0.11376477047730654)	(18, 0.11467902404388544)	(20, 0.11548630462774692)	(22, 0.11632680663481254)	(24, 0.11719455020890561)	(26, 0.11805764278375008)	(28, 0.11893070178555581)	(30, 0.11978316350497495)	(32, 0.12064359836596311)	(34, 0.12154987879097301)	(36, 0.12247343435604909)	(38, 0.12344947976978776)	(40, 0.12445675332133836)	(42, 0.1254135303096186)	(44, 0.12635436101476086)	(46, 0.12735100371088612)	(48, 0.12844332410583942)	(50, 0.129522355931511)	(52, 0.13061002532721575)	(54, 0.13167311086974937)	(56, 0.13272157898607312)	(58, 0.13372287268144697)	(60, 0.13480655550636716)	(62, 0.13590684904288947)	(64, 0.13699916943784274)	(66, 0.1380649126942327)	(68, 0.13912600495137406)	(70, 0.14024955348413928)	(72, 0.14181096037473553)	(74, 0.14436967438992113)	(76, 0.1456593300387072)	(78, 0.1468280597070301)	(80, 0.14794961495440306)	(82, 0.14903861320703593)	(84, 0.15011100074806671)	(86, 0.15119667685837918)	(88, 0.15231025896418315)	(90, 0.15340922364377726)	(92, 0.15456400031435438)	(94, 0.15566230056548444)	(96, 0.15674930553272504)	(98, 0.15778847165055165)	(100, 0.15881966462680924)	(102, 0.1598701260285253)	(104, 0.16100496984517992)	(106, 0.16223349807527032)	(108, 0.16341352302748263)	(110, 0.164689225678523)	(112, 0.16599216989659074)	(114, 0.1672233558405375)	(116, 0.1685169980601081)	(118, 0.16996545211181013)	(120, 0.171738811682449)	(122, 0.173552701389397)	(124, 0.17540313466186958)	(126, 0.17741701733650667)	(128, 0.17960763798259)	(130, 0.18186536590354577)	(132, 0.18405199997884458)	(134, 0.18577552741467723)	(136, 0.1873183303082791)
