Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
mehreen_1023_MERGE_1_val_1	(1.0, 8.205384677180463)	(2.0, 2.3800924080398054)	(3.0, 0.8509406203283696)	(4.0, 0.45176687747405875)	(5.0, 0.29301829532129814)	(6.0, 0.21845283999593468)	(7.0, 0.1785092607401672)	(8.0, 0.15382342259755907)	(9.0, 0.13368899932760916)	('>10', 1.8890736046854997)	('>50', 0.8668124464125969)	('>100', 2.3690220994106537)	('>500', 1.2411771411320156)	('>1k', 4.292219466614991)	('>5k', 3.181445408206068)	('>10k+', 73.29457243253292)
mehreen_1023_MERGE_2_val_2	(1.0, 9.470260762511677)	(2.0, 2.3480873068089396)	(3.0, 0.7774427620993207)	(4.0, 0.38702834625926663)	(5.0, 0.2646913910713024)	(6.0, 0.19722190982046053)	(7.0, 0.1672250788632181)	(8.0, 0.14539718678364433)	(9.0, 0.12378024274272344)	('>10', 1.8245075202175043)	('>50', 0.7569265531138571)	('>100', 1.8347817611847692)	('>500', 0.9915648574769453)	('>1k', 4.554969312854906)	('>5k', 4.126090918374347)	('>10k+', 72.03002408981709)
mehreen_1024_MERGE_1_val_1	(1.0, 8.305364657363908)	(2.0, 2.2034082537884454)	(3.0, 0.8232487134768596)	(4.0, 0.4380405871566826)	(5.0, 0.3082586641080708)	(6.0, 0.23923118273640748)	(7.0, 0.1984942023566323)	(8.0, 0.16766446745632965)	(9.0, 0.1405988595900403)	('>10', 2.3554535025504686)	('>50', 1.1448336656181266)	('>100', 3.1360552577993848)	('>500', 1.7335992093705426)	('>1k', 5.614934537161653)	('>5k', 3.969359597002569)	('>10k+', 69.22145464246393)
mehreen_1024_MERGE_2_val_2	(1.0, 9.335131762409848)	(2.0, 2.170390327742854)	(3.0, 0.7481314728340737)	(4.0, 0.4027029551445753)	(5.0, 0.28274822334353455)	(6.0, 0.22547146610203583)	(7.0, 0.19426525928132843)	(8.0, 0.15932235627711527)	(9.0, 0.15036658355974677)	('>10', 2.302309170555712)	('>50', 1.0712429687871627)	('>100', 2.7615170602195547)	('>500', 1.5279112990496662)	('>1k', 6.604458531328817)	('>5k', 5.620415422017755)	('>10k+', 66.44361514134623)
mehreen_1025_MERGE_1_val_1	(1.0, 17.031179917467)	(2.0, 5.055172459727259)	(3.0, 1.9859201672205589)	(4.0, 1.0168051202865787)	(5.0, 0.6585858418373016)	(6.0, 0.5071903794399109)	(7.0, 0.40830347762449687)	(8.0, 0.310932492613839)	(9.0, 0.2776028617318764)	('>10', 3.756285403212117)	('>50', 1.579407363644396)	('>100', 4.0342414809354255)	('>500', 1.8385766302930868)	('>1k', 5.196330920616857)	('>5k', 2.9977944706582864)	('>10k+', 53.34567101269094)
mehreen_1025_MERGE_2_val_2	(1.0, 19.46462002531894)	(2.0, 4.975582924386882)	(3.0, 1.6556563649799516)	(4.0, 0.8461956566897528)	(5.0, 0.5145228602102675)	(6.0, 0.3930439464211802)	(7.0, 0.32109605691083)	(8.0, 0.29969342154538997)	(9.0, 0.248162574411741)	('>10', 3.600546282142387)	('>50', 1.5603490973597738)	('>100', 3.782183703084533)	('>500', 1.5629856146334422)	('>1k', 5.2403119988723885)	('>5k', 4.474990768757591)	('>10k+', 51.06005870427494)
mehreen_1027_MERGE_1_val_1	(1.0, 6.101319149713471)	(2.0, 1.8986657001699232)	(3.0, 0.7408040475723604)	(4.0, 0.4154313435079268)	(5.0, 0.26347409734951893)	(6.0, 0.1996301241633305)	(7.0, 0.17603754186973675)	(8.0, 0.14120818127543341)	(9.0, 0.12345654684856319)	('>10', 1.7760458872039808)	('>50', 0.8309922500632245)	('>100', 2.2236141733115455)	('>500', 1.1072758225816455)	('>1k', 3.5265232825140833)	('>5k', 2.6192336669366383)	('>10k+', 77.85628818491864)
mehreen_1027_MERGE_2_val_2	(1.0, 7.008074327306733)	(2.0, 1.9088651717461917)	(3.0, 0.7136921495828089)	(4.0, 0.3547477431389697)	(5.0, 0.23890316537702522)	(6.0, 0.1831022755739717)	(7.0, 0.15666073510479722)	(8.0, 0.13432252785456886)	(9.0, 0.12281850357645663)	('>10', 1.877289603731586)	('>50', 0.780464468422845)	('>100', 1.6714805384392857)	('>500', 0.8308889399016589)	('>1k', 3.31356070338502)	('>5k', 2.7392449143897)	('>10k+', 77.96588423246837)
mehreen_1028_MERGE_1_val_1	(1.0, 14.359507547794454)	(2.0, 3.856357802967373)	(3.0, 1.4659319321320772)	(4.0, 0.8164937961022587)	(5.0, 0.5571421830419134)	(6.0, 0.4162522601288021)	(7.0, 0.3177581403693856)	(8.0, 0.28633462213613814)	(9.0, 0.2278690677201042)	('>10', 3.334160734109379)	('>50', 1.408439220623865)	('>100', 3.340016361025129)	('>500', 1.4702189015439415)	('>1k', 4.15986493127398)	('>5k', 2.9003874836271195)	('>10k+', 61.08326501540412)
mehreen_1028_MERGE_2_val_2	(1.0, 15.976463244403835)	(2.0, 3.756541200436167)	(3.0, 1.3399972785771619)	(4.0, 0.7333804940285901)	(5.0, 0.48872513919717514)	(6.0, 0.3721321285665216)	(7.0, 0.3041805550884189)	(8.0, 0.23565514943691465)	(9.0, 0.2177049175055822)	('>10', 3.2416051743031233)	('>50', 1.294748271126982)	('>100', 2.680430993098311)	('>500', 1.050704519108983)	('>1k', 4.1729810237013885)	('>5k', 4.037278321262225)	('>10k+', 60.097471590158676)
