Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
mehreen_1031_MERGE_1_val_1	mehreen_1031_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79694243.0	10.3 Gbp	0.0	20-148	54.0	18.88849652562537	130.07704334427268	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1031_MERGE_2_val_2	mehreen_1031_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79694243.0	10.3 Gbp	0.0	20-148	55.0	20.819194919378788	130.0802267611727	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1032_MERGE_1_val_1	mehreen_1032_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88168678.0	11.4 Gbp	0.0	20-148	55.0	20.650053859568583	129.32597896046485	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1032_MERGE_2_val_2	mehreen_1032_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88168678.0	11.4 Gbp	0.0	20-148	55.0	22.53006575991678	129.2694297968265	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1033_MERGE_1_val_1	mehreen_1033_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91800624.0	12.2 Gbp	0.0	20-148	55.0	19.29310670442015	132.5755268068766	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1033_MERGE_2_val_2	mehreen_1033_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91800624.0	12.1 Gbp	0.0	20-148	56.0	21.126952340767087	132.5400677341801	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1034_MERGE_1_val_1	mehreen_1034_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83358128.0	11.1 Gbp	0.0	20-148	56.0	15.899470521946288	132.9657584920813	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1034_MERGE_2_val_2	mehreen_1034_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83358128.0	11.1 Gbp	0.0	20-148	56.0	17.16466778192387	132.87337320003155	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1035_MERGE_1_val_1	mehreen_1035_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86788032.0	11.4 Gbp	0.0	20-148	56.0	17.16196164197246	131.72963945074824	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1035_MERGE_2_val_2	mehreen_1035_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86788032.0	11.4 Gbp	0.0	20-148	56.0	18.814015991882382	131.68988062778058	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1036_MERGE_1_val_1	mehreen_1036_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92666715.0	12.1 Gbp	0.0	20-148	56.0	17.064509996148004	131.2967093416444	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1036_MERGE_2_val_2	mehreen_1036_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92666715.0	12.1 Gbp	0.0	20-148	56.0	18.73192687565448	131.22012483122987	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1037_MERGE_1_val_1	mehreen_1037_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85299246.0	11.3 Gbp	0.0	20-148	55.0	17.49414569429225	132.24193572590315	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1037_MERGE_2_val_2	mehreen_1037_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85299246.0	11.3 Gbp	0.0	20-148	55.0	19.13488825126406	132.18997805678143	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1038_MERGE_1_val_1	mehreen_1038_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99561179.0	12.6 Gbp	0.0	20-148	53.0	13.108489679713706	127.27776554353579	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1038_MERGE_2_val_2	mehreen_1038_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99561179.0	12.6 Gbp	0.0	20-148	53.0	14.369743740754243	127.20062754580276	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
mehreen_1039_MERGE_1_val_1	mehreen_1039_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68488210.0	9.1 Gbp	0.0	20-148	50.0	28.429875775446046	132.88229054314604	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1039_MERGE_2_val_2	mehreen_1039_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68488210.0	9.1 Gbp	0.0	20-148	51.0	31.668556444173174	132.86714268047012	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1040_MERGE_1_val_1	mehreen_1040_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75252646.0	9.9 Gbp	0.0	20-148	53.0	26.053493072393252	131.9603563441477	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1040_MERGE_2_val_2	mehreen_1040_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75252646.0	9.9 Gbp	0.0	20-148	54.0	27.895972765840003	131.83336453046448	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1041_MERGE_1_val_1	mehreen_1041_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63422540.0	8.1 Gbp	0.0	20-148	53.0	18.671292618887573	128.27630870665223	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1041_MERGE_2_val_2	mehreen_1041_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63422540.0	8.1 Gbp	0.0	20-148	54.0	20.45756687455141	128.19117619697982	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
