"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","family","comparison","direction","plot_label","n_genes","source_file","pathway_theme","pathway_scope"
"GO:1904950","negative regulation of establishment of protein localization","8/154","38/5278",0.210526315789474,7.21531100478469,6.66558647036721,1.01784107455397e-05,0.00109926836051829,0.00109926836051829,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0080134","regulation of response to stress","18/154","194/5278",0.0927835051546392,3.17994376757263,5.36281396909281,1.10498745657016e-05,0.00115360690465925,0.00115360690465925,"LOC126267343/LOC126278232/LOC126294945/LOC126295191/LOC126295040/LOC126267038/LOC126285462/LOC126267226/LOC126294949/LOC126335547/LOC126295425/LOC126267163/LOC126282030/LOC126294955/LOC126298648/LOC126292145/LOC126278128/LOC126335545",18,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0032387","negative regulation of intracellular transport","8/154","40/5278",0.2,6.85454545454545,6.44302442597415,1.52316958913653e-05,0.00140310798622812,0.00140310798622812,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0042306","regulation of protein import into nucleus","8/154","40/5278",0.2,6.85454545454545,6.44302442597415,1.52316958913653e-05,0.00140310798622812,0.00140310798622812,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:1903828","negative regulation of protein localization","8/154","40/5278",0.2,6.85454545454545,6.44302442597415,1.52316958913653e-05,0.00140310798622812,0.00140310798622812,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:1904589","regulation of protein import","8/154","40/5278",0.2,6.85454545454545,6.44302442597415,1.52316958913653e-05,0.00140310798622812,0.00140310798622812,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0005887","GO:0005887","19/154","221/5278",0.085972850678733,2.94652406417112,5.12458598016082,1.86390884038953e-05,0.00166793213945714,0.00166793213945714,"LOC126279309/LOC126267343/LOC126336688/LOC126299506/LOC126353931/LOC126356271/LOC126299447/LOC126357744/LOC126268068/LOC126355933/LOC126297555/LOC126267215/LOC126285413/LOC126355684/LOC126267163/LOC126281483/LOC126271496/LOC126356154/LOC126267216",19,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0044421","GO:0044421","17/154","183/5278",0.092896174863388,3.18380526577248,5.21214760913429,1.94224657434545e-05,0.00168975451968054,0.00168975451968054,"LOC126267478/LOC126271975/LOC126330284/LOC126281165/LOC126272090/LOC126299206/LOC126293557/LOC126282193/LOC126335547/LOC126275497/LOC126346021/LOC126267391/LOC126355485/LOC126334947/LOC126335382/LOC126299332/LOC126335545",17,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0044459","GO:0044459","27/154","394/5278",0.0685279187817259,2.3486386709737,4.8239771141299,2.05998507783972e-05,0.00174374953075513,0.00174374953075513,"LOC126279309/LOC126267343/LOC126354018/LOC126336688/LOC126299506/LOC126267038/LOC126353931/LOC126356271/LOC126299447/LOC126357744/LOC126268068/LOC126355933/LOC126297555/LOC126267215/LOC126285413/LOC126282259/LOC126266672/LOC126355684/LOC126335605/LOC126354146/LOC126267163/LOC126281483/LOC126271496/LOC126278382/LOC126356154/LOC126354017/LOC126267216",27,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:1900180","regulation of protein localization to nucleus","8/154","42/5278",0.19047619047619,6.52813852813853,6.23523879513955,2.22460290130017e-05,0.00183354112812425,0.00183354112812425,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0007367","segment polarity determination","9/154","55/5278",0.163636363636364,5.60826446280992,5.95536074006347,2.44609208687091e-05,0.00195632218741276,0.00195632218741276,"LOC126294945/LOC126295191/LOC126295040/LOC126284041/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",9,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0005615","extracellular space","13/154","115/5278",0.11304347826087,3.87430830039526,5.40232308658082,2.49849576936496e-05,0.00195632218741276,0.00195632218741276,"LOC126267478/LOC126271975/LOC126330284/LOC126281165/LOC126293557/LOC126282193/LOC126335547/LOC126275497/LOC126346021/LOC126334947/LOC126335382/LOC126299332/LOC126335545",13,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0006026","aminoglycan catabolic process","6/154","22/5278",0.272727272727273,9.34710743801653,6.8009410834869,2.83635078704919e-05,0.00216091993469947,0.00216091993469947,"LOC126267343/LOC126285462/LOC126268068/LOC126346580/LOC126267215/LOC126267216",6,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0031226","GO:0031226","19/154","228/5278",0.0833333333333333,2.85606060606061,4.96664632035558,2.89778535304527e-05,0.00216091993469947,0.00216091993469947,"LOC126279309/LOC126267343/LOC126336688/LOC126299506/LOC126353931/LOC126356271/LOC126299447/LOC126357744/LOC126268068/LOC126355933/LOC126297555/LOC126267215/LOC126285413/LOC126355684/LOC126267163/LOC126281483/LOC126271496/LOC126356154/LOC126267216",19,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0022857","transmembrane transporter activity","23/154","313/5278",0.073482428115016,2.51844321812373,4.80131771807281,3.07155870122331e-05,0.00223485055202083,0.00223485055202083,"LOC126279309/LOC126354018/LOC126278232/LOC126336688/LOC126267409/LOC126353931/LOC126278946/LOC126272767/LOC126334835/LOC126299447/LOC126357744/LOC126355940/LOC126297555/LOC126285413/LOC126282259/LOC126336375/LOC126355684/LOC126355303/LOC126278191/LOC126358740/LOC126268194/LOC126354017/LOC126355939",23,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0098542","defense response to other organism","12/154","101/5278",0.118811881188119,4.07200720072007,5.40372427085344,3.13963679083386e-05,0.00223485055202083,0.00223485055202083,"LOC126267343/LOC126271975/LOC126285462/LOC126269416/LOC126278673/LOC126293181/LOC126267163/LOC126282030/LOC126293178/LOC126298648/LOC126297857/LOC126335036",12,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0006955","immune response","13/154","119/5278",0.109243697478992,3.7440794499618,5.24851865505619,3.61039884841445e-05,0.00251283759849645,0.00251283759849645,"LOC126267343/LOC126299506/LOC126267038/LOC126293269/LOC126285462/LOC126282035/LOC126268068/LOC126267215/LOC126266672/LOC126267163/LOC126282030/LOC126298648/LOC126267216",13,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0007365","periodic partitioning","9/154","59/5278",0.152542372881356,5.22804314329738,5.66136446475878,4.37502886697485e-05,0.0029788240024707,0.0029788240024707,"LOC126294945/LOC126295191/LOC126295040/LOC126284041/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",9,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0043410","positive regulation of MAPK cascade","10/154","74/5278",0.135135135135135,4.63144963144963,5.45351595078068,4.81813479393904e-05,0.00321072301587597,0.00321072301587597,"LOC126272858/LOC126294945/LOC126295191/LOC126295040/LOC126282035/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",10,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0030162","regulation of proteolysis","13/154","123/5278",0.105691056910569,3.62232076866223,5.10121211510978,5.13254025727515e-05,0.00334898251787204,0.00334898251787204,"LOC126294945/LOC126295191/LOC126295040/LOC126267226/LOC126294949/LOC126282193/LOC126354914/LOC126335547/LOC126295425/LOC126294955/LOC126292145/LOC126278128/LOC126335545",13,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0019005","SCF ubiquitin ligase complex","10/154","77/5278",0.12987012987013,4.45100354191263,5.28806381782755,6.82463820377544e-05,0.00436219731718871,0.00436219731718871,"LOC126294945/LOC126295191/LOC126295040/LOC126293188/LOC126294949/LOC126295425/LOC126294955/LOC126354672/LOC126292145/LOC126278128",10,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0035966","response to topologically incorrect protein","8/154","50/5278",0.16,5.48363636363636,5.5220068678988,8.3000431575858e-05,0.00499917984029976,0.00499917984029976,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0035967","cellular response to topologically incorrect protein","8/154","50/5278",0.16,5.48363636363636,5.5220068678988,8.3000431575858e-05,0.00499917984029976,0.00499917984029976,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0045879","negative regulation of smoothened signaling pathway","8/154","50/5278",0.16,5.48363636363636,5.5220068678988,8.3000431575858e-05,0.00499917984029976,0.00499917984029976,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0046330","positive regulation of JNK cascade","8/154","51/5278",0.156862745098039,5.37611408199644,5.44373305087966,9.60363208903069e-05,0.00567520296280078,0.00567520296280078,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0046822","regulation of nucleocytoplasmic transport","8/154","52/5278",0.153846153846154,5.27272727272727,5.36749302650913,0.000110724056919763,0.00642199530134625,0.00642199530134625,"LOC126294945/LOC126295191/LOC126295040/LOC126294949/LOC126295425/LOC126294955/LOC126292145/LOC126278128",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
