gene_id,Description,gene_biotype,meeting_theme,called_in_diets,n_called_diets,max_abs_log2FC,min_padj,response_directions
LOC126335352,2-hydroxyacyl-CoA lyase 1,protein_coding,Lipid metabolism,33,1,1.34030885517221,9.35567688818019e-7,Higher in control
LOC126278149,phospholipase A1-like,protein_coding,Lipid metabolism,33;50,2,1.70800729740464,1.0436468595183e-6,Higher in control
LOC126284908,phospholipase A2 inhibitor-like,protein_coding,Lipid metabolism,33;50,2,2.99197010408661,9.59836001670695e-6,Higher in control
LOC126273423,lipid storage droplets surface-binding protein 1,protein_coding,Lipid metabolism,50,1,1.482032737772,3.78196277713817e-5,Higher in control
LOC126278068,lipase 3-like,protein_coding,Lipid metabolism,50,1,3.89143112324048,8.49292606397043e-5,Higher in control
LOC126284002,elongation of very long chain fatty acids protein 6,protein_coding,Lipid metabolism,33;50;83,3,2.40556954694752,1.06266893483609e-4,Higher in control
LOC126335309,acyl-CoA Delta-9 desaturase-like,protein_coding,Lipid metabolism,33;50;83,3,2.99567310045619,1.12674445850536e-4,Higher in control
LOC126298530,elongation of very long chain fatty acids protein AAEL008004-like,protein_coding,Lipid metabolism,50,1,2.38127447732354,4.65626214904611e-4,Higher in infected
LOC126329703,phospholipid-transporting ATPase IF-like,protein_coding,Lipid metabolism,33;50,2,2.1561519410512,5.77587467977631e-4,Higher in infected
LOC126272399,oxysterol-binding protein-related protein 9,protein_coding,Lipid metabolism,50;83,2,1.29425248174723,0.00113429199220289,Higher in infected
LOC126272096,fatty acid synthase-like,protein_coding,Lipid metabolism,50,1,3.40606823744455,0.00132083485369344,Higher in infected
LOC126291749,MD-2-related lipid-recognition protein-like,protein_coding,Lipid metabolism,50,1,1.24813981962438,0.00180699736924655,Higher in infected
LOC126298220,acyl-CoA synthetase short-chain family member 3%2C mitochondrial,protein_coding,Lipid metabolism,50,1,4.27973315179297,0.00204507095793615,Higher in infected
LOC126284872,fatty acid synthase-like,protein_coding,Lipid metabolism,50,1,3.5906434351191,0.00227726028997345,Higher in infected
LOC126365914,phospholipase DDHD2,protein_coding,Lipid metabolism,50,1,1.24657604174054,0.00240981203952358,Higher in infected
LOC126267980,acyl-CoA Delta-9 desaturase-like,protein_coding,Lipid metabolism,33;50,2,5.37642972566829,0.00288824010986315,Higher in infected
LOC126285378,acetyl-CoA carboxylase,protein_coding,Lipid metabolism,83,1,1.85221196001223,0.00322756082727048,Higher in control
LOC126298594,phospholipase A2 inhibitor beta,protein_coding,Lipid metabolism,50,1,1.37011504500379,0.00323764318361233,Higher in control
LOC126285464,putative fatty acyl-CoA reductase CG5065,protein_coding,Lipid metabolism,50,1,1.57486795062222,0.00392753231277322,Higher in infected
LOC126297976,delta(24)-sterol reductase-like,protein_coding,Lipid metabolism,33;50;83,3,2.66146325285186,0.00458314945488074,Higher in control
LOC126353877,phospholipid phosphatase 1-like,protein_coding,Lipid metabolism,50,1,1.07048556603852,0.00463432895132849,Higher in control
LOC126282167,patatin-like phospholipase domain-containing protein 2,protein_coding,Lipid metabolism,33;50,2,1.61142293603213,0.00602530879768556,Higher in infected
LOC126284662,putative fatty acyl-CoA reductase CG5065,protein_coding,Lipid metabolism,50,1,4.39628182572025,0.00965945618169174,Higher in infected
LOC126278002,medium-chain acyl-CoA ligase ACSF2%2C mitochondrial-like,protein_coding,Lipid metabolism,33,1,1.86378629158002,0.010719261035003,Higher in control
LOC126267588,lipase 3-like,protein_coding,Lipid metabolism,50,1,1.77306448867797,0.0135647721826375,Higher in infected
LOC126334938,acyl-CoA Delta-9 desaturase,protein_coding,Lipid metabolism,50,1,2.69850622817811,0.0155383298606007,Higher in infected
LOC126278066,lipase member M-like,protein_coding,Lipid metabolism,50,1,3.88010943194065,0.0173894752552757,Higher in control
LOC126339036,3-hydroxyacyl-CoA dehydrogenase type-2-like,protein_coding,Lipid metabolism,50,1,1.20820104506342,0.0192982767142075,Higher in infected
LOC126335154,sterol O-acyltransferase 2,protein_coding,Lipid metabolism,50,1,1.14531883722649,0.0208626722686927,Higher in infected
LOC126297752,pancreatic triacylglycerol lipase-like,protein_coding,Lipid metabolism,50,1,1.58394638258158,0.0219602881068198,Higher in infected
LOC126319912,phospholipid-transporting ATPase ABCA3-like,protein_coding,Lipid metabolism,33,1,5.95478528031469,0.0221384400782417,Higher in control
LOC126339830,fatty-acid amide hydrolase 2-A-like,protein_coding,Lipid metabolism,33,1,2.51746159219043,0.0261009628649576,Higher in control
LOC126356371,fatty acid synthase,protein_coding,Lipid metabolism,83,1,1.22256125029033,0.0366373494813199,Higher in control
LOC126361652,NPC intracellular cholesterol transporter 2-like,protein_coding,Lipid metabolism,50,1,1.49541784611288,0.0389933753812678,Higher in control
LOC126323656,pancreatic triacylglycerol lipase-like,protein_coding,Lipid metabolism,83,1,2.8653969017699,0.0394103289416225,Higher in control
LOC126299118,elongation of very long chain fatty acids protein AAEL008004-like,protein_coding,Lipid metabolism,50,1,2.75230560898274,0.0404709922672232,Higher in infected
LOC126353919,pancreatic triacylglycerol lipase-like,protein_coding,Lipid metabolism,33,1,1.67413601536305,0.0498038336653779,Higher in control
LOC126335565,cytochrome P450 9e2-like,protein_coding,Detoxification,33;50;83,3,4.73180277551896,1.0058434763413e-13,Higher in infected
LOC126281410,glutathione S-transferase D7-like,protein_coding,Detoxification,50;83,2,4.67392880251151,2.62377611063022e-13,Higher in infected
LOC126335114,esterase E4-like,protein_coding,Detoxification,33;50;83,3,3.78226022527874,5.681095977085199e-13,Higher in infected
LOC126273130,esterase E4-like,protein_coding,Detoxification,33;50,2,4.62711793631138,1.01851951837674e-10,Higher in infected
LOC126335115,esterase E4-like,protein_coding,Detoxification,33;50;83,3,6.7391157673855,8.15880471108397e-10,Higher in infected
LOC126282181,juvenile hormone esterase-like,protein_coding,Detoxification,33;50;83,3,6.92708722735972,5.0344925388444905e-9,Higher in infected
LOC126298804,1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase eta-2-like,protein_coding,Detoxification,33;50;83,3,1.98182080402046,3.86907708020992e-8,Higher in infected
LOC126353855,NADPH--cytochrome P450 reductase,protein_coding,Detoxification,33;50;83,3,1.46046175543771,6.55234019801235e-8,Higher in infected
LOC126344570,cholinesterase,protein_coding,Detoxification,50,1,1.20970415722953,1.37262839341582e-7,Higher in control
LOC126335083,juvenile hormone esterase-like,protein_coding,Detoxification,33;50;83,3,2.77674946186005,5.09647138976656e-7,Higher in infected
LOC126268397,failed axon connections,protein_coding,Detoxification,33;50,2,1.7843948759549,2.79844835532727e-6,Higher in infected
LOC126335117,esterase E4-like,protein_coding,Detoxification,33;50;83,3,2.73912821796215,2.8606841007025e-6,Higher in infected
LOC126334959,superoxide dismutase [Mn]%2C mitochondrial,protein_coding,Detoxification,50,1,1.10373886379057,3.48334962866276e-6,Higher in control
LOC126272144,cytochrome P450 6k1-like,protein_coding,Detoxification,33,1,2.82766121328176,5.70972325307012e-6,Higher in infected
LOC126336695,glutathione S-transferase-like,protein_coding,Detoxification,33;50,2,1.55821493512206,3.80666054506275e-5,Higher in control
LOC126268133,1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-1,protein_coding,Detoxification,33,1,1.11494638259079,3.80666054506275e-5,Higher in infected
LOC126295146,high affinity cGMP-specific 3'%2C5'-cyclic phosphodiesterase 9A-like,protein_coding,Detoxification,50,1,1.23914580007363,9.39202923569946e-5,Higher in infected
LOC126355831,heat shock protein 70 A1-like,protein_coding,Detoxification,33;50,2,8.19287438105646,1.27696821188876e-4,Higher in infected
LOC126281781,acetylcholinesterase-like,protein_coding,Detoxification,50;83,2,5.71809150061541,1.47595120091152e-4,Higher in infected
LOC126355838,heat shock protein 70 A1-like,protein_coding,Detoxification,33;50,2,7.67489671462317,2.04402125015661e-4,Higher in infected
LOC126356215,cholinesterase-like,protein_coding,Detoxification,33;50,2,1.87842019960586,2.13215938533826e-4,Higher in control
LOC126354407,juvenile hormone esterase-like,protein_coding,Detoxification,33;50,2,3.22533235799266,3.14936657878075e-4,Higher in control
LOC126281857,probable cytochrome P450 6a14,protein_coding,Detoxification,33;50,2,2.83640938463673,3.53725097874708e-4,Higher in control
LOC126270657,cytochrome P450 18a1,protein_coding,Detoxification,50,1,2.83965173478104,3.73506635347711e-4,Higher in infected
LOC126354701,venom carboxylesterase-6-like,protein_coding,Detoxification,33;83,2,1.84572406967889,4.73343470518358e-4,Higher in control
LOC126272899,cytochrome P450 6k1-like,protein_coding,Detoxification,50,1,1.48090121792762,7.52160355813584e-4,Higher in control
LOC126335084,esterase E4-like,protein_coding,Detoxification,50;83,2,2.78814572325052,7.9345614276679e-4,Higher in infected
LOC126334669,esterase FE4-like,protein_coding,Detoxification,50,1,1.43243083899904,8.12105457796908e-4,Higher in control
LOC126336656,dual 3'%2C5'-cyclic-AMP and -GMP phosphodiesterase 11-like,protein_coding,Detoxification,33;50;83,3,1.11080480579419,9.41458063272889e-4,Higher in infected
LOC126336730,glutathione S-transferase-like,protein_coding,Detoxification,50,1,1.58459480978756,9.75514884488065e-4,Higher in infected
LOC126331335,microsomal glutathione S-transferase 1-like,protein_coding,Detoxification,50;83,2,2.4357007324543,0.0011195646252267,Higher in control
LOC126293326,peroxidase-like,protein_coding,Detoxification,50,1,5.71562072637192,0.00128727427580145,Higher in infected
LOC126354485,cytochrome P450 4g15-like,protein_coding,Detoxification,33;50,2,5.83567144746308,0.00139417532057307,Higher in infected
LOC126272724,pyrimidodiazepine synthase-like,protein_coding,Detoxification,50,1,1.86680498550216,0.00188032234826741,Higher in infected
LOC126266822,probable cytochrome P450 4aa1,protein_coding,Detoxification,33,1,1.45252987819629,0.00189739511363621,Higher in control
LOC126273233,venom carboxylesterase-6-like,protein_coding,Detoxification,33,1,2.5356156354118,0.00215754796233203,Higher in control
LOC126335140,esterase E4-like,protein_coding,Detoxification,33;50,2,1.9467421595035,0.00233868648281295,Higher in infected
LOC126272450,uncharacterized oxidoreductase YjmC-like,protein_coding,Detoxification,33;50,2,1.45989567353396,0.0027140231176952,Higher in control
LOC126282123,cytochrome P450 4C1-like,protein_coding,Detoxification,33,1,2.4472990169037,0.00287253516860126,Higher in control
LOC126282119,cytochrome P450 4C1-like,protein_coding,Detoxification,50,1,3.94764432834575,0.00294562765444002,Higher in control
LOC126335187,esterase E4-like,protein_coding,Detoxification,50;83,2,2.86022974204369,0.00345462340634823,Higher in infected
LOC126336041,uncharacterized LOC126336041,protein_coding,Detoxification,33,1,1.14428851371988,0.00356581584598398,Higher in control
LOC126284044,cytochrome P450 6k1-like,protein_coding,Detoxification,50,1,4.23875528916107,0.00386432881420105,Higher in infected
LOC126354206,cytochrome P450 4g15,protein_coding,Detoxification,50,1,2.12766543543459,0.00527252235431331,Higher in infected
LOC126305900,cytochrome P450 306a1,protein_coding,Detoxification,33,1,1.93982186468523,0.00559968049108962,Higher in control
LOC126354065,juvenile hormone esterase-like,protein_coding,Detoxification,50,1,1.58011838560399,0.00566574741275298,Higher in control
LOC126298354,cytochrome P450 4C1-like,protein_coding,Detoxification,50,1,1.95702414082464,0.00619755834651751,Higher in infected
LOC126332740,juvenile hormone esterase-like,protein_coding,Detoxification,50,1,2.98002896556491,0.00620722722266954,Higher in control
LOC126281404,glutathione S-transferase D7-like,protein_coding,Detoxification,33;50,2,2.28294483666038,0.00637141959365737,Higher in control
LOC126266926,quinone oxidoreductase-like,protein_coding,Detoxification,83,1,1.45936554825841,0.0063844734968589,Higher in control
LOC126336692,glutathione S-transferase-like,protein_coding,Detoxification,33;50,2,1.2816893422144,0.00639142877983116,Higher in control
LOC126335786,cholinesterase 1-like,protein_coding,Detoxification,33;83,2,2.5709103043103,0.00673042057903888,Higher in infected
LOC126284902,cytochrome P450 6j1-like,protein_coding,Detoxification,33,1,4.50074188915417,0.00702257010720961,Higher in infected
LOC126293386,peroxidase-like,protein_coding,Detoxification,83,1,1.1031574540965,0.00778997587778551,Higher in infected
LOC126336735,glutathione S-transferase 1-1-like,protein_coding,Detoxification,33;50,2,3.01047589163609,0.00789710497624705,Higher in control
LOC126336722,glutathione S-transferase 1-1-like,protein_coding,Detoxification,50,1,2.10099127889957,0.00818957305846405,Higher in control
LOC126292129,cytochrome P450 4C1-like,protein_coding,Detoxification,50,1,4.11791852292848,0.00824018575927583,Higher in infected
LOC126354378,cytochrome P450 4g15-like,protein_coding,Detoxification,50,1,2.89971252257048,0.00836881133907631,Higher in infected
LOC126272939,cytochrome P450 4V2-like,protein_coding,Detoxification,50,1,4.21347788935817,0.00868876430821863,Higher in infected
LOC126281737,cholinesterase-like,protein_coding,Detoxification,33;50,2,1.24369225304069,0.00896426171824476,Higher in control
LOC126355944,juvenile hormone esterase-like,protein_coding,Detoxification,33,1,4.97677115213792,0.00968242573318816,Higher in control
LOC126335136,esterase E4-like,protein_coding,Detoxification,50,1,1.74120842853041,0.0100440259124811,Higher in infected
LOC126281928,dual oxidase-like,protein_coding,Detoxification,50,1,1.40886645615159,0.0101441672196451,Higher in infected
LOC126354068,cholinesterase-like,protein_coding,Detoxification,50;83,2,3.10219442842358,0.0116009851092609,Higher in control
LOC126354702,juvenile hormone esterase-like,protein_coding,Detoxification,33,1,1.46475866088007,0.0123665564686622,Higher in infected
LOC126355443,acetylcholinesterase-like,protein_coding,Detoxification,50,1,1.2459687371444,0.0126643608440063,Higher in control
LOC126276533,catalase,protein_coding,Detoxification,33;83,2,1.24475319587122,0.013770303547873,Higher in control
LOC126355184,venom carboxylesterase-6-like,protein_coding,Detoxification,33;50,2,1.82203346430011,0.0158798680068829,Higher in control
LOC126284552,cytochrome P450 6j1-like,protein_coding,Detoxification,83,1,2.67945724532761,0.017677833684625,Higher in control
LOC126266681,saccharopine dehydrogenase-like oxidoreductase,protein_coding,Detoxification,50,1,1.077538892096,0.0180841074528499,Higher in control
LOC126332793,juvenile hormone esterase-like,protein_coding,Detoxification,83,1,1.26673818419603,0.0194971211805918,Higher in control
LOC126330110,carboxylesterase 4A,protein_coding,Detoxification,50,1,1.01030122296168,0.0214354874650892,Higher in control
LOC126355150,juvenile hormone esterase,protein_coding,Detoxification,50,1,2.39482877089356,0.0223497588547278,Higher in control
LOC126320178,cytochrome P450 315a1%2C mitochondrial,protein_coding,Detoxification,50,1,1.99147785692555,0.0234039064457829,Higher in control
LOC126279039,cGMP-dependent 3'%2C5'-cyclic phosphodiesterase-like,protein_coding,Detoxification,33,1,1.26042954524402,0.0276934734170402,Higher in infected
LOC126318362,vegetative catalase-like,protein_coding,Detoxification,33,1,6.32171200753723,0.0282526144230826,Higher in control
LOC126281357,cytochrome P450 4C1-like,protein_coding,Detoxification,33;50,2,2.76593175138436,0.0284980187843235,Higher in control
