"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"LOC126298365",173.30938441026,-0.318540590949019,0.307076435304916,1.68174204453322,0.43133465766793,0.999781581310749,FALSE
"LOC126298366",40.4773560798957,-0.0580015538913818,0.483198995328013,0.0939051283017989,0.954132656609634,0.999781581310749,FALSE
"LOC126298367",31.2541839750643,-0.225431025506246,0.489999957888392,1.50688567184972,0.47074306850208,0.999781581310749,FALSE
"LOC126298368",53.9351060291881,0.12063397541242,0.240806735301588,1.99331948114349,0.369110308506955,0.999781581310749,FALSE
"LOC126298370",50.3005761093256,0.0340779591782201,0.513769533049802,1.86737840285281,0.393100803940607,0.999781581310749,FALSE
"LOC126298371",88.6906391183759,0.273468836305941,0.307349768845778,0.99353141722537,0.608495532374029,0.999781581310749,FALSE
"LOC126298372",78.2087612119232,-0.21449542321964,0.243426310190763,0.904910556025641,0.636064517604369,0.999781581310749,FALSE
"LOC126298375",157.403939188218,0.0472591327762374,0.391909078008958,0.0214420118810494,0.989336259214271,0.999781581310749,FALSE
"LOC126298376",187.328778604573,0.182673074683571,0.227699609195655,2.20438726608774,0.332141686996374,0.999781581310749,FALSE
"LOC126298377",45.5691033233253,0.199829880470559,0.268204274450265,1.72171096217625,0.422800229960108,0.999781581310749,FALSE
"LOC126298387",10.6962538379555,0.698250756460675,0.51927390137226,2.01364451734864,0.365378214172855,0.999781581310749,FALSE
"LOC126298388",71.868524213707,0.177190930491202,0.207806111497316,2.10209374519428,0.349571600559788,0.999781581310749,FALSE
"LOC126298389",6.14635550119327,0.491299461970777,2.085357755021,1.9221370753821,0.382483969005318,0.999781581310749,FALSE
"LOC126298391",87.8402784391427,0.292378889330142,0.282792355660932,1.46162427590309,0.481517772393032,0.999781581310749,FALSE
"LOC126298393",121.126690000516,-0.146085145124203,0.718565028988428,0.504287343041142,0.777133078156939,0.999781581310749,FALSE
"LOC126298394",366.943308661474,0.045316346973633,0.348989568621277,0.136452651385753,0.93404905035436,0.999781581310749,FALSE
"LOC126298395",424.834114374489,0.148815282070011,0.51018070394165,0.153199915058394,0.926260322968022,0.999781581310749,FALSE
"LOC126298397",72.6486615025392,0.170644744075462,0.229105742335502,1.51753727507275,0.46824264858963,0.999781581310749,FALSE
"LOC126298399",100.423513259096,0.0722485215267798,0.171013520464634,0.209596708030517,0.900506087716534,0.999781581310749,FALSE
"LOC126298400",4.22171928340574,-1.60788730098489,1.24511137290687,2.19081595528957,0.334403150105242,0.999781581310749,FALSE
"LOC126298401",16.13671344154,-0.84499057272361,1.12848574742963,3.19539746554352,0.202361670850243,0.999781581310749,FALSE
"LOC126298403",34.5942292543513,0.217388324526163,0.409511120194196,0.961850843144816,0.618211021189622,0.999781581310749,FALSE
"LOC126298405",18.4716620018098,0.218025208126981,0.779368247041057,0.0893087619745643,0.956327949843656,0.999781581310749,FALSE
"LOC126298407",44.8021590271756,-0.564055150387895,0.696466578529353,1.52625481498478,0.466206128187104,0.999781581310749,FALSE
"LOC126298408",71.5068303116906,0.0876670482645531,0.227459496201645,2.54488557164024,0.2801464474826,0.999781581310749,FALSE
"LOC126298411",113.833007694859,0.71625479879331,0.427520034413472,2.87173300398467,0.237909125943116,0.999781581310749,FALSE
"LOC126298412",437.075878093831,0.563454941196453,0.736618035787456,0.650885612787192,0.722207484735556,0.999781581310749,FALSE
"LOC126298413",192.328820176601,0.153268545882288,0.135968701004912,1.41394142873935,0.493135786247166,0.999781581310749,FALSE
"LOC126298414",61.5173501101507,-0.091768338053777,0.28429313802976,0.254476602748696,0.880523817557908,0.999781581310749,FALSE
"LOC126298417",100.360457682634,-0.434945023523173,0.350743969343859,2.04187102282401,0.360257757235269,0.999781581310749,FALSE
