"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko04068","FoxO signaling pathway","8/275","11/560",0.727272727272727,1.48099173553719,1.58123932117153,0.0999290400914084,0.470723345269999,0.470723345269999,"LOC126272743/LOC126299541/LOC126278052/LOC126334959/LOC126278501/LOC126279072/LOC126298299/LOC126279111",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00360","Phenylalanine metabolism","5/275","6/560",0.833333333333333,1.6969696969697,1.68455214806755,0.0999982236065801,0.470723345269999,0.470723345269999,"LOC126336714/LOC126335010/LOC126269845/LOC126283954/LOC126272037",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko01210","2-Oxocarboxylic acid metabolism","5/275","6/560",0.833333333333333,1.6969696969697,1.68455214806755,0.0999982236065801,0.470723345269999,0.470723345269999,"LOC126298104/LOC126334596/LOC126365941/LOC126335505/LOC126272037",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Broad KEGG reference map"
"ko04113","Meiosis - yeast","5/275","6/560",0.833333333333333,1.6969696969697,1.68455214806755,0.0999982236065801,0.470723345269999,0.470723345269999,"LOC126293483/LOC126284276/LOC126354268/LOC126336750/LOC126356254",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko00480","Glutathione metabolism","14/275","22/560",0.636363636363636,1.29586776859504,1.38952920688035,0.120179879607118,0.552255161051757,0.552255161051758,"LOC126336713/LOC126336692/LOC126278485/LOC126278697/LOC126336724/LOC126331335/LOC126282396/LOC126335505/LOC126297494/LOC126277880/LOC126336695/LOC126284808/LOC126336888/LOC126281404",14,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00250","Alanine, aspartate and glutamate metabolism","6/275","8/560",0.75,1.52727272727273,1.4742141788631,0.131381097834958,0.578243838315374,0.578243838315374,"LOC126324953/LOC126299364/LOC126268126/LOC126299043/LOC126354727/LOC126272037",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00860","Porphyrin metabolism","10/275","15/560",0.666666666666667,1.35757575757576,1.37773365270736,0.13182761080765,0.578243838315374,0.578243838315374,"LOC126336628/LOC126281562/LOC126272831/LOC126334891/LOC126271720/LOC126336625/LOC126272926/LOC126341237/LOC126266939/LOC126272928",10,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00310","Lysine degradation","7/275","10/560",0.7,1.42545454545455,1.33236017842889,0.15540883754696,0.65277108407627,0.65277108407627,"LOC126350022/LOC126336244/LOC126266840/LOC126336251/LOC126281446/LOC126349195/LOC126298275",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00330","Arginine and proline metabolism","12/275","19/560",0.631578947368421,1.28612440191388,1.24532551606402,0.155582745427505,0.65277108407627,0.65277108407627,"LOC126278249/LOC126278485/LOC126350022/LOC126352958/LOC126278697/LOC126281672/LOC126266840/LOC126335010/LOC126281446/LOC126284808/LOC126299043/LOC126272037",12,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","8/275","12/560",0.666666666666667,1.35757575757576,1.22890477599792,0.174407383852322,0.663840535733777,0.663840535733777,"LOC126350022/LOC126335256/LOC126266840/LOC126336251/LOC126281446/LOC126268126/LOC126284808/LOC126292317",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
