"gene_id","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","phase_class","n_context_families","single_context","DEG_context","Description","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","heatmap_row_order"
"LOC126278499",6,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",22.7298939327996,3.10851550626942e-27,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","facilitated trehalose transporter Tret1-2 homolog",2.96206061724664,"1007","Higher than gene mean",24
"LOC126303359",1,"infection_average_all_diets","Average control",2.40935434585715,0.0486420049772103,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126303359",3.46797386283463,"1007","Higher than gene mean",25
"LOC126324213",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.74216947626565,0.0275337213551887,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126324213",3.07245255655148,"1007","Higher than gene mean",26
"LOC126272232",1,"infection_average_all_diets","Average control",1.89738390782299,0.0328553541052657,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","synaptic vesicle glycoprotein 2B-like",2.97790619255311,"1007","Higher than gene mean",27
"LOC126354102",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.42971969118206,0.00684173181088619,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","uncharacterized LOC126354102",3.12922139828261,"1007","Higher than gene mean",28
"LOC126281974",4,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50; Infected diet 83",8.01913973602313,0.00256376071178423,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sorbitol dehydrogenase-like",2.72375789019223,"1007","Higher than gene mean",29
"LOC126266840",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",4.98329605267363,0.00605159809351458,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","alpha-aminoadipic semialdehyde dehydrogenase-like",2.81241682656325,"1007","Higher than gene mean",30
"LOC126269651",1,"infected_diet33_vs50","Infected diet 50",5.3882525568062,0.0479904034671796,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","synaptic vesicle glycoprotein 2A-like",2.86502701685202,"1007","Higher than gene mean",31
"LOC126358260",1,"infection_average_all_diets","Average control",1.31036858337252,0.0144043535724835,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ATP-sensitive inward rectifier potassium channel 12-like",3.01808119490551,"1007","Higher than gene mean",32
"LOC126293620",1,"infected_diet33_vs50","Infected diet 50",5.1759527496725,0.0212602450912259,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","corticotropin-releasing factor-binding protein",3.63410159933563,"1016","Higher than gene mean",33
"LOC126333043",1,"infected_diet33_vs50","Infected diet 50",1.63801219153767,0.0417744517261248,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","neuromodulin",2.73306149281123,"1016","Higher than gene mean",34
"LOC126355265",1,"infected_diet33_vs50","Infected diet 50",2.28477837215683,0.0205191472462862,"Not evaluated in this chromosome-only figure",1,"Diet in infected","Diet in infected","lazarillo protein",3.17318806933316,"1037","Higher than gene mean",35
"LOC126336109",1,"infection_diet50","Control diet 50",3.9119810015021,0.0174700895999204,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","dehydrogenase/reductase SDR family member 11-like",3.05487886654129,"1037","Higher than gene mean",36
"LOC126272088",1,"infection_diet50","Control diet 50",2.14925884569223,0.0362415002259161,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","facilitated trehalose transporter Tret1-like",3.10449516514547,"1007","Higher than gene mean",37
"LOC126278546",1,"infection_average_all_diets","Average control",1.30158997056269,0.00371127832017206,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126278546",3.61500897358626,"1007","Higher than gene mean",38
"LOC126336585",1,"control_diet83_vs50","Control diet 50",4.79778827295422,0.041901197060279,"Not evaluated in this chromosome-only figure",1,"Diet in controls","Diet in controls","uncharacterized LOC126336585",3.31039092829408,"1037","Higher than gene mean",39
"LOC126278041",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",3.44349238773837,0.00905368217855896,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","cholinesterase 2-like",4.20103537663785,"1037","Higher than gene mean",40
"LOC126278507",1,"infection_diet50","Control diet 50",1.35156854655352,0.0320781552565479,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","dipeptidase 1-like",3.29584818766727,"1037","Higher than gene mean",41
"LOC126267485",1,"control_diet83_vs50","Control diet 50",4.82296332535763,0.0433745667394701,"Not evaluated in this chromosome-only figure",1,"Diet in controls","Diet in controls","uncharacterized LOC126267485",3.44792073737128,"1037","Higher than gene mean",42
"LOC126335312",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.03042037494424,0.0188236009662759,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","solute carrier family 46 member 3-like",3.44000941747385,"1037","Higher than gene mean",43
"LOC126334918",1,"infection_diet50","Control diet 50",1.57586127881626,0.0201791638363123,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","acyl-CoA Delta-9 desaturase-like",3.42418407319352,"1007","Higher than gene mean",44
"LOC126354722",1,"infection_average_all_diets","Average control",2.64858967755073,0.0193001147838108,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ketohexokinase-like",3.90426959122254,"1007","Higher than gene mean",45
"LOC126272928",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.25705843217751,0.0122121280453716,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glucosyltransferase 2-like",3.436952000348,"1037","Higher than gene mean",46
"LOC126325327",1,"infection_average_all_diets","Average control",1.22256731486254,0.0347228180573917,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126325327",2.63077593953029,"1007","Higher than gene mean",47
"LOC126354780",1,"infection_average_all_diets","Average control",3.48052374565183,0.0364587870009299,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sialin-like",3.85890684458567,"1007","Higher than gene mean",48
"LOC126266939",1,"infection_average_all_diets","Average control",1.96172010083739,0.0318642825516157,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","UDP-glycosyltransferase UGT5-like",3.48874036092122,"1007","Higher than gene mean",49
"LOC126355944",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.00337310079268,0.00333030738304309,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","juvenile hormone esterase-like",3.27339428754812,"1037","Higher than gene mean",50
"LOC126334992",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.04952601664254,0.00184420859084288,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sodium-independent sulfate anion transporter-like",3.66464316773872,"1007","Higher than gene mean",51
"LOC126354529",6,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",21.2159842063178,3.52289645311651e-23,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","uncharacterized LOC126354529",3.50485427095558,"1007","Higher than gene mean",52
"LOC126355391",1,"infection_diet33","Control diet 33",5.41775534929684,0.0393300152414244,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sialin-like",3.15705947542717,"1007","Higher than gene mean",53
"LOC126273244",1,"infection_average_all_diets","Average control",2.87957692184263,0.0321639857842798,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","venom carboxylesterase-6-like",2.77373869485381,"1037","Higher than gene mean",54
"LOC126293272",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.66656203565027,0.00319718748157455,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126293272",3.20846510752686,"1007","Higher than gene mean",55
"LOC126267290",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.95389616035518,0.0131883031761564,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","aldehyde dehydrogenase 1A1-like",3.88987960877384,"1007","Higher than gene mean",56
"LOC126334596",1,"infection_average_all_diets","Average control",2.12578961193669,0.0135632998535692,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","probable aconitate hydratase, mitochondrial",3.08429586794008,"1007","Higher than gene mean",57
"LOC126336724",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.46225258436274,0.0142453289475936,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glutathione S-transferase 1-like",3.34071901095646,"1037","Higher than gene mean",58
"LOC126291804",1,"infection_average_all_diets","Average control",2.01477362001208,0.035545473141839,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126291804",2.53889615535925,"1037","Higher than gene mean",59
"LOC126354599",1,"infection_average_all_diets","Average control",1.87614111017232,0.0163900677392979,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","myrosinase 1-like",3.05819856161717,"1037","Higher than gene mean",60
"LOC126334984",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.04757691408071,0.018854446852794,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ATP-binding cassette sub-family C member 4-like",3.28018408640391,"1037","Higher than gene mean",61
"LOC126335141",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.76434330841376,0.016923465458474,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","solute carrier family 23 member 2",3.36858514955133,"1037","Higher than gene mean",62
"LOC126335259",5,"control_diet83_vs33; control_diet83_vs50; infection_diet83; interaction_diet83_vs33; interaction_diet83_vs50","Control diet 33; Control diet 50; Infected diet 83; Infection response diet 83",24.3028179468028,2.32354796439944e-09,"Not evaluated in this chromosome-only figure",2,"Infection within diet","Infection + diet","sialin-like",3.51332921781172,"1037","Higher than gene mean",63
"LOC126365810",1,"control_diet83_vs33","Control diet 83",2.3203775654495,0.00898892812049811,"Not evaluated in this chromosome-only figure",1,"Diet in controls","Diet in controls","alpha-tocopherol transfer protein-like",2.55151155024439,"1005","Higher than gene mean",64
"LOC126352026",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.28318948104389,5.08348404398903e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126352026",2.24961348620382,"1004","Higher than gene mean",65
"LOC126335106",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.39159780754634,0.00124214487685649,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","sodium-coupled monocarboxylate transporter 1-like",2.96103251706793,"1023","Lower than gene mean",66
"LOC126336511",1,"infection_average_all_diets","Average control",1.2346413261846,0.0117708362788614,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126336511",2.4075364059405,"1002","Higher than gene mean",67
"LOC126271986",1,"infection_average_all_diets","Average control",1.0223160157638,0.0158565603064273,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","mitochondrial uncoupling protein 2-like",1.9249686884021,"1051","Lower than gene mean",68
"LOC126284811",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.39357497208033,7.95851805589176e-09,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glucose dehydrogenase [FAD, quinone]-like",2.07219651970104,"1042","Lower than gene mean",69
"LOC126268199",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.67236435944611,7.15121864535861e-10,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","glucose dehydrogenase [FAD, quinone]-like",1.76529519711113,"1036","Higher than gene mean",70
"LOC126292163",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.40676779519586,8.10113641447991e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126292163",2.06716697486966,"1004","Higher than gene mean",71
"LOC126284973",1,"infection_average_all_diets","Average control",1.19960074683717,0.00888288003265985,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126284973",2.37469696288335,"1002","Higher than gene mean",72
"LOC126335063",1,"infection_average_all_diets","Average control",1.11998396444328,0.00635888986656934,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126335063",2.53876173370702,"1014","Lower than gene mean",73
"LOC126298049",1,"infection_average_all_diets","Average control",1.19187749925356,0.0460075586523804,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126298049",2.77359877470925,"1006","Higher than gene mean",74
"LOC126267230",1,"infection_average_all_diets","Average control",1.01105552795686,0.019222268057369,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","atrial natriuretic peptide receptor 1-like",1.91247747700736,"1020","Lower than gene mean",75
"LOC126272129",1,"infection_diet33","Control diet 33",1.49294947906738,0.0184947768485133,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","peroxiredoxin-6-like",2.86198600309758,"1006","Higher than gene mean",76
"LOC126282456",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.11033428692273,2.88149111980988e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126282456",2.26345877330057,"1006","Higher than gene mean",77
"LOC126282209",1,"infection_diet83","Control diet 83",1.15028106375421,0.00326190878356552,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","prostaglandin reductase 1-like",2.25432358219138,"1023","Lower than gene mean",78
"LOC126272126",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.85898144562199,5.05428741827185e-08,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","peroxiredoxin-6-like",2.23768421187747,"1023","Lower than gene mean",79
"LOC126278567",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.19329504106269,5.50245184413185e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","xylulose kinase-like",2.24127539901385,"1002","Higher than gene mean",80
"LOC126335352",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.34726817810294,7.95681766366112e-11,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","2-hydroxyacyl-CoA lyase 1",2.96403942281855,"1002","Higher than gene mean",81
"LOC126334779",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.45322720937772,0.0042303519413321,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","defensin-1-like",2.26488265104463,"1049","Lower than gene mean",82
"LOC126334780",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.5539832158602,0.00511312904166755,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","defensin-1-like",1.82504839755279,"1057","Lower than gene mean",83
"LOC126337896",1,"infection_diet33","Control diet 33",1.20103641957283,0.0404929015038651,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","protein couch potato-like",2.40388632374454,"1057","Lower than gene mean",84
"LOC126363166",1,"infection_diet50","Control diet 50",1.0344469568451,0.0304111775801373,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","neuronal calcium sensor 2",2.25713807461388,"1058","Lower than gene mean",85
"LOC126272931",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40912475065424,2.86427733546301e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","beta-hexosaminidase subunit beta-like",2.31443635614007,"1002","Higher than gene mean",86
"LOC126334657",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68207488182876,4.56159139413212e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","bcl-2-related ovarian killer protein-like",2.59624214103083,"1002","Higher than gene mean",87
"LOC126299093",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.53352556901205,2.21213734337882e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","homeobox protein engrailed-1-B-like",2.73721209324474,"1050","Lower than gene mean",88
"LOC126268728",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.33661959350024,2.60262123313255e-07,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","trypsin-1-like",2.4462905716312,"1050","Lower than gene mean",89
"LOC126272556",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.83265509467548,4.06998667073478e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","irregular chiasm C-roughest protein",2.52731977586512,"1050","Lower than gene mean",90
"LOC126278501",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.87499522302748,2.48503596983254e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","fork head domain transcription factor slp2-like",2.41753514789203,"1023","Lower than gene mean",91
"LOC126353181",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.40190684827092,0.000526184605930948,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126353181",2.17479415698566,"1042","Lower than gene mean",92
"LOC126271532",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.71370737908155,9.78322115973214e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","CD63 antigen-like",2.04737092473932,"1042","Lower than gene mean",93
"LOC126297692",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.55659640449538,0.000390839362684237,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","ras-related protein Rab-3",2.01170667117875,"1042","Lower than gene mean",94
"LOC126336454",1,"infection_average_all_diets","Average control",1.06741272019993,0.0160247292464873,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","neuropeptide SIFamide receptor-like",2.39525965305527,"1023","Lower than gene mean",95
"LOC126295342",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.18972187709022,0.00024932849291283,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126295342",2.45350489520408,"1042","Lower than gene mean",96
"LOC126354260",1,"infection_average_all_diets","Average control",1.07531114213391,0.0203297080615769,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","dopamine receptor 1-like",2.44722794378827,"1002","Higher than gene mean",97
"LOC126272678",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.31554017797839,5.698672849944e-06,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","zinc transporter ZIP3-like",2.5403153366151,"1006","Higher than gene mean",98
"LOC126291785",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.15519437232834,4.01488064836045e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","insulin receptor-related protein-like",2.53037521201735,"1006","Higher than gene mean",99
"LOC126266913",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.72537363878817,5.91909528973037e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","serine/arginine repetitive matrix protein 1-like",2.13249195063047,"1006","Higher than gene mean",100
"LOC126292020",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.90314659699901,2.55558450916824e-05,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","open rectifier potassium channel protein 1",2.2927875205544,"1023","Lower than gene mean",101
"LOC126277966",1,"infection_diet33","Control diet 33",1.24625958945804,0.0101564722727194,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","rhophilin-2",2.56969867831553,"1002","Higher than gene mean",102
"LOC126267042",1,"infection_average_all_diets","Average control",1.31083206264482,0.00137315431948039,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","beta-3 adrenergic receptor-like",2.34672906993594,"1023","Lower than gene mean",103
"LOC126299004",1,"infection_average_all_diets","Average control",1.1596944443909,0.00338664603360691,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","circadian locomoter output cycles protein kaput",2.38754616902464,"1006","Higher than gene mean",104
"LOC126354288",1,"infection_average_all_diets","Average control",1.0008790428139,0.037881122407073,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","uncharacterized LOC126354288",2.68498081765684,"1023","Lower than gene mean",105
"LOC126361620",1,"infection_average_all_diets","Average control",1.18288950362901,0.00437246457980036,"Not evaluated in this chromosome-only figure",1,"Infection within diet","Infection within diet","helix-loop-helix protein 3",2.66485609679956,"1050","Lower than gene mean",106
