"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","pathway_theme","pathway_scope"
"ko04140","Autophagy - animal","3/234","82/3456",0.0365853658536585,0.540337711069418,-1.13512175961036,0.924451629952376,1,1,"LOC126334930/LOC126346021/LOC126297444",3,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Cellular process","Eukaryote/metazoan-compatible"
"ko00010","Glycolysis / Gluconeogenesis","1/234","37/3456",0.027027027027027,0.399168399168399,-0.990086786484936,0.926329474987872,1,1,"LOC126365957",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko05160","Hepatitis C","1/234","37/3456",0.027027027027027,0.399168399168399,-0.990086786484936,0.926329474987872,1,1,"LOC126282030",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Core metabolism or cross-domain"
"ko05164","Influenza A","2/234","61/3456",0.0327868852459016,0.484237074401009,-1.09512661903958,0.926338800536092,1,1,"LOC126299510/LOC126282030",2,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Core metabolism or cross-domain"
"ko00071","Fatty acid degradation","1/234","38/3456",0.0263157894736842,0.388663967611336,-1.0210686675619,0.931371564152201,1,1,"LOC126356152",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00510","N-Glycan biosynthesis","1/234","38/3456",0.0263157894736842,0.388663967611336,-1.0210686675619,0.931371564152201,1,1,"LOC126281481",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Core metabolism or cross-domain"
"ko05100","Bacterial invasion of epithelial cells","1/234","38/3456",0.0263157894736842,0.388663967611336,-1.0210686675619,0.931371564152201,1,1,"LOC126335142",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Microbial/prokaryote-associated label"
"ko00230","Purine metabolism","5/234","124/3456",0.0403225806451613,0.595533498759305,-1.23597615148031,0.931442661002019,1,1,"LOC126356050/LOC126295146/LOC126268164/LOC126279039/LOC126336656",5,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04152","AMPK signaling pathway","2/234","63/3456",0.0317460317460317,0.468864468864469,-1.14644410792213,0.934396316653783,1,1,"LOC126334930/LOC126267980",2,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Cellular process","Eukaryote/metazoan-compatible"
"ko03420","Nucleotide excision repair","1/234","39/3456",0.0256410256410256,0.378698224852071,-1.05143297951785,0.936069941562495,1,1,"LOC126335541",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Core metabolism or cross-domain"
"ko00970","Aminoacyl-tRNA biosynthesis","1/234","40/3456",0.025,0.369230769230769,-1.08121173638431,0.940447943808434,1,1,"LOC126281245",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko04725","Cholinergic synapse","1/234","40/3456",0.025,0.369230769230769,-1.08121173638431,0.940447943808434,1,1,"LOC126281662",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Other KEGG pathway","Core metabolism or cross-domain"
"ko05203","Viral carcinogenesis","3/234","88/3456",0.0340909090909091,0.503496503496504,-1.27129632757142,0.944492295744799,1,1,"LOC126267038/LOC126272038/LOC126282030",3,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Reference disease pathway","Reference disease pathway"
"ko00280","Valine, leucine and isoleucine degradation","1/234","41/3456",0.024390243902439,0.360225140712946,-1.11043446025332,0.944527329390644,1,1,"LOC126339036",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04217","Necroptosis","1/234","41/3456",0.024390243902439,0.360225140712946,-1.11043446025332,0.944527329390644,1,1,"LOC126267038",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04310","Wnt signaling pathway","2/234","67/3456",0.0298507462686567,0.440872560275545,-1.24532185432055,0.948081102470664,1,1,"LOC126293451/LOC126281662",2,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Cellular process","Eukaryote/metazoan-compatible"
"ko04540","Gap junction","1/234","42/3456",0.0238095238095238,0.351648351648352,-1.13912843438786,0.948328385004872,1,1,"LOC126281662",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Cellular process","Eukaryote/metazoan-compatible"
"ko01200","Carbon metabolism","3/234","92/3456",0.0326086956521739,0.481605351170569,-1.35798701253229,0.954990919708373,1,1,"LOC126298400/LOC126365957/LOC126335242",3,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Carbohydrate and energy metabolism","Broad KEGG reference map"
"ko04113","Meiosis - yeast","1/234","44/3456",0.0227272727272727,0.335664335664336,-1.1950293764746,0.955169882364987,1,1,"LOC126268164",1,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Cellular process","Eukaryote/metazoan-compatible"
"ko01120","Microbial metabolism in diverse environments","5/234","137/3456",0.0364963503649635,0.539023020774846,-1.48355988473246,0.961618097276334,1,1,"LOC126298400/LOC126365957/LOC126354995/LOC126334613/LOC126335242",5,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko03008","Ribosome biogenesis in eukaryotes","2/234","74/3456",0.027027027027027,0.399168399168399,-1.40783257911986,0.965750543642072,1,1,"LOC126281487/LOC126283976",2,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",234,3456,"Expression cluster 2","Genetic information processing","Core metabolism or cross-domain"
