"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"LOC126272336",241.793278278323,0.449503024382548,0.0930483753031707,4.83085301508999,1.35949341901151e-06,1.5621325820973e-05,"LOC126272336"
"LOC126272795",104.027811241999,-0.321369743314671,0.126877307203949,-2.53291743336012,0.0113117594095398,0.0325847242034613,"LOC126272795"
"LOC126272981",139.047755202955,-0.528113232691857,0.134025599914862,-3.94039073898817,8.13489962604141e-05,0.000531474557963381,"LOC126272981"
"LOC126272828",20.47072959756,0.876612154621184,0.281042344665288,3.11914617587325,0.00181375954891177,0.00732040923218705,"LOC126272828"
"LOC126272752",87.5626013739044,-0.994041738176845,0.200896860765476,-4.94802026467341,7.4972105197558e-07,9.3375014141661e-06,"LOC126272752"
"LOC126272265",155.873033896823,0.314596365932399,0.0895877528188797,3.51160014660063,0.000445417606775293,0.00226541879206908,"LOC126272265"
"LOC126272054",1390.89678242682,0.309356968693945,0.0635315175925172,4.86934643491628,1.11967958309316e-06,1.32718937398025e-05,"LOC126272054"
"LOC126273245",23.6097341070475,0.97216554954751,0.26325655928816,3.69284454744917,0.000221759590230808,0.00125989449438651,"LOC126273245"
"LOC126272688",1742.4318712515,0.147592335532686,0.0621107048825508,2.37627854669784,0.0174882554353302,0.0464147446869063,"LOC126272688"
"LOC126272085",80.0273490446958,-1.07898986142024,0.448851786823791,-2.40388897425471,0.0162216991327509,0.0437167429024061,"LOC126272085"
"LOC126273248",490.97387372245,0.738572020277918,0.157230622236747,4.69738025437454,2.6351958262244e-06,2.75068764657241e-05,"LOC126273248"
"LOC126272463",504.785899654423,0.478658890290857,0.128218481002047,3.73315052986171,0.000189099502882695,0.00109779183892701,"LOC126272463"
"LOC126273249",243.009577708994,0.468984956242931,0.153178957116307,3.06168004451705,0.00220098580256834,0.00854997586363991,"LOC126273249"
"LOC126272143",147.307002348259,1.64122084417384,0.305277392857171,5.37616241023686,7.609016213261e-08,1.28113543464538e-06,"LOC126272143"
"LOC126272358",32.8085637725558,0.754868280725564,0.255424346627884,2.95534975694896,0.00312314770748457,0.0114110199295215,"LOC126272358"
"LOC126272474",1386.56794695412,0.749438731373095,0.19459597916163,3.85125496735272,0.000117514072750563,0.000730372274943373,"LOC126272474"
"LOC126272997",2765.94399682157,0.321568412570503,0.0445486128209832,7.21837094822038,5.26140338415742e-13,2.5833490616213e-11,"LOC126272997"
"LOC126273183",937.645463667957,-0.45761509626372,0.136838659331585,-3.34419453171369,0.000825218511297546,0.00379904057527027,"LOC126273183"
"LOC126273053",1554.04452228036,0.260699738412942,0.0756732638165047,3.44507062686098,0.000570910198744734,0.00279242896443497,"LOC126273053"
"LOC126273054",32.1626532978327,-0.781633072529623,0.229894819688897,-3.39995948402561,0.00067395838735191,0.00320676584902515,"LOC126273054"
"LOC126271852",217.53923326583,-0.245324374113554,0.0851934477205764,-2.87961551829885,0.00398160403746929,0.013948725889773,"LOC126271852"
"LOC126271854",234.701503729118,0.26157148430672,0.0877748680541063,2.98002708640338,0.00288222896421153,0.0107023080154521,"LOC126271854"
"LOC126272079",661.24885343316,0.419571010333197,0.0853222053705604,4.91748904650285,8.76613602765421e-07,1.07811649835292e-05,"LOC126272079"
"LOC126272080",447.402015469733,-0.565300004090825,0.111228222936493,-5.08234321439794,3.72807001211779e-07,5.10102269825249e-06,"LOC126272080"
"LOC126272524",667.107856748855,1.19278238511585,0.136928733153546,8.71097217980039,3.01279606386426e-18,3.00479332431962e-16,"LOC126272524"
"LOC126272101",754.682482120274,-0.134832396029251,0.0548300006830893,-2.45909893032039,0.0139286229703016,0.0386717705173707,"LOC126272101"
"LOC126273076",312.598320431443,0.584633581865782,0.0878403603570463,6.65563733447143,2.82075021827909e-11,9.97498539793653e-10,"LOC126273076"
"LOC126273075",113.156515168235,0.294523095012485,0.111741074778306,2.63576393548047,0.00839481108685241,0.0255527320779108,"LOC126273075"
"LOC126273077",555.432783170065,-0.329910365984271,0.0729261848432748,-4.52389449267474,6.07119977755288e-06,5.65729462483504e-05,"LOC126273077"
"LOC126272823",72.55113005837,2.31015604072193,0.31180942651266,7.40887171551929,1.27378445262379e-13,6.66439849270299e-12,"LOC126272823"
