"gene_id","removal_source"
"LOC126356589","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356600","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356612","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356623","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356635","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356646","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356658","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356670","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356682","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356693","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356705","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356717","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356732","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356743","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356773","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356882","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356997","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357112","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357199","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357210","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357266","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357297","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357310","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357321","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357332","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357343","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357347","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356500","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356373","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356374","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356501","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356375","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356376","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356377","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356380","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356381","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356382","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356383","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356384","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356385","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356386","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356498","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356387","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356388","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356389","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356502","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356391","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356392","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356393","data/excluded_loci/gregaria_rrna_list.txt"
