"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126281387","33","Diet 33",-2.23829405468345,0.0399861780714049,TRUE
"LOC126281398","33","Diet 33",-1.59707417907169,0.0164135617250406,TRUE
"LOC126281399","33","Diet 33",-1.4690155740824,0.017589599206999,TRUE
"LOC126281404","33","Diet 33",-1.56964135868518,0.047388047852134,TRUE
"LOC126281421","33","Diet 33",-1.73050272332213,0.049237694391457,TRUE
"LOC126281438","33","Diet 33",-5.76684456563178,0.00984083218401445,TRUE
"LOC126281446","33","Diet 33",-1.25011117057628,0.0333425244487727,TRUE
"LOC126281455","33","Diet 33",-1.2708486918683,0.00818488779302638,TRUE
"LOC126281481","33","Diet 33",2.5104635633708,3.91981715505405e-08,TRUE
"LOC126281483","33","Diet 33",1.84525144629392,0.000717584079282682,TRUE
"LOC126281486","33","Diet 33",-2.57481145389658,0.00730345975561575,TRUE
"LOC126281499","33","Diet 33",4.21261302044674,1.57584620177344e-05,TRUE
"LOC126281516","33","Diet 33",-2.50756135373875,0.0122811458024389,TRUE
"LOC126281532","33","Diet 33",-1.68341651269214,2.06026932918919e-05,TRUE
"LOC126281562","33","Diet 33",-1.32967350042705,0.00232603879181329,TRUE
"LOC126281581","33","Diet 33",-1.61523746094883,0.0247625709293193,TRUE
"LOC126281582","33","Diet 33",-1.3346398903809,0.0355879197147761,TRUE
"LOC126281598","33","Diet 33",1.34872365471291,0.000401420784429093,TRUE
"LOC126281635","33","Diet 33",2.20037708583645,3.86658493622958e-05,TRUE
"LOC126281672","33","Diet 33",-1.49642633667361,0.0378240506646473,TRUE
"LOC126281694","33","Diet 33",-1.84841150588984,0.0188922053361539,TRUE
"LOC126281715","33","Diet 33",-1.46417868439364,0.0162072334884923,TRUE
"LOC126281737","33","Diet 33",-1.26187465547397,0.0322519381606875,TRUE
"LOC126281750","33","Diet 33",-1.55710024176843,0.00942816883974271,TRUE
"LOC126281818","33","Diet 33",1.44999174500373,0.0153267165909812,TRUE
"LOC126281835","33","Diet 33",-2.81215417162134,0.00975266243682507,TRUE
"LOC126281857","33","Diet 33",-2.81186370669284,0.000339653225374139,TRUE
"LOC126281861","33","Diet 33",-2.2257149838949,0.00740295570606555,TRUE
"LOC126281862","33","Diet 33",-1.70310450332845,0.0152867612824782,TRUE
"LOC126281878","33","Diet 33",-1.43377769322173,0.0415126867745441,TRUE
"LOC126281906","33","Diet 33",-1.85800364388482,0.0136105923503938,TRUE
"LOC126281914","33","Diet 33",-2.94456456683292,0.00157851258911509,TRUE
"LOC126281915","33","Diet 33",-2.55347627936317,0.018817910031016,TRUE
"LOC126281934","33","Diet 33",-1.85297539090276,0.0180668922672335,TRUE
"LOC126281954","33","Diet 33",-1.0578430069239,0.00537436250293347,TRUE
"LOC126281958","33","Diet 33",-1.37081141966285,0.00105017761286139,TRUE
"LOC126281974","33","Diet 33",-6.89682295143328,0.00397602873742897,TRUE
"LOC126281994","33","Diet 33",2.10575278602465,0.000175241720677706,TRUE
"LOC126282017","33","Diet 33",-2.42779077759197,0.0352202880117474,TRUE
"LOC126282019","33","Diet 33",-2.95627005160278,0.0207979293284896,TRUE
"LOC126282021","33","Diet 33",-2.65063044925106,0.0326392569928854,TRUE
"LOC126282030","33","Diet 33",1.45446144864613,0.00076689449333025,TRUE
"LOC126282034","33","Diet 33",3.0089512793391,1.29634852787022e-09,TRUE
"LOC126282035","33","Diet 33",1.5516229209657,0.0012897976849006,TRUE
"LOC126282043","33","Diet 33",-2.25838586860199,0.00321140804314721,TRUE
"LOC126282072","33","Diet 33",4.22314811711994,1.3911306256778e-06,TRUE
"LOC126282073","33","Diet 33",1.78112675198961,4.07976178027832e-06,TRUE
"LOC126282100","33","Diet 33",1.59587429360758,0.00612563273426632,TRUE
"LOC126282115","33","Diet 33",-1.4100410732209,0.0239277038518884,TRUE
"LOC126282123","33","Diet 33",-2.45386248201288,0.00199881333594447,TRUE
"LOC126282167","33","Diet 33",1.5832117302186,0.018533102597919,TRUE
"LOC126282173","33","Diet 33",1.66079012318998,0.00841547143355384,TRUE
"LOC126282181","33","Diet 33",6.88924073364275,5.36655403588544e-10,TRUE
"LOC126282193","33","Diet 33",1.04172409183994,0.0375952329509391,TRUE
"LOC126282207","33","Diet 33",1.62656879589945,0.00808850046011333,TRUE
"LOC126282257","33","Diet 33",-1.75733737430751,0.00381033079326718,TRUE
"LOC126282259","33","Diet 33",1.40328743391957,0.0140260136001752,TRUE
"LOC126282271","33","Diet 33",-1.48899966026514,0.000418508823886963,TRUE
"LOC126282434","33","Diet 33",1.66041150350447,0.000785930188044502,TRUE
"LOC126282456","33","Diet 33",-4.11033428692273,0.00143777866080989,TRUE
"LOC126282528","33","Diet 33",2.06638330841119,0.000122718574458833,TRUE
"LOC126282679","33","Diet 33",2.25054938399916,0.00889449427965362,TRUE
"LOC126282995","33","Diet 33",4.01253733030919,1.02196108224041e-09,TRUE
"LOC126283788","33","Diet 33",2.12690496311334,0.000130086253659698,TRUE
"LOC126283954","33","Diet 33",-1.06295781182848,0.00125532463915136,TRUE
"LOC126283957","33","Diet 33",-1.67495172017942,0.015761738584274,TRUE
"LOC126283960","33","Diet 33",-1.85723375393321,0.00198856999367201,TRUE
"LOC126283962","33","Diet 33",-1.81809680792046,0.00706656151123916,TRUE
"LOC126283976","33","Diet 33",1.59054863085401,0.00364056616331399,TRUE
"LOC126283979","33","Diet 33",1.61684123334382,0.000531601043007333,TRUE
"LOC126283982","33","Diet 33",-2.16620545833971,0.0406459244565043,TRUE
"LOC126283987","33","Diet 33",-1.66856435162494,0.00184702782361623,TRUE
"LOC126283989","33","Diet 33",3.27358294512959,0.00151807278241619,TRUE
"LOC126284002","33","Diet 33",-2.42345722447062,0.000272254436486666,TRUE
"LOC126284030","33","Diet 33",-1.12783869271009,0.00690283754776402,TRUE
"LOC126284033","33","Diet 33",3.53939843194186,1.69307790373213e-05,TRUE
"LOC126284038","33","Diet 33",1.27109343852969,0.000356582736225439,TRUE
"LOC126284041","33","Diet 33",1.04555227981003,0.00356791181628993,TRUE
"LOC126284043","33","Diet 33",1.79688588751301,0.0193848638981502,TRUE
"LOC126284088","33","Diet 33",-2.27811906684001,0.00102020551345776,TRUE
"LOC126284105","33","Diet 33",-3.64508524288249,0.012732847735916,TRUE
"LOC126284106","33","Diet 33",-3.39455494091004,0.032515868664195,TRUE
"LOC126284231","33","Diet 33",-3.08683297591717,5.68721628452418e-12,TRUE
"LOC126284235","33","Diet 33",-2.41355697749352,0.0384031774407456,TRUE
"LOC126284276","33","Diet 33",-1.5950518969686,0.0356122812656431,TRUE
"LOC126284283","33","Diet 33",1.6801678494848,0.0229280296796549,TRUE
"LOC126284300","33","Diet 33",-1.62630588722282,0.0206742470222425,TRUE
"LOC126284305","33","Diet 33",4.82565043271225,0.000418508823886963,TRUE
"LOC126284317","33","Diet 33",-1.4578061915868,0.0391029872799996,TRUE
"LOC126284338","33","Diet 33",4.71706270503668,0.0244261557266586,TRUE
"LOC126284367","33","Diet 33",-2.05296423616185,0.00468788416987722,TRUE
"LOC126284371","33","Diet 33",2.1647435474693,0.00222380167670447,TRUE
"LOC126284375","33","Diet 33",2.09134681935152,0.0296139310633314,TRUE
"LOC126284383","33","Diet 33",-2.16058386596769,0.0247245539873225,TRUE
"LOC126284452","33","Diet 33",-1.55878664379659,0.0060746170055961,TRUE
"LOC126284462","33","Diet 33",1.73172428606607,0.0195294371065303,TRUE
"LOC126284491","33","Diet 33",-2.63287407914128,0.0101387369845395,TRUE
"LOC126284507","33","Diet 33",1.67497424811136,0.0304614198860779,TRUE
"LOC126284548","33","Diet 33",3.9550213017505,5.77133489110207e-10,TRUE
"LOC126284556","33","Diet 33",-2.36984678744493,0.014471747652593,TRUE
"LOC126284566","33","Diet 33",-4.69122684393978,0.0454312077158121,TRUE
"LOC126284577","33","Diet 33",-3.2481112056168,0.0272068312057808,TRUE
"LOC126284626","33","Diet 33",-4.00819245228282,0.0214672252591307,TRUE
"LOC126284629","33","Diet 33",-1.42591034461471,0.0270569488104942,TRUE
"LOC126284639","33","Diet 33",2.65542397544626,0.00830127182020023,TRUE
"LOC126284640","33","Diet 33",2.1034788681299,7.08111080814883e-05,TRUE
"LOC126284651","33","Diet 33",3.10858044340329,0.000492913394519813,TRUE
"LOC126284686","33","Diet 33",-2.54310697174388,1.41840491536509e-05,TRUE
"LOC126284752","33","Diet 33",-2.27483923616599,0.00724642502617468,TRUE
"LOC126284768","33","Diet 33",1.72894180551224,0.0386369382244315,TRUE
"LOC126284771","33","Diet 33",1.36692938142342,0.033568943989373,TRUE
"LOC126284778","33","Diet 33",-1.46695750021428,0.0397658053956355,TRUE
"LOC126284786","33","Diet 33",-2.0598618180535,0.0413998901498389,TRUE
"LOC126284801","33","Diet 33",6.04084943732903,3.6934781438534e-07,TRUE
"LOC126284811","33","Diet 33",-2.39357497208033,3.58421869851534e-05,TRUE
"LOC126284812","33","Diet 33",-2.74582198804782,0.000841093768891659,TRUE
"LOC126284817","33","Diet 33",4.91807866730531,1.90288005582336e-08,TRUE
"LOC126284821","33","Diet 33",-1.69027754635128,0.0440473550392689,TRUE
"LOC126284857","33","Diet 33",1.61437377431802,0.0366169493012387,TRUE
"LOC126284880","33","Diet 33",1.41008296236789,2.59968179806098e-05,TRUE
"LOC126284898","33","Diet 33",-1.66352709028333,0.0155207408881933,TRUE
"LOC126284901","33","Diet 33",7.29769251360808,0.000197414100263901,TRUE
"LOC126284902","33","Diet 33",7.607718425622,1.84431631946071e-06,TRUE
"LOC126284908","33","Diet 33",-2.20116341321684,0.0164248403107974,TRUE
"LOC126284914","33","Diet 33",-1.90218054226778,0.0394989877498113,TRUE
"LOC126284936","33","Diet 33",-4.3486638221633,0.00014450432890023,TRUE
"LOC126284941","33","Diet 33",1.14189867621298,0.0401745960616719,TRUE
"LOC126284942","33","Diet 33",3.83730183414353,1.24427231429359e-07,TRUE
"LOC126285032","33","Diet 33",-1.72271157826887,0.00848935233036869,TRUE
"LOC126285233","33","Diet 33",1.61040122714051,0.0470650635173835,TRUE
"LOC126285253","33","Diet 33",-2.91628315352883,0.0398147490485627,TRUE
"LOC126285254","33","Diet 33",-2.44068332952573,0.0399861780714049,TRUE
"LOC126285297","33","Diet 33",-1.63099729919257,0.0343440843229415,TRUE
