name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sirenicapillariaceae	2934961	F	13	0	13	0.00000
Synechococcaceae	1890426	F	116	11	127	0.00002
Prochlorococcaceae	2881426	F	91	3	94	0.00001
Leptolyngbyaceae	1890438	F	54	12	66	0.00001
Pseudanabaenaceae	1890436	F	35	2	37	0.00001
Gloeobacteraceae	1890422	F	25	0	25	0.00000
Acaryochloridaceae	1890429	F	16	0	16	0.00000
Pleurocapsaceae	1890500	F	11	0	11	0.00000
Chloroflexaceae	1106	F	43	0	43	0.00001
Anaerolineaceae	292628	F	31	0	31	0.00000
Dehalococcoidaceae	1202464	F	13	0	13	0.00000
Fusobacteriaceae	203492	F	257	104	361	0.00005
Leptotrichiaceae	1129771	F	111	40	151	0.00002
Thermaceae	188786	F	83	1	84	0.00001
Deinococcaceae	183710	F	81	0	81	0.00001
Fervidobacteriaceae	1643950	F	35	18	53	0.00001
Thermotogaceae	188709	F	24	0	24	0.00000
Petrotogaceae	1643949	F	24	2	26	0.00000
Plasmodiidae	1639119	F	229842	936005	1165847	0.17507
Babesiidae	32594	F	906	2481	3387	0.00051
Theileriidae	27994	F	59	77	136	0.00002
Sarcocystidae	5809	F	14462	116783	131245	0.01971
Cryptosporidiidae	35082	F	118	234	352	0.00005
Thalassiosiraceae	29202	F	8115	367	8482	0.00127
Neidiaceae	432548	F	46	0	46	0.00001
Peronosporaceae	4777	F	301	15	316	0.00005
Hominidae	9604	F	243115	2296291	2539406	0.38133
Cryptococcaceae	1884633	F	46321	211147	257468	0.03866
Trichosporonaceae	1759442	F	263	3082	3345	0.00050
Marasmiaceae	654128	F	78	148	226	0.00003
Agrocybaceae	3710399	F	33	38	71	0.00001
Ceratobasidiaceae	5250	F	15	10	25	0.00000
Ustilaginaceae	5268	F	546	5037	5583	0.00084
Malasseziaceae	742845	F	193	1265	1458	0.00022
Pucciniaceae	5262	F	369	1543	1912	0.00029
Sordariaceae	5148	F	1838	9279	11117	0.00167
Chaetomiaceae	35718	F	164	425	589	0.00009
Podosporaceae	2609812	F	83	196	279	0.00004
Pyriculariaceae	2528436	F	168	16	184	0.00003
Hypocreaceae	5129	F	812	10381	11193	0.00168
Nectriaceae	110618	F	459	3137	3596	0.00054
Clavicipitaceae	34397	F	178	221	399	0.00006
Ophiocordycipitaceae	474942	F	34	202	236	0.00004
Cordycipitaceae	474943	F	30	96	126	0.00002
Glomerellaceae	681950	F	309	3271	3580	0.00054
Sclerotiniaceae	28983	F	54	825	879	0.00013
Mycosphaerellaceae	93133	F	735	764	1499	0.00023
Didymellaceae	683158	F	100	124	224	0.00003
Pleosporaceae	28556	F	32	129	161	0.00002
Aspergillaceae	1131492	F	571	2762	3333	0.00050
Trichocomaceae	28568	F	61	335	396	0.00006
Onygenaceae	33184	F	224	2334	2558	0.00038
Metschnikowiaceae	27319	F	2773	7202	9975	0.00150
Debaryomycetaceae	766764	F	393	3588	3981	0.00060
Pichiaceae	1156497	F	373	1365	1738	0.00026
Saccharomycetaceae	4893	F	925	21337	22262	0.00334
