"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC126284671",6.7671516349786,5.54403415070322e-08,0.00144269442981343,0.932145452002745,0.990987758973135
"LOC126284608",57.5770178191386,4.54376737097863e-07,0.00144269209671292,0.753592145810298,0.969160857995069
"LOC126285434",459.738163160993,2.72593200030561e-06,0.00144267852704341,0.446340219711417,0.927352677225828
"LOC126285432",86.7083286992532,-6.35761453511162e-06,0.00144265449182296,0.276737984241524,0.927352677225828
"LOC126285431",164.759167626848,-2.8149487940796e-07,0.00144269342279136,0.797606904082886,0.976023230323461
"LOC126285435",467.138538178454,-2.77752812205444e-07,0.00144269321836769,0.811381304643396,0.977296236462852
"LOC126285437",18.0218111513788,7.12837293634431e-07,0.00144268689203935,0.769168625710722,0.97096333457048
"LOC126285438",6.08778495085806,-1.79103950961326e-06,0.0014426946973895,0.0302964142651445,0.927352677225828
"LOC126284188",34.5037079717499,3.04356052502378e-06,0.00144267731427713,0.415475277012307,0.927352677225828
"LOC126284189",10.709386371,1.97084918733804e-06,0.00144268671548047,0.437643309393957,0.927352677225828
"LOC126284080",299.489234630778,-7.66488837149958e-07,0.00144266600066786,0.868408564592683,0.986205381119672
"LOC126284971",3.58863046059545,-2.56906502507069e-07,0.00144269487399571,0.739134231128479,0.966726436707293
"LOC126284973",3.42862506676105,-4.25666705577388e-07,0.00144269297594843,0.731529390516208,0.964098580741648
"LOC126284977",11.8137163095257,1.5123369588592e-06,0.00144269292113136,0.261341586654326,0.927352677225828
"LOC126284978",4.89695021352513,6.17450057557893e-07,0.0014426941064762,0.47244780633863,0.930930348428104
"LOC126284343",2.83791164860439,6.77642475746629e-07,0.00144269476546894,0.177492159697059,0.927352677225828
"LOC126284952",97.1149301196517,-4.14735905989336e-07,0.00144269418864688,0.60549832798472,0.942046318980362
"LOC126285144",8.51554573880574,-3.67600972192594e-07,0.00144269504020249,0.0314780143357486,0.927352677225828
"LOC126284396",13.2836519205061,1.26667718863031e-06,0.00144269345140816,0.275609731113757,0.927352677225828
"LOC126284805",9.83433784473705,-1.34066387963605e-06,0.00144269352736776,0.244873405715284,0.927352677225828
"LOC126284767",47.0193221003603,-4.53578475156198e-06,0.00144268254275529,0.183501203165625,0.927352677225828
"LOC126284280",9.69267668937933,-2.75943168118871e-07,0.00144268831062598,0.90055009763217,0.989000413640377
"LOC126284282",168.396820058082,-1.1304878085789e-06,0.00144262717556935,0.872603679192778,0.986503539925908
"LOC126284228",154.350730178265,4.72496104677313e-06,0.00144268692242619,0.10899236989497,0.927352677225828
"LOC126284368",80.5639258547308,2.88119641207186e-06,0.00144265108339203,0.614994936244903,0.942046318980362
"LOC126284290",91.5735721558262,2.66576923147572e-06,0.00144267658776435,0.478871630493953,0.930930348428104
"LOC126284489",123.056154795631,7.07668442877301e-07,0.00144268522520713,0.789080822573931,0.974594862169752
"LOC126284676",84.3789268050079,9.85744750479282e-07,0.00144268957336752,0.623389807612693,0.943060518186686
"LOC126284374",256.489977712573,2.79891354541696e-06,0.00144267254268166,0.498999477012103,0.930930348428104
"LOC126284372",139.968154234742,8.99927679450973e-06,0.00144266880087149,0.0952484534201146,0.927352677225828
"LOC126284375",53.0863973443168,-1.50129070958934e-06,0.00144269416166456,0.121059658924581,0.927352677225828
"LOC126284376",3.83476306676278,-6.61652098864885e-08,0.00144269386219277,0.943213413822352,0.992348034963371
"LOC126285355",26.988071766526,-3.72639663285912e-06,0.0014426884509433,0.141978845282946,0.927352677225828
"LOC126285356",293.101095085565,-2.82161364550597e-06,0.00144268927990403,0.215298397575933,0.927352677225828
"LOC126285414",5.95897989409366,-1.21859780284442e-06,0.00144269368379383,0.261050344035649,0.927352677225828
"LOC126285413",590.75127451382,-1.05053820902269e-06,0.00144269236513666,0.467505416628011,0.930423966802871
"LOC126284211",58.1775562572854,-3.61130487313086e-06,0.00144267901273631,0.319026418632075,0.927352677225828
"LOC126284110",67.3375810086509,1.23356964686162e-06,0.00144268289797106,0.680307692198443,0.95710757825734
"LOC126284613",21.5108244131344,-2.78643272144474e-06,0.00144268186864531,0.388799468501805,0.927352677225828
"LOC126284615",51.3534996858536,1.05402585156151e-05,0.00144267692090866,0.152862974634758,0.927352677225828
"LOC126284616",7.16963354878668,-2.36097883774578e-06,0.00144269423673287,0.0370278715324602,0.927352677225828
"LOC126285146",11.4395578927017,-6.61431101531682e-07,0.00144269493860771,0.0790082488920888,0.927352677225828
"LOC126284849",3.53546394853163,8.31402679941716e-07,0.00144269211962162,0.574073567655268,0.938283274542864
"LOC126284852",22.4833216592626,2.80363601681461e-06,0.00144267882234409,0.43062872293667,0.927352677225828
"LOC126284850",273.023752084657,-5.25897422361558e-06,0.00144266320319597,0.306134003121684,0.927352677225828
"LOC126284885",5.67765316876158,-1.11698016729429e-06,0.00144269463395048,0.100408972143915,0.927352677225828
"LOC126284736",23.2505037656321,2.29767604592059e-06,0.00144269443898289,0.0314278266546821,0.927352677225828
"LOC126284734",128.096765453541,-2.55902569288961e-06,0.00144266671633989,0.580497733986497,0.939106683755093
"LOC126284739",2.95101281107784,9.72725720259412e-07,0.00144269224409033,0.507418715212264,0.931727717011657
"LOC126284737",88.4321556619227,2.66028580346473e-06,0.00144268218994829,0.403310327461751,0.927352677225828
"LOC126284738",184.317468980486,3.71821819964767e-06,0.00144267178599182,0.386816759853691,0.927352677225828
"LOC126284768",35.4093686009627,-1.62631558751957e-06,0.00144269368397643,0.159798416726563,0.927352677225828
"LOC126284357",21.0417389064545,-5.14491173532232e-06,0.00144268632449413,0.0971041988292654,0.927352677225828
"LOC126284358",16.6104988348619,1.65129252102928e-06,0.00144268100538738,0.607933086578058,0.942046318980362
"LOC126284244",328.961818864259,8.26288512297388e-07,0.00144269306100866,0.4993306444154,0.930930348428104
"LOC126284243",199.848802525735,9.66238526751345e-07,0.00144267957625885,0.772310333996949,0.971279633463887
"LOC126284242",201.688288581922,2.11863162778947e-06,0.00144269167762519,0.220180852881322,0.927352677225828
"LOC126285318",103.893386743735,6.97331313078516e-07,0.00144266868061035,0.872482563452299,0.986503539925908
"LOC126285315",11.9489010305316,-2.15649629479491e-07,0.00144269207413423,0.883686414212716,0.988044086128971
"LOC126285316",15.8686214613795,-1.46410642342376e-06,0.0014426952096012,0.00120081176441132,0.172894860831846
"LOC126284773",20.300150899003,2.45877949309999e-06,0.00144268134302722,0.450997804522501,0.927352677225828
"LOC126284775",67.4654313060016,-4.914578633342e-06,0.00144267986074245,0.188222912543367,0.927352677225828
"LOC126284774",132.646451083409,1.48642262802232e-06,0.00144269378623356,0.174459487659657,0.927352677225828
"LOC126284776",37.7633970354422,8.19038230299299e-07,0.00144267527606238,0.827930474535988,0.979456616102484
"LOC126284777",155.884324847963,1.03537702553476e-06,0.00144268450305327,0.708093272452251,0.960670534871723
"LOC126284781",500.378716346555,-6.06111736226232e-07,0.00144269362912849,0.562322294289917,0.937433071508909
"LOC126284457",48.6184081898529,3.5929856497076e-07,0.00144269418151788,0.647327904581094,0.949750199852585
"LOC126284704",12.2573782538755,8.7004033150105e-08,0.00144269428621734,0.90645314432063,0.990371883419962
"LOC126284438",265.000562085315,-7.290001079453e-07,0.00144269373810843,0.473055575625807,0.930930348428104
"LOC126284491",549.826855126251,-9.22279212289182e-07,0.00144269407291032,0.311107449206217,0.927352677225828
"LOC126284711",168.369756286562,-1.5791231644209e-06,0.00144269492679163,0.0180578619251703,0.857178039430295
"LOC126284086",390.584165788155,-1.00829652193872e-06,0.0014426944999581,0.170869251594795,0.927352677225828
"LOC126284087",32.8902963027346,-2.70572512088812e-07,0.00144269444017257,0.693671899131333,0.959158212035797
"LOC126284577",160.558849471918,-6.40936446309597e-07,0.00144269456028798,0.321637434713509,0.927352677225828
"LOC126284565",28.6917504673134,-9.70860621058977e-07,0.00144269417950752,0.263888192062138,0.927352677225828
"LOC126284088",618.040439977576,-2.30609906693215e-06,0.00144269378103609,0.0701184694604279,0.927352677225828
"LOC126284089",49.0714146770664,-1.13924396450431e-06,0.00144269454266395,0.122965111536133,0.927352677225828
"LOC126284694",471.325128579697,-4.04394574666223e-07,0.00144269433632016,0.586958035721564,0.940816973899309
"LOC126284845",5.73039520754511,-4.45364295235694e-07,0.00144269474832799,0.375774770664262,0.927352677225828
"LOC126284417",38.6383699825446,-4.79559376386397e-07,0.0014426947035289,0.368375189824273,0.927352677225828
"LOC126284418",1.67562255394237,-1.35294531933227e-06,0.00144269479014899,0.0370560309157019,0.927352677225828
"LOC126284425",18.8304633334479,-1.47412839329163e-06,0.0014426941569394,0.127837010203699,0.927352677225828
