"Gene","n_samples_ge_minCount","kept"
"LOC126336977",41,TRUE
"Trnae-cuc",0,FALSE
"Trnal-aag",0,FALSE
"LOC126338601",0,FALSE
"LOC126266588",0,FALSE
"LOC126361402",0,FALSE
"LOC126288710",0,FALSE
"LOC126338548",0,FALSE
"LOC126338706",0,FALSE
"LOC126355465",0,FALSE
"LOC126336989",0,FALSE
"LOC126338860",0,FALSE
"LOC126336997",44,TRUE
"LOC126337005",44,TRUE
"LOC126337011",44,TRUE
"LOC126339019",0,FALSE
"LOC126299744",0,FALSE
"LOC126337017",44,TRUE
"LOC126337031",43,TRUE
"LOC126337074",42,TRUE
"LOC126337093",0,FALSE
"LOC126337082",21,TRUE
"LOC126337104",7,TRUE
"LOC126337120",0,FALSE
"LOC126339176",0,FALSE
"LOC126315621",0,FALSE
"LOC126337131",44,TRUE
"LOC126337228",44,TRUE
"LOC126339334",1,FALSE
"LOC126337254",44,TRUE
"LOC126337270",44,TRUE
"LOC126337296",44,TRUE
"LOC126337342",44,TRUE
"LOC126337419",35,TRUE
"LOC126337548",42,TRUE
"LOC126337675",0,FALSE
"LOC126337691",12,TRUE
"LOC126337512",43,TRUE
"LOC126337435",44,TRUE
"LOC126337707",44,TRUE
"Trnav-cac",0,FALSE
"LOC126337753",41,TRUE
"LOC126337818",43,TRUE
"LOC126337770",44,TRUE
"LOC126337802",0,FALSE
"LOC126337786",0,FALSE
"LOC126339797",0,FALSE
"LOC126337850",44,TRUE
"LOC126337834",2,FALSE
"LOC126329804",4,FALSE
"LOC126337896",42,TRUE
"LOC126337983",44,TRUE
"Trnag-ucc",0,FALSE
"LOC126337999",44,TRUE
"LOC126339955",2,FALSE
"LOC126340110",3,FALSE
"LOC126340263",26,TRUE
"Trnat-cgu",0,FALSE
"LOC126338025",2,FALSE
"LOC126338041",44,TRUE
"LOC126338109",44,TRUE
"LOC126338067",44,TRUE
"LOC126338093",23,TRUE
"LOC126338145",44,TRUE
"LOC126338161",0,FALSE
"LOC126338177",43,TRUE
"LOC126338294",44,TRUE
"LOC126338310",44,TRUE
"LOC126338336",8,TRUE
"LOC126334961",0,FALSE
"LOC126338352",44,TRUE
"LOC126338439",7,TRUE
"LOC126338450",44,TRUE
"LOC126338486",44,TRUE
"LOC126338532",44,TRUE
"LOC126338559",2,FALSE
"Trnar-gcg",0,FALSE
"LOC126338575",44,TRUE
"LOC126338632",44,TRUE
"LOC126338648",44,TRUE
"LOC126338664",44,TRUE
"LOC126338700",44,TRUE
"LOC126338717",0,FALSE
"LOC126338753",44,TRUE
"LOC126338779",0,FALSE
"LOC126338861",43,TRUE
"LOC126338887",44,TRUE
"LOC126338913",44,TRUE
"LOC126340574",0,FALSE
"LOC126338929",44,TRUE
"LOC126338945",44,TRUE
"LOC126338961",42,TRUE
"LOC126338987",28,TRUE
"LOC126339003",6,TRUE
"LOC126339020",43,TRUE
"LOC126335585",34,TRUE
"LOC126339036",42,TRUE
"LOC126339068",0,FALSE
"LOC126339052",0,FALSE
"LOC126339094",44,TRUE
"LOC126340731",40,TRUE
"LOC126339150",44,TRUE
"Trnap-agg",0,FALSE
"LOC126339177",44,TRUE
"LOC126339203",44,TRUE
"LOC126339239",44,TRUE
"LOC126339265",44,TRUE
"LOC126339291",0,FALSE
"Trnas-acu",0,FALSE
"LOC126336428",0,FALSE
"LOC126341035",0,FALSE
"LOC126341713",0,FALSE
"LOC126345891",0,FALSE
"LOC126343277",0,FALSE
"LOC126339307",2,FALSE
"LOC126339323",44,TRUE
"LOC126339466",42,TRUE
"LOC126339400",35,TRUE
"LOC126341345",44,TRUE
"LOC126341504",0,FALSE
"LOC126339492",44,TRUE
"LOC126341660",0,FALSE
"LOC126341815",0,FALSE
"LOC126339548",44,TRUE
"LOC126339564",40,TRUE
"LOC126339580",27,TRUE
"LOC126339596",44,TRUE
"LOC126339612",44,TRUE
"LOC126339755",44,TRUE
"LOC126339739",44,TRUE
"LOC126339798",1,FALSE
"LOC126339781",44,TRUE
"LOC126339814",1,FALSE
"LOC126339830",9,TRUE
"LOC126339866",44,TRUE
"LOC126339912",41,TRUE
"LOC126339928",44,TRUE
"LOC126339944",0,FALSE
"LOC126339971",0,FALSE
"LOC126339987",12,TRUE
"LOC126340003",1,FALSE
"LOC126340024",1,FALSE
"LOC126340300",3,FALSE
"LOC126340111",44,TRUE
"LOC126340284",5,FALSE
"LOC126340122",44,TRUE
"LOC126340356",36,TRUE
"LOC126340442",43,TRUE
"LOC126340458",39,TRUE
"LOC126349536",0,FALSE
"LOC126340484",44,TRUE
"LOC126342131",0,FALSE
"LOC126340500",4,FALSE
"LOC126340516",44,TRUE
"LOC126340558",44,TRUE
"LOC126340542",44,TRUE
"LOC126340591",43,TRUE
"LOC126340575",44,TRUE
"LOC126340607",44,TRUE
"LOC126340623",44,TRUE
"LOC126340649",44,TRUE
"LOC126340742",44,TRUE
"LOC126342441",0,FALSE
"LOC126340665",42,TRUE
"LOC126340798",44,TRUE
"LOC126340904",44,TRUE
"LOC126341081",44,TRUE
"LOC126341097",44,TRUE
"LOC126341133",38,TRUE
"LOC126341159",44,TRUE
"LOC126341185",44,TRUE
"LOC126342597",12,TRUE
"LOC126342753",15,TRUE
"LOC126341201",32,TRUE
"LOC126342910",0,FALSE
"LOC126341237",37,TRUE
"LOC126341283",35,TRUE
"LOC126341356",44,TRUE
"LOC126341299",44,TRUE
"LOC126341392",44,TRUE
"LOC126341418",44,TRUE
"LOC126341482",27,TRUE
"LOC126341466",33,TRUE
"LOC126341434",44,TRUE
"LOC126341450",24,TRUE
"LOC126343066",20,TRUE
"LOC126341493",0,FALSE
"LOC126341510",36,TRUE
"LOC126341556",0,FALSE
"LOC126343223",0,FALSE
"LOC126341572",0,FALSE
"LOC126343383",0,FALSE
"LOC126343540",0,FALSE
"LOC126341588",0,FALSE
"LOC126341609",0,FALSE
"LOC126341671",43,TRUE
"LOC126341697",39,TRUE
"LOC126341744",37,TRUE
"LOC126341821",44,TRUE
"LOC126341837",40,TRUE
"LOC126341853",44,TRUE
"LOC126343696",0,FALSE
"LOC126341869",44,TRUE
"LOC126341901",44,TRUE
"LOC126342040",35,TRUE
"LOC126341927",41,TRUE
"LOC126341963",41,TRUE
"LOC126341885",41,TRUE
"LOC126342056",44,TRUE
"LOC126342072",14,TRUE
"LOC126342088",44,TRUE
"LOC126342104",0,FALSE
"LOC126342120",44,TRUE
"LOC126342147",44,TRUE
"LOC126342183",43,TRUE
"LOC126342199",42,TRUE
"LOC126342225",4,FALSE
"LOC126342297",44,TRUE
"LOC126342343",43,TRUE
"LOC126342281",44,TRUE
"LOC126343854",0,FALSE
"LOC126342369",44,TRUE
"LOC126342462",44,TRUE
"LOC126342415",44,TRUE
"LOC126342498",44,TRUE
"LOC126344010",0,FALSE
"LOC126342514",44,TRUE
"LOC126342540",44,TRUE
"LOC126342556",44,TRUE
"LOC126344167",0,FALSE
"LOC126342643",44,TRUE
"LOC126342685",44,TRUE
"LOC126342701",38,TRUE
"LOC126342742",43,TRUE
"LOC126342669",44,TRUE
"LOC126344326",0,FALSE
"LOC126344485",0,FALSE
"LOC126342759",0,FALSE
"LOC126342775",34,TRUE
"LOC126342851",44,TRUE
"LOC126342867",43,TRUE
"LOC126351094",43,TRUE
"LOC126342899",44,TRUE
"LOC126342883",44,TRUE
"LOC126342926",44,TRUE
"LOC126342992",42,TRUE
"LOC126343008",44,TRUE
"LOC126343024",43,TRUE
"LOC126343060",44,TRUE
"LOC126344642",4,FALSE
"LOC126343077",44,TRUE
"LOC126344799",0,FALSE
"LOC126344954",0,FALSE
"LOC126345110",0,FALSE
"LOC126343123",0,FALSE
"LOC126343159",44,TRUE
"LOC126353701",0,FALSE
"LOC126343175",44,TRUE
"LOC126343191",44,TRUE
"Trnag-gcc",0,FALSE
"LOC126354635",1,FALSE
"LOC126343207",43,TRUE
"LOC126343240",43,TRUE
"LOC126343256",41,TRUE
"LOC126345269",16,TRUE
"LOC126343319",42,TRUE
"LOC126343303",44,TRUE
"LOC126343224",43,TRUE
"LOC126343335",43,TRUE
"LOC126343351",44,TRUE
"LOC126343367",21,TRUE
"LOC126343384",44,TRUE
"LOC126343410",44,TRUE
"LOC126286652",0,FALSE
"LOC126345423",0,FALSE
"LOC126343426",18,TRUE
"LOC126343581",44,TRUE
"LOC126343484",44,TRUE
"LOC126343458",1,FALSE
"LOC126343442",0,FALSE
"LOC126343597",44,TRUE
"LOC126343623",44,TRUE
"LOC126343665",44,TRUE
"LOC126343639",28,TRUE
"LOC126345582",0,FALSE
"LOC126343702",40,TRUE
"LOC126343748",44,TRUE
"LOC126343774",44,TRUE
"LOC126343800",0,FALSE
"LOC126343816",43,TRUE
"LOC126343832",44,TRUE
"LOC126343848",36,TRUE
"LOC126343865",44,TRUE
"LOC126343901",44,TRUE
"LOC126343967",0,FALSE
"LOC126284436",0,FALSE
"LOC126343983",7,TRUE
"LOC126344004",44,TRUE
"LOC126344021",22,TRUE
"LOC126344047",8,TRUE
"LOC126285150",35,TRUE
"LOC126289264",0,FALSE
"LOC126287603",0,FALSE
"LOC126344078",42,TRUE
"LOC126290925",0,FALSE
"LOC126344094",44,TRUE
"LOC126344130",39,TRUE
"LOC126344215",42,TRUE
"LOC126344146",44,TRUE
"LOC126344173",44,TRUE
"LOC126344189",0,FALSE
"LOC126344231",41,TRUE
"LOC126291951",0,FALSE
"LOC126344273",0,FALSE
"LOC126344257",0,FALSE
"LOC126344289",43,TRUE
"LOC126344305",13,TRUE
"LOC126344332",4,FALSE
"LOC126293151",0,FALSE
"LOC126344358",0,FALSE
"LOC126344374",44,TRUE
"LOC126346048",0,FALSE
"LOC126344400",0,FALSE
"LOC126344411",9,TRUE
"LOC126344437",0,FALSE
"LOC126344463",12,TRUE
"LOC126344479",5,FALSE
"LOC126344496",44,TRUE
"LOC126295285",44,TRUE
"LOC126346203",0,FALSE
"LOC126344512",7,TRUE
"LOC126344538",7,TRUE
"LOC126344554",43,TRUE
"LOC126298499",0,FALSE
"LOC126299209",0,FALSE
"LOC126346362",22,TRUE
"LOC126344570",44,TRUE
"LOC126344596",44,TRUE
"LOC126344673",44,TRUE
"LOC126344704",38,TRUE
"LOC126344720",44,TRUE
"LOC126344736",41,TRUE
"LOC126344762",44,TRUE
"LOC126344778",44,TRUE
"LOC126344845",40,TRUE
"LOC126344871",44,TRUE
"LOC126344887",44,TRUE
"LOC126344938",44,TRUE
"LOC126345015",43,TRUE
"LOC126345031",43,TRUE
"LOC126345047",44,TRUE
"LOC126345073",6,TRUE
"LOC126345089",0,FALSE
"LOC126345116",28,TRUE
"LOC126345132",4,FALSE
"LOC126346932",0,FALSE
"LOC126345148",44,TRUE
"LOC126345189",18,TRUE
"LOC126347090",0,FALSE
"LOC126347244",0,FALSE
"LOC126300298",0,FALSE
"LOC126347400",1,FALSE
"LOC126301376",7,TRUE
"LOC126306122",44,TRUE
"LOC126307739",31,TRUE
"LOC126309398",0,FALSE
"LOC126312625",0,FALSE
"LOC126315622",13,TRUE
"LOC126317053",0,FALSE
"LOC126320756",7,TRUE
"LOC126323150",4,FALSE
"LOC126324532",12,TRUE
"LOC126345252",1,FALSE
"LOC126345236",44,TRUE
"LOC126345210",44,TRUE
"LOC126345263",44,TRUE
"LOC126345320",42,TRUE
"LOC126345346",44,TRUE
"LOC126347554",6,TRUE
"Trnaa-ggc",0,FALSE
"LOC126345402",44,TRUE
