"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC126336029",36.6263265228447,0.0425268676887822,0.0823241529542182,0.176040894560026,0.893026853945882
"LOC126336039",64.1755968387975,0.0815700629915459,0.0748179756046828,0.044121570456888,0.705103437277653
"LOC126336048",12.150589734523,-0.0145009706006863,0.0866354980084,0.491589319710383,0.948622106298284
"LOC126336072",147.722982335639,0.00357437042669503,0.0796208189832971,0.917159520042582,0.9781146186757
"LOC126336103",27.4169206492779,-0.0213795132604113,0.0901626851439749,0.2464633586842,0.930512232903908
"LOC126336114",37.1795807369463,-0.00276010354367145,0.0840413237964079,0.916739236249766,0.9781146186757
"LOC126336125",41.1208773527572,-0.0224219686680679,0.0872720618589922,0.297658893334606,0.938471263871543
"LOC126336147",111.181649413772,0.0191921380752012,0.086173562456693,0.397441208995862,0.948622106298284
"LOC126336190",2.77092227273336,-0.015560476865212,0.139856089917589,0.180862280443347,0.894739818846658
"LOC126285012",5.06266997843717,-0.117875041746771,0.518348094590728,0.00857107975478514,0.467555752205335
"LOC126285019",13.7366253964853,0.00137177008542864,0.0897520687620229,0.919790798560362,0.978790126973578
"LOC126336196",13.2328537784557,0.013575010837533,0.0887432051356172,0.437645327896142,0.948622106298284
"LOC126336213",7.40673675544531,-0.00123207600753703,0.0901802259376656,0.925139154840307,0.979897003176337
"LOC126285050",5.51900955918808,0.0272792137705922,0.122553696723866,0.0804961933800033,0.799907243828008
"LOC126336240",54.8105107816236,-0.0241212968159796,0.0836688562807181,0.388254320132608,0.948622106298284
"LOC126336248",143.367411055419,-0.00690086922711459,0.0874032041600186,0.707186527999045,0.949691489574408
"LOC126336257",97.1257102058043,-0.0332597381120962,0.0764590707525069,0.384451027159469,0.948622106298284
"LOC126336272",99.5332603202082,0.00488538902717301,0.0819366540528284,0.87352592891411,0.969047566860679
"LOC126336294",6.35291735778588,0.0122454990909666,0.0903389888341715,0.430070169937626,0.948622106298284
"LOC126336310",185.625681452704,0.032233624112782,0.074758963140996,0.416858445958152,0.948622106298284
"LOC126336369",66.5029058293932,-0.00328515022648368,0.0876711523386329,0.850198970557074,0.96311698021674
"LOC126336389",25.3261263010046,0.0262692834668053,0.0840921826065901,0.336653097166766,0.938539814032932
"LOC126336394",18.469434981014,-0.00780599745045988,0.0847191369519151,0.754065140525013,0.952970371813338
"LOC126336454",26.2765454389543,0.013165686842422,0.0977667543266541,0.308000334494429,0.938505097080106
"LOC126336400",582.552356751984,-0.0345125965591842,0.0765633262683465,0.365726422043712,0.943672930877574
"LOC126336571",41.6543207309084,-0.0305892651876004,0.0839151689180487,0.275119120824615,0.935201883633624
"LOC126336442",31.1441532604471,-0.0240092315555601,0.0823831229173926,0.427702780794737,0.948622106298284
"LOC126336429",516.649442638193,0.0209099796566401,0.0835500338681129,0.455139818373492,0.948622106298284
"LOC126336461",14.5569064164327,0.0216987688802433,0.0862386332016999,0.344612745777031,0.939145046071956
"LOC126336462",80.3217883605799,0.0115303914151758,0.0794378548358341,0.739307369216021,0.951993059089382
"LOC126336481",566.767054627701,-0.0382307372138129,0.0866990513084022,0.134556211822792,0.870378347525671
"LOC126336470",20.7198075972157,-0.0327124298829359,0.0975699853782723,0.0911129784956122,0.810542252537302
"LOC126336497",81.2093692373163,-0.0646640504944737,0.0848388559142541,0.042507083021082,0.697067769444828
"LOC126336501",37.5329340954871,0.0297336097406604,0.083867820873927,0.28880317170133,0.93654434587058
"LOC126336505",1.71454112796093,0.00294307874396068,0.157072743298549,0.742015488370425,0.951993059089382
"LOC126337202",2.80730527282412,0.00575710910878529,0.0912291564071564,0.656311158044025,0.949082319468304
"LOC126336530",382.744518402235,0.0190435043931397,0.0793609565550795,0.584400852462371,0.949082319468304
"LOC126336536",227.013998700597,0.00681917385049717,0.0849544807202242,0.779187765500803,0.954653770656314
"LOC126336544",228.831649943474,0.0727245767148981,0.0757173067743489,0.0666362968740896,0.768039483756124
"LOC126336563",15.1706059629574,0.0114528588017994,0.0872577330285932,0.554178360132811,0.948931196053636
"LOC126336572",242.895717445891,0.0628858749325772,0.0723197180045353,0.130580805365246,0.866368700348082
"LOC126336638",15.4581080109542,-0.00439263912949901,0.0912069934989744,0.727990748561583,0.951275592664235
"LOC126336610",54.6683795412986,0.0105767002795757,0.0841410404301404,0.687918768037279,0.949082319468304
"LOC126336647",30.149570313184,-0.0322782967400435,0.0833540496594224,0.267221544789049,0.934637191442493
"LOC126336676",207.562217653267,0.0612936988198318,0.0798918943928668,0.0849971196998259,0.801093423114542
"LOC126336686",73.8882857894409,-0.02149515565677,0.0862114465523004,0.34943302565015,0.940652127710713
"LOC126336728",71.1176650685157,0.000512674277884541,0.080740975266601,0.987490429721689,0.99593236063508
"LOC126336714",8.47383697152866,-0.0103981877766057,0.106421075585457,0.340817512923449,0.938539814032932
"LOC126336694",213.814841733409,0.0298911483149989,0.0838865182997142,0.285954896065352,0.93654434587058
"LOC126336741",131.695086647117,-0.0350925981138929,0.0820268450101786,0.26318728776166,0.934637191442493
"LOC126336754",213.946378384185,-0.00779128743713341,0.0729576723515777,0.848927866049581,0.963032361773358
"LOC126336773",170.820828043617,-0.00265322050793212,0.0859622772671048,0.902463910762573,0.97576773100295
"LOC126336788",1132.40243679068,-0.0160826591745528,0.0864659994968331,0.457721534151404,0.948622106298284
"LOC126336798",121.272253576114,-0.0132740030231002,0.0884123624561485,0.456816990648567,0.948622106298284
"LOC126336822",34.5146770990519,0.00361697123868873,0.0854823237498393,0.874583582220247,0.969516522410813
