"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"GO:0043436","oxoacid metabolic process","45/541","233/5278",0.1931330472103,1.88420743655447,4.66489664162127,1.53616594043389e-05,0.00165905921566861,0.00165905921566861,"LOC126267222/LOC126347783/LOC126335966/LOC126284002/LOC126325353/LOC126298530/LOC126276148/LOC126336714/LOC126298220/LOC126295101/LOC126335352/LOC126281994/LOC126365957/LOC126299043/LOC126267350/LOC126267953/LOC126272037/LOC126336251/LOC126356204/LOC126336244/LOC126293368/LOC126297871/LOC126266657/LOC126281446/LOC126271955/LOC126281672/LOC126339036/LOC126281861/LOC126347864/LOC126282517/LOC126335256/LOC126349195/LOC126334613/LOC126281245/LOC126336866/LOC126323251/LOC126266748/LOC126278002/LOC126335505/LOC126354995/LOC126298001/LOC126336122/LOC126355485/LOC126293404/LOC126267535",45,"All infection DEGs","GO",NA,NA
"GO:0007367","segment polarity determination","17/541","55/5278",0.309090909090909,3.01549319442111,5.07742076896556,1.96332547394564e-05,0.00202353688175667,0.00202353688175667,"LOC126284041/LOC126295087/LOC126293373/LOC126278128/LOC126336752/LOC126294945/LOC126295425/LOC126295040/LOC126324835/LOC126266657/LOC126292145/LOC126281663/LOC126294955/LOC126294949/LOC126295191/LOC126295133/LOC126291991",17,"All infection DEGs","GO",NA,NA
"GO:0042742","defense response to bacterium","19/541","66/5278",0.287878787878788,2.80854758303927,4.99620432625005,2.00286217542966e-05,0.00202353688175667,0.00202353688175667,"LOC126285462/LOC126335036/LOC126334929/LOC126322960/LOC126271975/LOC126293178/LOC126267343/LOC126293181/LOC126297857/LOC126267876/LOC126282030/LOC126336373/LOC126352738/LOC126298648/LOC126267163/LOC126272362/LOC126334779/LOC126278673/LOC126272361",19,"All infection DEGs","GO",NA,NA
"GO:1901136","carbohydrate derivative catabolic process","13/541","35/5278",0.371428571428571,3.62365988909427,5.26250009134932,2.09967622395407e-05,0.00205505810419505,0.00205505810419505,"LOC126285462/LOC126267343/LOC126346622/LOC126268068/LOC126267215/LOC126284573/LOC126346580/LOC126346606/LOC126278279/LOC126353854/LOC126267216/LOC126267652/LOC126365918",13,"All infection DEGs","GO",NA,NA
"GO:0044459","GO:0044459","66/541","394/5278",0.16751269035533,1.63425504564775,4.42246802282984,2.41738534712718e-05,0.00225089338628718,0.00225089338628718,"LOC126267315/LOC126336638/LOC126357744/LOC126355933/LOC126336038/LOC126356065/LOC126354218/LOC126282270/LOC126278393/LOC126267869/LOC126271434/LOC126267343/LOC126344570/LOC126267038/LOC126354017/LOC126299506/LOC126285413/LOC126299447/LOC126268068/LOC126335605/LOC126266832/LOC126329244/LOC126271496/LOC126266672/LOC126356271/LOC126281330/LOC126267060/LOC126337022/LOC126334943/LOC126279835/LOC126267215/LOC126281483/LOC126355684/LOC126335539/LOC126336931/LOC126353931/LOC126366011/LOC126272458/LOC126267163/LOC126336041/LOC126322591/LOC126356154/LOC126354018/LOC126298679/LOC126336688/LOC126279309/LOC126284182/LOC126354146/LOC126365747/LOC126285391/LOC126272310/LOC126273193/LOC126282259/LOC126361237/LOC126281351/LOC126267216/LOC126292020/LOC126267652/LOC126266677/LOC126284897/LOC126297555/LOC126281662/LOC126299155/LOC126278382/LOC126267806/LOC126365918",66,"All infection DEGs","GO",NA,NA
"GO:0006811","monoatomic ion transport","54/541","303/5278",0.178217821782178,1.73869438699877,4.47538145601133,2.44895154803342e-05,0.00225089338628718,0.00225089338628718,"LOC126272139/LOC126358740/LOC126336638/LOC126354562/LOC126336038/LOC126356065/LOC126282005/LOC126355391/LOC126334835/LOC126336682/LOC126354478/LOC126285413/LOC126299447/LOC126334955/LOC126267409/LOC126324835/LOC126272767/LOC126354186/LOC126356039/LOC126268194/LOC126279690/LOC126334943/LOC126279835/LOC126272718/LOC126335259/LOC126355684/LOC126335539/LOC126336931/LOC126353931/LOC126356316/LOC126366011/LOC126355303/LOC126337983/LOC126324336/LOC126322591/LOC126355940/LOC126298679/LOC126336688/LOC126279309/LOC126365875/LOC126278232/LOC126354788/LOC126269352/LOC126336375/LOC126282259/LOC126355939/LOC126281351/LOC126292020/LOC126284897/LOC126363354/LOC126297555/LOC126278890/LOC126273067/LOC126267806",54,"All infection DEGs","GO",NA,NA
"GO:0019752","carboxylic acid metabolic process","42/541","216/5278",0.194444444444444,1.89700143766687,4.5488271194108,2.51536617241543e-05,0.00225089338628718,0.00225089338628718,"LOC126267222/LOC126347783/LOC126284002/LOC126325353/LOC126298530/LOC126276148/LOC126336714/LOC126298220/LOC126295101/LOC126335352/LOC126365957/LOC126299043/LOC126267350/LOC126267953/LOC126272037/LOC126336251/LOC126356204/LOC126336244/LOC126293368/LOC126297871/LOC126281446/LOC126271955/LOC126281672/LOC126339036/LOC126281861/LOC126347864/LOC126282517/LOC126335256/LOC126349195/LOC126334613/LOC126281245/LOC126336866/LOC126323251/LOC126266748/LOC126278002/LOC126335505/LOC126354995/LOC126298001/LOC126336122/LOC126355485/LOC126293404/LOC126267535",42,"All infection DEGs","GO",NA,NA
"GO:0030203","glycosaminoglycan metabolic process","11/541","27/5278",0.407407407407407,3.97466967892107,5.23648793068773,3.34143875382785e-05,0.00290705171583023,0.00290705171583023,"LOC126284041/LOC126285462/LOC126335966/LOC126267343/LOC126281994/LOC126268068/LOC126266657/LOC126267215/LOC126267216/LOC126267652/LOC126365918",11,"All infection DEGs","GO",NA,NA
"GO:0008509","monoatomic anion transmembrane transporter activity","26/541","111/5278",0.234234234234234,2.28519092105044,4.6243467843825,3.71300464102784e-05,0.00314300825289167,0.00314300825289167,"LOC126336638/LOC126354562/LOC126356065/LOC126282005/LOC126336682/LOC126285413/LOC126299447/LOC126267409/LOC126324835/LOC126356039/LOC126268194/LOC126279835/LOC126272718/LOC126355684/LOC126353931/LOC126366011/LOC126355940/LOC126298679/LOC126336688/LOC126354788/LOC126269352/LOC126355939/LOC126281351/LOC126284897/LOC126363354/LOC126278890",26,"All infection DEGs","GO",NA,NA
"GO:0097164","GO:0097164","8/541","15/5278",0.533333333333333,5.20320394331485,5.50870980545721,3.87888240921604e-05,0.00319701571201701,0.00319701571201701,"LOC126284808/LOC126335036/LOC126356585/LOC126356204/LOC126271955/LOC126333165/LOC126365745/LOC126284548",8,"All infection DEGs","GO",NA,NA
