"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0015075","monoatomic ion transmembrane transporter activity","monoatomic ion transmembrane transporter activity","MF",NA,"81/783","315/6095",2.00164203612479,4.91828752191775e-08,4.91828752191775e-08,81,81,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278568; LOC126278890; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126299447; LOC126324336; LOC126334943; LOC126334996; LOC126334997; LOC126336038; LOC126336082; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126338336; LOC126341660; LOC126341744; LOC126353927; LOC126353931; LOC126354034; LOC126354186; LOC126354344; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354785; LOC126354788; LOC126354816; LOC126354827; LOC126355303; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005215","transporter activity","transporter activity","MF",NA,"111/783","495/6095",1.74553968806842,1.3950961427012e-07,1.3950961427012e-07,111,111,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272767; LOC126272934; LOC126273067; LOC126273220; LOC126278191; LOC126278232; LOC126278467; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291821; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126299332; LOC126299447; LOC126324336; LOC126334835; LOC126334943; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335294; LOC126335355; LOC126336038; LOC126336082; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126338336; LOC126341660; LOC126341744; LOC126343426; LOC126353927; LOC126353931; LOC126354017; LOC126354018; LOC126354034; LOC126354039; LOC126354163; LOC126354186; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354570; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354785; LOC126354788; LOC126354789; LOC126354816; LOC126354827; LOC126355303; LOC126355391; LOC126355392; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356321; LOC126356631; LOC126357744; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; cpx; Csat; Ent3; Inx2; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; NaPi-T; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; st; Sur; Tk; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0015318","GO:0015318","GO:0015318",NA,NA,"74/783","289/6095",1.99317680644491,3.38619260344182e-07,3.38619260344182e-07,74,74,"LOC126266590; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278191; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126285413; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126324336; LOC126334943; LOC126334996; LOC126334997; LOC126336038; LOC126336082; LOC126336682; LOC126336864; LOC126338336; LOC126341660; LOC126353927; LOC126353931; LOC126354034; LOC126354186; LOC126354344; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354785; LOC126354788; LOC126354816; LOC126354827; LOC126355303; LOC126355582; LOC126355939; LOC126355940; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; Nhe2; Nmdar1; Nmdar2; Pain; para; Rdl; Shaw; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006026","aminoglycan catabolic process","aminoglycan catabolic process","BP",NA,"15/783","23/6095",5.07662835249042,1.62653968504533e-06,1.62653968504533e-06,15,15,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126274364; LOC126278279; LOC126285462; LOC126297427; LOC126346580; LOC126346606; LOC126346622; LOC126365918","Cda4; Cda5; Cht6; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006820","monoatomic anion transport","monoatomic anion transport","BP",NA,"57/783","216/6095",2.05415425003548,8.22336926550303e-06,8.22336926550303e-06,57,57,"LOC126267118; LOC126269352; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272934; LOC126273067; LOC126278232; LOC126278467; LOC126278890; LOC126278974; LOC126281351; LOC126284897; LOC126285413; LOC126295311; LOC126298067; LOC126298679; LOC126299447; LOC126334835; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335355; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126337983; LOC126341744; LOC126353927; LOC126353931; LOC126354039; LOC126354163; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354788; LOC126354827; LOC126355391; LOC126355392; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356631; LOC126366011","Csat; Mct1; NaPi-T; Orct; Rdl; sesB; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0042834","peptidoglycan binding","peptidoglycan binding","MF",NA,"10/783","12/6095",6.48680289484887,1.25429992758526e-05,1.25429992758526e-05,10,10,"LOC126267061; LOC126267163; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0000270","peptidoglycan metabolic process","peptidoglycan metabolic process","BP",NA,"9/783","10/6095",7.00574712643678,1.42416335232081e-05,1.42416335232082e-05,9,9,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0009253","peptidoglycan catabolic process","peptidoglycan catabolic process","BP",NA,"9/783","10/6095",7.00574712643678,1.42416335232081e-05,1.42416335232082e-05,9,9,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0042133","GO:0042133","GO:0042133",NA,NA,"13/783","20/6095",5.05970625798212,1.42416335232081e-05,1.42416335232082e-05,13,13,"LOC126271955; LOC126292188; LOC126293404; LOC126293695; LOC126298490; LOC126298632; LOC126325353; LOC126333165; LOC126334613; LOC126339265; LOC126354995; LOC126356204; LOC126356631","Ace; Dat; Ddc; Gad1; Nos; Tbh; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:1901136","carbohydrate derivative catabolic process","carbohydrate derivative catabolic process","BP",NA,"18/783","37/6095",3.78689033861448,2.03229855547547e-05,2.03229855547547e-05,18,18,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126274364; LOC126278279; LOC126281506; LOC126284573; LOC126285462; LOC126297427; LOC126299116; LOC126346580; LOC126346606; LOC126346622; LOC126365918","Cda4; Cda5; Cht6; Oscillin; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005539","glycosaminoglycan binding","glycosaminoglycan binding","MF",NA,"14/783","24/6095",4.54076202639421,2.68120210568589e-05,2.68120210568589e-05,14,14,"LOC126266830; LOC126267061; LOC126267163; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126272633; LOC126278442; LOC126281165; LOC126285462; LOC126365918","dpp; PGRPLA; Pvf1; sli; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006027","glycosaminoglycan catabolic process","glycosaminoglycan catabolic process","BP",NA,"9/783","11/6095",6.36886102403344,5.99138052214745e-05,5.99138052214745e-05,9,9,"LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126285462; LOC126365918","PGRPLA; unannotated"
