"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
549,"LOC126336244","acetyl-CoA acetyltransferase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.70587238674963,1.45258367656863e-17,1.83946885934477,"1023","Lower than gene mean"
550,"LOC126324735","tubulin beta-1 chain-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.73264991420803,1.99472241202474e-15,2.54877847572917,"1037","Higher than gene mean"
551,"LOC126336695","glutathione S-transferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.5744018540379,1.60111953504433e-09,2.3004479196516,"1038","Higher than gene mean"
552,"LOC126284367","protease inhibitors-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.05296423616185,0.00010046200444581,2.30900508251522,"1015","Lower than gene mean"
553,"LOC126357545","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.14412579457218,0.00105197622655255,2.22244694286497,"1016","Lower than gene mean"
554,"LOC126283957","aldo-keto reductase family 1 member B1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.92256546015585,5.30845871046262e-06,2.22695258243946,"1058","Lower than gene mean"
555,"LOC126284765","serine protease inhibitor I/II-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.13430482699316,0.000395751543714993,1.90009775309925,"1016","Lower than gene mean"
556,"LOC126273250","ankyrin-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.40996629061876,2.86669712511055e-06,2.76509927499709,"1057","Lower than gene mean"
557,"LOC126355184","venom carboxylesterase-6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.04837996173967,2.34828814436311e-06,2.36412108883405,"1057","Lower than gene mean"
558,"LOC126336962","lysosomal alpha-mannosidase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.47872605770459,2.97637086670764e-05,2.22933740500766,"1038","Higher than gene mean"
559,"LOC126274965","ester hydrolase C11orf54 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.25119432245895,8.86273950932105e-05,2.69992380546204,"1016","Lower than gene mean"
560,"LOC126281446","aldehyde dehydrogenase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.49819110159171,1.30251900098959e-06,1.94609145287915,"1038","Higher than gene mean"
561,"LOC126281694","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.84841150588984,2.4795050759783e-05,2.06040840991725,"1016","Lower than gene mean"
562,"LOC126347864","uncharacterized LOC126347864","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.22125322579393,6.76841295981015e-05,2.46084512632663,"1038","Higher than gene mean"
563,"LOC126354088","luciferin sulfotransferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.17600264309463,1.31229268347535e-05,2.08577198327602,"1049","Lower than gene mean"
564,"LOC126267535","kynurenine formamidase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.08204022637779,6.41811777038635e-07,2.37423920838862,"1011","Higher than gene mean"
565,"LOC126355949","mitochondrial enolase superfamily member 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.27154996028647,2.37665488400364e-05,2.28213527698843,"1038","Higher than gene mean"
566,"LOC126267222","C-1-tetrahydrofolate synthase, cytoplasmic","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.20990377135291,0.0332461425263246,2.08485901978231,"1038","Higher than gene mean"
567,"LOC126334694","dihydrodiol dehydrogenase 3-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.71445750894883,9.52704912320445e-05,2.0897616839566,"1038","Higher than gene mean"
568,"LOC126266926","quinone oxidoreductase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.45021650541407,3.83596134751211e-07,2.37717348459549,"1038","Higher than gene mean"
569,"LOC126324953","adenylosuccinate lyase","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",5,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.71050410724422,6.56571560261296e-09,2.71768751093026,"1038","Higher than gene mean"
