taxid	scientific_name	rank	lineage
42345	Phoenix dactylifera	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Arecales;Arecaceae;Coryphoideae;Phoeniceae;Phoenix;Phoenix dactylifera
42410	Peromyscus eremicus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Neotominae;Peromyscus;Peromyscus eremicus
42434	Culex pipiens pallens	subspecies	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Culicini;Culex;Culex;Culex pipiens complex;Culex pipiens;Culex pipiens pallens
42636	Brienomyrus brachyistius	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Osteoglossocephala;Osteoglossomorpha;Osteoglossiformes;Mormyridae;Brienomyrus;Brienomyrus brachyistius
42677	Fusarium subglutinans	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium fujikuroi species complex;Fusarium subglutinans
42839	Anopheles aquasalis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Anophelinae;Anopheles;Nyssorhynchus;albimanus section;oswaldoi series;oswaldoi group;oswaldoi subgroup;Anopheles aquasalis
42856	Daphnia lumholtzi	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Branchiopoda;Phyllopoda;Diplostraca;Cladocera;Anomopoda;Daphniidae;Daphnia;Daphnia lumholtzi
43179	Ictidomys tridecemlineatus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Sciuromorpha;Sciuridae;Xerinae;Marmotini;Ictidomys;Ictidomys tridecemlineatus
43265	Cordyceps javanica	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps javanica
43335	Populus alba	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Salicaceae;Saliceae;Populus;Populus alba
43563	Rhinoderma darwinii	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Hyloidea;Rhinodermatidae;Rhinoderma;Rhinoderma darwinii
44056	Aureococcus anophagefferens	species	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus anophagefferens
44089	Neoaidaea tothii	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Lipomycetes;Lipomycetales;Lipomycetaceae;Neoaidaea;Neoaidaea tothii
44386	Haemaphysalis longicornis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Haemaphysalinae;Haemaphysalis;Haemaphysalis longicornis
44394	Zonotrichia albicollis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passerellidae;Zonotrichia;Zonotrichia albicollis
44398	Melospiza georgiana	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passerellidae;Melospiza;Melospiza georgiana
44689	Dictyostelium discoideum	species	root;cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum
45133	Lasiodiplodia theobromae	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia;Lasiodiplodia theobromae
45151	Pyrenophora tritici-repentis	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pleosporaceae;Pyrenophora;Pyrenophora tritici-repentis
45264	Acropora millepora	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora;Acropora millepora
45623	Pelophylax lessonae	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Ranoidea;Ranidae;Pelophylax;Pelophylax lessonae
45954	Dreissena polymorpha	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Neoheterodontei;Myida;Dreissenoidea;Dreissenidae;Dreissena;Dreissena polymorpha
46514	Patiria miniata	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Valvatacea;Valvatida;Asterinidae;Patiria;Patiria miniata
46731	Pocillopora damicornis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Vacatina;Pocilloporidae;Pocillopora;Pocillopora damicornis
46794	Drosophila tropicalis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;willistoni group;willistoni subgroup;Drosophila tropicalis
48095	Alternaria dauci	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pleosporaceae;Alternaria;Alternaria sect. Porri;Alternaria dauci
48171	Chelon labrosus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Mugilomorphae;Mugiliformes;Mugilidae;Chelon;Chelon labrosus
48193	Mugil cephalus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Mugilomorphae;Mugiliformes;Mugilidae;Mugil;Mugil cephalus
48427	Nyctibius grandis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Strisores;Nyctibiiformes;Nyctibiidae;Nyctibius;Nyctibius grandis
48483	Reclinomonas americana	species	root;cellular organisms;Eukaryota;Discoba;Jakobea;Jakobida;Histionina;Histionidae;Reclinomonas;Reclinomonas americana
48498	Orbicella faveolata	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Vacatina;Merulinidae;Orbicella;Orbicella faveolata
48499	Orbicella franksi	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Vacatina;Merulinidae;Orbicella;Orbicella franksi
48563	Suillus bovinus	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Boletales;Suillineae;Suillaceae;Suillus;Suillus bovinus
48698	Poecilia formosa	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontoidei;Poeciliidae;Poeciliinae;Poecilia;Poecilia formosa
48699	Poecilia latipinna	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontoidei;Poeciliidae;Poeciliinae;Poecilia;Poecilia latipinna
48708	Mesoplodon densirostris	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Ziphiidae;Mesoplodon;Mesoplodon densirostris
48744	Hyperoodon ampullatus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Ziphiidae;Hyperoodon;Hyperoodon ampullatus
48745	Mesoplodon bidens	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Ziphiidae;Mesoplodon;Mesoplodon bidens
49212	Salvia hispanica	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Lamiaceae;Nepetoideae;Mentheae;Salviinae;Salvia;Salvia incertae sedis;Salvia hispanica
49283	Paenibacillus thiaminolyticus	species	root;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Paenibacillaceae;Paenibacillus;Paenibacillus thiaminolyticus
49451	Nicotiana attenuata	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Nicotianoideae;Nicotianeae;Nicotiana;Nicotiana attenuata
50023	Panonychus citri	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Eleutherengona;Raphignathae;Tetranychoidea;Tetranychidae;Panonychus;Panonychus citri
50387	Diabrotica undecimpunctata	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Neuropteroidea;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Galerucinae;Luperini;Diabroticina;Diabroticites;Diabrotica;Diabrotica undecimpunctata
50390	Diabrotica virgifera virgifera	subspecies	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Neuropteroidea;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Galerucinae;Luperini;Diabroticina;Diabroticites;Diabrotica;Diabrotica virgifera;Diabrotica virgifera virgifera
50429	Stylophora pistillata	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Vacatina;Pocilloporidae;Stylophora;Stylophora pistillata
50586	Lepisma saccharinum	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Zygentoma;Lepismatidae;Lepismatinae;Lepisma;Lepisma saccharinum
51031	Necator americanus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Bunostominae;Necator;Necator americanus
51062	Porites lutea	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Poritidae;Porites;Porites lutea
51201	Streptomyces griseocarneus	species	root;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces griseocarneus
51240	Juglans regia	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fagales;Juglandaceae;Juglans;Juglans regia
51298	Myotis myotis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Vespertilionidae;Myotis;Myotis myotis
51315	Eimeria necatrix	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Eimeriidae;Eimeria;Eimeria necatrix
51337	Jaculus jaculus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Dipodoidea;Dipodidae;Dipodinae;Jaculus;Jaculus jaculus
51453	Trichoderma reesei	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma reesei
51549	Pseudorasbora parva	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Gobionidae;Sarcocheilichthyinae;Pseudorasbora;Pseudorasbora parva
51637	Naegleria lovaniensis	species	root;cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitea;Acrasida;Naegleriidae;Naegleria;Naegleria lovaniensis
51695	Chlamydomonas incerta	species	root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas incerta
51953	Elaeis guineensis	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Arecales;Arecaceae;Arecoideae;Cocoseae;Elaeidinae;Elaeis;Elaeis guineensis
52113	Mesoplodon mirus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Ziphiidae;Mesoplodon;Mesoplodon mirus
52239	Pseudochaenichthys georgianus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Perciformes;Notothenioidei;Channichthyidae;Pseudochaenichthys;Pseudochaenichthys georgianus
52670	Austrofundulus limnaeus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Aplocheiloidei;Rivulidae;Austrofundulus;Austrofundulus limnaeus
53552	Sabethes cyaneus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Sabethini;Sabethes;Sabethes cyaneus
53983	Phytophthora x cambivora	species	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora x cambivora
53985	Phytophthora fragariae	species	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora fragariae
54343	Etheostoma spectabile	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Perciformes;Percoidei;Percidae;Etheostomatinae;Etheostoma;Oligocephalus;Etheostoma spectabile
54374	Mesitornis unicolor	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Mesitornithiformes;Mesitornithidae;Mesitornis;Mesitornis unicolor
54380	Cariama cristata	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Cariamiformes;Cariamidae;Cariama;Cariama cristata
54550	Myxozyma melibiosi	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Lipomycetes;Lipomycetales;Lipomycetaceae;Myxozyma;Myxozyma melibiosi
54955	Telopea speciosissima	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Proteales;Proteaceae;Telopea;Telopea speciosissima
55577	Dioscorea cayenensis subsp. rotundata	subspecies	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Dioscoreales;Dioscoreaceae;Dioscorea;Dioscorea cayenensis;Dioscorea cayenensis subsp. rotundata
55661	Cuculus canorus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Otidimorphae;Cuculiformes;Cuculidae;Cuculus;Cuculus canorus
56720	Lipophrys pholis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Blenniimorphae;Blenniiformes;Blennioidei;Blenniidae;Salariinae;Lipophrys;Lipophrys pholis
56726	Pholis gunnellus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Perciformes;Cottioidei;Zoarcales;Pholidae;Pholinae;Pholis;Pholis gunnellus
56871	Lipomyces japonicus	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Lipomycetes;Lipomycetales;Lipomycetaceae;Lipomyces;Lipomyces japonicus
