"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126272354","uncharacterized LOC126272354",81.218605027054,1.93833987561359,0.438656643768666,4.41880888651447,9.92463594362655e-06,0.00217562197935642,"protein_coding"
"LOC126272587","facilitated trehalose transporter Tret1-2 homolog",41.9072298367768,1.10787466289689,0.283193103446546,3.91208207196333,9.15038019217534e-05,0.014134688075109,"protein_coding"
"LOC126273306","uncharacterized LOC126273306",295.251942512838,-1.24493612910054,0.21094810276923,-5.9016227818956,3.59943398724835e-09,2.12435825132023e-06,"protein_coding"
"LOC126275659","short/branched chain specific acyl-CoA dehydrogenase%2C mitochondrial",811.519793712312,-1.10473632182043,0.220539780608878,-5.00923832775391,5.4645869318436e-07,0.000182291492324217,"protein_coding"
"LOC126336535","proline-rich protein 2-like",348.458850220421,3.63178830552418,0.831697638409722,4.3667171070348,1.26127913525022e-05,0.00261544977438035,"protein_coding"
"LOC126336534","proline-rich protein HaeIII subfamily 1-like",734.236326627558,4.46368822678441,0.746470026187997,5.97972868325224,2.23509580786872e-09,1.49119761616285e-06,"protein_coding"
"LOC126336538","proline-rich protein 2-like",14152.6735849767,3.89956395004594,0.545611309737412,7.14714647671563,8.86003226926118e-13,1.23597450156194e-09,"protein_coding"
"LOC126336531","proline-rich protein 2-like",537.958777507733,3.43247064754691,0.605928506503171,5.66481129490967,1.47186425551942e-08,7.05804906279545e-06,"protein_coding"
"LOC126336537","proline-rich protein 2-like",265.25596915107,3.08081397774315,0.508069717593471,6.06376225754169,1.32973671609843e-09,9.71657614691923e-07,"protein_coding"
"LOC126336532","proline-rich protein 2-like",19339.1882439732,3.05469944693736,0.612774482438602,4.98503043857319,6.19520591152349e-07,0.000194011091249649,"protein_coding"
"LOC126336540","proline-rich protein 2-like",11.3348910755921,21.9244485596424,2.33977280161523,9.37033225811806,7.230455392719e-21,3.69837793337577e-17,"protein_coding"
"LOC126336541","proline-rich protein 2-like",481.880175179536,3.31740588936334,0.69315022641186,4.7859839944598,1.7015161710773e-06,0.00046624581509252,"protein_coding"
"LOC126336533","proline-rich protein 2-like",11853.7997974282,3.18339137687525,0.538021676269462,5.91684595116738,3.28173792558604e-09,2.09826118617157e-06,"protein_coding"
"LOC126336619","transmembrane protein 205",12.3496140661926,-1.44957392865418,0.407764543337322,-3.55492882434121,0.000378081422100933,0.0390128702752684,"protein_coding"
"LOC126336866","NADP-dependent malic enzyme-like",1345.11654340151,2.04836186955981,0.464092690690498,4.41369129626274,1.01622839552374e-05,0.00219634151117067,"protein_coding"
"LOC126336910","protein charybde-like",33.2402654502087,-2.65965436937484,0.481091423627696,-5.52837618538193,3.23208410218817e-08,1.31054805648729e-05,"protein_coding"
"LOC126337066","MFS-type transporter SLC18B1-like",127.324309537475,3.19385935685046,0.466679192535999,6.84380064063835,7.71192267897317e-12,8.45281810777452e-09,"protein_coding"
"LOC126335786","cholinesterase 1-like",47.3931055745218,-1.67613034257733,0.426853011182719,-3.92671551720609,8.61137323851502e-05,0.0134838288107156,"protein_coding"
"LOC126322813","uncharacterized LOC126322813",18.9306619495786,-3.33190933700218,0.864865601202183,-3.85251689091433,0.000116909909338604,0.0160177014178649,"protein_coding"
"LOC126324953","adenylosuccinate lyase",168.173038275654,-1.47385729330059,0.307244941005174,-4.79701077739071,1.61050939421429e-06,0.000457653086189227,"protein_coding"
"LOC126325353","serine hydroxymethyltransferase",1022.98525714335,-1.35419846856976,0.281009434856286,-4.81904982749892,1.44243529339564e-06,0.000417625841078418,"protein_coding"
"LOC126327089","uncharacterized LOC126327089",6006.58461034358,1.27174580518007,0.318245011238372,3.99612173096252,6.43886338190628e-05,0.0102921206870158,"protein_coding"
"LOC126336201","uncharacterized LOC126336201",143.710174638493,1.71477043555402,0.479969919818282,3.57266229559392,0.000353370342176709,0.0376560270882056,"protein_coding"
"LOC126334600","mitochondrial glycine transporter-like",148.754399140942,-2.04233806730141,0.403933455147444,-5.05612506534253,4.27860803981425e-07,0.000145900534157666,"protein_coding"
"LOC126334910","uncharacterized LOC126334910",111.212872337786,-1.2286349002789,0.282428656194379,-4.35024872063017,1.35983202723927e-05,0.00274560821815614,"protein_coding"
"LOC126335043","kielin/chordin-like protein",153.038711830525,-1.68722766537797,0.484731072507428,-3.48074996853459,0.000500012013373805,0.0476564245044785,"protein_coding"
"LOC126354610","trifunctional purine biosynthetic protein adenosine-3",719.736294328556,-2.12832094096847,0.307912958398846,-6.91208629878973,4.77577157614269e-12,5.63724729506997e-09,"protein_coding"
"LOC126356047","allantoicase-like",106.825518069074,7.0892274008612,0.906470313086676,7.82069450980833,5.25326907357105e-15,1.23623508105215e-11,"protein_coding"
"LOC126354172","cytochrome P450 4C1-like",3.32912808289078,4.02886303143657,1.15010046846073,3.50305311746261,0.000459957731159312,0.0449557413034372,"protein_coding"
"LOC126355150","juvenile hormone esterase",78.5898358569057,2.29640369459079,0.510552287592692,4.4978815106648,6.86339280425292e-06,0.00157192182957106,"protein_coding"
"LOC126356044","allantoinase",79.5028376434113,-1.10302937896689,0.285539416428284,-3.86296712644551,0.000112018086964883,0.0156265231316012,"protein_coding"
"LOC126354365","juvenile hormone esterase-like",34.3457521883026,-1.73104999263776,0.456620711706427,-3.79100191528477,0.000150040797048529,0.0196784276129032,"protein_coding"
"LOC126354896","leucine-rich repeat and fibronectin type-III domain-containing protein 3-like",25.4892574864074,-1.28982932507935,0.352845150432856,-3.65551098972746,0.000256670212091077,0.0293925701831163,"protein_coding"
"LOC126354813","purine nucleoside phosphorylase-like",1452.0702490698,-2.51589184950609,0.321305674180554,-7.83021294573314,4.87044331438393e-15,1.23623508105215e-11,"protein_coding"
"LOC126354907","fumarylacetoacetate hydrolase domain-containing protein 2",111.353148880893,-2.1036699975345,0.223603564668671,-9.40803426211767,5.05502017075496e-21,3.69837793337577e-17,"protein_coding"
"LOC126354934","uncharacterized LOC126354934",3.01048326864431,3.4009911550419,0.941732994552082,3.61141764673916,0.000304527789069784,0.033585445800341,"lncRNA"
"LOC126355819","serine-enriched protein",30.5081781484003,-3.03703415669319,0.783794507154395,-3.87478366966272,0.000106719462324873,0.0152707337187148,"protein_coding"
"LOC126267222","C-1-tetrahydrofolate synthase%2C cytoplasmic",1898.28304716525,-1.03171710126336,0.243656545629761,-4.23430898848524,2.29255549711751e-05,0.00429015415893514,"protein_coding"
