"GeneID","INFECT_baseMean","INFECT_log2FoldChange","INFECT_lfcSE","INFECT_stat","INFECT_pvalue","INFECT_padj","DIET33_baseMean","DIET33_log2FoldChange","DIET33_lfcSE","DIET33_stat","DIET33_pvalue","DIET33_padj","DIET83_baseMean","DIET83_log2FoldChange","DIET83_lfcSE","DIET83_stat","DIET83_pvalue","DIET83_padj","INT33_baseMean","INT33_log2FoldChange","INT33_lfcSE","INT33_stat","INT33_pvalue","INT33_padj","INT83_baseMean","INT83_log2FoldChange","INT83_lfcSE","INT83_stat","INT83_pvalue","INT83_padj","Description.x","GeneType.y","Description.y"
"LOC126278069",4.71442570631638,4.89547303845404,1.00195073355337,4.88594186771288,1.02935569031761e-06,5.56530751324951e-05,4.71442570631638,2.02799463966722,1.11135457733268,1.82479532727938,0.068031921274091,0.760786588604128,4.71442570631638,3.44867830569412,1.07598981940105,3.20512168750242,0.00135005390663183,0.0336889980401798,4.71442570631638,-2.05638136264724,1.2355261457803,-1.66437705075721,0.0960371032874655,0.569577109844486,4.71442570631638,-3.50227695739078,1.24238617415792,-2.81899221855442,0.00481746859770067,0.182479559936336,NA,"protein_coding","uncharacterized LOC126278069"
"LOC126278447",5498.87454592273,1.49071777336705,0.261333261410706,5.70427876390471,1.16836733612555e-08,1.43033267355602e-06,5498.87454592273,0.276249687967744,0.280639043682396,0.984359426054703,0.324938820167259,0.99963106982354,5498.87454592273,1.21448877668722,0.281432323667351,4.31538481742674,1.5932511053434e-05,0.00352944298139432,5498.87454592273,-0.33596436696699,0.361867761115801,-0.928417513433806,0.353191037342751,0.878603778216962,5498.87454592273,-0.97319892877005,0.380773159651921,-2.55584960258146,0.0105928892087278,0.23239877803148,NA,"protein_coding","S-adenosylmethionine synthase"
"LOC126278809",5.97871154731259,3.55849909568318,1.25573359760578,2.8338009769492,0.00459979695363214,0.0277542942053576,5.97871154731259,5.1131163364479,1.32683217394895,3.85362703500785,0.000116380835522362,0.131795020150799,5.97871154731259,4.38231008762746,1.34762516419223,3.2518761181298,0.0011464597855483,0.0303172428221412,5.97871154731259,-3.5956688954889,1.5993203517355,-2.24824807086777,0.0245603759712039,0.321234860765141,5.97871154731259,-2.12345486644166,1.69454643100782,-1.2531110553157,0.210165293233119,0.729970661023779,NA,"protein_coding","neural-cadherin-like"
"LOC126279018",974.641826557004,3.20580153921401,0.330184682403118,9.70911647348949,2.7571664822745e-22,2.04209535509661e-18,974.641826557004,0.551111846352562,0.355387071812975,1.55073690087013,0.120964747517425,0.89618788216839,974.641826557004,1.29905126689314,0.356090480557425,3.64809321737442,0.000264193789135798,0.012841908894216,974.641826557004,-0.690266381771951,0.456915960838638,-1.51070752815247,0.130862983539901,0.649293325564764,974.641826557004,-1.63635179232542,0.48045922001803,-3.40580786911325,0.000659685868704011,0.115260604482986,NA,"protein_coding","uncharacterized LOC126279018"
"LOC126281483",67.4143821701313,2.14802552825652,0.451042405968004,4.76235826129594,1.91343588738768e-06,9.06878723922181e-05,67.4143821701313,0.500197347462186,0.488556704524148,1.02382659541921,0.305917186204509,0.99963106982354,67.4143821701313,1.65149141764343,0.485859326688221,3.39911436691058,0.000676044408559468,0.0209047782445402,67.4143821701313,-0.311478381919808,0.621853811259026,-0.500886826260947,0.616450774401441,0.958728301637216,67.4143821701313,-1.55207699250005,0.651857323106239,-2.38100721965363,0.0172653735681933,0.277123109580628,NA,"protein_coding","zwei Ig domain protein zig-8-like"
"LOC126281579",6.46466382130056,18.7730558064274,5.1450277645159,3.64877638482361,0.000263492327707425,0.0037137125122075,6.46466382130056,23.1749042252434,5.51678384306747,4.20079975661283,2.65973759908352e-05,0.0518261667856125,6.46466382130056,20.8933103524251,5.54273641264018,3.76949376571075,0.000163578994390076,0.00969492522453111,6.46466382130056,-20.9593387237057,7.12476255805847,-2.94175960993952,0.00326353160837757,0.154953932091828,6.46466382130056,-30,7.49889950248483,-4.00058701814302,6.31855464561249e-05,0.063901341741337,NA,"protein_coding","uncharacterized LOC126281579"
"LOC126282167",279.694713657515,1.622922989089,0.503818163614368,3.22124747834859,0.00127633883491943,0.0112739458328333,279.694713657515,-0.392579032570137,0.543667120883337,-0.722094490342333,0.470236385394729,0.99963106982354,279.694713657515,1.99217906913173,0.542397715132364,3.67291198607938,0.000239802095485903,0.0120462666033495,279.694713657515,0.0331842587598682,0.699133210951293,0.0474648582560042,0.962142737801839,0.998478722170428,279.694713657515,-0.798412345792404,0.732680178572762,-1.0897146792584,0.27583884783244,0.801468038097403,NA,"protein_coding","patatin-like phospholipase domain-containing protein 2"
"LOC126292145",84.8432833528833,2.77703279817335,0.697962983639058,3.97876801960812,6.92732902684367e-05,0.00145559259542521,84.8432833528833,0.693894567654978,0.754279159967634,0.919943973640679,0.357602037823692,0.99963106982354,84.8432833528833,2.33331456736248,0.752100077684222,3.1023990511302,0.00191959005147185,0.0424539058304901,84.8432833528833,-0.845200979866592,0.964697370222023,-0.876130697518198,0.380958986251735,0.89564717461311,84.8432833528833,-1.69102016278968,1.01081147305578,-1.67293328960499,0.0943404294663934,0.538362638480849,NA,"protein_coding","ankyrin-3-like"
"LOC126293173",12.7030384397612,2.90204827181681,0.659870184474472,4.3979078614198,1.09299357959541e-05,0.000369646435948559,12.7030384397612,2.05786946555986,0.718327819555479,2.86480546839091,0.00417265488657631,0.370220054408108,12.7030384397612,2.65374607928925,0.719327357561478,3.68920499323905,0.00022495591030249,0.0116024015874716,12.7030384397612,-1.54276350004243,0.861034683942812,-1.7917553483187,0.0731721642306286,0.517138104506352,12.7030384397612,-2.69392864092996,0.917017193425597,-2.93770788622464,0.0033064840844982,0.164286104616664,NA,"lncRNA","uncharacterized LOC126293173"
"LOC126293361",16.7417531885659,23.5536794482259,3.65766110907437,6.4395466791035,1.19830858890712e-10,3.00856697075952e-08,16.7417531885659,20.5911815449608,3.94329777318413,5.22181755711893,1.771754808807e-07,0.000989997528667726,16.7417531885659,25.7059845553236,3.91539296652563,6.56536515621677,5.19055059864807e-11,1.75349775598828e-07,16.7417531885659,-23.3203148156449,5.08265852664972,-4.5882119944455,4.47058530588202e-06,0.0232321361113565,16.7417531885659,-26.6687516415494,5.28874561086774,-5.04254762920498,4.59374362580409e-07,0.00173850227518556,NA,"lncRNA","uncharacterized LOC126293361"
