"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"All samples","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",22
"All samples","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",10
"All samples","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",25
"All samples","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"All samples","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",8
"All samples","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",1
"All samples","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",11
"All samples","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Downregulated",74
"All samples","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Upregulated",140
"All samples","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Downregulated",58
"All samples","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Upregulated",154
"All samples","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",14
"All samples","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",5
"All samples","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",2
"All samples","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",4
"All samples","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",25
"All samples","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",9
"All samples","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",11
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","No phase reference","Not phase-associated","Upregulated",2
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",4
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Downregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Upregulated",18
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Downregulated",17
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Upregulated",47
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",6
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",5
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","No phase DEG","Not phase-associated","Upregulated",11
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Downregulated",1
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Upregulated",9
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",1
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Downregulated",6
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Upregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Downregulated",26
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Upregulated",2
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Downregulated",1877
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Upregulated",5
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",3
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",4
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Upregulated",2
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Head phase DEG only","Numerator more solitarious-like","Upregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","No phase DEG","Not phase-associated","Downregulated",3
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","No phase DEG","Not phase-associated","Upregulated",5
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","No phase reference","Not phase-associated","Downregulated",6
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","No phase reference","Not phase-associated","Upregulated",5
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 50","No phase reference","Not phase-associated","Upregulated",1
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",10
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",6
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",14
"Current outliers removed","Infection within diet","Diet 33: infected vs control","No phase DEG","Not phase-associated","Downregulated",150
"Current outliers removed","Infection within diet","Diet 33: infected vs control","No phase DEG","Not phase-associated","Upregulated",143
"Current outliers removed","Infection within diet","Diet 33: infected vs control","No phase reference","Not phase-associated","Downregulated",156
"Current outliers removed","Infection within diet","Diet 33: infected vs control","No phase reference","Not phase-associated","Upregulated",213
