"gene_id","vst_variance","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126336923",6.72847256003882,"unannotated","chitin binding. It is involved in the biological process described with chitin metabolic process",NA,NA,NA,"CBM_14",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126336923 | unannotated | chitin binding. It is involved in the b..."
"LOC126354457",6.68775290756084,"unannotated","Belongs to the type-B carboxylesterase lipase family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126354457 | unannotated | Belongs to the type-B carboxylesterase ..."
"LOC126294945",6.57963503182208,"unannotated","Speckle-type poz protein","GO:0000151,GO:0000209,GO:0001654,GO:0001736,GO:0001738,GO:0001745,GO:0001932,GO:0001934,GO:0002009,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006508,GO:0006511,GO:0006515,GO:0006807,GO:0006950,GO:0007163,GO:0007164,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007423,GO:0008150,GO:0008152,GO:0008589,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010498,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010941,GO:0010942,GO:0016567,GO:0019005,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019941,GO:0023051,GO:0023056,GO:0023057,GO:0030162,GO:0030163,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031461,GO:0031625,GO:0031647,GO:0031648,GO:0032268,GO:0032270,GO:0032386,GO:0032387,GO:0032446,GO:0032501,GO:0032502,GO:0032872,GO:0032874,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0035282,GO:0035966,GO:0035967,GO:0036211,GO:0042067,GO:0042221,GO:0042306,GO:0042308,GO:0042325,GO:0042327,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043408,GO:0043410,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044424,GO:0044464,GO:0045879,GO:0045937,GO:0046328,GO:0046330,GO:0046822,GO:0046823,GO:0046983,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048729,GO:0048731,GO:0048749,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051171,GO:0051173,GO:0051174,GO:0051223,GO:0051224,GO:0051246,GO:0051247,GO:0051603,GO:0051716,GO:0051788,GO:0051865,GO:0060255,GO:0060341,GO:0060429,GO:0065007,GO:0065008,GO:0070201,GO:0070302,GO:0070304,GO:0070647,GO:0070887,GO:0071218,GO:0071310,GO:0071630,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090317,GO:0090596,GO:1900180,GO:1900181,GO:1901044,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1902531,GO:1902533,GO:1903827,GO:1903828,GO:1904589,GO:1904590,GO:1904950,GO:1990234","ko:K10523","ko04340,ko04341,map04340,map04341","BTB,MATH",1,"Thorax","Solitarious-up",-2.64248364465718,2.64248364465718,NA,-2.64248364465718,NA,2.32785167935651e-06,"Solitarious-up","Thorax phase DEG only","LOC126294945 | unannotated | Speckle-type poz protein"
"LOC126284530",6.50632519802217,"unannotated","Cobalamin binding. It is involved in the biological process described with cobalamin transport",NA,"ko:K14615","ko04977,map04977","Cobalamin_bind",1,"Thorax","Solitarious-up",-1.30711106925061,1.30711106925061,NA,-1.30711106925061,NA,4.06263847927454e-07,"Solitarious-up","Thorax phase DEG only","LOC126284530 | unannotated | Cobalamin binding. It is involved in th..."
"LOC126330722",6.37738156459133,"unannotated","no description",NA,NA,NA,NA,1,"Head","Gregarious-up",1.32329594522844,1.32329594522844,1.32329594522844,NA,2.53807976958094e-06,NA,"Gregarious-up","Head phase DEG only","LOC126330722 | unannotated | no description"
"LOC126283979",6.29463216706781,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126283979 | unannotated | no description"
"LOC126339755",6.23677514270447,"unannotated","Vault protein inter-alpha-trypsin domain",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.63624361323011,2.07210395117411,-1.20038327528611,-2.07210395117411,0.00241370197071809,3.78915860628577e-10,"Solitarious-up","Shared head/thorax phase DEG","LOC126339755 | unannotated | Vault protein inter-alpha-trypsin domain"
"LOC126354924",6.19868715119732,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-1.56845820825758,1.56845820825758,NA,-1.56845820825758,NA,2.53846742171052e-05,"Solitarious-up","Thorax phase DEG only","LOC126354924 | unannotated | no description"
"LOC126354788",6.13189951120419,"unannotated","amino acid transporter","GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015318,GO:0015711,GO:0015849,GO:0016020,GO:0022857,GO:0031090,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:0098656,GO:0098805,GO:1903825,GO:1905039","ko:K14209","ko04138,map04138","Aa_trans",1,"Thorax","Gregarious-up",1.09969779488313,1.09969779488313,NA,1.09969779488313,NA,0.00278355536903708,"Gregarious-up","Thorax phase DEG only","LOC126354788 | unannotated | amino acid transporter"
"LOC126334779",6.09134140667661,"unannotated","Defensin anti-microbial peptide","GO:0002376,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0019730,GO:0019731,GO:0042742,GO:0043207,GO:0044421,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0098542","ko:K20668","ko04624,map04624","Defensin_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126334779 | unannotated | Defensin anti-microbial peptide"
