"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Any large single-pair shift",441,374,34,7.70975056689342,9.09090909090909,0.0435339308578745,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281565;LOC126281715;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126297443;LOC126299109;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336866;LOC126337056;LOC126354081;LOC126354174;LOC126354185;LOC126355184"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in gregarious/crowded reference",441,241,23,5.21541950113379,9.54356846473029,0.0349013657056146,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281565;LOC126281715;LOC126281958;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126297443;LOC126299150;LOC126299171;LOC126327089;LOC126336866;LOC126354174;LOC126355184"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in gregarious/crowded reference",457,241,22,4.81400437636762,9.12863070539419,0.0325443786982249,"LOC126271895;LOC126272144;LOC126272274;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126295425;LOC126298455;LOC126323780;LOC126337043;LOC126339239;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in solitarious/isolated reference",457,133,15,3.28227571115974,11.2781954887218,0.0260869565217391,"LOC126266748;LOC126267478;LOC126272290;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126305117;LOC126321085;LOC126334632;LOC126334999;LOC126335043;LOC126335117;LOC126336578;LOC126349825"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in solitarious/isolated reference",441,133,11,2.49433106575964,8.27067669172932,0.019538188277087,"LOC126281398;LOC126284088;LOC126299109;LOC126326589;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126337056;LOC126354081;LOC126354185"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Top absolute single-pair shifts",794,500,78,9.82367758186398,15.6,0.0641447368421053,"LOC126266665;LOC126266748;LOC126266824;LOC126267473;LOC126267936;LOC126271895;LOC126272096;LOC126272290;LOC126272321;LOC126272724;LOC126273757;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284221;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284857;LOC126284872;LOC126284880;LOC126285233;LOC126285340;LOC126291872;LOC126291917;LOC126292259;LOC126294945;LOC126295087;LOC126295101;LOC126295425;LOC126297535;LOC126298001;LOC126298220;LOC126298354;LOC126299118;LOC126299253;LOC126305117;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334737;LOC126334930;LOC126334938;LOC126334999;LOC126335036;LOC126335117;LOC126336036;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Any large single-pair shift",794,374,58,7.30478589420655,15.5080213903743,0.0522522522522523,"LOC126266665;LOC126266748;LOC126266824;LOC126271895;LOC126272096;LOC126272290;LOC126272724;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126281635;LOC126282035;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126284880;LOC126285233;LOC126295101;LOC126295425;LOC126298001;LOC126298220;LOC126299118;LOC126299253;LOC126305117;LOC126321085;LOC126323780;LOC126334632;LOC126334930;LOC126334938;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Top absolute single-pair shifts",518,500,48,9.26640926640927,9.6,0.0494845360824742,"LOC126266713;LOC126267253;LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281862;LOC126281958;LOC126282020;LOC126284898;LOC126291919;LOC126293286;LOC126293721;LOC126295285;LOC126295405;LOC126299062;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126333672;LOC126334779;LOC126335450;LOC126335894;LOC126336399;LOC126336529;LOC126336534;LOC126336535;LOC126336735;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126353877;LOC126354065;LOC126354081;LOC126354185;LOC126355146;LOC126355150;LOC126355184;LOC126356321;LOC126356808"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in gregarious/crowded reference",794,241,40,5.03778337531486,16.597510373444,0.0402010050251256,"LOC126266665;LOC126266824;LOC126271895;LOC126272096;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126295101;LOC126295425;LOC126298001;LOC126298220;LOC126299118;LOC126299253;LOC126323780;LOC126334930;LOC126334938;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Any large single-pair shift",518,374,39,7.52895752895753,10.427807486631,0.0457209847596717,"LOC126267253;LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281958;LOC126282020;LOC126284898;LOC126291919;LOC126295285;LOC126295405;LOC126299062;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126333672;LOC126334779;LOC126335450;LOC126335894;LOC126336399;LOC126336529;LOC126336534;LOC126336866;LOC126336910;LOC126337056;LOC126353877;LOC126354065;LOC126354081;LOC126354185;LOC126355146;LOC126355150;LOC126355184;LOC126356321"
