"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Downregulated","Top absolute single-pair shifts",432,500,40,9.25925925925926,8,0.0448430493273543,"LOC126266713;LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281862;LOC126282020;LOC126284187;LOC126285102;LOC126291919;LOC126293286;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126333672;LOC126335883;LOC126336399;LOC126336529;LOC126336534;LOC126336535;LOC126336866;LOC126336910;LOC126337056;LOC126337066;LOC126344004;LOC126353877;LOC126354065;LOC126354185;LOC126355146;LOC126355150;LOC126356321;LOC126356808"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in gregarious/crowded reference",2453,241,34,1.38605788830004,14.1078838174274,0.012781954887218,"LOC126266665;LOC126271895;LOC126272096;LOC126272465;LOC126272716;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126295425;LOC126298001;LOC126298220;LOC126299253;LOC126323780;LOC126336607;LOC126339239;LOC126339265;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Downregulated","Any large single-pair shift",432,374,30,6.94444444444444,8.02139037433155,0.038659793814433,"LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126282020;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126333672;LOC126336399;LOC126336529;LOC126336534;LOC126336866;LOC126336910;LOC126337056;LOC126337066;LOC126353877;LOC126354065;LOC126354185;LOC126355146;LOC126355150;LOC126356321"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in gregarious/crowded reference",432,241,20,4.62962962962963,8.29875518672199,0.0306278713629403,"LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281715;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126327089;LOC126333672;LOC126336866;LOC126337066;LOC126353877;LOC126354065;LOC126355150;LOC126356321"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in solitarious/isolated reference",2453,133,19,0.774561761108846,14.2857142857143,0.0074016361511492,"LOC126266748;LOC126272290;LOC126272724;LOC126278180;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126285233;LOC126295210;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597;LOC126356364"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in solitarious/isolated reference",432,133,10,2.31481481481481,7.5187969924812,0.018018018018018,"LOC126281302;LOC126282020;LOC126326589;LOC126336399;LOC126336529;LOC126336534;LOC126336910;LOC126337056;LOC126354185;LOC126355146"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Upregulated","Top absolute single-pair shifts",342,500,33,9.64912280701754,6.6,0.0407911001236094,"LOC126267936;LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126284880;LOC126285233;LOC126292260;LOC126293693;LOC126305117;LOC126330722;LOC126334632;LOC126335036;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Upregulated","Any large single-pair shift",342,374,28,8.18713450292398,7.48663101604278,0.0406976744186047,"LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126330722;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Downregulated","Top absolute single-pair shifts",177,500,21,11.864406779661,4.2,0.0320121951219512,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284552;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126354081;LOC126354185;LOC126365627"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Downregulated","Any large single-pair shift",177,374,18,10.1694915254237,4.81283422459893,0.0337711069418387,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126365627"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in gregarious/crowded reference",342,241,17,4.97076023391813,7.05394190871369,0.0300353356890459,"LOC126271895;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126330722;LOC126337066;LOC126339239;LOC126353997;LOC126354672;LOC126354704;LOC126356328"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in solitarious/isolated reference",177,133,12,6.77966101694915,9.02255639097744,0.0402684563758389,"LOC126281302;LOC126281398;LOC126281520;LOC126284086;LOC126284088;LOC126298779;LOC126335106;LOC126336399;LOC126336910;LOC126337056;LOC126354081;LOC126354185"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in solitarious/isolated reference",342,133,11,3.21637426900585,8.27067669172932,0.0237068965517241,"LOC126272290;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597"
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in gregarious/crowded reference",177,241,6,3.38983050847458,2.4896265560166,0.0145631067961165,"LOC126267104;LOC126281958;LOC126284612;LOC126293692;LOC126336866;LOC126365627"
