"sample_id","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"SGRE-HEAD-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-1_MERGE_featurecounts.txt","Head","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 1","H-ISO-1","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-2_MERGE_featurecounts.txt","Head","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 2","H-ISO-2","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-3_MERGE_featurecounts.txt","Head","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 3","H-ISO-3","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-4_MERGE_featurecounts.txt","Head","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 4","H-ISO-4","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-5_MERGE_featurecounts.txt","Head","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 5","H-ISO-5","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-6_MERGE_featurecounts.txt","Head","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 6","H-ISO-6","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-1_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 1","T-CRD-1","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-2_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 2","T-CRD-2","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-3_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 3","T-CRD-3","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-4_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 4","T-CRD-4","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-5_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 5","T-CRD-5","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-6_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 6","T-CRD-6","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-1_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 1","T-ISO-1","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-2_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 2","T-ISO-2","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-3_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 3","T-ISO-3","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-4_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 4","T-ISO-4","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-5_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 5","T-ISO-5","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-6_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 6","T-ISO-6","Thorax reference","Control","Reference","Reference sample",TRUE
