"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means","phase_associated","phase_class","phase_consensus","phase_tissues","phase_mean_log2FC","phase_max_abs_log2FC","diet_infection_associated","infection_associated","diet_associated","n_deg_contrasts","deg_comparison_types","deg_comparisons","deg_directions","max_abs_log2FC","min_padj","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","tissue_associated","source_class","priority_score"
"LOC126298749",3,3.90166037495165,"Head","Fat body","Fat body=6.55; Head=10.46; Thorax=9.24",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",3.90166037495165
"LOC126282292",3,3.8936887452975,"Thorax","Fat body","Fat body=6.6; Head=9.34; Thorax=10.49",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Zinc-finger of C2H2 type","GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0001077,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141",NA,NA,"BTB,zf-C2H2,zf-C2H2_4",TRUE,"Tissue reference pattern only",3.8936887452975
"LOC126270278",3,3.88946515290413,"Head","Fat body","Fat body=8.6; Head=12.49; Thorax=12.41",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"dp","Calcium ion binding","GO:0002009,GO:0002165,GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0007275,GO:0007424,GO:0007444,GO:0007472,GO:0007475,GO:0007476,GO:0007552,GO:0007560,GO:0007591,GO:0008150,GO:0008362,GO:0008587,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0022404,GO:0031012,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0040003,GO:0040005,GO:0042303,GO:0042335,GO:0044421,GO:0044719,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0060429,GO:0060541,GO:0060562,GO:0065007,GO:0065008,GO:0090066",NA,NA,"EGF_CA",TRUE,"Tissue reference pattern only",3.88946515290413
"LOC126355891",3,3.85265359407182,"Thorax","Fat body","Fat body=5.56; Head=5.67; Thorax=9.41",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"TpnCIIIa","troponin C",NA,NA,NA,"EF-hand_1,EF-hand_6,EF-hand_7",TRUE,"Tissue reference pattern only",3.85265359407182
"LOC126353381",3,3.83839266815888,"Head","Fat body","Fat body=6.37; Head=10.21; Thorax=9.65",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","binding. It is involved in the biological process described with regulation of transcription, DNA-templated","GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000981,GO:0001012,GO:0001067,GO:0001085,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006928,GO:0006935,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0008045,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009605,GO:0009653,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0032774,GO:0032989,GO:0032990,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0040011,GO:0042221,GO:0042330,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097485,GO:0097659,GO:0120036,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141","ko:K17894",NA,"GATA",TRUE,"Tissue reference pattern only",3.83839266815888
"LOC126336343",3,3.80562494128124,"Thorax","Fat body","Fat body=6.4; Head=9.66; Thorax=10.2",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","SOGA family member",NA,"ko:K17785",NA,"SOGA",TRUE,"Tissue reference pattern only",3.80562494128124
"LOC126267690",3,3.76604400718026,"Head","Fat body","Fat body=6.2; Head=9.97; Thorax=9.37",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"CLIPD2","Domain of unknown function (DUF1986)",NA,NA,NA,"Trypsin",TRUE,"Tissue reference pattern only",3.76604400718026
"LOC126285380",3,3.73028404264099,"Head","Fat body","Fat body=8.33; Head=12.06; Thorax=11.96",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Zinc-binding domain present in Lin-11, Isl-1, Mec-3.","GO:0001725,GO:0001952,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005886,GO:0005911,GO:0005912,GO:0005913,GO:0005915,GO:0005924,GO:0005925,GO:0005927,GO:0006996,GO:0007010,GO:0008092,GO:0008150,GO:0009653,GO:0009987,GO:0010810,GO:0010927,GO:0015629,GO:0016020,GO:0016043,GO:0016323,GO:0022607,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030036,GO:0030054,GO:0030055,GO:0030154,GO:0030155,GO:0030239,GO:0031032,GO:0031252,GO:0031674,GO:0032432,GO:0032502,GO:0032989,GO:0042641,GO:0042692,GO:0042805,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043296,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044459,GO:0044464,GO:0045177,GO:0045178,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0051146,GO:0051371,GO:0051393,GO:0055001,GO:0055002,GO:0061061,GO:0065007,GO:0070161,GO:0070925,GO:0071840,GO:0071944,GO:0097435,GO:0097517,GO:0098590,GO:0099080,GO:0099081,GO:0099512","ko:K19867",NA,"DUF4749,LIM,PDZ",TRUE,"Tissue reference pattern only",3.73028404264099
"LOC126278560",3,3.72961645284024,"Head","Fat body","Fat body=7.11; Head=10.84; Thorax=10.08",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Domain of unknown function (DUF4749)",NA,NA,NA,"DUF4749",TRUE,"Tissue reference pattern only",3.72961645284024
"LOC126267773",3,3.70806622945562,"Thorax","Fat body","Fat body=5.53; Head=5.7; Thorax=9.24",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"LanB2","Laminin N-terminal domain (domain VI)","GO:0000902,GO:0000904,GO:0005575,GO:0005576,GO:0005604,GO:0005605,GO:0007155,GO:0007275,GO:0007431,GO:0007435,GO:0007494,GO:0008150,GO:0009653,GO:0009887,GO:0009987,GO:0016043,GO:0022607,GO:0022610,GO:0022612,GO:0030154,GO:0030198,GO:0031012,GO:0031589,GO:0032501,GO:0032502,GO:0032989,GO:0033627,GO:0034446,GO:0035239,GO:0035272,GO:0035295,GO:0043062,GO:0044085,GO:0044420,GO:0044421,GO:0048468,GO:0048513,GO:0048546,GO:0048565,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0055123,GO:0061031,GO:0062023,GO:0070831,GO:0071711,GO:0071840,GO:0085029","ko:K05635","ko04151,ko04510,ko04512,ko05020,ko05145,ko05146,ko05165,ko05200,ko05222,map04151,map04510,map04512,map05020,map05145,map05146,map05165,map05200,map05222","Laminin_B,Laminin_EGF,Laminin_N",TRUE,"Tissue reference pattern only",3.70806622945562
