"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126365816",0.144638077221623,0.144638077221623,"Higher in gregarious/crowded reference",FALSE
"LOC126365803",0.102336925816267,0.102336925816267,"Higher in gregarious/crowded reference",FALSE
"LOC126365804",-0.00474571015878045,0.00474571015878045,"Higher in solitarious/isolated reference",FALSE
"LOC126267067",0.180117867811887,0.180117867811887,"Higher in gregarious/crowded reference",FALSE
"LOC126365911",0.0141937220254258,0.0141937220254258,"Higher in gregarious/crowded reference",FALSE
"LOC126365910",-0.253550099688495,0.253550099688495,"Higher in solitarious/isolated reference",FALSE
"LOC126267242",0.0443590719257543,0.0443590719257543,"Higher in gregarious/crowded reference",FALSE
"LOC126267244",0.143523795115712,0.143523795115712,"Higher in gregarious/crowded reference",FALSE
"LOC126267243",0,0,"No difference in single-pair reference",FALSE
"LOC126267241",-0.135735815672296,0.135735815672296,"Higher in solitarious/isolated reference",FALSE
"LOC126268509",0,0,"No difference in single-pair reference",FALSE
"LOC126267424",-0.0370014313731657,0.0370014313731657,"Higher in solitarious/isolated reference",FALSE
"LOC126268156",0.149219219188257,0.149219219188257,"Higher in gregarious/crowded reference",FALSE
"LOC126268155",-0.194863136514808,0.194863136514808,"Higher in solitarious/isolated reference",FALSE
"LOC126268159",0.428299526127003,0.428299526127003,"Higher in gregarious/crowded reference",FALSE
"LOC126267886",0.0945917787938289,0.0945917787938289,"Higher in gregarious/crowded reference",FALSE
"LOC126267887",0.0989276553786906,0.0989276553786906,"Higher in gregarious/crowded reference",FALSE
"LOC126267585",0.0966439014276288,0.0966439014276288,"Higher in gregarious/crowded reference",FALSE
"LOC126266758",1.38871921094445,1.38871921094445,"Higher in gregarious/crowded reference",TRUE
"LOC126267888",-0.180335806083061,0.180335806083061,"Higher in solitarious/isolated reference",FALSE
"LOC126268231",0.161585065221486,0.161585065221486,"Higher in gregarious/crowded reference",FALSE
"LOC126268232",-0.249618724530508,0.249618724530508,"Higher in solitarious/isolated reference",FALSE
"LOC126267304",-0.0748928021300443,0.0748928021300443,"Higher in solitarious/isolated reference",FALSE
"LOC126266661",0.303105156471566,0.303105156471566,"Higher in gregarious/crowded reference",FALSE
"LOC126266913",-0.651567275828353,0.651567275828353,"Higher in solitarious/isolated reference",FALSE
"LOC126267183",-0.177520444720883,0.177520444720883,"Higher in solitarious/isolated reference",FALSE
"LOC126267636",-0.413317846331334,0.413317846331334,"Higher in solitarious/isolated reference",FALSE
"LOC126267637",-0.820427829501127,0.820427829501127,"Higher in solitarious/isolated reference",FALSE
"LOC126267889",-0.0370014313731657,0.0370014313731657,"Higher in solitarious/isolated reference",FALSE
