"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126272997",3,0.106661723800356,"Thorax","Fat body","Fat body=10.4; Head=10.45; Thorax=10.51"
"LOC126272998",3,0.121084331084829,"Fat body","Thorax","Fat body=7.93; Head=7.82; Thorax=7.81"
"LOC126272999",3,0.228323383525892,"Thorax","Fat body","Fat body=7.91; Head=8.11; Thorax=8.14"
"LOC126273000",3,0.784903421293087,"Fat body","Head","Fat body=8.87; Head=8.09; Thorax=8.43"
"LOC126273001",3,0.468317683039685,"Fat body","Thorax","Fat body=7.27; Head=6.91; Thorax=6.8"
"LOC126273002",3,0.0953905860641395,"Head","Fat body","Fat body=5.47; Head=5.57; Thorax=5.49"
"LOC126273003",3,0.133073757055745,"Head","Fat body","Fat body=5.71; Head=5.85; Thorax=5.78"
"LOC126273004",3,0.735740892086633,"Fat body","Thorax","Fat body=6.36; Head=5.68; Thorax=5.62"
"LOC126273005",3,0.803349613546746,"Head","Fat body","Fat body=5.46; Head=6.26; Thorax=6.1"
"LOC126273006",3,0.238788332754125,"Head","Fat body","Fat body=5.69; Head=5.92; Thorax=5.8"
"LOC126273007",3,0.468706146487629,"Thorax","Fat body","Fat body=6.11; Head=6.54; Thorax=6.58"
"LOC126273008",3,0.137526419182193,"Thorax","Fat body","Fat body=5.5; Head=5.64; Thorax=5.64"
"LOC126273009",3,1.44510613739857,"Head","Fat body","Fat body=6.38; Head=7.83; Thorax=7.24"
"LOC126273010",3,0.865766264375748,"Head","Thorax","Fat body=6.3; Head=7.07; Thorax=6.2"
"LOC126273011",3,0.218993632685968,"Head","Fat body","Fat body=5.56; Head=5.78; Thorax=5.68"
"LOC126273012",3,0.805159105504601,"Head","Fat body","Fat body=5.37; Head=6.17; Thorax=5.5"
"LOC126273013",3,0.207877696294815,"Thorax","Fat body","Fat body=7.84; Head=7.95; Thorax=8.05"
"LOC126273014",3,0.136361320861283,"Thorax","Fat body","Fat body=7.87; Head=7.95; Thorax=8.01"
"LOC126273015",3,2.46525627290253,"Fat body","Thorax","Fat body=11.98; Head=9.96; Thorax=9.52"
"LOC126273016",3,0.912497324860276,"Fat body","Thorax","Fat body=7.07; Head=6.28; Thorax=6.16"
"LOC126273017",3,0.0937131173540067,"Thorax","Fat body","Fat body=5.37; Head=5.43; Thorax=5.46"
"LOC126273018",3,0.278503604333594,"Thorax","Fat body","Fat body=6.36; Head=6.55; Thorax=6.64"
"LOC126273019",3,0.0436348748374717,"Thorax","Fat body","Fat body=5.73; Head=5.75; Thorax=5.77"
"LOC126273020",3,0.380227271603646,"Head","Fat body","Fat body=6.04; Head=6.42; Thorax=6.24"
"LOC126273021",3,0.159942440422267,"Fat body","Thorax","Fat body=5.81; Head=5.66; Thorax=5.65"
"LOC126273022",3,0.762250132083985,"Thorax","Fat body","Fat body=5.9; Head=6.49; Thorax=6.66"
"LOC126273023",3,1.0945855136689,"Head","Fat body","Fat body=6.27; Head=7.36; Thorax=6.61"
"LOC126273024",3,0.0252344846891557,"Head","Fat body","Fat body=5.37; Head=5.39; Thorax=5.39"
"LOC126273025",3,0.0743837447780891,"Thorax","Fat body","Fat body=6.02; Head=6.03; Thorax=6.09"
"LOC126273026",3,1.39552220074667,"Thorax","Fat body","Fat body=5.76; Head=6.27; Thorax=7.15"
"LOC126273027",3,0.327250500354086,"Thorax","Fat body","Fat body=5.37; Head=5.49; Thorax=5.7"
"LOC126273028",3,2.75523432393587,"Head","Fat body","Fat body=5.79; Head=8.54; Thorax=7.28"
"LOC126273029",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273030",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273032",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273033",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273034",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273035",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273036",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273037",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273038",3,0.689532823899497,"Thorax","Fat body","Fat body=5.46; Head=5.54; Thorax=6.15"
"LOC126273039",3,0.886649865324888,"Head","Fat body","Fat body=5.47; Head=6.36; Thorax=5.61"
"LOC126273040",3,0.761152655065844,"Thorax","Fat body","Fat body=9.12; Head=9.41; Thorax=9.88"
"LOC126273041",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273042",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273043",3,0.712515697072581,"Head","Fat body","Fat body=5.62; Head=6.33; Thorax=5.93"
"LOC126273044",3,0.147643364632704,"Fat body","Thorax","Fat body=5.6; Head=5.57; Thorax=5.45"
"LOC126273045",3,0.458582578447826,"Thorax","Fat body","Fat body=5.44; Head=5.87; Thorax=5.9"
"LOC126273046",3,0.200343357408515,"Head","Fat body","Fat body=5.46; Head=5.66; Thorax=5.56"
"LOC126273047",3,0.251845021665828,"Head","Fat body","Fat body=5.44; Head=5.7; Thorax=5.53"
"LOC126273048",3,0.104442148645179,"Fat body","Thorax","Fat body=5.65; Head=5.62; Thorax=5.54"
"LOC126273049",3,0.0350864543923883,"Thorax","Fat body","Fat body=5.62; Head=5.65; Thorax=5.66"
"LOC126273050",3,0.0665460630402119,"Thorax","Fat body","Fat body=5.77; Head=5.81; Thorax=5.83"
"LOC126273052",3,0.242985070451001,"Head","Fat body","Fat body=5.52; Head=5.76; Thorax=5.65"
"LOC126273053",3,0.406011329905098,"Fat body","Head","Fat body=10.08; Head=9.68; Thorax=9.94"
"LOC126273054",3,0.0507466323186483,"Thorax","Head","Fat body=6.27; Head=6.22; Thorax=6.27"
"LOC126273055",3,0.297258943057945,"Head","Fat body","Fat body=5.59; Head=5.88; Thorax=5.68"
"LOC126273056",3,0.707185533809763,"Thorax","Fat body","Fat body=5.53; Head=6.17; Thorax=6.24"
"LOC126273057",3,0.198405816439732,"Head","Fat body","Fat body=5.37; Head=5.57; Thorax=5.52"
"LOC126273058",3,0.281251892920213,"Head","Fat body","Fat body=5.52; Head=5.8; Thorax=5.67"
"LOC126273060",3,0.280705031108904,"Thorax","Fat body","Fat body=5.52; Head=5.78; Thorax=5.8"
"LOC126273061",3,0.700714532206639,"Fat body","Head","Fat body=7.52; Head=6.82; Thorax=6.9"
"LOC126273062",3,0.232299910185052,"Thorax","Head","Fat body=8.11; Head=8.05; Thorax=8.28"
"LOC126273063",3,0.923802741311588,"Head","Fat body","Fat body=5.96; Head=6.88; Thorax=6.36"
"LOC126273065",3,0.504516461830489,"Head","Fat body","Fat body=5.37; Head=5.87; Thorax=5.6"
"LOC126273066",3,0.908540249534967,"Head","Fat body","Fat body=6.07; Head=6.98; Thorax=6.7"
"LOC126273067",3,1.75487057220877,"Head","Fat body","Fat body=6.51; Head=8.26; Thorax=6.99"
"LOC126273068",3,1.19305048541708,"Head","Fat body","Fat body=5.79; Head=6.98; Thorax=6.73"
"LOC126273069",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273070",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126273071",3,0.874075794117887,"Fat body","Head","Fat body=9.01; Head=8.13; Thorax=8.54"
"LOC126273072",3,0.0808683835563668,"Head","Fat body","Fat body=5.44; Head=5.52; Thorax=5.5"
"LOC126273073",3,0.0543350399682678,"Head","Fat body","Fat body=5.65; Head=5.7; Thorax=5.68"
"LOC126273074",3,0.470227378350811,"Thorax","Fat body","Fat body=5.67; Head=6.07; Thorax=6.14"
"LOC126273075",3,0.175592582608209,"Thorax","Fat body","Fat body=6.85; Head=6.94; Thorax=7.03"
"LOC126273076",3,0.277151265584092,"Thorax","Fat body","Fat body=7.72; Head=7.79; Thorax=7.99"
"LOC126273077",3,0.605204250693182,"Head","Fat body","Fat body=7.81; Head=8.41; Thorax=8.37"
"LOC126273078",3,0.0568891819019743,"Thorax","Fat body","Fat body=5.52; Head=5.55; Thorax=5.57"
"LOC126273079",3,0.12754830153338,"Thorax","Fat body","Fat body=6.78; Head=6.82; Thorax=6.91"
"LOC126273080",3,0.399295297199331,"Head","Fat body","Fat body=7.26; Head=7.66; Thorax=7.66"
"LOC126273081",3,0.108198110866576,"Thorax","Fat body","Fat body=5.44; Head=5.51; Thorax=5.55"
"LOC126273082",3,1.14311065765152,"Head","Fat body","Fat body=5.44; Head=6.59; Thorax=5.47"
"LOC126273083",3,0.124242269065334,"Thorax","Fat body","Fat body=5.46; Head=5.51; Thorax=5.58"
"LOC126273084",3,0.135679927736022,"Fat body","Thorax","Fat body=5.65; Head=5.57; Thorax=5.51"
"LOC126273085",3,0.0862341895301002,"Head","Thorax","Fat body=5.62; Head=5.67; Thorax=5.58"
"LOC126273086",3,0.0904605739906437,"Thorax","Fat body","Fat body=5.46; Head=5.54; Thorax=5.55"
"LOC126273087",3,0.169448634282041,"Head","Fat body","Fat body=5.64; Head=5.81; Thorax=5.67"
"LOC126273088",3,0.234276111311525,"Head","Thorax","Fat body=8.59; Head=8.71; Thorax=8.48"
"LOC126273089",3,0.0540641174137608,"Thorax","Fat body","Fat body=5.37; Head=5.42; Thorax=5.42"
"LOC126273090",3,0.628640396947535,"Fat body","Head","Fat body=7.77; Head=7.14; Thorax=7.36"
"LOC126273091",3,0.0824410516279244,"Thorax","Fat body","Fat body=7.44; Head=7.47; Thorax=7.53"
"LOC126273092",3,3.37705099916141,"Thorax","Fat body","Fat body=7.64; Head=9.74; Thorax=11.02"
"LOC126273093",3,0.181913644474065,"Fat body","Head","Fat body=8.08; Head=7.89; Thorax=8.02"
"LOC126273094",3,0.110553125213083,"Fat body","Head","Fat body=7.47; Head=7.36; Thorax=7.39"
"LOC126273095",3,0.286304766179298,"Fat body","Head","Fat body=6.37; Head=6.09; Thorax=6.12"
"LOC126273096",3,0.0325768089362306,"Thorax","Fat body","Fat body=5.62; Head=5.64; Thorax=5.66"
"LOC126273097",3,0.254709688812744,"Thorax","Head","Fat body=5.46; Head=5.42; Thorax=5.68"
"LOC126273098",3,0.322422971605119,"Fat body","Thorax","Fat body=10.02; Head=9.83; Thorax=9.7"
"LOC126273099",3,0.141064487200285,"Fat body","Head","Fat body=7.15; Head=7.01; Thorax=7.08"
"LOC126273100",3,0.511645982870698,"Thorax","Fat body","Fat body=7.92; Head=8.32; Thorax=8.43"
"LOC126273101",3,0.678059255703088,"Fat body","Head","Fat body=8.39; Head=7.71; Thorax=7.71"
"LOC126273102",3,0.193522582425622,"Fat body","Thorax","Fat body=6.33; Head=6.18; Thorax=6.13"
"LOC126273103",3,0.64676643738979,"Head","Fat body","Fat body=7.76; Head=8.41; Thorax=8.37"
"LOC126273104",3,0.158599500188174,"Thorax","Head","Fat body=7.06; Head=7.03; Thorax=7.18"
"LOC126273105",3,0.0345742389506576,"Head","Fat body","Fat body=5.47; Head=5.51; Thorax=5.49"
