"term","gene"
"ko04080","LOC126345110"
"ko04152","LOC126345110"
"ko04261","LOC126345110"
"ko04270","LOC126345110"
"ko04970","LOC126345110"
"ko04020","LOC126343367"
"ko04072","LOC126343367"
"ko04080","LOC126343367"
"ko04270","LOC126343367"
"ko04010","LOC126343597"
"ko05200","LOC126343597"
"ko05202","LOC126343597"
"ko05222","LOC126343597"
"ko00510","LOC126343623"
"ko00513","LOC126343623"
"ko01100","LOC126343623"
"ko04141","LOC126343623"
"ko00980","LOC126343702"
"ko00981","LOC126343702"
"ko04976","LOC126343702"
"ko05204","LOC126343702"
"ko00980","LOC126343748"
"ko00981","LOC126343748"
"ko04976","LOC126343748"
"ko05204","LOC126343748"
"ko03013","LOC126343865"
"ko00980","LOC126343901"
"ko00981","LOC126343901"
"ko04976","LOC126343901"
"ko05204","LOC126343901"
"ko00051","LOC126344094"
"ko00520","LOC126344094"
"ko01100","LOC126344094"
"ko03040","LOC126344215"
"ko05322","LOC126344215"
"ko03013","LOC126344146"
"ko00250","LOC126344289"
"ko04360","LOC126344332"
"ko04360","LOC126344554"
"ko00760","LOC126344596"
"ko01100","LOC126344596"
"ko03040","LOC126344704"
"ko03013","LOC126344736"
"ko03010","LOC126344871"
"ko03010","LOC126345236"
"ko00071","LOC126345263"
"ko00592","LOC126345263"
"ko01040","LOC126345263"
"ko01100","LOC126345263"
"ko01110","LOC126345263"
"ko01212","LOC126345263"
"ko03320","LOC126345263"
"ko04024","LOC126345263"
"ko04146","LOC126345263"
"ko03018","LOC126345465"
"ko04514","LOC126345497"
"ko05144","LOC126345497"
"ko05205","LOC126345497"
"ko05418","LOC126345497"
"ko03013","LOC126345561"
"ko03015","LOC126345561"
"ko03040","LOC126345604"
"ko00500","LOC126345672"
"ko01100","LOC126345672"
"ko04013","LOC126345708"
"ko04110","LOC126345708"
"ko04114","LOC126345708"
"ko04151","LOC126345708"
"ko04212","LOC126345708"
"ko04390","LOC126345708"
"ko04391","LOC126345708"
"ko05161","LOC126345708"
"ko05169","LOC126345708"
"ko05203","LOC126345708"
"ko00010","LOC126345893"
"ko00030","LOC126345893"
"ko00051","LOC126345893"
"ko00052","LOC126345893"
"ko00680","LOC126345893"
"ko01100","LOC126345893"
"ko01110","LOC126345893"
"ko01120","LOC126345893"
"ko01130","LOC126345893"
"ko01200","LOC126345893"
"ko01230","LOC126345893"
"ko03018","LOC126345893"
"ko04152","LOC126345893"
"ko05230","LOC126345893"
"ko04140","LOC126346021"
"ko04142","LOC126346021"
"ko04210","LOC126346021"
"ko04612","LOC126346021"
"ko04621","LOC126346021"
"ko04924","LOC126346021"
"ko03013","LOC126346074"
"ko00900","LOC126346176"
"ko01130","LOC126346176"
"ko04624","LOC126346684"
"ko05205","LOC126346684"
"ko03013","LOC126346862"
"ko00010","LOC126346878"
"ko00051","LOC126346878"
"ko00052","LOC126346878"
"ko00500","LOC126346878"
"ko00520","LOC126346878"
"ko00521","LOC126346878"
"ko00524","LOC126346878"
"ko01100","LOC126346878"
"ko01110","LOC126346878"
"ko01120","LOC126346878"
"ko01130","LOC126346878"
"ko01200","LOC126346878"
"ko04066","LOC126346878"
"ko04910","LOC126346878"
"ko04930","LOC126346878"
"ko04973","LOC126346878"
"ko05230","LOC126346878"
"ko04115","LOC126346926"
"ko04211","LOC126346926"
"ko04144","LOC126346985"
"ko05100","LOC126346985"
"ko00590","LOC126348697"
"ko00790","LOC126348697"
"ko00980","LOC126348697"
"ko01100","LOC126348697"
"ko05204","LOC126348697"
"ko00590","LOC126347063"
"ko00790","LOC126347063"
"ko00980","LOC126347063"
"ko01100","LOC126347063"
"ko05204","LOC126347063"
"ko00230","LOC126347233"
"ko00240","LOC126347233"
"ko01100","LOC126347233"
"ko03030","LOC126347233"
"ko04013","LOC126347338"
"ko04214","LOC126347338"
"ko04624","LOC126347338"
"ko03420","LOC126347401"
"ko04120","LOC126347401"
"ko05161","LOC126347401"
"ko05203","LOC126347401"
"ko04714","LOC126347677"
"ko00520","LOC126347693"
"ko00920","LOC126347767"
"ko01100","LOC126347767"
"ko01120","LOC126347767"
"ko01130","LOC126347767"
"ko04962","LOC126347943"
"ko00860","LOC126347959"
"ko00970","LOC126347959"
"ko01100","LOC126347959"
"ko01110","LOC126347959"
"ko01120","LOC126347959"
"ko04212","LOC126348146"
"ko04213","LOC126348146"
"ko04950","LOC126348146"
"ko00564","LOC126348162"
"ko04146","LOC126348162"
"ko00020","LOC126348271"
"ko00190","LOC126348271"
"ko01100","LOC126348271"
"ko01110","LOC126348271"
"ko01120","LOC126348271"
"ko01130","LOC126348271"
"ko01200","LOC126348271"
"ko04714","LOC126348271"
"ko04932","LOC126348271"
"ko05010","LOC126348271"
"ko05012","LOC126348271"
"ko05016","LOC126348271"
"ko03015","LOC126348329"
"ko04071","LOC126348329"
"ko04113","LOC126348329"
"ko04114","LOC126348329"
"ko04151","LOC126348329"
"ko04152","LOC126348329"
"ko04261","LOC126348329"
"ko04728","LOC126348329"
"ko05165","LOC126348329"
"ko03010","LOC126348459"
"ko03040","LOC126348491"
"ko03013","LOC126348533"
"ko03015","LOC126348533"
"ko03040","LOC126348533"
"ko04330","LOC126348507"
"ko04066","LOC126348760"
"ko04137","LOC126348760"
"ko04140","LOC126348760"
"ko04212","LOC126348760"
"ko04659","LOC126348760"
"ko04919","LOC126348760"
"ko05167","LOC126348760"
"ko05200","LOC126348760"
"ko05205","LOC126348760"
"ko05211","LOC126348760"
"ko05230","LOC126348760"
"ko05231","LOC126348760"
"ko03013","LOC126348812"
"ko04013","LOC126349037"
"ko00020","LOC126349195"
"ko00310","LOC126349195"
"ko01100","LOC126349195"
"ko01110","LOC126349195"
"ko01120","LOC126349195"
"ko01130","LOC126349195"
"ko01200","LOC126349195"
"ko04214","LOC126349227"
"ko04390","LOC126349227"
"ko04391","LOC126349227"
"ko04392","LOC126349227"
"ko00190","LOC126349369"
"ko01100","LOC126349369"
"ko04714","LOC126349369"
"ko04723","LOC126349369"
"ko04932","LOC126349369"
"ko05010","LOC126349369"
"ko05012","LOC126349369"
"ko05016","LOC126349369"
"ko03010","LOC126349385"
"ko00600","LOC126349411"
"ko01100","LOC126349411"
"ko03015","LOC126349494"
"ko04360","LOC126349520"
"ko04810","LOC126349520"
"ko03008","LOC126349633"
"ko00860","LOC126349650"
"ko01100","LOC126349650"
"ko05168","LOC126349792"
"ko03040","LOC126349809"
"ko00260","LOC126349907"
"ko00680","LOC126349907"
"ko01100","LOC126349907"
"ko01120","LOC126349907"
"ko01130","LOC126349907"
"ko01200","LOC126349907"
"ko01230","LOC126349907"
"ko04120","LOC126350006"
"ko00010","LOC126350022"
"ko00053","LOC126350022"
"ko00071","LOC126350022"
"ko00260","LOC126350022"
"ko00280","LOC126350022"
"ko00310","LOC126350022"
"ko00330","LOC126350022"
"ko00340","LOC126350022"
"ko00380","LOC126350022"
"ko00410","LOC126350022"
"ko00561","LOC126350022"
"ko00620","LOC126350022"
"ko01100","LOC126350022"
"ko01110","LOC126350022"
"ko01120","LOC126350022"
"ko01130","LOC126350022"
"ko00562","LOC126350038"
"ko01100","LOC126350038"
"ko04020","LOC126350038"
"ko04070","LOC126350038"
"ko04722","LOC126350130"
"ko00710","LOC126350882"
"ko03013","LOC126351051"
"ko03015","LOC126351051"
"ko03040","LOC126351051"
"ko05168","LOC126351051"
"ko04137","LOC126351334"
"ko05202","LOC126351268"
"ko04014","LOC126351350"
"ko00071","LOC126351366"
"ko01100","LOC126351366"
"ko01212","LOC126351366"
"ko00190","LOC126351698"
"ko01100","LOC126351698"
"ko04260","LOC126351698"
"ko04714","LOC126351698"
"ko04932","LOC126351698"
"ko05010","LOC126351698"
"ko05012","LOC126351698"
"ko05016","LOC126351698"
"ko00785","LOC126351672"
"ko01100","LOC126351672"
"ko04013","LOC126351714"
