"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126279309",33,"Diet 33",2.5348173634718,2.51326859232193e-11,TRUE
"LOC126279611",33,"Diet 33",2.68017115785378,0.0085347528773038,TRUE
"LOC126280394",33,"Diet 33",5.91565879826693,3.39940924026674e-05,TRUE
"LOC126281097",33,"Diet 33",1.21402693362239,0.0406415905563604,TRUE
"LOC126281296",33,"Diet 33",-1.19181591849896,0.000845302241259362,TRUE
"LOC126281481",33,"Diet 33",2.53577913889564,3.46999660723e-06,TRUE
"LOC126281715",33,"Diet 33",-1.45765269352051,0.000227524860951008,TRUE
"LOC126281729",33,"Diet 33",1.17835941367779,0.0467957915121344,TRUE
"LOC126281954",33,"Diet 33",-1.0362489304706,0.00323025761609319,TRUE
"LOC126282030",33,"Diet 33",1.47761329089026,0.000213215938533826,TRUE
"LOC126282043",33,"Diet 33",-2.23820148237315,0.00171950485297096,TRUE
"LOC126282200",33,"Diet 33",-1.26388699853135,0.0303080380933999,TRUE
"LOC126282271",33,"Diet 33",-1.48348995369766,0.000302176508509099,TRUE
"LOC126283788",33,"Diet 33",2.14442918363392,0.000359458866186856,TRUE
"LOC126283976",33,"Diet 33",1.60493764423701,0.00797475424241719,TRUE
"LOC126283989",33,"Diet 33",3.29512183101101,0.00121426877981101,TRUE
"LOC126284033",33,"Diet 33",3.53380201828115,9.19757178630789e-05,TRUE
"LOC126284043",33,"Diet 33",1.82781569106098,0.0288022444506741,TRUE
"LOC126284507",33,"Diet 33",1.66680878501046,0.0474554002892051,TRUE
"LOC126284570",33,"Diet 33",1.37755106623526,0.0395942589402891,TRUE
"LOC126284624",33,"Diet 33",-1.67552593615604,0.0179969967829255,TRUE
"LOC126284778",33,"Diet 33",-1.44526624347438,0.017682013386707,TRUE
"LOC126336244",33,"Diet 33",-1.48293693734905,4.62735052440593e-05,TRUE
"LOC126336345",33,"Diet 33",-1.46528228538728,0.000203902309662094,TRUE
"LOC126335600",33,"Diet 33",-2.9253649891725,0.00172167578866167,TRUE
"LOC126336376",33,"Diet 33",2.63284432868511,0.0497018395867544,TRUE
"LOC126336375",33,"Diet 33",2.34671368030103,0.000820379799838259,TRUE
"LOC126336379",33,"Diet 33",1.29566943669429,0.00120869886031755,TRUE
"LOC126336399",33,"Diet 33",-2.23792862417387,0.00010163060299773,TRUE
"LOC126336409",33,"Diet 33",-2.21365859844968,0.00377699409706012,TRUE
"LOC126336414",33,"Diet 33",4.84672537197399,0.000152866410037252,TRUE
"LOC126336416",33,"Diet 33",1.7795047782226,3.7283815692427e-05,TRUE
"LOC126336425",33,"Diet 33",-1.79273289230435,0.031236901577213,TRUE
"LOC126336437",33,"Diet 33",1.729778114428,0.00501460948832951,TRUE
"LOC126335665",33,"Diet 33",-2.83179539485317,0.0100983533401895,TRUE
"LOC126336464",33,"Diet 33",-2.7462275125789,0.0131814625238313,TRUE
"LOC126336468",33,"Diet 33",-2.74715293764241,0.0428562857440608,TRUE
"LOC126336463",33,"Diet 33",-4.31305048289009,0.00220574630649953,TRUE
"LOC126336460",33,"Diet 33",-2.83202794036257,0.0212781798013732,TRUE
"LOC126335667",33,"Diet 33",-3.00207082748789,0.00331827042145917,TRUE
