"GeneID","Description"
"LOC126267247","natterin-4-like"
"LOC126267248","discoidin domain-containing receptor 2-like"
"LOC126267253","endoplasmic reticulum chaperone BiP-like"
"LOC126267256","uncharacterized LOC126267256"
"LOC126267258","uncharacterized LOC126267258"
"LOC126267259","alpha-tocopherol transfer protein-like"
"LOC126267263","N-acetylneuraminate lyase-like"
"LOC126267265","glutamate receptor 1-like"
"LOC126267268","uncharacterized LOC126267268"
"LOC126267271","kynurenine 3-monooxygenase-like"
"LOC126267275","uncharacterized LOC126267275"
"LOC126267276","uncharacterized LOC126267276"
"LOC126267280","adhesive plaque matrix protein 2-like"
"LOC126267293","uncharacterized LOC126267293"
"LOC126267303","uncharacterized LOC126267303"
"LOC126267305","retinol-binding protein pinta-like"
"LOC126267308","JNK-interacting protein 1"
"LOC126267311","uncharacterized LOC126267311"
"LOC126267321","uncharacterized LOC126267321"
"LOC126267322","mucin-5AC-like"
"LOC126267325","serine protease persephone-like"
"LOC126267327","uncharacterized LOC126267327"
"LOC126267328","uncharacterized LOC126267328"
"LOC126267330","uncharacterized LOC126267330"
"LOC126267333","la-related protein 6"
"LOC126267335","nephrin-like"
"LOC126267338","radial spoke head protein 6 homolog A"
"LOC126267342","uncharacterized LOC126267342"
"LOC126267343","uncharacterized LOC126267343"
"LOC126267351","uncharacterized LOC126267351"
"LOC126267355","neuroparsin-A"
"LOC126267357","uncharacterized LOC126267357"
"LOC126267358","uncharacterized LOC126267358"
"LOC126267362","dynein regulatory complex subunit 4-like"
"LOC126267366","uncharacterized LOC126267366"
"LOC126267377","broad-complex core protein isoforms 1/2/3/4/5-like"
"LOC126267380","opioid-binding protein/cell adhesion molecule homolog"
"LOC126267385","uncharacterized LOC126267385"
"LOC126267390","uncharacterized LOC126267390"
"LOC126267391","papilin"
"LOC126267392","synaptic vesicle membrane protein VAT-1 homolog"
"LOC126267393","synaptic vesicle membrane protein VAT-1 homolog"
"LOC126267400","serine/arginine repetitive matrix protein 1-like"
"LOC126267403","protein amnionless"
"LOC126267406","uncharacterized LOC126267406"
"LOC126267407","uncharacterized LOC126267407"
"LOC126267408","uncharacterized LOC126267408"
"LOC126267409","calcium-binding mitochondrial carrier protein SCaMC-2"
"LOC126267414","spondin-2-like"
"LOC126267417","RNA-binding protein Raly-like"
"LOC126267420","glycine%2C alanine and asparagine-rich protein-like"
"LOC126267421","probable cytochrome P450 301a1%2C mitochondrial"
"LOC126267422","U-scoloptoxin(19)-Sm1a"
"LOC126267423","nephrin-like"
"LOC126267424","probable cytochrome P450 303a1"
"LOC126267427","uncharacterized LOC126267427"
"LOC126267430","uncharacterized LOC126267430"
"LOC126267431","salivary glue protein Sgs-3-like"
"LOC126267432","BTB/POZ domain-containing protein Tiwaz"
"LOC126267437","sodium/potassium/calcium exchanger 3-like"
"LOC126267438","adipocyte plasma membrane-associated protein Hemomucin-like"
"LOC126267439","locomotion-related protein Hikaru genki-like"
"LOC126267442","CLIP domain-containing serine protease 14D-like"
"LOC126267444","inositol 1%2C4%2C5-triphosphate receptor associated 2-like"
"LOC126267448","acanthoscurrin-2-like"
"LOC126267449","uncharacterized LOC126267449"
"LOC126267450","uncharacterized LOC126267450"
"LOC126267451","uncharacterized LOC126267451"
"LOC126267452","uncharacterized LOC126267452"
"LOC126267456","LIM/homeobox protein Lhx9-like"
"LOC126267457","uncharacterized LOC126267457"
"LOC126267462","venom allergen 5-like"
"LOC126267463","UDP-glycosyltransferase UGT5-like"
"LOC126267464","ATP-dependent DNA helicase DDX11"
"LOC126267469","uncharacterized LOC126267469"
"LOC126267472","putative protein TPRXL"
"LOC126267473","pyrroline-5-carboxylate reductase 3"
"LOC126267475","39S ribosomal protein L54%2C mitochondrial-like"
"LOC126267476","probable 28S ribosomal protein S16%2C mitochondrial"
"LOC126267477","kininogen-1-like"
"LOC126267478","cystatin-like"
"LOC126267479","cystatin-C-like"
"LOC126267485","uncharacterized LOC126267485"
"LOC126267487","beta-mannosidase-like"
"LOC126267488","uncharacterized protein DDB_G0286299-like"
"LOC126267489","transcription initiation factor TFIID subunit 11-like"
"LOC126267491","protein roadkill-like"
"LOC126267501","uncharacterized LOC126267501"
"LOC126267502","putative uncharacterized protein DDB_G0287191"
"LOC126267503","nephrin-like"
"LOC126267506","alpha-L-fucosidase-like"
"LOC126267514","hemicentin-2-like"
"LOC126267515","acyl-coenzyme A thioesterase 13-like"
"LOC126267518","WAG22 antigen-like"
"LOC126267519","cystatin-like"
"LOC126267521","facilitated trehalose transporter Tret1-like"
"LOC126267524","cilia- and flagella-associated protein 36"
"LOC126267525","uncharacterized LOC126267525"
"LOC126267526","synaptogenesis protein syg-2-like"
"LOC126267528","UDP-glucosyltransferase 2-like"
"LOC126267531","methyl farnesoate epoxidase-like"
"LOC126267532","uncharacterized LOC126267532"
"LOC126267533","glutamic acid-rich protein-like"
"LOC126267535","kynurenine formamidase"
"LOC126267536","lathosterol oxidase-like"
"LOC126267541","uncharacterized LOC126267541"
"LOC126267542","hemicentin-2"
"LOC126267543","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126267544","uncharacterized LOC126267544"
"LOC126267545","serine protease Hayan-like"
"LOC126267546","neuronal acetylcholine receptor subunit alpha-3-like"
"LOC126267549","uncharacterized LOC126267549"
"LOC126267550","uncharacterized LOC126267550"
"LOC126267553","uncharacterized LOC126267553"
"LOC126267554","waprin-Rha1"
"LOC126267556","uncharacterized LOC126267556"
"LOC126267560","uncharacterized LOC126267560"
"LOC126267564","methyl farnesoate epoxidase-like"
"LOC126267567","uncharacterized LOC126267567"
"LOC126267568","uncharacterized LOC126267568"
"LOC126267574","uncharacterized LOC126267574"
"LOC126267575","uncharacterized LOC126267575"
"LOC126267577","uncharacterized LOC126267577"
"LOC126267578","uncharacterized LOC126267578"
