Description,GeneID_Control,GeneID_Infected,GeneID_Within
synaptic vesicle glycoprotein 2B-like,LOC126293755,LOC126273309;LOC126272485;LOC126272232;LOC126293755;LOC126293655,LOC126273309;LOC126293755;LOC126298917
T-complex protein 1 subunit beta-like,LOC126325536,LOC126325536,LOC126325536
TBC1 domain family member 8B-like,LOC126326570,LOC126326570,LOC126326570
TELO2-interacting protein 1 homolog,LOC126329590,LOC126329590,LOC126329590
tetratricopeptide repeat protein 1-like,LOC126304660,LOC126304660,LOC126304660
thioredoxin domain-containing protein-like,LOC126320560,LOC126320560,LOC126320560
titin homolog,LOC126326198,LOC126326198,LOC126326198
titin-like,LOC126323236,LOC126323236,LOC126323236
TNF receptor-associated protein 1 homolog%2C mitochondrial-like,LOC126318464,LOC126318464,LOC126318464
trafficking protein particle complex subunit 10-like,LOC126322422,LOC126322422,LOC126322422
trans-1%2C2-dihydrobenzene-1%2C2-diol dehydrogenase-like,LOC126325504,LOC126325504,LOC126325504;LOC126281694
transcription elongation factor SPT5-like,LOC126316726,LOC126316726,LOC126316726
transcription initiation factor TFIID subunit 1-like,LOC126325837,LOC126325873;LOC126325837,LOC126325837
transducin beta-like protein 3,LOC126323888,LOC126323888,LOC126323888
transforming growth factor beta-1-induced transcript 1 protein-like,LOC126318617;LOC126319953,LOC126318617,LOC126318617;LOC126319953
translation initiation factor eIF-2B subunit beta-like,LOC126320390,LOC126320390,LOC126320390
transmembrane emp24 domain-containing protein A-like,LOC126319861,LOC126319861,LOC126319861
transmembrane protein 94-like,LOC126322381,LOC126322381,LOC126322381
transportin-1-like,LOC126329938,LOC126329938,LOC126329938
trimethyllysine dioxygenase%2C mitochondrial-like,LOC126316761,LOC126316761;LOC126328228,LOC126316761
tRNA (guanine(26)-N(2))-dimethyltransferase-like,LOC126317474,LOC126317474,LOC126317474
twinfilin-like,LOC126325919,LOC126325919,LOC126325919
tyrosine-protein kinase Fer-like,LOC126322423,LOC126322423,LOC126322423
tyrosine-protein phosphatase 3-like,LOC126319984,LOC126319984,LOC126319984
ubiquitin carboxyl-terminal hydrolase 33-like,LOC126323724,LOC126323724,LOC126323724
ubiquitin carboxyl-terminal hydrolase 5-like,LOC126317448,LOC126317448,LOC126317448
ubiquitin-like modifier-activating enzyme 1,LOC126311180,LOC126311180,LOC126311180
ubiquitin-protein ligase E3B-like,LOC126318289,LOC126318289,LOC126318289
UDP-glucosyltransferase 2-like,LOC126293432,LOC126354652;LOC126282179,LOC126336625;LOC126354282;LOC126354283;LOC126355887;LOC126354649;LOC126281562;LOC126284452;LOC126291810;LOC126291743;LOC126291811;LOC126271890
UDP-glycosyltransferase UGT5-like,LOC126285309;LOC126284862,LOC126266939;LOC126285310;LOC126285309,LOC126272831;LOC126284857;LOC126284858;LOC126284862;LOC126336628;LOC126284670
UTP--glucose-1-phosphate uridylyltransferase 2-like,LOC126324744,LOC126324744,LOC126324744
UV excision repair protein RAD23 homolog,LOC126316973,LOC126316973,LOC126316973
V-type proton ATPase subunit H-like,LOC126329087,LOC126329087,LOC126329087
vacuolar protein sorting-associated protein 35-like,LOC126327207,LOC126327207,LOC126327207
vacuolar protein sorting-associated protein 51 homolog,LOC126325525,LOC126325525,LOC126325525
vacuolar protein sorting-associated protein 54-like,LOC126325534,LOC126325534,LOC126325534
vacuolar proton translocating ATPase 100 kDa subunit-like,LOC126311237,LOC126311237,LOC126311237
valine--tRNA ligase-like,LOC126318439,LOC126318439,LOC126318439
vegetative catalase-like,LOC126318362,LOC126318362,LOC126318362
vesicular glutamate transporter 1-like,LOC126272465,LOC126272465,LOC126272465
villin-1-like,LOC126313401,LOC126313401,LOC126313401
zinc finger protein 622-like,LOC126316708,LOC126316708,LOC126316708
