"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
2051,"LOC126313357","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.69295472894131,0.0150508998418438,2.97438485644085,"1037","Higher than gene average"
2052,"LOC126326077","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.32794990788029,0.0314937942115088,2.89132679030984,"1007","Higher than gene average"
2053,"LOC126318445","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.58612998188325,0.0280995774574521,3.11858905391564,"1037","Higher than gene average"
2054,"LOC126329586","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.50553200037825,0.0299712547057027,3.30626548981976,"1037","Higher than gene average"
2055,"LOC126332405","Actin","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.34491249516676,0.00365050875501309,3.13503638510264,"1037","Higher than gene average"
2056,"LOC126315312","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.16474918260447,0.0124420720273782,2.89127251560844,"1037","Higher than gene average"
2057,"LOC126318363","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.60803031687751,0.0207813062119304,3.25001658270522,"1037","Higher than gene average"
2058,"LOC126326032","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.95753552987218,0.0046503472314051,3.06271596484618,"1007","Higher than gene average"
2059,"LOC126329995","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.07782501562468,0.0025547686375377,2.95774768174675,"1037","Higher than gene average"
2060,"LOC126316762","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.41866414347681,0.0105721910979766,2.98377497574332,"1037","Higher than gene average"
2061,"LOC126329919","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.7702534095773,0.0181737079241431,3.21383387600242,"1037","Higher than gene average"
2062,"LOC126326523","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.35822842393005,0.00449204844547374,3.14301845443384,"1037","Higher than gene average"
2063,"LOC126326133","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.4339012183566,0.0116583558668031,3.0066318601521,"1007","Higher than gene average"
2064,"LOC126315266","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.37543757876384,0.00291342089017577,3.63366197487865,"1037","Higher than gene average"
2065,"LOC126316799","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.2135508457408,0.00652708481567226,3.02976429603324,"1037","Higher than gene average"
2066,"LOC126325909","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.52091179957338,0.00178928682731805,3.05404560544205,"1037","Higher than gene average"
