source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,significant_in_current_unplaced_analysis,n_significant_contrasts,significant_contrasts,higher_expression_conditions
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126322397,60S ribosomal protein L19-like,60S ribosomal protein L19-like,protein_coding,NW_026062176.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126322401,eukaryotic translation initiation factor 3 subunit L-like,eukaryotic translation initiation factor 3 subunit L-like,protein_coding,NW_026062176.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126322545,eukaryotic translation initiation factor 1-like,eukaryotic translation initiation factor 1-like,protein_coding,NW_026062185.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126322623,DNA-directed RNA polymerase III subunit RPC1-like,DNA-directed RNA polymerase III subunit RPC1-like,protein_coding,NW_026062185.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126322686,50S ribosomal protein L17-like,50S ribosomal protein L17-like,protein_coding,NW_026062196.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126322697,eukaryotic translation initiation factor 4E type 2-like,eukaryotic translation initiation factor 4E type 2-like,protein_coding,NW_026062196.1,FALSE,0,None at current thresholds,Not significant
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126322727,30S ribosomal protein S5-like,30S ribosomal protein S5-like,protein_coding,NW_026062196.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126322728,60S ribosomal protein L18-like,60S ribosomal protein L18-like,protein_coding,NW_026062196.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126323753,eukaryotic translation initiation factor 5-like,eukaryotic translation initiation factor 5-like,protein_coding,NW_026062229.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126323761,60S ribosomal protein L14-like,60S ribosomal protein L14-like,protein_coding,NW_026062229.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126323922,60S ribosomal protein L7a-like,60S ribosomal protein L7a-like,protein_coding,NW_026062236.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126324027,eukaryotic translation initiation factor 3 subunit M-like,eukaryotic translation initiation factor 3 subunit M-like,protein_coding,NW_026062244.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126324057,60S ribosomal protein L13a-like,60S ribosomal protein L13a-like,protein_coding,NW_026062244.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
