"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126354927",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354928",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354929",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354934",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126354946",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354947",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354959",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354992",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354995",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355037",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355038",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355039",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355040",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355041",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355051",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355055",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355060",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355080",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355083",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355087",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355090",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355108",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355126",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355146",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355173",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355180",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355184",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355192",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355203",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355249",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355257",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355265",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126355303",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355331",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355346",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355358",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355391",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355430",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126355446",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355449",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355457",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355480",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355485",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355503",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355555",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355561",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355586",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355590",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355597",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355635",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126355644",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355678",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355684",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355691",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355701",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355702",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355724",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355725",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355746",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126355748",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355751",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355789",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355798",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355818",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355826",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355831",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355838",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355846",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126355847",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355853",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355862",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355885",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355920",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355933",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355938",TRUE,TRUE,FALSE,TRUE,"Infection within diets + Diet DEGs in controls + Infection vs control"
"LOC126355939",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355940",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355941",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126355944",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355949",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126355952",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126355970",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356013",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126356015",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126356028",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356039",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356047",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126356050",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356065",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356066",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126356085",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
