"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272831",-2.13740802170136
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272850",4.27318033259379
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272858",2.0727453053457
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272860",-2.57579214164301
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272888",-1.68837770526613
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272926",-1.4863053203802
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272931",-1.31277684897851
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272961",2.37760448330656
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273028",4.24743270092856
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273029",4.78216768575988
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273030",5.83531285129295
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273032",5.06796477577162
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273060",6.07557700788704
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273130",3.49907726112248
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273192",1.88129818179914
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273222",3.40562144842786
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273233",-2.50131981535929
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273243",1.32115492046809
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273250",-2.40996629061876
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273297",3.39590139128435
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273306",1.63322648378315
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273334",1.0297627277605
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273393",3.75769714988315
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273757",1.43890117490647
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126273784",-2.22292497927767
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126274965",-1.25119432245895
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126275296",-2.50603014924907
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126275497",2.36312167029098
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126275659",-1.02752240211718
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126275742",2.11144481997669
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126276001",1.41552482323576
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126276533",-1.04674517890635
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126276633",-1.07057911362694
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126276951",-2.74827266442709
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277383",-3.13450711139022
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277750",1.26525342794103
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277867",1.78356462084557
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277871",-1.03458740505438
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277903",2.8991837193094
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277916",1.19401365868938
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277955",1.28976605922786
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126277966",-1.24625958945804
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278002",-1.93635199562098
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278009",1.77728520360612
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278010",2.55303011389857
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278049",2.84806049579692
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278061",1.29615444828174
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278069",2.61747404016837
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278109",1.93608908311392
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278127",7.59950444177061
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278128",2.0811901854901
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278137",-2.06504758652832
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278149",-1.7016798416229
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278176",2.65340863770703
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278180",1.07245314070887
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278191",1.53553493916696
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278225",2.2412544434058
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278232",1.66953006976956
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278259",1.73743464093011
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278289",-1.87761801999949
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278308",1.75985503196029
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278341",-1.22914607553627
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278364",-2.39617089376686
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278365",-2.7111242269993
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278382",5.67669131492053
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278436",8.76776032447922
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278447",1.21791499129769
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278456",-2.89293629130977
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278485",-8.32593042897526
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278499",-22.0758860035944
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278501",-1.65723245092355
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278521",1.22455646454709
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278530",-1.03280489358629
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278549",-1.10677564122943
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278559",1.74855377656729
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278566",1.23348472434058
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278567",-1.19329504106269
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278585",-4.61132732249668
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278622",-2.7579054925968
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278673",4.97612770755333
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278697",-1.23167492746111
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278707",2.1095131381396
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278735",1.6858877471388
