"gene_id","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj"
"LOC126267283",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.22634754910026,0.00321263864269038
"LOC126267285",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.24449567460293,2.47825916812132e-46
"LOC126267286",1,"Fat body vs Head","Higher in Fat body",1.0054857890469,0.000810540738047205
"LOC126267287",1,"Head vs Thorax","Higher in Thorax",1.88563457133989,0.034813735546668
"LOC126267290",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.70630503472544,1.14684555374131e-15
"LOC126267291",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.40141500304843,0.0251861652975954
"LOC126267292",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.20209114046285,6.61771808318728e-76
"LOC126267295",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.51079870381441,4.83480487269488e-34
"LOC126267299",1,"Head vs Thorax","Higher in Head",3.73519650788861,3.13312835264799e-06
"LOC126267303",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.07141868225675,1.53988890770085e-52
"LOC126267304",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.1524156622963,0.00952689709208577
"LOC126267308",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.48444515590207,8.17538610423962e-12
"LOC126267312",2,"Fat body vs Head; Head vs Thorax","Higher in Head",6.71206674540026,5.78751404230628e-09
"LOC126267314",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.54213028339628,1.77375394430121e-129
"LOC126267315",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.31091380399666,8.89344757616284e-10
"LOC126267321",1,"Fat body vs Thorax","Higher in Thorax",1.04061988624737,0.00594180479628047
"LOC126267322",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.94983678094635,8.41830018521037e-23
