"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126334787",TRUE,1,"Infection within diet","Diet 83: infected vs control","Upregulated",1.07835279185754,0.00273520850858445
"LOC126334803",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.68402334247483,0.0422993242062877
"LOC126334818",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.09409709010449,2.3506295897966e-13
"LOC126334820",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.03433645051413,0.026024460298449
"LOC126334835",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.87596830480091,5.74065083243467e-11
"LOC126334846",TRUE,2,"Diet contrasts: infected; Infection within diet","Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",6.76924718873389,0.0013152809549174
"LOC126334853",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",2.87079116994468,0.0039253069286889
"LOC126334856",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.33210450361911,3.0663289102452e-07
"LOC126334858",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.19449169883881,0.0286877682678067
"LOC126334860",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.02978710545092,0.0420633656684314
"LOC126334861",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",2.30083621347734,0.000229351015556858
"LOC126334867",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.09852310374173,0.00626739353564169
"LOC126334873",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",2.41105852145058,0.00477435444021991
"LOC126334874",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.50748104613071,0.020673455860697
"LOC126334879",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",4.10922387846875,0.00514882219117135
