"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category"
"LOC126266684",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",6.54662652075938,1.02448924657381e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",38.5361191165172,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266685",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.21138635049394,1.62771633722249e-18,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.09209596582187,0.03255086740235,NA,NA,NA,NA,NA,NA,"unannotated","Transmembrane amino acid transporter protein",47.5793410278796,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266686",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.5576937582833,1.09105818536632e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Transmembrane amino acid transporter protein",40.5198458464578,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266692",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.4128523656546,1.30549204003093e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",23.2970781375088,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266693",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",3.89707501291956,0.000142959785105392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",23.7418611262452,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266696",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.76723262055699,0.0300222952206305,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",2.22323004245187,0.00226505765315771,1.32114842385691,0.00698792001320234,"Gregarious-up",NA,NA,NA,"unannotated","no description",39.6347400097175,TRUE,FALSE,TRUE,TRUE,"DEG tissues","DEG tissues"
"LOC126266700",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.42614094990584,8.57121561322611e-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",91.4930985297706,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266705",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.66179301959361,2.96208082081725e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Zn_pept",24.190196115457,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266706",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.20688140321379,1.67297380864895e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Belongs to the FGGY kinase family",31.9833922613239,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266708",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,1,"Fat body vs Head","Higher in Head",1.4676971338944,0.0078474292394612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trh","tryptophan 5-monooxygenase activity. It is involved in the biological process described with oxidation-reduction process",11.5729697255529,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266710",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.20146585540326,1.06290906585876e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Leucine-rich repeat-containing protein",24.1749697441114,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266713",TRUE,FALSE,FALSE,TRUE,"DEG tissues + DEG infection x diet",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.45470963508131,1.04509069320357e-20,TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.48156328171441,0.00240981203952358,NA,NA,NA,NA,NA,NA,"unannotated","Spondin_N",52.5351357667386,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266717",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.05018290960298,1.20482915789025e-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Fibronectin type 3 domain",92.9692574403234,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266718",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.09525571982424,1.33314407361283e-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Fibronectin type 3 domain",60.9703786334307,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266721",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.37770620307181,1.47683115610081e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dan","DNA- binding",24.2083753571609,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266725",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",2.60358086833081,3.69728747124403e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Cytochrome P450",36.0356976492099,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266726",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",3.93517519155626,2.43447662135123e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Cytochrome P450",44.5487695832502,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266729",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Fat body; Higher in Thorax",4.56289520482944,1.71577965248618e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59939538114647,9.90846740215294e-05,"Solitarious-up","Vha16","Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells",33.9318225878412,TRUE,FALSE,TRUE,TRUE,"DEG tissues","DEG tissues"
