"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category","heatmap_category","gene_label"
"LOC126352618",FALSE,TRUE,FALSE,FALSE,"DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33305962288227,3.6558239779384e-60,"Gregarious-up",1.61017341021978,1.39410981169846e-66,"Gregarious-up","unannotated","no description",128.23595077236,TRUE,FALSE,FALSE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126352618 | unannotated | no description"
"LOC126334876",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,1,"Fat body vs Head","Higher in Fat body",3.77063658733809,0.0360315292135476,NA,NA,NA,NA,NA,NA,NA,-5.49361645528228,3.05761404144014e-80,"Solitarious-up",-4.98260423584666,2.51171482969533e-20,"Solitarious-up","unannotated","Hemocyanin, all-alpha domain",122.804821590185,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126334876 | unannotated | Hemocyanin, all-alpha domain"
"LOC126354316",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",8.97707092147257,1.07168638518639e-53,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",2.16923807743948,0.00119063036077514,NA,NA,NA,-1.51557693882189,2.24255243973589e-12,"Solitarious-up","unannotated","Belongs to the type-B carboxylesterase lipase family",114.205298664195,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126354316 | unannotated | Belongs to the type-B carboxylester..."
"LOC126284795",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Fat body; Higher in Thorax",12.7395663233596,3.41736969866851e-66,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",2.16798498467353,0.000317725411225969,NA,NA,NA,-1.22145464055299,0.00124017910205879,"Solitarious-up","unannotated","no description",113.999777624943,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126284795 | unannotated | no description"
"LOC126284661",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Fat body; Higher in Thorax",11.9788879298604,4.51550467057031e-60,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.28214147275177,0.0181833467392194,NA,NA,NA,1.58864472958958,1.79543423114003e-06,"Gregarious-up","unannotated","no description",107.681124514948,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126284661 | unannotated | no description"
"LOC126354925",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",10.8131690829697,1.72273451751041e-55,NA,NA,NA,NA,NA,NA,NA,1.54174916272415,7.36246192485291e-12,"Gregarious-up",NA,NA,NA,"unannotated","no description",102.251676828327,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126354925 | unannotated | no description"
"LOC126278041",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",3.38936302504571,2.32424884156842e-08,NA,NA,NA,NA,NA,NA,NA,3.76686700816573,4.96735051697368e-72,"Gregarious-up",NA,NA,NA,"unannotated","alpha/beta hydrolase fold",102.093822603331,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126278041 | unannotated | alpha/beta hydrolase fold"
"LOC126284728",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",10.1678459954,7.01713215672559e-09,NA,NA,NA,NA,NA,NA,NA,-2.59860243923233,3.0615391699891e-45,"Solitarious-up",-2.78710253646378,1.42906831197307e-14,"Solitarious-up","unannotated","Juvenile hormone binding protein domains in insects.",98.0663985056423,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126284728 | unannotated | Juvenile hormone binding protein do..."
"LOC126294990",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.15859100419996,0.000732408505846945,NA,NA,NA,NA,NA,NA,NA,1.79098014541782,9.76967387298544e-37,"Gregarious-up",1.15733298845843,1.33191993203257e-27,"Gregarious-up","per","an increase in PER dosage leads to shortened circadian rhythms and a decrease leads to lengthened circadian rhythms. Essential for the circadian rhythmicity of locomotor activity, eclosion behavior, and for the rhythmic component of the male courtship song that originates in the thoracic nervous system. The biological cycle depends on the rhythmic formation and nuclear localization of the TIM-PER complex. Light induces the degradation of TIM, which promotes elimination of PER. Nuclear activity of the heterodimer coordinatively regulates PER and TIM transcription through a negative feedback loop. Behaves as a negative element in circadian transcriptional loop. Does not appear to bind DNA, suggesting indirect transcriptional inhibition",87.1277925740588,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126294990 | per | an increase in PER dosage leads to ..."
"LOC126284470",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",3.56919877409401,2.95028859824567e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65977780764607,1.04507876237764e-55,"Gregarious-up","unannotated","GMC oxidoreductase",85.7399630585572,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126284470 | unannotated | GMC oxidoreductase"
