"gene","control_only","infection_only","pairwise_diet","within_diet","full_model"
"LOC126293404",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126293737",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126293368",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126293370",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126293432",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126295405",TRUE,TRUE,TRUE,TRUE,FALSE
"LOC126294950",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126295156",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126298156",TRUE,TRUE,TRUE,TRUE,FALSE
"LOC126298522",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126298058",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126299364",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126299365",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126298067",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126297678",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126297977",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126297488",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126297490",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126297497",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126297745",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126299069",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126299510",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126301158",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126301159",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126305369",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126307520",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126311096",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126311081",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126311104",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126313197",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126313504",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126313505",TRUE,TRUE,TRUE,TRUE,TRUE
"LOC126313728",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126315979",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126316474",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126316496",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317038",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317330",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317423",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317537",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317668",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126317800",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317947",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126317934",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126318068",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126318085",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126319548",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126320027",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126320183",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126321968",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126322311",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126322310",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126322316",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126322642",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126322777",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126323161",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126323585",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126323714",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126323824",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126324766",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126325301",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126325419",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126325668",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126325791",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126326342",TRUE,TRUE,TRUE,TRUE,FALSE
"LOC126326990",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327064",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327080",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126327248",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327247",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327530",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327772",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126327811",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329316",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329386",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329614",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329617",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329719",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329782",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330007",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330131",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126330129",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330400",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330460",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330652",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330737",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330817",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126331579",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126331658",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126331869",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126332538",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126332888",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126333778",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126333783",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126334157",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126334253",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126334460",TRUE,TRUE,FALSE,TRUE,FALSE
"LOC126277228",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126282363",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126336648",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126320956",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126329509",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126335901",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126335467",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126356133",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126356065",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126272610",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126271937",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126277894",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126279018",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126281565",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126281483",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126285003",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126301143",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126301179",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126320071",TRUE,TRUE,TRUE,TRUE,FALSE
"LOC126324794",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126330099",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126326117",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126343816",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126344004",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126350918",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126352417",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354626",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126355265",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126266804",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126303359",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126269513",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126269651",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126273233",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126274788",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126279746",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126279803",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126280853",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126280942",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126281049",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126281792",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126281878",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126336323",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336409",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126336551",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336710",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336743",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336744",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336985",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336994",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336149",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126336151",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126322933",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126324000",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126324213",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126333043",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126334598",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126334647",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126334702",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126334752",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336307",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126334772",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126334790",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126334846",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126335041",FALSE,TRUE,FALSE,TRUE,TRUE
"LOC126336484",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126335087",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126335232",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126335241",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126335242",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126335261",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336590",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126335461",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126336076",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126355108",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126353839",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126354358",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126354798",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354529",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354722",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126355391",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354039",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354826",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354828",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354102",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354970",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354969",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126357274",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126354652",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126354365",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126354934",FALSE,TRUE,TRUE,TRUE,FALSE
"LOC126355736",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126268172",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126268174",FALSE,TRUE,TRUE,FALSE,TRUE
"LOC126268173",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126267342",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126267658",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126268093",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126267263",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126266840",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126266841",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126266862",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126266939",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126267477",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272850",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272144",FALSE,TRUE,TRUE,TRUE,TRUE
"LOC126272799",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126273058",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272510",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272992",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126271902",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126273309",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272198",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272116",FALSE,TRUE,TRUE,TRUE,FALSE
"LOC126272382",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126273102",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272683",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272718",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272722",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126271954",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272706",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126272807",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272485",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126272232",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126272900",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126278130",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126278132",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126278499",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126278605",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126279089",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126277896",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126278162",FALSE,TRUE,FALSE,TRUE,TRUE
"LOC126278407",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126278211",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126279765",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126278381",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126279013",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126278485",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126278585",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126277947",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126281341",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126281508",FALSE,TRUE,TRUE,FALSE,FALSE
"LOC126281974",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126281975",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126281438",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126281410",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126281326",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126282080",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284648",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126284948",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284350",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126284071",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284866",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284153",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284536",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284811",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126284277",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284663",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284566",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126285310",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126283990",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126284460",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126284463",FALSE,TRUE,TRUE,TRUE,FALSE
"LOC126291635",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126291426",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126292277",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126291947",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126291583",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126291795",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126292038",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126291606",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126293389",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293695",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293450",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293755",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293272",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126293738",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293655",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293620",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126293326",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126293632",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126299278",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126297656",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298554",FALSE,TRUE,TRUE,TRUE,FALSE
"LOC126299222",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298362",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298462",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126299251",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298648",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126299180",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298043",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126298832",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126298104",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126301237",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126301139",FALSE,TRUE,FALSE,TRUE,FALSE
"LOC126304669",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304722",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304670",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304687",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304767",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304747",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304757",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304765",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304758",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304751",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304759",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304746",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304760",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304749",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304764",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304744",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304743",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304763",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304750",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304742",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304762",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304766",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304720",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304718",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304701",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304721",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304689",FALSE,TRUE,FALSE,FALSE,FALSE
