"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1061,"LOC126266675","Uncharacterised conserved protein (DUF2368)","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",1.25995640383913,0.000254651954808257,2.81448873159576,"1006","Lower than gene average"
1062,"LOC126299193","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.38670249267544,0.0210095059962305,2.70782039472619,"1049","Higher than gene average"
1063,"LOC126280853","catalytic activity. It is involved in the biological process described with metabolic process","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.96670464568892,0.000108505580519475,3.1462430148678,"1016","Higher than gene average"
1064,"LOC126298554","Chitin-binding domain type 2","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.17157344139842,0.00488813936572578,2.65339677259555,"1025","Higher than gene average"
1065,"LOC126284038","ABC-2 family transporter protein","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.61364380980224,3.22676567380012e-08,2.17607451302704,"1016","Higher than gene average"
1066,"LOC126282434","SH3/SH2 adaptor activity","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",2.00084757684385,0.000192562004703255,3.05891803868318,"1016","Higher than gene average"
1067,"LOC126273033","Insect pheromone-binding family, A10/OS-D","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.29409482643691,0.00210936061023502,2.69872092439121,"1046","Higher than gene average"
1068,"LOC126292098","Domain of unknown function (DUF4780)","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.97897706108078,0.0151887841092053,3.41149280554515,"1016","Higher than gene average"
1069,"LOC126291637","Belongs to the type-B carboxylesterase lipase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.03606114505797,0.0495180961292962,3.1714574525753,"1016","Higher than gene average"
1070,"LOC126293478","Farnesoic acid 0-methyl transferase","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",2.09553148929264,0.00195961699476762,2.83556676874521,"1027","Higher than gene average"
1071,"LOC126293297","no description","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",1.69659045963228,9.24350137017293e-10,2.43530567485482,"1027","Higher than gene average"
1072,"LOC126271634","zinc metalloproteinase","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",8.9383083920093,2.67824722216981e-09,2.79141658466505,"1027","Higher than gene average"
