"term","name","pathway_theme"
"ko04210","Apoptosis","Immune and stress signaling"
"ko04723","Retrograde endocannabinoid signaling","Other KEGG pathway"
"ko04932","Non-alcoholic fatty liver disease","Storage, lipid transport, and endocrine nutrition"
"ko05164","Influenza A","Other KEGG pathway"
"ko00970","Aminoacyl-tRNA biosynthesis","Detoxification and secondary metabolism"
"ko00600","Sphingolipid metabolism","Lipid and membrane metabolism"
"ko04624","Toll and Imd signaling pathway","Immune and stress signaling"
"ko03440","Homologous recombination","Other KEGG pathway"
"ko05205","Proteoglycans in cancer","Reference disease pathway"
"ko00020","Citrate cycle (TCA cycle)","Carbohydrate and energy metabolism"
"ko00380","Tryptophan metabolism","Amino acid and nitrogen metabolism"
"ko04072","Phospholipase D signaling pathway","Immune and stress signaling"
"ko04976","Bile secretion","Storage, lipid transport, and endocrine nutrition"
"ko00051","Fructose and mannose metabolism","Carbohydrate and energy metabolism"
"ko00520","Amino sugar and nucleotide sugar metabolism","Other KEGG pathway"
"ko05322","Systemic lupus erythematosus","Other KEGG pathway"
"ko04360","Axon guidance","Cellular process"
"ko00760","Nicotinate and nicotinamide metabolism","Other KEGG pathway"
"ko04514","Cell adhesion molecule (CAM) interaction","Cellular process"
"ko05144","Malaria","Other KEGG pathway"
"ko04390","Hippo signaling pathway","Cellular process"
"ko05161","Hepatitis B","Other KEGG pathway"
"ko00680","Methane metabolism","Other KEGG pathway"
"ko04612","Antigen processing and presentation","Immune and stress signaling"
"ko00900","Terpenoid backbone biosynthesis","Detoxification and secondary metabolism"
"ko00521","Streptomycin biosynthesis","Other KEGG pathway"
"ko00524","Neomycin, kanamycin and gentamicin biosynthesis","Other KEGG pathway"
"ko04930","Type II diabetes mellitus","Storage, lipid transport, and endocrine nutrition"
"ko04973","Carbohydrate digestion and absorption","Storage, lipid transport, and endocrine nutrition"
"ko05100","Bacterial invasion of epithelial cells","Other KEGG pathway"
"ko00790","Folate biosynthesis","Other KEGG pathway"
"ko00240","Pyrimidine metabolism","Amino acid and nitrogen metabolism"
"ko03030","DNA replication","Genetic information processing"
"ko03420","Nucleotide excision repair","Other KEGG pathway"
"ko04962","Vasopressin-regulated water reabsorption","Storage, lipid transport, and endocrine nutrition"
"ko04950","Maturity onset diabetes of the young","Storage, lipid transport, and endocrine nutrition"
"ko04137","Mitophagy - animal","Cellular process"
"ko04659","Th17 cell differentiation","Immune and stress signaling"
"ko04392","Hippo signaling pathway - multiple species","Cellular process"
"ko04810","Regulation of actin cytoskeleton","Other KEGG pathway"
"ko03008","Ribosome biogenesis in eukaryotes","Genetic information processing"
"ko00340","Histidine metabolism","Amino acid and nitrogen metabolism"
"ko00620","Pyruvate metabolism","Carbohydrate and energy metabolism"
"ko00710","Carbon fixation by Calvin cycle","Carbohydrate and energy metabolism"
"ko04260","Cardiac muscle contraction","Immune and stress signaling"
"ko00785","Lipoic acid metabolism","Other KEGG pathway"
"ko04614","Renin-angiotensin system","Immune and stress signaling"
"ko04918","Thyroid hormone synthesis","Storage, lipid transport, and endocrine nutrition"
"ko04923","Regulation of lipolysis in adipocytes","Storage, lipid transport, and endocrine nutrition"
"ko05320","Autoimmune thyroid disease","Immune and stress signaling"
"ko05160","Hepatitis C","Other KEGG pathway"
"ko05162","Measles","Other KEGG pathway"
"ko04712","Circadian rhythm - plant","Other KEGG pathway"
"ko00515","Mannose type O-glycan biosynthesis","Other KEGG pathway"
"ko04978","Mineral absorption","Storage, lipid transport, and endocrine nutrition"
"ko04130","SNARE interactions in vesicular transport","Cellular process"
"ko03020","RNA polymerase","Genetic information processing"
"ko03430","Mismatch repair","Other KEGG pathway"
"ko04920","Adipocytokine signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko05223","Non-small cell lung cancer","Reference disease pathway"
"ko05226","Gastric cancer","Reference disease pathway"
"ko04550","Signaling pathways regulating pluripotency of stem cells","Cellular process"
"ko01521","EGFR tyrosine kinase inhibitor resistance","Amino acid and nitrogen metabolism"
"ko00640","Propanoate metabolism","Carbohydrate and energy metabolism"
"ko00440","Phosphonate and phosphinate metabolism","Other KEGG pathway"
"ko00073","Cutin, suberine and wax biosynthesis","Other KEGG pathway"
"ko04931","Insulin resistance","Storage, lipid transport, and endocrine nutrition"
"ko04012","ErbB signaling pathway","Immune and stress signaling"
"ko04725","Cholinergic synapse","Other KEGG pathway"
"ko04611","Platelet activation","Immune and stress signaling"
"ko04620","Toll-like receptor signaling pathway","Immune and stress signaling"
"ko04622","RIG-I-like receptor signaling pathway","Immune and stress signaling"
"ko04650","Natural killer cell mediated cytotoxicity","Immune and stress signaling"
"ko04933","AGE-RAGE signaling pathway in diabetic complications","Storage, lipid transport, and endocrine nutrition"
"ko05142","Chagas disease","Other KEGG pathway"
"ko05145","Toxoplasmosis","Other KEGG pathway"
"ko05146","Amoebiasis","Other KEGG pathway"
"ko05210","Colorectal cancer","Reference disease pathway"
"ko04623","Cytosolic DNA-sensing pathway","Immune and stress signaling"
"ko04966","Collecting duct acid secretion","Storage, lipid transport, and endocrine nutrition"
"ko05323","Rheumatoid arthritis","Other KEGG pathway"
"ko05224","Breast cancer","Reference disease pathway"
"ko00770","Pantothenate and CoA biosynthesis","Other KEGG pathway"
"ko00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Other KEGG pathway"
"ko04139","Mitophagy - yeast","Cellular process"
"ko00740","Riboflavin metabolism","Other KEGG pathway"
"ko05212","Pancreatic cancer","Reference disease pathway"
"ko05215","Prostate cancer","Reference disease pathway"
"ko04960","Aldosterone-regulated sodium reabsorption","Storage, lipid transport, and endocrine nutrition"
"ko04961","Endocrine and other factor-regulated calcium reabsorption","Storage, lipid transport, and endocrine nutrition"
"ko04510","Focal adhesion","Cellular process"
"ko04670","Leukocyte transendothelial migration","Immune and stress signaling"
"ko00670","One carbon pool by folate","Other KEGG pathway"
"ko01523","Antifolate resistance","Other KEGG pathway"
"ko05130","Pathogenic Escherichia coli infection","Other KEGG pathway"
"ko05131","Shigellosis","Other KEGG pathway"
"ko03022","Basal transcription factors","Genetic information processing"
"ko00630","Glyoxylate and dicarboxylate metabolism","Carbohydrate and energy metabolism"
"ko04512","ECM-receptor interaction","Cellular process"
"ko04710","Circadian rhythm","Other KEGG pathway"
"ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid and nitrogen metabolism"
"ko04350","TGF-beta signaling pathway","Cellular process"
"ko01522","Endocrine resistance","Other KEGG pathway"
"ko05221","Acute myeloid leukemia","Reference disease pathway"
"ko00450","Selenocompound metabolism","Other KEGG pathway"
"ko00650","Butanoate metabolism","Carbohydrate and energy metabolism"
"ko05020","Prion disease","Reference disease pathway"
"ko05218","Melanoma","Reference disease pathway"
"ko04370","VEGF signaling pathway","Cellular process"
"ko04380","Osteoclast differentiation","Cellular process"
"ko04662","B cell receptor signaling pathway","Immune and stress signaling"
"ko04664","Fc epsilon RI signaling pathway","Immune and stress signaling"
"ko05217","Basal cell carcinoma","Reference disease pathway"
"ko04977","Vitamin digestion and absorption","Storage, lipid transport, and endocrine nutrition"
"ko04927","Cortisol synthesis and secretion","Storage, lipid transport, and endocrine nutrition"
"ko05340","Primary immunodeficiency","Other KEGG pathway"
"ko00061","Fatty acid biosynthesis","Lipid and membrane metabolism"
"ko00780","Biotin metabolism","Other KEGG pathway"
"ko05213","Endometrial cancer","Reference disease pathway"
"ko05219","Bladder cancer","Reference disease pathway"
"ko05220","Chronic myeloid leukemia","Reference disease pathway"
"ko04011","MAPK signaling pathway - yeast","Immune and stress signaling"
"ko05143","African trypanosomiasis","Other KEGG pathway"
"ko04917","Prolactin signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko00625","Chloroalkane and chloroalkene degradation","Other KEGG pathway"
"ko00626","Naphthalene degradation","Other KEGG pathway"
"ko04658","Th1 and Th2 cell differentiation","Immune and stress signaling"
"ko04660","T cell receptor signaling pathway","Immune and stress signaling"
"ko05140","Leishmaniasis","Other KEGG pathway"
"ko05321","Inflammatory bowel disease","Other KEGG pathway"
"ko04913","Ovarian steroidogenesis","Storage, lipid transport, and endocrine nutrition"
"ko00430","Taurine and hypotaurine metabolism","Other KEGG pathway"
"ko00460","Cyanoamino acid metabolism","Amino acid and nitrogen metabolism"
"ko00072","ko00072","Other KEGG pathway"
"ko00362","Benzoate degradation","Other KEGG pathway"
"ko00720","Other carbon fixation pathways","Carbohydrate and energy metabolism"
"ko00281","ko00281","Other KEGG pathway"
"ko00601","Glycosphingolipid biosynthesis - lacto and neolacto series","Lipid and membrane metabolism"
"ko00603","Glycosphingolipid biosynthesis - globo and isoglobo series","Lipid and membrane metabolism"
"ko04060","Cytokine-cytokine receptor interaction","Immune and stress signaling"
"ko02024","Quorum sensing","Transport and environmental response"
"ko04742","Taste transduction","Other KEGG pathway"
"ko00120","Primary bile acid biosynthesis","Storage, lipid transport, and endocrine nutrition"
"ko04630","JAK-STAT signaling pathway","Immune and stress signaling"
"ko02025","Biofilm formation - Pseudomonas aeruginosa","Transport and environmental response"
"ko00062","Fatty acid elongation","Lipid and membrane metabolism"
"ko00643","Styrene degradation","Other KEGG pathway"
"ko00401","Novobiocin biosynthesis","Other KEGG pathway"
"ko00950","Isoquinoline alkaloid biosynthesis","Other KEGG pathway"
"ko00960","Tropane, piperidine and pyridine alkaloid biosynthesis","Other KEGG pathway"
"ko00627","Aminobenzoate degradation","Other KEGG pathway"
"ko01210","2-Oxocarboxylic acid metabolism","Other KEGG pathway"
"ko00232","Caffeine metabolism","Other KEGG pathway"
"ko00100","Steroid biosynthesis","Other KEGG pathway"
"ko00512","Mucin type O-glycan biosynthesis","Other KEGG pathway"
"ko05033","Nicotine addiction","Reference disease pathway"
"ko04610","Complement and coagulation cascades","Immune and stress signaling"
"ko00903","Limonene degradation","Other KEGG pathway"
"ko00604","Glycosphingolipid biosynthesis - ganglio series","Lipid and membrane metabolism"
"ko04640","Hematopoietic cell lineage","Immune and stress signaling"
"ko00908","Zeatin biosynthesis","Other KEGG pathway"
"ko04112","Cell cycle - Caulobacter","Cellular process"
"ko00333","Prodigiosin biosynthesis","Other KEGG pathway"
"ko03070","Bacterial secretion system","Storage, lipid transport, and endocrine nutrition"
"ko00901","Indole alkaloid biosynthesis","Other KEGG pathway"
"ko00965","Betalain biosynthesis","Other KEGG pathway"
"ko00940","Phenylpropanoid biosynthesis","Other KEGG pathway"
"ko02026","Biofilm formation - Escherichia coli","Transport and environmental response"
"ko00290","Valine, leucine and isoleucine biosynthesis","Other KEGG pathway"
"ko00311","Penicillin and cephalosporin biosynthesis","Other KEGG pathway"
"ko00472","ko00472","Other KEGG pathway"
"ko00261","Monobactam biosynthesis","Other KEGG pathway"
"ko00254","Aflatoxin biosynthesis","Other KEGG pathway"
"ko01051","Biosynthesis of ansamycins","Other KEGG pathway"
