name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blattabacteriaceae	39782	F	85	15	100	0.00001
Crocinitomicaceae	1853230	F	27	25	52	0.00001
Owenweeksiaceae	3024551	F	11	0	11	0.00000
Bacteroidaceae	815	F	1980	1200	3180	0.00040
Prevotellaceae	171552	F	215	39	254	0.00003
Rikenellaceae	171550	F	142	48	190	0.00002
Dysgonomonadaceae	2005520	F	56	1	57	0.00001
Muribaculaceae	2005473	F	55	7	62	0.00001
Tannerellaceae	2005525	F	48	21	69	0.00001
Porphyromonadaceae	171551	F	27	8	35	0.00000
Paludibacteraceae	2005523	F	19	0	19	0.00000
Odoribacteraceae	1853231	F	14	12	26	0.00000
Prolixibacteraceae	1471398	F	89	0	89	0.00001
Marinifilaceae	1573805	F	78	0	78	0.00001
Marinilabiliaceae	558415	F	23	1	24	0.00000
Cyclobacteriaceae	563798	F	566	802	1368	0.00017
Flammeovirgaceae	200667	F	346	0	346	0.00004
Hymenobacteraceae	1853232	F	171	0	171	0.00002
Spirosomataceae	2896860	F	170	0	170	0.00002
Cytophagaceae	89373	F	99	0	99	0.00001
Bernardetiaceae	1937968	F	61	1	62	0.00001
Leadbetterellaceae	3141702	F	59	1	60	0.00001
Reichenbachiellaceae	2762302	F	52	0	52	0.00001
Marivirgaceae	2762301	F	41	0	41	0.00001
Fulvivirgaceae	2762286	F	34	0	34	0.00000
Catalimonadaceae	1522127	F	23	0	23	0.00000
Persicobacteraceae	1853234	F	19	0	19	0.00000
Mangrovivirgaceae	2858885	F	18	0	18	0.00000
Flectobacillaceae	3141701	F	15	0	15	0.00000
Rhodocytophagaceae	3078917	F	10	0	10	0.00000
Sphingobacteriaceae	84566	F	824	125	949	0.00012
Aurantibacillaceae	3088888	F	13	0	13	0.00000
Chitinophagaceae	563835	F	482	3	485	0.00006
Haliscomenobacteraceae	1937961	F	20	0	20	0.00000
Saprospiraceae	89374	F	12	0	12	0.00000
Chlorobiaceae	191412	F	32	0	32	0.00000
Balneolaceae	1813606	F	28	0	28	0.00000
Ignavibacteriaceae	795749	F	18	0	18	0.00000
Candidatus Palauibacteraceae	3056649	F	78	0	78	0.00001
Gemmatimonadaceae	219687	F	11	0	11	0.00000
Arcobacteraceae	2808963	F	410	188	598	0.00008
Campylobacteraceae	72294	F	291	323	614	0.00008
Helicobacteraceae	72293	F	111	71	182	0.00002
Sulfurimonadaceae	2771471	F	82	4	86	0.00001
Sulfurospirillaceae	2932623	F	25	10	35	0.00000
Sulfurovaceae	2771472	F	22	14	36	0.00000
Hydrogenimonadaceae	292630	F	16	6	22	0.00000
Nautiliaceae	224467	F	16	1	17	0.00000
Nitratiruptoraceae	2795691	F	13	0	13	0.00000
Thioreductoraceae	3049522	F	12	0	12	0.00000
Archangiaceae	39	F	493	9	502	0.00006
Myxococcaceae	31	F	270	3	273	0.00003
Anaeromyxobacteraceae	1524215	F	33	1	34	0.00000
Polyangiaceae	49	F	252	49	301	0.00004
Sandaracinaceae	1055686	F	23	1	24	0.00000
Nannocystaceae	224463	F	14	1	15	0.00000
Pirellulaceae	2691357	F	120	19	139	0.00002
Lacipirellulaceae	2691359	F	28	0	28	0.00000
Planctomycetaceae	126	F	114	9	123	0.00002
Gemmataceae	1914233	F	90	1	91	0.00001
Isosphaeraceae	1763524	F	30	3	33	0.00000
Phycisphaeraceae	666507	F	18	0	18	0.00000
Candidatus Uabimicrobiaceae	2897348	F	32	0	32	0.00000
Verrucomicrobiaceae	203557	F	151	1	152	0.00002
Akkermansiaceae	1647988	F	17	1	18	0.00000
Opitutaceae	134623	F	43	1	44	0.00001
Parachlamydiaceae	92713	F	30	0	30	0.00000
Chlamydiaceae	809	F	39	1	40	0.00001
Borreliaceae	1643685	F	215	37	252	0.00003
Sphaerochaetaceae	2791015	F	48	3	51	0.00001
Spirochaetaceae	137	F	29	20	49	0.00001
Treponemataceae	2845253	F	168	140	308	0.00004
Brachyspiraceae	143786	F	43	3	46	0.00001
Leptospiraceae	170	F	117	3	120	0.00002
Desulfovibrionaceae	194924	F	277	5	282	0.00004
Desulfosarcinaceae	3031624	F	42	5	47	0.00001
Desulfococcaceae	2931039	F	35	0	35	0.00000
Desulfolunaceae	3031622	F	13	0	13	0.00000
Geoalkalibacteraceae	3031665	F	17	12	29	0.00000
Desulfuromonadaceae	213421	F	15	0	15	0.00000
Geobacteraceae	213422	F	33	1	34	0.00000
Desulfocapsaceae	2886822	F	48	0	48	0.00001
Desulfobulbaceae	213121	F	16	2	18	0.00000
Thermodesulfobacteriaceae	188711	F	19	0	19	0.00000
Holophagaceae	574976	F	163	0	163	0.00002
Acidobacteriaceae	204434	F	88	0	88	0.00001
Vicinamibacteraceae	2211325	F	25	0	25	0.00000
Chloracidobacteriaceae	3681503	F	12	0	12	0.00000
Pseudobdellovibrionaceae	213483	F	77	0	77	0.00001
Silvanigrellaceae	2024974	F	42	6	48	0.00001
Bacteriovoracaceae	263369	F	23	0	23	0.00000
Halobacteriovoraceae	1652132	F	11	0	11	0.00000
Endomicrobiaceae	1783343	F	126	0	126	0.00002
Aquificaceae	64898	F	54	0	54	0.00001
Desulfurobacteriaceae	558314	F	16	0	16	0.00000
Nitrospiraceae	189779	F	37	8	45	0.00001
Thermodesulfovibrionaceae	2811504	F	17	0	17	0.00000
Mucispirillaceae	2945020	F	17	0	17	0.00000
Dictyoglomaceae	203488	F	14	0	14	0.00000
Abditibacteriaceae	2109261	F	14	0	14	0.00000
Streptomycetaceae	2062	F	252944	71568	324512	0.04125
Micrococcaceae	1268	F	2383	420	2803	0.00036
Microbacteriaceae	85023	F	883	197	1080	0.00014
Cellulomonadaceae	85016	F	223	64	287	0.00004
Promicromonosporaceae	85017	F	139	137	276	0.00004
Intrasporangiaceae	85021	F	67	12	79	0.00001
Brevibacteriaceae	85019	F	27	8	35	0.00000
Ornithinimicrobiaceae	2805590	F	21	3	24	0.00000
Dermabacteraceae	85020	F	21	8	29	0.00000
Sanguibacteraceae	145360	F	16	22	38	0.00000
Ruaniaceae	1331736	F	10	0	10	0.00000
Mycobacteriaceae	1762	F	555	67	622	0.00008
Nocardiaceae	85025	F	461	16	477	0.00006
Corynebacteriaceae	1653	F	190	30	220	0.00003
Gordoniaceae	85026	F	116	16	132	0.00002
Tsukamurellaceae	85028	F	29	1	30	0.00000
Dietziaceae	85029	F	13	7	20	0.00000
Micromonosporaceae	28056	F	1097	26	1123	0.00014
Nocardioidaceae	85015	F	577	21	598	0.00008
Propionibacteriaceae	31957	F	270	15	285	0.00004
Kribbellaceae	2726069	F	106	1	107	0.00001
Streptosporangiaceae	2004	F	431	4	435	0.00006
Thermomonosporaceae	2012	F	224	8	232	0.00003
Nocardiopsidaceae	83676	F	73	109	182	0.00002
Pseudonocardiaceae	2070	F	560	17	577	0.00007
Candidatus Nanopelagicaceae	2162846	F	190	0	190	0.00002
Actinomycetaceae	2049	F	176	67	243	0.00003
Bifidobacteriaceae	31953	F	130	28	158	0.00002
Nakamurellaceae	85031	F	22	0	22	0.00000
Jatrophihabitantaceae	2805416	F	20	0	20	0.00000
Geodermatophilaceae	85030	F	18	1	19	0.00000
Frankiaceae	74712	F	17	111	128	0.00002
Kineosporiaceae	83778	F	14	0	14	0.00000
Egibacteraceae	1747769	F	60	1	61	0.00001
Iamiaceae	633392	F	27	3	30	0.00000
Candidatus Poriferisodalaceae	2983189	F	10	0	10	0.00000
Atopobiaceae	1643824	F	16	6	22	0.00000
Eggerthellaceae	1643826	F	21	11	32	0.00000
