"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id"
1855,"LOC126272799","cytochrome p450","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.4263708154425,0.0110914677001828,3.81453505985106,1037,"Higher than gene average","upper_branch_k4_4"
1856,"LOC126284948","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.0081912809033,0.00568934472392954,4.14190014932305,1037,"Higher than gene average","upper_branch_k4_4"
1857,"LOC126291795","Sulfotransferase domain","Diet in infected","Head phase DEG only",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.44611088839094,0.00322888463596765,3.42350139889239,1007,"Higher than gene average","upper_branch_k4_4"
1858,"LOC126336149","Transferase activity, transferring phosphorus-containing groups","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.4913927058422,0.00667099190117444,3.4357207737717,1037,"Higher than gene average","upper_branch_k4_4"
1859,"LOC126278605","Sugar (and other) transporter","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.70589011943063,0.026016129621167,3.65530088211553,1007,"Higher than gene average","upper_branch_k4_4"
1860,"LOC126278132","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.6857820127136,0.0293019640188197,3.12288198016803,1037,"Higher than gene average","upper_branch_k4_4"
1861,"LOC126268173","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Infection + diet","No phase DEG",2,"Diet 33: infected vs control; Infected 33 vs 50","Downregulated",5.345183192768,0.00415264853435983,3.02662538097014,1007,"Higher than gene average","upper_branch_k4_4"
1862,"LOC126324213","Transferase activity, transferring phosphorus-containing groups","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.193745543465,0.00417892596523579,3.65647950737206,1007,"Higher than gene average","upper_branch_k4_4"
1863,"LOC126334598","Major Facilitator Superfamily","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.6533735042163,0.00855609735434579,4.08540460467064,1037,"Higher than gene average","upper_branch_k4_4"
1864,"LOC126266804","DJ-1/PfpI family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.92636474239631,0.0315902243046609,3.53215092695463,1007,"Higher than gene average","upper_branch_k4_4"
1865,"LOC126334846","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.93241707994466,0.00715567897547838,3.22195578998182,1037,"Higher than gene average","upper_branch_k4_4"
1866,"LOC126284663","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.26274063312475,0.0104277888594924,3.140178849286,1037,"Higher than gene average","upper_branch_k4_4"
1867,"LOC126277947","Chitin-binding domain type 2","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.30502256712148,0.0116022299355678,2.98624783290852,1037,"Higher than gene average","upper_branch_k4_4"
1868,"LOC126266862","Ion channel regulatory protein UNC-93","Infection + diet","No phase DEG",2,"Diet 33: infected vs control; Infected 33 vs 50","Downregulated",2.25755208285526,0.000637239449286188,3.46232243141671,1037,"Higher than gene average","upper_branch_k4_4"
1869,"LOC126269651","synaptic vesicle","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.40024319053151,0.00568934472392954,3.2798417009646,1007,"Higher than gene average","upper_branch_k4_4"
1870,"LOC126281974","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process","Diet in infected","Head phase DEG only",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.89757003688814,0.00415260588431329,3.17691256388503,1007,"Higher than gene average","upper_branch_k4_4"
1871,"LOC126266840","Aldehyde dehydrogenase family","Infection + diet","No phase DEG",2,"Diet 33: infected vs control; Infected 33 vs 50","Downregulated",4.98613355097189,0.00415260588431329,3.3407775268162,1007,"Higher than gene average","upper_branch_k4_4"
1872,"LOC126354970","Chitin-binding domain type 2","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.38279191994348,0.00797461233860445,3.29038285264627,1007,"Higher than gene average","upper_branch_k4_4"
1873,"LOC126324000","transferase activity, transferring phosphorus-containing groups","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.24434464073038,0.00721108706285352,2.93959441556,1037,"Higher than gene average","upper_branch_k4_4"
1874,"LOC126293738","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.80272886448036,0.00843695433193492,2.61493256016859,1037,"Higher than gene average","upper_branch_k4_4"
1875,"LOC126336743","Belongs to the short-chain dehydrogenases reductases (SDR) family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.84396916617233,0.0261447444024398,2.92253386019865,1037,"Higher than gene average","upper_branch_k4_4"
1876,"LOC126335707","Down syndrome cell adhesion","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.43322255447246,0.031520570400409,2.68238630748389,1016,"Higher than gene average","upper_branch_k4_4"
1877,"LOC126353839","no description","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.70655103274568,0.0155287772030334,4.85799879665108,1043,"Higher than gene average","upper_branch_k4_4"
1878,"LOC126272933","Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1","Infection within diet","Shared head/thorax phase DEG",1,"Diet 50: infected vs control","Upregulated",1.64592274081692,0.0417001095016187,2.98959945932091,1016,"Higher than gene average","upper_branch_k4_4"
