Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
mehreen_1016_MERGE_1_val_1	(20, 24756.0)	(25, 129459.0)	(30, 387734.0)	(35, 301059.0)	(40, 236307.0)	(45, 285181.0)	(50, 424243.0)	(55, 445471.0)	(60, 578215.0)	(65, 726338.0)	(70, 617203.0)	(75, 861833.0)	(80, 1045816.0)	(85, 1507871.0)	(90, 2000526.0)	(95, 2326444.0)	(100, 2351742.0)	(105, 2934969.0)	(110, 3270199.0)	(115, 5554410.0)	(120, 4009510.0)	(125, 4582650.0)	(130, 4865016.0)	(135, 4377029.0)	(140, 4014621.0)	(145, 52433911.0)
mehreen_1016_MERGE_2_val_2	(20, 48584.0)	(25, 146119.0)	(30, 391550.0)	(35, 308942.0)	(40, 242766.0)	(45, 287958.0)	(50, 429444.0)	(55, 460242.0)	(60, 585487.0)	(65, 728094.0)	(70, 619278.0)	(75, 876933.0)	(80, 1050102.0)	(85, 1508458.0)	(90, 2000863.0)	(95, 2324413.0)	(100, 2351642.0)	(105, 2934996.0)	(110, 3275395.0)	(115, 5552815.0)	(120, 4010857.0)	(125, 4586028.0)	(130, 4873979.0)	(135, 4381419.0)	(140, 4120984.0)	(145, 52195165.0)
mehreen_1018_MERGE_1_val_1	(20, 29377.0)	(25, 168319.0)	(30, 444239.0)	(35, 363081.0)	(40, 324422.0)	(45, 411298.0)	(50, 504856.0)	(55, 467073.0)	(60, 531397.0)	(65, 640476.0)	(70, 653279.0)	(75, 860415.0)	(80, 1079888.0)	(85, 1441960.0)	(90, 1895912.0)	(95, 2434398.0)	(100, 2464307.0)	(105, 2947087.0)	(110, 3190847.0)	(115, 4095326.0)	(120, 3810522.0)	(125, 3515999.0)	(130, 3509727.0)	(135, 3369647.0)	(140, 3452971.0)	(145, 53047953.0)
mehreen_1018_MERGE_2_val_2	(20, 44645.0)	(25, 176610.0)	(30, 440606.0)	(35, 362518.0)	(40, 313796.0)	(45, 389283.0)	(50, 485206.0)	(55, 464763.0)	(60, 533596.0)	(65, 640355.0)	(70, 653792.0)	(75, 870759.0)	(80, 1083429.0)	(85, 1442786.0)	(90, 1897642.0)	(95, 2435548.0)	(100, 2464064.0)	(105, 2946724.0)	(110, 3195996.0)	(115, 4095323.0)	(120, 3811555.0)	(125, 3518475.0)	(130, 3515423.0)	(135, 3374039.0)	(140, 3582927.0)	(145, 52914916.0)
mehreen_1020_MERGE_1_val_1	(20, 32481.0)	(25, 213738.0)	(30, 578910.0)	(35, 425656.0)	(40, 356568.0)	(45, 462452.0)	(50, 543747.0)	(55, 469248.0)	(60, 562297.0)	(65, 686564.0)	(70, 691054.0)	(75, 922429.0)	(80, 1173183.0)	(85, 1540475.0)	(90, 2033130.0)	(95, 3088692.0)	(100, 3133614.0)	(105, 3313674.0)	(110, 3612496.0)	(115, 4152816.0)	(120, 3754875.0)	(125, 3719620.0)	(130, 4044942.0)	(135, 3645157.0)	(140, 3667114.0)	(145, 42658499.0)
mehreen_1020_MERGE_2_val_2	(20, 49845.0)	(25, 225065.0)	(30, 577144.0)	(35, 427218.0)	(40, 347317.0)	(45, 439890.0)	(50, 524682.0)	(55, 471457.0)	(60, 566312.0)	(65, 687349.0)	(70, 691566.0)	(75, 930817.0)	(80, 1175355.0)	(85, 1538948.0)	(90, 2032481.0)	(95, 3085488.0)	(100, 3132784.0)	(105, 3312533.0)	(110, 3614430.0)	(115, 4149866.0)	(120, 3753034.0)	(125, 3718974.0)	(130, 4044532.0)	(135, 3647104.0)	(140, 3739294.0)	(145, 42599946.0)
mehreen_1021_MERGE_1_val_1	(20, 16322.0)	(25, 76564.0)	(30, 235925.0)	(35, 170899.0)	(40, 156261.0)	(45, 212976.0)	(50, 288863.0)	(55, 285831.0)	(60, 382700.0)	(65, 469598.0)	(70, 522529.0)	(75, 701353.0)	(80, 940789.0)	(85, 1295176.0)	(90, 1809950.0)	(95, 2677135.0)	(100, 2756457.0)	(105, 3160241.0)	(110, 3586179.0)	(115, 4107269.0)	(120, 3777210.0)	(125, 3435836.0)	(130, 3533674.0)	(135, 3353024.0)	(140, 3467731.0)	(145, 45739406.0)
mehreen_1021_MERGE_2_val_2	(20, 31947.0)	(25, 88778.0)	(30, 239668.0)	(35, 176325.0)	(40, 158361.0)	(45, 211199.0)	(50, 287226.0)	(55, 292301.0)	(60, 388114.0)	(65, 471269.0)	(70, 523802.0)	(75, 710819.0)	(80, 943841.0)	(85, 1294558.0)	(90, 1809607.0)	(95, 2675440.0)	(100, 2755848.0)	(105, 3159542.0)	(110, 3588734.0)	(115, 4106136.0)	(120, 3777124.0)	(125, 3434767.0)	(130, 3533397.0)	(135, 3355336.0)	(140, 3575479.0)	(145, 45570280.0)
mehreen_1023_MERGE_1_val_1	(20, 35260.0)	(25, 165800.0)	(30, 484507.0)	(35, 350830.0)	(40, 264326.0)	(45, 315466.0)	(50, 424617.0)	(55, 401133.0)	(60, 482925.0)	(65, 600839.0)	(70, 536452.0)	(75, 738485.0)	(80, 920192.0)	(85, 1319650.0)	(90, 1649366.0)	(95, 1906488.0)	(100, 1924023.0)	(105, 2245743.0)	(110, 2354654.0)	(115, 3558932.0)	(120, 2989739.0)	(125, 3351599.0)	(130, 3623506.0)	(135, 3381293.0)	(140, 3053399.0)	(145, 44415254.0)
mehreen_1023_MERGE_2_val_2	(20, 53278.0)	(25, 181069.0)	(30, 486625.0)	(35, 356134.0)	(40, 264648.0)	(45, 303935.0)	(50, 413479.0)	(55, 404348.0)	(60, 488142.0)	(65, 602827.0)	(70, 538541.0)	(75, 750763.0)	(80, 923879.0)	(85, 1319835.0)	(90, 1650461.0)	(95, 1905933.0)	(100, 1924384.0)	(105, 2244635.0)	(110, 2358169.0)	(115, 3556901.0)	(120, 2992058.0)	(125, 3354223.0)	(130, 3630420.0)	(135, 3385266.0)	(140, 3206421.0)	(145, 44198104.0)
mehreen_1024_MERGE_1_val_1	(20, 24766.0)	(25, 142173.0)	(30, 290855.0)	(35, 268039.0)	(40, 241236.0)	(45, 299530.0)	(50, 429036.0)	(55, 423301.0)	(60, 565771.0)	(65, 707705.0)	(70, 682762.0)	(75, 919845.0)	(80, 1154131.0)	(85, 1564412.0)	(90, 1986545.0)	(95, 2697530.0)	(100, 2703578.0)	(105, 2977982.0)	(110, 3069768.0)	(115, 3993120.0)	(120, 3379696.0)	(125, 3654118.0)	(130, 3921281.0)	(135, 3566882.0)	(140, 3418967.0)	(145, 40069883.0)
mehreen_1024_MERGE_2_val_2	(20, 45353.0)	(25, 156649.0)	(30, 293860.0)	(35, 275321.0)	(40, 247646.0)	(45, 303437.0)	(50, 434908.0)	(55, 437006.0)	(60, 572360.0)	(65, 708736.0)	(70, 683082.0)	(75, 931036.0)	(80, 1156638.0)	(85, 1563056.0)	(90, 1986654.0)	(95, 2693479.0)	(100, 2701671.0)	(105, 2974874.0)	(110, 3070678.0)	(115, 3987254.0)	(120, 3376927.0)	(125, 3652207.0)	(130, 3922653.0)	(135, 3567677.0)	(140, 3462768.0)	(145, 39946982.0)
mehreen_1025_MERGE_1_val_1	(20, 18165.0)	(25, 89750.0)	(30, 239406.0)	(35, 225321.0)	(40, 215428.0)	(45, 273520.0)	(50, 398957.0)	(55, 405874.0)	(60, 490904.0)	(65, 593277.0)	(70, 605989.0)	(75, 810917.0)	(80, 1056621.0)	(85, 1438490.0)	(90, 1835415.0)	(95, 2055347.0)	(100, 2105686.0)	(105, 2767370.0)	(110, 2857438.0)	(115, 3930810.0)	(120, 3509588.0)	(125, 3311669.0)	(130, 3149794.0)	(135, 3080705.0)	(140, 3044437.0)	(145, 43621135.0)
mehreen_1025_MERGE_2_val_2	(20, 28885.0)	(25, 97047.0)	(30, 239296.0)	(35, 227286.0)	(40, 211668.0)	(45, 261950.0)	(50, 388334.0)	(55, 405756.0)	(60, 493524.0)	(65, 593339.0)	(70, 606594.0)	(75, 817898.0)	(80, 1058959.0)	(85, 1438416.0)	(90, 1835474.0)	(95, 2053887.0)	(100, 2104422.0)	(105, 2764247.0)	(110, 2858604.0)	(115, 3928695.0)	(120, 3509286.0)	(125, 3311064.0)	(130, 3151114.0)	(135, 3082922.0)	(140, 3176170.0)	(145, 43487176.0)
mehreen_1027_MERGE_1_val_1	(20, 26187.0)	(25, 149201.0)	(30, 381279.0)	(35, 362683.0)	(40, 299491.0)	(45, 355321.0)	(50, 543905.0)	(55, 583209.0)	(60, 749989.0)	(65, 929031.0)	(70, 850863.0)	(75, 1210440.0)	(80, 1469026.0)	(85, 2063400.0)	(90, 2609225.0)	(95, 2771487.0)	(100, 2770241.0)	(105, 3576550.0)	(110, 3870306.0)	(115, 6330097.0)	(120, 4933358.0)	(125, 5720941.0)	(130, 5960616.0)	(135, 5401756.0)	(140, 5046273.0)	(145, 64981429.0)
mehreen_1027_MERGE_2_val_2	(20, 43840.0)	(25, 162366.0)	(30, 384057.0)	(35, 368558.0)	(40, 302419.0)	(45, 350417.0)	(50, 539737.0)	(55, 591058.0)	(60, 756000.0)	(65, 930905.0)	(70, 852215.0)	(75, 1221014.0)	(80, 1472915.0)	(85, 2063721.0)	(90, 2609609.0)	(95, 2767063.0)	(100, 2769777.0)	(105, 3575841.0)	(110, 3873698.0)	(115, 6328324.0)	(120, 4933622.0)	(125, 5721141.0)	(130, 5963471.0)	(135, 5405966.0)	(140, 5261534.0)	(145, 64697036.0)
mehreen_1028_MERGE_1_val_1	(20, 18501.0)	(25, 81858.0)	(30, 281904.0)	(35, 210661.0)	(40, 171964.0)	(45, 208899.0)	(50, 285555.0)	(55, 293188.0)	(60, 336709.0)	(65, 399128.0)	(70, 412622.0)	(75, 550589.0)	(80, 744947.0)	(85, 1084198.0)	(90, 1494148.0)	(95, 1738159.0)	(100, 1834230.0)	(105, 2504592.0)	(110, 2736291.0)	(115, 3908507.0)	(120, 3513222.0)	(125, 3270053.0)	(130, 3147305.0)	(135, 3049954.0)	(140, 3067727.0)	(145, 51156164.0)
mehreen_1028_MERGE_2_val_2	(20, 27119.0)	(25, 89297.0)	(30, 281659.0)	(35, 211941.0)	(40, 170330.0)	(45, 202710.0)	(50, 282015.0)	(55, 296056.0)	(60, 339664.0)	(65, 400231.0)	(70, 413834.0)	(75, 557713.0)	(80, 747987.0)	(85, 1085318.0)	(90, 1496211.0)	(95, 1738141.0)	(100, 1834769.0)	(105, 2504493.0)	(110, 2739570.0)	(115, 3911028.0)	(120, 3515675.0)	(125, 3271589.0)	(130, 3152914.0)	(135, 3056617.0)	(140, 3253256.0)	(145, 50920938.0)
mehreen_1029_MERGE_1_val_1	(20, 15265.0)	(25, 55267.0)	(30, 214979.0)	(35, 193436.0)	(40, 173077.0)	(45, 224106.0)	(50, 303722.0)	(55, 302713.0)	(60, 343690.0)	(65, 389978.0)	(70, 395651.0)	(75, 501246.0)	(80, 646199.0)	(85, 890170.0)	(90, 1187016.0)	(95, 1447341.0)	(100, 1527664.0)	(105, 1953947.0)	(110, 2156012.0)	(115, 2942708.0)	(120, 2765772.0)	(125, 2615934.0)	(130, 2511880.0)	(135, 2468724.0)	(140, 2570958.0)	(145, 41794881.0)
mehreen_1029_MERGE_2_val_2	(20, 26544.0)	(25, 65469.0)	(30, 217462.0)	(35, 197168.0)	(40, 172869.0)	(45, 217121.0)	(50, 297414.0)	(55, 304546.0)	(60, 346859.0)	(65, 390995.0)	(70, 397028.0)	(75, 509642.0)	(80, 649381.0)	(85, 891137.0)	(90, 1188670.0)	(95, 1448108.0)	(100, 1527836.0)	(105, 1953002.0)	(110, 2158014.0)	(115, 2941324.0)	(120, 2765969.0)	(125, 2617272.0)	(130, 2515652.0)	(135, 2472782.0)	(140, 2681802.0)	(145, 41638270.0)
