"gene_id","Description","gene_biotype","comparison_type","comparison","numerator_condition","denominator_condition","higher_in","lower_in","signed_direction","log2FoldChange","lfcSE","baseMean","stat","pvalue","padj","GOs","KEGG_ko","KEGG_Pathway","PFAMs"
"LOC126343426","tachykinins","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",3.11034728095937,0.759156949517395,93.9910200638656,4.09710703819105,4.18345492843263e-05,0.049267154207175,"GO:0001664,GO:0002118,GO:0002121,GO:0003008,GO:0003674,GO:0005102,GO:0005179,GO:0005184,GO:0005215,GO:0005326,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0006629,GO:0006810,GO:0006836,GO:0006937,GO:0006940,GO:0007154,GO:0007165,GO:0007186,GO:0007217,GO:0007218,GO:0007600,GO:0007606,GO:0007608,GO:0007610,GO:0007626,GO:0007628,GO:0008150,GO:0008152,GO:0008344,GO:0009966,GO:0009987,GO:0010033,GO:0010469,GO:0010646,GO:0019236,GO:0023051,GO:0023052,GO:0030534,GO:0030545,GO:0031644,GO:0031646,GO:0032501,GO:0042221,GO:0043134,GO:0044057,GO:0044058,GO:0044238,GO:0044421,GO:0045933,GO:0045987,GO:0048018,GO:0048518,GO:0048583,GO:0050789,GO:0050794,GO:0050877,GO:0050896,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051704,GO:0051705,GO:0051716,GO:0051930,GO:0051931,GO:0060450,GO:0060456,GO:0065007,GO:0065009,GO:0071704,GO:0071855,GO:0071861,GO:0090257,GO:0090659,GO:0098772,GO:1904058","","",""
"LOC126335006","carboxypeptidase B-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",10.2471040202477,1.93186935081721,159.200940342165,5.3042427615061,1.13141663937865e-07,0.00150591554701298,"","","","Peptidase_M14,Propep_M14"
"LOC126344463","apolipoprotein D-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",7.89865987287428,1.54007475516897,45.1035373866266,5.12875095599347,2.91670891559322e-07,0.00191479036679978,"","ko:K03098","","Lipocalin,Lipocalin_2"
"LOC126298901","uncharacterized LOC126298901","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",7.78376890671487,1.55697759578623,33.9266862308982,4.99928125348798,5.75444137280174e-07,0.00191479036679978,"GO:0000003,GO:0005575,GO:0005576,GO:0005615,GO:0008150,GO:0032501,GO:0032504,GO:0044421","","","Serpin"
"LOC126272905","uncharacterized LOC126272905","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",4.25310401189346,0.85058188703553,93.1070931303665,5.00022875718232,5.72623337080904e-07,0.00191479036679978,"GO:0003674,GO:0005102,GO:0005121,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0007154,GO:0007165,GO:0007166,GO:0008063,GO:0008150,GO:0009987,GO:0023052,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007","","",""
"LOC126277974","uncharacterized LOC126277974","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",5.92207103524344,1.2450599609047,65.2050056558699,4.75645448508383,1.97022634541695e-06,0.00524474253149991,"","","","PAN_1"
"LOC126355118","uncharacterized LOC126355118","lncRNA","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",9.27045900452588,1.99864380815755,8.24355815377533,4.63837476527237,3.51159612401855e-06,0.00667704920152671,NA,NA,NA,NA
"LOC126358175","uncharacterized LOC126358175","lncRNA","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",5.2505579908924,1.12500007989114,215.91919370226,4.66716232713556,3.05388058252716e-06,0.00667704920152671,NA,NA,NA,NA
"LOC126323429","uncharacterized transmembrane protein DDB_G0289901-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",7.02092139273567,1.53581760739369,708.173845386814,4.57145520336253,4.84348840793127e-06,0.00805835383869564,"GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0031012,GO:0044421","","","CBM_14"
"LOC126272393","urocanate hydratase-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-2.23036743244525,0.492522255648806,60.3503816636833,-4.52846020025462,5.94150692947983e-06,0.00878682858126405,"","ko:K01712","ko00340,ko01100,map00340,map01100","Urocanase,Urocanase_C,Urocanase_N"
"LOC126345132","uncharacterized LOC126345132","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",6.82068788163177,1.53263099456314,9.81014766164985,4.45031315811015,8.57451647401862e-06,0.0111419449437442,"","","",""
"LOC126271968","uncharacterized LOC126271968","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",4.73589391897166,1.06785088054969,25.7072919295036,4.43497683546771,9.20821896177205e-06,0.0111419449437442,NA,NA,NA,NA
"LOC126298632","glutamate decarboxylase","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.72001096655305,1.33519486502851,64.9002678196633,-4.28402708576242,1.83540553960527e-05,0.0203577064434551,"GO:0001505,GO:0003008,GO:0003674,GO:0003824,GO:0004351,GO:0006082,GO:0006520,GO:0006536,GO:0006538,GO:0006807,GO:0007275,GO:0007399,GO:0007416,GO:0007528,GO:0007610,GO:0007611,GO:0007612,GO:0007626,GO:0007635,GO:0008150,GO:0008152,GO:0008306,GO:0008345,GO:0008355,GO:0008652,GO:0009056,GO:0009058,GO:0009063,GO:0009064,GO:0009065,GO:0009448,GO:0009449,GO:0009605,GO:0009612,GO:0009628,GO:0009987,GO:0016043,GO:0016053,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0019752,GO:0022607,GO:0030537,GO:0032501,GO:0032502,GO:0032787,GO:0042048,GO:0042133,GO:0042136,GO:0042221,GO:0043112,GO:0043170,GO:0043436,GO:0043648,GO:0043649,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044281,GO:0044282,GO:0044283,GO:0045213,GO:0046394,GO:0046395,GO:0048731,GO:0048856,GO:0050808,GO:0050877,GO:0050890,GO:0050896,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0072330,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606","ko:K01580","ko00250,ko00410,ko00430,ko00650,ko01100,ko01110,ko01120,ko02024,ko04727,ko04940,map00250,map00410,map00430,map00650,map01100,map01110,map01120,map02024,map04727,map04940","Pyridoxal_deC"
"LOC126334853","uncharacterized LOC126334853","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",6.2763070379003,1.50311510743431,49.9465356432531,4.17553320225316,2.97288887121187e-05,0.0247307192973937,"","","",""
"LOC126267148","uncharacterized LOC126267148","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",6.09481387235693,1.45327462004439,23.9762910516282,4.19384869748209,2.74260951831372e-05,0.0247307192973937,"GO:0003674,GO:0005488,GO:0030246","","","Lectin_C"
"LOC126354816","sodium-dependent neutral amino acid transporter B(0)AT3","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.66840721882937,1.11505656218793,56.0509561610842,-4.18669991921231,2.83039634504854e-05,0.0247307192973937,"GO:0003674,GO:0005215,GO:0005326,GO:0005328,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006836,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015081,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015672,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035725,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098660,GO:0098662","ko:K05048","","SNF"
"LOC126337066","MFS-type transporter SLC18B1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",3.97657032204469,0.942289722203804,550.485805075288,4.22011429005549,2.44178496209399e-05,0.0247307192973937,"","","","MFS_1"
"LOC126297497","PI-PLC X domain-containing protein 1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.66511362536999,1.37722009264906,27.555095005221,-4.11344102195984,3.89804664206647e-05,0.0270982580209099,"","","","Varsurf_PPLC"
"LOC126281385","cytochrome P450 6j1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.40925241113473,1.31824835848305,27.558146727088,-4.10336366157842,4.0718644659519e-05,0.0270982580209099,"","","",""
"LOC126297832","intermembrane lipid transfer protein VPS13A-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.52290892709516,1.09504776778853,90.4039401047897,-4.13033025603007,3.62242476435606e-05,0.0270982580209099,"","ko:K19525","","Chorein_N,SHR-BD,VPS13,VPS13_C,VPS13_mid_rpt"
"LOC126353934","uncharacterized LOC126353934","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",2.88533230959686,0.70221444962269,29.9945889334669,4.108904781363,3.97539930777137e-05,0.0270982580209099,"GO:0000422,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0006807,GO:0006914,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016020,GO:0016043,GO:0019538,GO:0019867,GO:0022411,GO:0030163,GO:0031090,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0035694,GO:0035695,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0061726,GO:0061919,GO:0071704,GO:0071840,GO:0098588,GO:0098805,GO:1901564,GO:1901565,GO:1901575,GO:1903008","","","MIEAP"
"LOC126298882","histidine ammonia-lyase-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.07490705026424,1.01573373908393,58.8721886422773,-4.011786645917,6.0260949568553e-05,0.0381939637503543,"","ko:K01745","ko00340,ko01100,map00340,map01100","DUF3534,Lyase_aromatic"
"LOC126335191","uncharacterized LOC126335191","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",6.89779487266638,1.73231334522966,488.123935100079,3.98184017438941,6.83837596855791e-05,0.0383736072137327,"","","","DUF4786"
"LOC126281827","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",4.24166806261662,1.0660023937304,87.5152985818041,3.97904178035963,6.91935817527861e-05,0.0383736072137327,"","ko:K00069","ko05202,map05202","adh_short"
"LOC126277952","tetratricopeptide repeat protein 12-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-1.1257052148644,0.282775019263762,176.507077446575,-3.98092171577003,6.86485568682832e-05,0.0383736072137327,"","","","TPR_1,TPR_11,TPR_2,TPR_8"
"LOC126297886","uncharacterized LOC126297886","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-6.50522811197141,1.64493880483053,153.885854787959,-3.9546930821184,7.66329630347757e-05,0.0386987381115866,"","","","Varsurf_PPLC"
"LOC126284322","UDP-glycosyltransferase UGT5-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",5.84815413562932,1.48173084410028,39.6968106782495,3.94683971040662,7.91895339267281e-05,0.0386987381115866,"","","",""
"LOC126278220","uncharacterized LOC126278220","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.52290792290025,1.4016780526597,27.5312390035599,-3.94021145756007,8.14098172144572e-05,0.0386987381115866,"GO:0003674,GO:0008047,GO:0008150,GO:0009893,GO:0010604,GO:0010952,GO:0016504,GO:0019222,GO:0030162,GO:0030234,GO:0031323,GO:0031325,GO:0032268,GO:0032270,GO:0043085,GO:0044093,GO:0045862,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051336,GO:0051345,GO:0052547,GO:0060255,GO:0061134,GO:0065007,GO:0065009,GO:0080090,GO:0098772","","","Secretogranin_V"
"LOC126271872","peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.87549867776774,1.23234389928219,59.7084352644741,-3.95628093798135,7.6125630542025e-05,0.0386987381115866,"GO:0003674,GO:0003824,GO:0004598,GO:0005575,GO:0005576,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016840,GO:0016842,GO:0044237,GO:0140096","ko:K18200","","NHL"
"LOC126323151","uncharacterized LOC126323151","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",9.78244819741369,2.48930239337515,23.9903116945246,3.92979503954522,8.50182997750693e-05,0.0390204679312473,"","","","Attacin_C"
"LOC126335709","gamma-butyrobetaine dioxygenase-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-6.65935734393292,1.722160867567,5823.45257540513,-3.86686137709132,0.00011024505169703,0.0450153362972475,"","ko:K00471","ko00310,map00310","DUF971,TauD"
"LOC126336474","uncharacterized LOC126336474","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.33593666145071,1.3809852953342,41.778950459876,-3.86386204073189,0.000111608271811358,0.0450153362972475,"","","",""
"LOC126273067","uncharacterized LOC126273067","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.58017740437006,1.18255520699983,99.3359529107303,-3.87311930746141,0.000107451193165284,0.0450153362972475,"GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0007009,GO:0008150,GO:0009987,GO:0010256,GO:0010876,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016043,GO:0017121,GO:0017128,GO:0033036,GO:0051179,GO:0051234,GO:0061024,GO:0065007,GO:0065008,GO:0071702,GO:0071840,GO:0097035","","","Scramblase"
"LOC126336288","Down syndrome cell adhesion molecule-like protein Dscam2","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.1262800855103,1.06661824155431,43.9306794572019,-3.8685632072984,0.000109478558389847,0.0450153362972475,NA,NA,NA,NA
"LOC126343983","zinc finger protein 628-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.63060154654719,1.20556806759615,41.6217285414329,-3.84101210956956,0.000122528069159666,0.0465956743004329,"GO:0000122,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141","ko:K09219","","zf-C2H2"
"LOC126266597","uncharacterized LOC126266597","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",3.30368415075205,0.859830157645229,34.3974965948154,3.84225200916385,0.000121910567318073,0.0465956743004329,"GO:0000902,GO:0002009,GO:0002165,GO:0005575,GO:0007275,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0031224,GO:0032501,GO:0032502,GO:0032989,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0044425,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0048869,GO:0060429,GO:0060562,GO:0071840","","","Zona_pellucida"
"LOC126291729","uncharacterized LOC126291729","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-6.43436165401345,1.69440150386699,56.0760821735132,-3.79742442350815,0.000146207332819324,0.0472376073162845,NA,NA,NA,NA
"LOC126266590","two pore potassium channel protein sup-9","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.79878991896357,1.53102485305811,71.1020046777814,-3.78752174230282,0.0001521573738432,0.0472376073162845,"GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005267,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015267,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022840,GO:0022841,GO:0022842,GO:0022857,GO:0022890,GO:0030001,GO:0030322,GO:0031224,GO:0031226,GO:0034220,GO:0042391,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0046982,GO:0046983,GO:0051179,GO:0051234,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098660,GO:0098662","ko:K04919","ko04925,map04925","Ion_trans_2"
"LOC126354795","protein slit-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.46696041383899,1.4344072928948,84.004301555056,-3.81130271779783,0.000138236356233319,0.0472376073162845,NA,NA,NA,NA
"LOC126335259","sialin-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",5.43855416885783,1.42984727693093,30.4820224925628,3.80359095450481,0.000142613596846038,0.0472376073162845,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944","ko:K12301","ko04142,map04142","MFS_1"
"LOC126267545","serine protease Hayan-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-5.24447581862187,1.3969658029965,487.773868074089,-3.75419055167453,0.000173902536325916,0.0472376073162845,"GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564","ko:K20671","ko04624,map04624","Trypsin"
"LOC126335018","carcinine transporter-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 50","Infection response diet 83","Downregulated",-4.62010323514222,1.21794340844888,24.1896781041287,-3.79336445609256,0.000148619772627607,0.0472376073162845,"","","",""
