name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Persicobacteraceae	1853234	F	14	0	14	0.00000
Catalimonadaceae	1522127	F	13	0	13	0.00000
Mangrovivirgaceae	2858885	F	13	0	13	0.00000
Bacteroidaceae	815	F	567	113	680	0.00007
Prevotellaceae	171552	F	193	16	209	0.00002
Rikenellaceae	171550	F	46	13	59	0.00001
Dysgonomonadaceae	2005520	F	37	0	37	0.00000
Tannerellaceae	2005525	F	34	5	39	0.00000
Odoribacteraceae	1853231	F	17	3	20	0.00000
Muribaculaceae	2005473	F	14	0	14	0.00000
Paludibacteraceae	2005523	F	10	0	10	0.00000
Prolixibacteraceae	1471398	F	67	0	67	0.00001
Marinifilaceae	1573805	F	58	0	58	0.00001
Marinilabiliaceae	558415	F	21	1	22	0.00000
Sphingobacteriaceae	84566	F	529	22	551	0.00006
Chitinophagaceae	563835	F	275	0	275	0.00003
Saprospiraceae	89374	F	18	0	18	0.00000
Ignavibacteriaceae	795749	F	11	0	11	0.00000
Candidatus Palauibacteraceae	3056649	F	17	0	17	0.00000
Gemmatimonadaceae	219687	F	10	0	10	0.00000
Archangiaceae	39	F	1880	24	1904	0.00020
Myxococcaceae	31	F	107	1	108	0.00001
Anaeromyxobacteraceae	1524215	F	14	1	15	0.00000
Polyangiaceae	49	F	138	52	190	0.00002
Sandaracinaceae	1055686	F	26	3	29	0.00000
Nannocystaceae	224463	F	15	2	17	0.00000
Arcobacteraceae	2808963	F	264	55	319	0.00003
Campylobacteraceae	72294	F	204	145	349	0.00004
Helicobacteraceae	72293	F	99	48	147	0.00002
Sulfurimonadaceae	2771471	F	70	2	72	0.00001
Sulfurospirillaceae	2932623	F	23	2	25	0.00000
Sulfurovaceae	2771472	F	10	0	10	0.00000
Nautiliaceae	224467	F	11	0	11	0.00000
Pirellulaceae	2691357	F	64	1	65	0.00001
Lacipirellulaceae	2691359	F	11	0	11	0.00000
Gemmataceae	1914233	F	71	0	71	0.00001
Planctomycetaceae	126	F	63	10	73	0.00001
Isosphaeraceae	1763524	F	22	0	22	0.00000
Verrucomicrobiaceae	203557	F	93	0	93	0.00001
Akkermansiaceae	1647988	F	23	0	23	0.00000
Opitutaceae	134623	F	33	1	34	0.00000
Parachlamydiaceae	92713	F	18	0	18	0.00000
Chlamydiaceae	809	F	22	0	22	0.00000
Treponemataceae	2845253	F	119	80	199	0.00002
Borreliaceae	1643685	F	135	21	156	0.00002
Spirochaetaceae	137	F	28	0	28	0.00000
Sphaerochaetaceae	2791015	F	19	11	30	0.00000
Brachyspiraceae	143786	F	35	4	39	0.00000
Leptospiraceae	170	F	65	0	65	0.00001
Desulfovibrionaceae	194924	F	249	3	252	0.00003
Desulfosarcinaceae	3031624	F	41	2	43	0.00000
Desulfococcaceae	2931039	F	28	0	28	0.00000
Desulfolunaceae	3031622	F	14	0	14	0.00000
Desulfobacteraceae	213119	F	10	0	10	0.00000
Geobacteraceae	213422	F	20	0	20	0.00000
Desulfuromonadaceae	213421	F	10	0	10	0.00000
Desulfocapsaceae	2886822	F	11	0	11	0.00000
Thermodesulfobacteriaceae	188711	F	10	0	10	0.00000
Pseudobdellovibrionaceae	213483	F	114	0	114	0.00001
Silvanigrellaceae	2024974	F	18	1	19	0.00000
Holophagaceae	574976	F	56	0	56	0.00001
Acidobacteriaceae	204434	F	41	0	41	0.00000
Chloracidobacteriaceae	3681503	F	12	0	12	0.00000
Endomicrobiaceae	1783343	F	46	0	46	0.00000
Aquificaceae	64898	F	22	0	22	0.00000
Desulfurobacteriaceae	558314	F	11	0	11	0.00000
Nitrospiraceae	189779	F	11	5	16	0.00000
Dictyoglomaceae	203488	F	11	0	11	0.00000
Streptomycetaceae	2062	F	542357	272508	814865	0.08773
Microbacteriaceae	85023	F	646	129	775	0.00008
Cellulomonadaceae	85016	F	527	87	614	0.00007
Micrococcaceae	1268	F	496	64	560	0.00006
Promicromonosporaceae	85017	F	160	68	228	0.00002
Dermabacteraceae	85020	F	45	20	65	0.00001
