"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126282030",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282031",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282034",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282035",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282043",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282072",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282073",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282076",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282077",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282088",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282100",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282112",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282115",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282116",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282119",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126282155",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282163",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126282165",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282167",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282173",FALSE,FALSE,TRUE,"Diet 83"
"LOC126282181",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282193",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282207",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282243",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282257",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282259",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282268",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126282269",FALSE,FALSE,TRUE,"Diet 83"
"LOC126282271",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282289",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282297",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282305",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282322",TRUE,FALSE,FALSE,"Diet 33"
"LOC126282335",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282343",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282346",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282352",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282371",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282375",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
