"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126284632",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284636",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284639",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284640",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284645",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284648",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284649",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284651",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284661",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284663",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284667",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284670",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284679",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284684",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126284686",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284688",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284691",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284694",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284697",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284705",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284707",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284712",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284721",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284726",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284728",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284731",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284736",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284739",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284742",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284747",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284748",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284752",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284753",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284756",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284763",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284765",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284766",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284768",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284771",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284774",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284778",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284786",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284788",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284795",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284799",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284800",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284801",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284802",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284812",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284817",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284823",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284829",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284830",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284832",TRUE,TRUE,FALSE,TRUE,"Infection within diets + Diet DEGs in controls + Infection vs control"
"LOC126284840",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284845",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284857",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284858",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284862",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284863",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284872",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284874",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126284880",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284892",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284894",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126284897",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284898",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284900",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284901",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284902",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284908",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126284914",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284920",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284936",TRUE,TRUE,FALSE,TRUE,"Infection within diets + Diet DEGs in controls + Infection vs control"
"LOC126284941",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284942",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284948",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284950",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284963",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284968",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284971",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284995",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285012",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285031",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126285032",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285035",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126285050",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285067",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126285078",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285089",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285111",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285114",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285116",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285144",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285146",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285150",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285153",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126285161",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126285182",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285233",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285239",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285250",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285253",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285254",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285286",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285290",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126285309",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126285310",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285316",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126285335",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285340",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285344",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285349",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126285360",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285375",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285378",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285386",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285399",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285408",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126285411",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285413",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285438",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126285457",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285462",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126285464",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126287492",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
