"set_id","gene_id"
"infection_diet33_down","LOC126267222"
"infection_diet33_down","LOC126267253"
"infection_diet33_down","LOC126267263"
"infection_diet33_down","LOC126267295"
"infection_diet33_down","LOC126267449"
"infection_diet33_down","LOC126267464"
"infection_diet33_down","LOC126267471"
"infection_diet33_down","LOC126267472"
"infection_diet33_down","LOC126267568"
"infection_diet33_down","LOC126267743"
"infection_diet33_down","LOC126267912"
"infection_diet33_down","LOC126267970"
"infection_diet33_down","LOC126267982"
"infection_diet33_down","LOC126267984"
"infection_diet33_down","LOC126268069"
"infection_diet33_down","LOC126268085"
"infection_diet33_down","LOC126268128"
"infection_diet33_down","LOC126268132"
"infection_diet33_down","LOC126268172"
"infection_diet33_down","LOC126268173"
"infection_diet33_down","LOC126268175"
"infection_diet33_down","LOC126268198"
"infection_diet33_down","LOC126268199"
"infection_diet33_down","LOC126268218"
"infection_diet33_down","LOC126268728"
"infection_diet33_down","LOC126269651"
"infection_diet33_down","LOC126270294"
"infection_diet33_down","LOC126271206"
"infection_diet33_down","LOC126271532"
"infection_diet33_down","LOC126271709"
"infection_diet33_down","LOC126271849"
"infection_diet33_down","LOC126271851"
"infection_diet33_down","LOC126271923"
"infection_diet33_down","LOC126271928"
"infection_diet33_down","LOC126271949"
"infection_diet33_down","LOC126272046"
"infection_diet33_down","LOC126272126"
"infection_diet33_down","LOC126272129"
"infection_diet33_down","LOC126272312"
"infection_diet33_down","LOC126272318"
"infection_diet33_down","LOC126272415"
"infection_diet33_down","LOC126272470"
"infection_diet33_down","LOC126272584"
"infection_diet33_down","LOC126272588"
"infection_diet33_down","LOC126272589"
"infection_diet33_down","LOC126272683"
"infection_diet33_down","LOC126272691"
"infection_diet33_down","LOC126272758"
"infection_diet33_down","LOC126272774"
"infection_diet33_down","LOC126272831"
"infection_diet33_down","LOC126272860"
"infection_diet33_down","LOC126273009"
"infection_diet33_down","LOC126273149"
"infection_diet33_down","LOC126273250"
"infection_diet33_down","LOC126273784"
"infection_diet33_down","LOC126274965"
"infection_diet33_down","LOC126275296"
"infection_diet33_down","LOC126276381"
"infection_diet33_down","LOC126276633"
"infection_diet33_down","LOC126276951"
"infection_diet33_down","LOC126277383"
"infection_diet33_down","LOC126277947"
"infection_diet33_down","LOC126278002"
"infection_diet33_down","LOC126278068"
"infection_diet33_down","LOC126278130"
"infection_diet33_down","LOC126278132"
"infection_diet33_down","LOC126278133"
"infection_diet33_down","LOC126278137"
"infection_diet33_down","LOC126278143"
"infection_diet33_down","LOC126278149"
"infection_diet33_down","LOC126278289"
"infection_diet33_down","LOC126278346"
"infection_diet33_down","LOC126278365"
"infection_diet33_down","LOC126278485"
"infection_diet33_down","LOC126278491"
"infection_diet33_down","LOC126278499"
"infection_diet33_down","LOC126278501"
"infection_diet33_down","LOC126278519"
"infection_diet33_down","LOC126278530"
"infection_diet33_down","LOC126278549"
"infection_diet33_down","LOC126278622"
"infection_diet33_down","LOC126278678"
"infection_diet33_down","LOC126278697"
"infection_diet33_down","LOC126278882"
"infection_diet33_down","LOC126278916"
"infection_diet33_down","LOC126278971"
"infection_diet33_down","LOC126278997"
"infection_diet33_down","LOC126279052"
"infection_diet33_down","LOC126279091"
"infection_diet33_down","LOC126279120"
"infection_diet33_down","LOC126279173"
"infection_diet33_down","LOC126279221"
"infection_diet33_down","LOC126279803"
"infection_diet33_down","LOC126281276"
"infection_diet33_down","LOC126281297"
"infection_diet33_down","LOC126281299"
"infection_diet33_down","LOC126281310"
"infection_diet33_down","LOC126281335"
"infection_diet33_down","LOC126281341"
"infection_diet33_down","LOC126281351"
"infection_diet33_down","LOC126281387"
"infection_diet33_down","LOC126281391"
"infection_diet33_down","LOC126281486"
"infection_diet33_down","LOC126281516"
"infection_diet33_down","LOC126281532"
"infection_diet33_down","LOC126281562"
"infection_diet33_down","LOC126281570"
"infection_diet33_down","LOC126281581"
"infection_diet33_down","LOC126281690"
"infection_diet33_down","LOC126281694"
"infection_diet33_down","LOC126281701"
"infection_diet33_down","LOC126281715"
"infection_diet33_down","LOC126281780"
"infection_diet33_down","LOC126281835"
"infection_diet33_down","LOC126281857"
"infection_diet33_down","LOC126281861"
"infection_diet33_down","LOC126281878"
"infection_diet33_down","LOC126281906"
"infection_diet33_down","LOC126281914"
"infection_diet33_down","LOC126281915"
"infection_diet33_down","LOC126281934"
"infection_diet33_down","LOC126281958"
"infection_diet33_down","LOC126282017"
"infection_diet33_down","LOC126282019"
"infection_diet33_down","LOC126282021"
"infection_diet33_down","LOC126282043"
"infection_diet33_down","LOC126282257"
"infection_diet33_down","LOC126282271"
"infection_diet33_down","LOC126282322"
"infection_diet33_down","LOC126282335"
"infection_diet33_down","LOC126282396"
"infection_diet33_down","LOC126283952"
"infection_diet33_down","LOC126283954"
"infection_diet33_down","LOC126283957"
"infection_diet33_down","LOC126283960"
"infection_diet33_down","LOC126283961"
"infection_diet33_down","LOC126283962"
"infection_diet33_down","LOC126283982"
"infection_diet33_down","LOC126283987"
"infection_diet33_down","LOC126284002"
"infection_diet33_down","LOC126284006"
"infection_diet33_down","LOC126284030"
"infection_diet33_down","LOC126284088"
"infection_diet33_down","LOC126284105"
"infection_diet33_down","LOC126284106"
"infection_diet33_down","LOC126284198"
"infection_diet33_down","LOC126284231"
"infection_diet33_down","LOC126284269"
"infection_diet33_down","LOC126284272"
"infection_diet33_down","LOC126284276"
"infection_diet33_down","LOC126284296"
"infection_diet33_down","LOC126284300"
"infection_diet33_down","LOC126284312"
"infection_diet33_down","LOC126284323"
"infection_diet33_down","LOC126284333"
"infection_diet33_down","LOC126284367"
"infection_diet33_down","LOC126284383"
"infection_diet33_down","LOC126284425"
"infection_diet33_down","LOC126284453"
"infection_diet33_down","LOC126284491"
"infection_diet33_down","LOC126284556"
"infection_diet33_down","LOC126284566"
"infection_diet33_down","LOC126284573"
"infection_diet33_down","LOC126284577"
"infection_diet33_down","LOC126284584"
"infection_diet33_down","LOC126284609"
"infection_diet33_down","LOC126284626"
"infection_diet33_down","LOC126284629"
"infection_diet33_down","LOC126284663"
"infection_diet33_down","LOC126284686"
"infection_diet33_down","LOC126284697"
"infection_diet33_down","LOC126284705"
"infection_diet33_down","LOC126284712"
"infection_diet33_down","LOC126284726"
"infection_diet33_down","LOC126284739"
"infection_diet33_down","LOC126284742"
"infection_diet33_down","LOC126284752"
"infection_diet33_down","LOC126284786"
"infection_diet33_down","LOC126284812"
"infection_diet33_down","LOC126284845"
"infection_diet33_down","LOC126284858"
"infection_diet33_down","LOC126284898"
"infection_diet33_down","LOC126284908"
"infection_diet33_down","LOC126284914"
"infection_diet33_down","LOC126284936"
"infection_diet33_down","LOC126284948"
"infection_diet33_down","LOC126285253"
"infection_diet33_down","LOC126285254"
"infection_diet33_down","LOC126285335"
"infection_diet33_down","LOC126285375"
"infection_diet33_down","LOC126285386"
"infection_diet33_down","LOC126285438"
"infection_diet33_down","LOC126291424"
"infection_diet33_down","LOC126291591"
"infection_diet33_down","LOC126291743"
"infection_diet33_down","LOC126291783"
"infection_diet33_down","LOC126291795"
"infection_diet33_down","LOC126291805"
"infection_diet33_down","LOC126291873"
"infection_diet33_down","LOC126291919"
"infection_diet33_down","LOC126291949"
"infection_diet33_down","LOC126291950"
"infection_diet33_down","LOC126291956"
"infection_diet33_down","LOC126291966"
"infection_diet33_down","LOC126292020"
"infection_diet33_down","LOC126292024"
"infection_diet33_down","LOC126292129"
