"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","family","comparison","direction","plot_label","n_genes","source_file","ontology","neg_log10_padj","term_label"
"GO:1901575","GO:1901575","33/176","482/5969",0.0684647302904564,2.32196576763485,5.27588384101906,3.14468223030105e-06,0.000496410552068951,0.000496410552068951,"LOC126293188/LOC126280991/LOC126334613/LOC126267217/LOC126295040/LOC126267216/LOC126282517/LOC126355485/LOC126278128/LOC126346021/LOC126346362/LOC126295425/LOC126354672/LOC126354995/LOC126267215/LOC126267343/LOC126267061/LOC126294955/LOC126365747/LOC126266656/LOC126294949/LOC126346580/LOC126285462/LOC126271919/LOC126353887/LOC126356122/LOC126267652/LOC126354914/LOC126272078/LOC126365918/LOC126266748/LOC126268068/LOC126365957",33,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",NA,3.30415899539125,"GO:1901575 [GO:1901575]"
"GO:0004866","endopeptidase inhibitor activity","5/176","10/5969",0.5,16.9573863636364,8.80225700086453,4.70804731812574e-06,0.000624287074383473,0.000624287074383473,"LOC126335547/LOC126282193/LOC126335545/LOC126354914/LOC126335546",5,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Molecular function",3.2046156568708,"endopeptidase inhibitor activity [GO:0004866]"
"GO:0010466","negative regulation of peptidase activity","5/176","10/5969",0.5,16.9573863636364,8.80225700086453,4.70804731812574e-06,0.000624287074383473,0.000624287074383473,"LOC126335547/LOC126282193/LOC126335545/LOC126354914/LOC126335546",5,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Biological process",3.2046156568708,"negative regulation of peptidase activity [GO:0010466]"
"GO:0010951","negative regulation of endopeptidase activity","5/176","10/5969",0.5,16.9573863636364,8.80225700086453,4.70804731812574e-06,0.000624287074383473,0.000624287074383473,"LOC126335547/LOC126282193/LOC126335545/LOC126354914/LOC126335546",5,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Biological process",3.2046156568708,"negative regulation of endopeptidase activity [GO:0010951]"
"GO:0030414","peptidase inhibitor activity","5/176","10/5969",0.5,16.9573863636364,8.80225700086453,4.70804731812574e-06,0.000624287074383473,0.000624287074383473,"LOC126335547/LOC126282193/LOC126335545/LOC126354914/LOC126335546",5,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Molecular function",3.2046156568708,"peptidase inhibitor activity [GO:0030414]"
"GO:0042742","defense response to bacterium","11/176","72/5969",0.152777777777778,5.18142361111111,6.22148170608674,6.78018824026203e-06,0.000864474000633409,0.000864474000633409,"LOC126335036/LOC126282030/LOC126271975/LOC126267343/LOC126267163/LOC126278673/LOC126285462/LOC126298648/LOC126293178/LOC126297857/LOC126293181",11,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Biological process",3.06324806375644,"defense response to bacterium [GO:0042742]"
"GO:0002376","immune system process","19/176","209/5969",0.0909090909090909,3.08316115702479,5.34322850421828,1.04069095006021e-05,0.00127773722201837,0.00127773722201837,"LOC126267038/LOC126267217/LOC126267216/LOC126282030/LOC126267215/LOC126267343/LOC126267061/LOC126267163/LOC126282035/LOC126281165/LOC126285462/LOC126299506/LOC126298648/LOC126356154/LOC126267652/LOC126266672/LOC126355206/LOC126365918/LOC126268068",19,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Biological process",2.89355845350296,"immune system process [GO:0002376]"
"GO:0022857","transmembrane transporter activity","29/176","422/5969",0.0687203791469194,2.33063604049978,4.94203027575486,1.28043755155346e-05,0.00151594660121418,0.00151594660121418,"LOC126354017/LOC126336688/LOC126272767/LOC126354788/LOC126279309/LOC126285413/LOC126282259/LOC126297555/LOC126272275/LOC126355684/LOC126355303/LOC126272360/LOC126354186/LOC126278467/LOC126357744/LOC126299447/LOC126297964/LOC126278232/LOC126358740/LOC126336375/LOC126334835/LOC126278191/LOC126272465/LOC126353931/LOC126353927/LOC126278946/LOC126354018/LOC126355940/LOC126355939",29,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Molecular function",2.81931609633356,"transmembrane transporter activity [GO:0022857]"
"GO:0061135","endopeptidase regulator activity","5/176","12/5969",0.416666666666667,14.1311553030303,7.93594661487965,1.41002265088928e-05,0.00161180175437861,0.00161180175437861,"LOC126335547/LOC126282193/LOC126335545/LOC126354914/LOC126335546",5,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv","Molecular function",2.79268837585228,"endopeptidase regulator activity [GO:0061135]"
"GO:1901565","GO:1901565","24/176","316/5969",0.0759493670886076,2.57580552359033,5.01678678679985,1.52768439033422e-05,0.00168809125131931,0.00168809125131931,"LOC126293188/LOC126334613/LOC126267217/LOC126295040/LOC126267216/LOC126282517/LOC126278128/LOC126346021/LOC126295425/LOC126354672/LOC126354995/LOC126267215/LOC126267343/LOC126267061/LOC126294955/LOC126294949/LOC126346580/LOC126285462/LOC126356122/LOC126267652/LOC126354914/LOC126365918/LOC126266748/LOC126268068",24,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",NA,2.77260408088968,"GO:1901565 [GO:1901565]"
