"term","name","ontology"
"GO:0048609","multicellular organismal reproductive process","BP"
"GO:0050793","regulation of developmental process","BP"
"GO:0051052","regulation of DNA metabolic process","BP"
"GO:0051053","negative regulation of DNA metabolic process","BP"
"GO:0051239","regulation of multicellular organismal process","BP"
"GO:0051726","regulation of cell cycle","BP"
"GO:0071897","DNA biosynthetic process","BP"
"GO:0090304","nucleic acid metabolic process","BP"
"GO:1901184","regulation of ERBB signaling pathway","BP"
"GO:1901185","negative regulation of ERBB signaling pathway","BP"
"GO:2000026","regulation of multicellular organismal development","BP"
"GO:0000323","lytic vacuole","CC"
"GO:0003376","sphingosine-1-phosphate receptor signaling pathway","BP"
"GO:0005319","lipid transporter activity","MF"
"GO:0005764","lysosome","CC"
"GO:0005765","lysosomal membrane","CC"
"GO:0005768","endosome","CC"
"GO:0005770","late endosome","CC"
"GO:0005773","vacuole","CC"
"GO:0005774","vacuolar membrane","CC"
"GO:0006869","lipid transport","BP"
"GO:0006897","endocytosis","BP"
"GO:0006915","apoptotic process","BP"
"GO:0006950","response to stress","BP"
"GO:0007033","vacuole organization","BP"
"GO:0007034","vacuolar transport","BP"
"GO:0007040","lysosome organization","BP"
"GO:0007041","lysosomal transport","BP"
"GO:0007186","G protein-coupled receptor signaling pathway","BP"
"GO:0007416","synapse assembly","BP"
"GO:0007422","peripheral nervous system development","BP"
"GO:0007528","neuromuscular junction development","BP"
"GO:0007610","behavior","BP"
"GO:0007617","mating behavior","BP"
"GO:0007618","mating","BP"
"GO:0007619","courtship behavior","BP"
"GO:0008219","cell death","BP"
"GO:0008333","endosome to lysosome transport","BP"
"GO:0008347","glial cell migration","BP"
"GO:0008582","regulation of synaptic assembly at neuromuscular junction","BP"
"GO:0009267","cellular response to starvation","BP"
"GO:0009886","post-embryonic animal morphogenesis","BP"
"GO:0010001","glial cell differentiation","BP"
"GO:0010008","endosome membrane","CC"
"GO:0010623","programmed cell death involved in cell development","BP"
"GO:0010876","lipid localization","BP"
"GO:0012501","programmed cell death","BP"
"GO:0012505","endomembrane system","CC"
"GO:0016192","vesicle-mediated transport","BP"
"GO:0016477","cell migration","BP"
"GO:0019098","reproductive behavior","BP"
"GO:0031410","cytoplasmic vesicle","CC"
"GO:0031667","response to nutrient levels","BP"
"GO:0031669","cellular response to nutrient levels","BP"
"GO:0031902","late endosome membrane","CC"
"GO:0031982","vesicle","CC"
"GO:0033554","cellular response to stress","BP"
"GO:0035193","larval central nervous system remodeling","BP"
"GO:0036465","synaptic vesicle recycling","BP"
"GO:0040007","growth","BP"
"GO:0040008","regulation of growth","BP"
"GO:0042063","gliogenesis","BP"
"GO:0042594","response to starvation","BP"
"GO:0042981","regulation of apoptotic process","BP"
"GO:0043067","regulation of programmed cell death","BP"
"GO:0044087","regulation of cellular component biogenesis","BP"
"GO:0045476","nurse cell apoptotic process","BP"
"GO:0045477","regulation of nurse cell apoptotic process","BP"
"GO:0045595","regulation of cell differentiation","BP"
"GO:0045924","regulation of female receptivity","BP"
"GO:0046624","sphingolipid transporter activity","MF"
"GO:0048488","synaptic vesicle endocytosis","BP"
"GO:0048589","developmental growth","BP"
"GO:0048638","regulation of developmental growth","BP"
"GO:0048870","cell motility","BP"
"GO:0050803","regulation of synapse structure or activity","BP"
"GO:0050807","regulation of synapse organization","BP"
"GO:0050808","synapse organization","BP"
"GO:0051124","synaptic assembly at neuromuscular junction","BP"
"GO:0051674","localization of cell","BP"
"GO:0051960","regulation of nervous system development","BP"
"GO:0051963","regulation of synapse assembly","BP"
"GO:0060180","female mating behavior","BP"
"GO:0060284","regulation of cell development","BP"
"GO:0071496","cellular response to external stimulus","BP"
"GO:0080171","lytic vacuole organization","BP"
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
