"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
31,"LOC126269651","synaptic vesicle glycoprotein 2A-like","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",5.3882525568062,0.0479904034671796,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
32,"LOC126358260","ATP-sensitive inward rectifier potassium channel 12-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.31036858337252,0.0144043535724835,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
33,"LOC126293620","corticotropin-releasing factor-binding protein","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",5.1759527496725,0.0212602450912259,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
34,"LOC126333043","neuromodulin","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",1.63801219153767,0.0417744517261248,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
35,"LOC126355265","lazarillo protein","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",2.28477837215683,0.0205191472462862,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
36,"LOC126336109","dehydrogenase/reductase SDR family member 11-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",3.9119810015021,0.0174700895999204,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
37,"LOC126272088","facilitated trehalose transporter Tret1-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",2.14925884569223,0.0362415002259161,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
38,"LOC126278546","uncharacterized LOC126278546","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.30158997056269,0.00371127832017206,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
39,"LOC126336585","uncharacterized LOC126336585","protein_coding","Diet in controls","control_diet83_vs50","Control diet 50",4.79778827295422,0.041901197060279,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
40,"LOC126278041","cholinesterase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",3.44349238773837,0.00905368217855896,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
41,"LOC126278507","dipeptidase 1-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.35156854655352,0.0320781552565479,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
42,"LOC126267485","uncharacterized LOC126267485","protein_coding","Diet in controls","control_diet83_vs50","Control diet 50",4.82296332535763,0.0433745667394701,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
43,"LOC126335312","solute carrier family 46 member 3-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.03042037494424,0.0188236009662759,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
44,"LOC126334918","acyl-CoA Delta-9 desaturase-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.57586127881626,0.0201791638363123,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
45,"LOC126354722","ketohexokinase-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.64858967755073,0.0193001147838108,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
46,"LOC126272928","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.25705843217751,0.0122121280453716,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
47,"LOC126325327","uncharacterized LOC126325327","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.22256731486254,0.0347228180573917,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
48,"LOC126354780","sialin-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",3.48052374565183,0.0364587870009299,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
49,"LOC126266939","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.96172010083739,0.0318642825516157,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
50,"LOC126355944","juvenile hormone esterase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.00337310079268,0.00333030738304309,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
51,"LOC126334992","sodium-independent sulfate anion transporter-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.04952601664254,0.00184420859084288,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
52,"LOC126354529","uncharacterized LOC126354529","protein_coding","Infection + diet","infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",21.2159842063178,3.52289645311651e-23,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
53,"LOC126355391","sialin-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",5.41775534929684,0.0393300152414244,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
54,"LOC126273244","venom carboxylesterase-6-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.87957692184263,0.0321639857842798,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
55,"LOC126293272","uncharacterized LOC126293272","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.66656203565027,0.00319718748157455,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
56,"LOC126267290","aldehyde dehydrogenase 1A1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.95389616035518,0.0131883031761564,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
