"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126316446","uncharacterized LOC126316446",20.5426106803024,2.6145802167306,0.707876287790618,3.69355530313224,0.00022114038913333,0.0121100241181142,"protein_coding"
"LOC126316432","dihydrolipoyl dehydrogenase%2C mitochondrial-like",35.0001839766741,2.68273548504673,0.788927757284931,3.4004830737345,0.000672669003107323,0.0232079823082792,"protein_coding"
"LOC126316452","uncharacterized LOC126316452",51.876344837414,2.5791483465306,0.837096623774765,3.08106408899406,0.00206262247370685,0.0458443672092115,"protein_coding"
"LOC126316455","uncharacterized LOC126316455",28.169155625607,2.82485641575022,0.928168736857589,3.04347291992839,0.00233864488416458,0.0496634010137194,"protein_coding"
"LOC126316439","uncharacterized LOC126316439",65.5389420298833,2.49343661472312,0.808396281326915,3.08442365745468,0.00203946944590171,0.0458024632405522,"protein_coding"
"LOC126316457","uncharacterized LOC126316457",21.5117846641666,2.92518516756322,0.707096873367543,4.13689450164311,3.52037863745841e-05,0.00475049064754907,"protein_coding"
"LOC126316459","uncharacterized LOC126316459",29.4622599483801,3.08821327057962,0.696626068370606,4.43310035440231,9.28876033951641e-06,0.00217850070346567,"protein_coding"
"LOC126316463","FERM domain-containing protein 8-like",12.0728248243085,2.71702653545489,0.744426438781461,3.64982541445242,0.000262418605256718,0.0132949880394128,"protein_coding"
"LOC126316454","uncharacterized protein DDB_G0288133-like",63.9916230917038,3.0712793268861,0.745048864522837,4.12225220805228,3.7518609878452e-05,0.00482826990525799,"protein_coding"
"LOC126316442","uncharacterized LOC126316442",23.1804280178378,2.82736629042568,0.783970404722734,3.60647069505848,0.000310389893974695,0.0150732360209825,"protein_coding"
"LOC126316443","uncharacterized LOC126316443",17.7593802554254,2.55623288453384,0.699592610628832,3.65388777082159,0.000258299206112606,0.0132949880394128,"protein_coding"
"LOC126316687","proton-coupled amino acid transporter 4-like",39.4646391208968,3.02452250953577,0.787117231145232,3.84253118831509,0.000121771934191468,0.00856329519732244,"protein_coding"
"LOC126316693","OTU domain-containing protein 5-A-like",28.8251796079012,2.618758643385,0.836189706498208,3.13177574781664,0.00173752535255203,0.0414078032629482,"protein_coding"
"LOC126316666","protein NLRC5-like",38.7232052805805,2.99052258058901,0.696290220028514,4.29493693084838,1.74743006726606e-05,0.00316727852614745,"protein_coding"
"LOC126316667","uncharacterized LOC126316667",17.8848802985691,2.56512534648599,0.755824253940873,3.39381189887915,0.000689270185728477,0.0235910053727121,"protein_coding"
"LOC126316668","uncharacterized LOC126316668",25.3026320334235,2.72395784562642,0.825926379130244,3.2980637432781,0.000973540309035863,0.0289341575911837,"protein_coding"
"LOC126316669","protein Aster-A-like",14.091357541535,2.3137537293277,0.712905955807189,3.24552447693882,0.0011723448569699,0.031999358464847,"protein_coding"
"LOC126316674","dipeptidyl aminopeptidase BI-like",37.0015813674976,2.72037118969363,0.773895205741742,3.51516738895712,0.000439476888550491,0.0184222412988804,"protein_coding"
"LOC126316678","uncharacterized LOC126316678",51.8589296763342,3.03383774086779,0.906203125491149,3.34785618756666,0.000814392602406557,0.0256244948664303,"protein_coding"
